,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57380.655311,19.363,0.983,65,64,o,0,1.37,204.40131,-29.355759999999997,3470.13,9271.12,4.45,4.07,-16.9,-0.46299999999999997,18.13,19.21,02a57380o0671o
1,57380.675511,19.364,19.586,65,1277,o,0,0.99,204.40131,-29.355759999999997,3178.21,8693.02,4.5,4.2,-40.8,-0.436,16.88,16.83,02a57380o0703o
2,57406.62130700001,19.93,0.62,39,24,o,0,1.1,204.40131,-29.355759999999997,4043.03,8694.39,3.7,3.35,-82.7,-0.474,19.12,20.69,02a57406o0534o
3,57406.635988,21.182,1.781,12,22,o,0,1.49,204.40131,-29.355759999999997,4303.61,9281.3,3.67,3.37,-89.0,-0.465,19.13,20.69,02a57406o0558o
4,57406.642522,20.775,1.17,18,21,o,0,1.58,204.40131,-29.355759999999997,3462.4,8120.52,3.7,3.31,-82.5,-0.474,19.13,20.69,02a57406o0568o
5,57406.651603,-20.151,0.898,-32,28,o,0,1.84,204.40131,-29.355759999999997,6441.45,164.64,4.46,3.3,4.1,-0.513,19.09,20.64,02a57406o0583o
6,57406.652205,-19.94,0.606,-38,23,o,0,1.53,204.40131,-29.355759999999997,3159.68,9881.6,3.75,3.51,-85.5,-0.449,19.12,20.67,02a57406o0584o
7,57407.620822000004,20.524,0.98,22,22,o,0,1.24,204.40131,-29.355759999999997,4040.74,8694.12,3.94,3.68,-89.6,-0.445,19.02,20.64,02a57407o0669o
8,57407.633658000006,-21.145,2.0,-13,25,o,0,0.87,204.40131,-29.355759999999997,4302.43,9281.17,3.94,3.64,-86.9,-0.446,19.03,20.65,02a57407o0690o
9,57407.640879,19.589000000000002,0.45,53,24,o,0,1.29,204.40131,-29.355759999999997,3460.7,8119.39,3.87,3.48,-81.9,-0.45899999999999996,19.05,20.62,02a57407o0701o
10,57407.648808000005,-19.789,0.72,-44,32,o,0,1.34,204.40131,-29.355759999999997,6440.55,164.31,4.51,3.41,3.7,-0.522,19.02,20.56,02a57407o0714o
11,57407.65001799999,21.409000000000002,2.727,10,27,o,0,1.1,204.40131,-29.355759999999997,3158.1,9882.39,3.94,3.73,-81.7,-0.436,19.04,20.62,02a57407o0716o
12,57410.611012,18.561,0.564,137,77,o,0,1.14,204.40131,-29.355759999999997,4041.55,8698.37,3.68,3.34,-87.5,-0.47100000000000003,18.32,19.14,02a57410o0651o
13,57410.621995,22.558000000000003,12.556,3,43,o,0,1.42,204.40131,-29.355759999999997,4307.17,9282.85,3.64,3.47,81.8,-0.465,18.33,19.17,02a57410o0667o
14,57410.641289,21.033,4.605,14,65,o,0,1.04,204.40131,-29.355759999999997,3458.94,8125.67,3.65,3.34,-86.1,-0.46799999999999997,18.37,19.21,02a57410o0698o
15,57410.645552999995,-18.929000000000002,0.62,-97,60,o,0,1.05,204.40131,-29.355759999999997,6440.95,168.16,4.35,3.47,2.9,-0.537,18.27,19.13,02a57410o0705o
16,57410.648615,19.077,0.618,85,52,o,0,1.22,204.40131,-29.355759999999997,3157.8,9887.63,3.65,3.46,82.5,-0.447,18.4,19.24,02a57410o0710o
17,57411.61105,18.28,0.41700000000000004,177,74,o,0,1.57,204.40131,-29.355759999999997,4031.92,8701.6,3.78,3.46,-85.1,-0.485,18.28,19.12,02a57411o0651o
18,57411.620652,21.774,6.824,7,48,o,0,1.5,204.40131,-29.355759999999997,4297.04,9286.6,3.73,3.56,88.1,-0.489,18.3,19.15,02a57411o0666o
