,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57368.480514999996,-22.166999999999998,7.25,-5,36,o,0,1.0,84.98958,-40.51619,5463.12,93.38,5.01,3.71,-6.3,-0.527,19.02,20.61,02a57368o0469o
1,57369.466421000005,20.766,2.4290000000000003,18,44,o,0,0.86,84.98958,-40.51619,5456.55,89.97,4.98,3.65,-3.5,-0.381,19.01,20.58,02a57369o0264o
2,57370.460351,19.428,0.5429999999999999,62,33,c,0,0.94,84.98958,-40.51619,5452.51,88.25,5.57,4.23,-5.7,-0.485,19.42,21.44,02a57370o0440c
3,57380.438652,17.653,0.316,315,100,o,0,1.22,84.98958,-40.51619,5282.23,331.7,5.15,3.72,-6.2,-0.51,18.07,18.78,02a57380o0347o
4,57397.383008000004,-19.658,0.6,-50,30,c,0,1.05,84.98958,-40.51619,5242.64,269.37,5.19,3.95,-5.3,-0.499,19.51,21.53,02a57397o0285c
5,57404.363009,18.049,0.20600000000000002,219,45,o,0,1.4,84.98958,-40.51619,5593.21,8857.48,3.93,2.71,0.3,-0.469,18.04,19.23,02a57404o0289o
6,57404.379337,18.347,0.226,166,38,o,0,1.25,84.98958,-40.51619,5889.78,9446.54,3.79,3.08,6.4,-0.47600000000000003,18.16,19.38,02a57404o0316o
7,57404.396311000004,18.577,0.256,135,34,o,0,0.91,84.98958,-40.51619,5000.67,8273.6,3.45,3.21,18.9,-0.45,18.41,19.66,02a57404o0344o
8,57404.41329700001,18.146,0.168,200,34,o,0,1.11,84.98958,-40.51619,4703.08,10026.78,3.72,3.27,17.7,-0.451,18.24,19.57,02a57404o0372o
9,57404.41570700001,18.008,0.188,227,43,o,0,0.96,84.98958,-40.51619,5276.01,324.14,4.71,3.42,-3.8,-0.494,18.73,20.01,02a57404o0376o
10,57405.363078999995,17.743,0.16399999999999998,290,48,o,0,1.59,84.98958,-40.51619,5592.52,8853.15,4.09,3.09,0.6,-0.43200000000000005,17.96,19.18,02a57405o0263o
11,57405.379455999995,17.867,0.162,259,42,o,0,1.34,84.98958,-40.51619,5890.02,9442.08,3.85,3.2,9.6,-0.46799999999999997,18.07,19.22,02a57405o0290o
12,57405.396390999995,17.769000000000002,0.149,283,42,o,0,0.87,84.98958,-40.51619,5000.59,8269.43,3.67,3.48,26.9,-0.45399999999999996,18.23,19.44,02a57405o0318o
13,57405.413420000004,17.757,0.16,286,46,o,0,1.02,84.98958,-40.51619,4702.92,10021.91,3.87,3.41,16.9,-0.435,18.05,19.33,02a57405o0346o
14,57405.415828,17.509,0.141,360,51,o,0,1.02,84.98958,-40.51619,5274.99,321.71,4.74,3.44,-3.1,-0.513,18.52,19.67,02a57405o0350o
15,57406.371298000005,17.459,0.18100000000000002,377,68,o,0,0.99,84.98958,-40.51619,6120.38,320.11,4.46,3.41,-1.8,-0.496,18.34,19.37,02a57406o0157o
16,57407.368637,17.155,0.124,499,62,o,0,1.14,84.98958,-40.51619,6120.37,323.43,4.92,3.73,2.0,-0.532,18.36,19.36,02a57407o0291o
17,57410.353582,17.008,0.149,571,85,o,0,1.31,84.98958,-40.51619,6120.98,326.54,4.86,3.74,-1.2,-0.527,18.04,18.72,02a57410o0268o
18,57411.353839999996,16.379,0.121,1020,123,o,0,0.95,84.98958,-40.51619,6113.48,324.91,4.7,3.29,4.8,-0.501,18.01,18.6,02a57411o0266o
19,57412.352973,16.909000000000002,0.134,626,84,o,0,0.99,84.98958,-40.51619,6111.58,323.06,5.23,3.86,2.3,-0.48100000000000004,18.14,19.0,02a57412o0215o
20,57446.280146000005,17.548,0.091,347,32,o,0,1.21,84.98958,-40.51619,4956.96,9535.16,3.73,3.45,14.6,-0.502,18.33,19.74,02a57446o0059o
21,57446.296213,17.951,0.12300000000000001,240,29,o,0,1.47,84.98958,-40.51619,4672.51,8946.02,3.68,3.41,22.4,-0.5,18.39,19.85,02a57446o0091o
22,57446.312224,17.752,0.122,288,35,o,0,1.06,84.98958,-40.51619,5874.25,8366.47,3.64,3.17,28.0,-0.49700000000000005,18.39,19.86,02a57446o0123o
23,57446.328754999995,17.942999999999998,0.168,242,40,o,0,1.27,84.98958,-40.51619,5880.06,8250.04,4.0,2.85,22.8,-0.502,18.23,19.7,02a57446o0156o
24,57447.274121,17.736,0.121,292,35,o,0,1.05,84.98958,-40.51619,5122.7,9669.4,3.85,3.6,11.4,-0.495,18.34,19.84,02a57447o0148o
25,57447.291320000004,17.793,0.127,277,35,o,0,0.83,84.98958,-40.51619,4836.89,9080.11,3.7,3.56,13.9,-0.49700000000000005,18.43,19.97,02a57447o0182o
26,57447.30803200001,17.855,0.13699999999999998,262,36,o,0,1.09,84.98958,-40.51619,6038.98,8500.07,3.8,3.36,21.4,-0.46799999999999997,18.42,20.01,02a57447o0215o
