,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57380.612902,-19.665,0.914,-49,45,o,0,1.05,181.35761000000002,-21.40033,7540.21,3552.69,3.85,3.68,31.4,-0.46,18.34,19.36,02a57380o0605o
1,57380.640724000004,19.993,0.955,36,35,o,0,1.34,181.35761000000002,-21.40033,7225.65,2974.16,3.86,3.61,14.6,-0.466,18.43,19.52,02a57380o0648o
2,57380.645276999996,-22.029,6.5,-6,36,o,0,1.07,181.35761000000002,-21.40033,8104.62,4145.17,3.57,3.27,67.0,-0.49,18.54,19.58,02a57380o0655o
3,57380.665537,-19.842,0.851,-42,36,o,0,1.66,181.35761000000002,-21.40033,8394.07,2410.97,4.09,3.71,25.2,-0.484,18.47,19.62,02a57380o0687o
4,57397.51014400001,19.414,0.455,62,28,c,0,1.13,181.35761000000002,-21.40033,8182.55,4025.54,3.98,3.74,50.8,-0.39899999999999997,19.42,21.42,02a57397o0462c
5,57397.513199,20.456,1.182,24,28,c,0,1.04,181.35761000000002,-21.40033,8474.39,2277.22,4.21,3.78,23.1,-0.424,19.42,21.4,02a57397o0467c
6,57405.587051,20.706999999999997,0.981,19,19,o,0,1.61,181.35761000000002,-21.40033,7533.2,3567.88,3.46,3.32,58.8,-0.46299999999999997,19.26,20.86,02a57405o0611o
7,57405.619209000004,19.587,0.35200000000000004,53,19,o,0,1.87,181.35761000000002,-21.40033,3489.64,7711.14,3.62,3.35,-84.7,-0.452,19.27,20.99,02a57405o0658o
8,57405.622236,-20.554000000000002,0.81,-22,18,o,0,1.29,181.35761000000002,-21.40033,2609.07,6540.39,3.7,3.34,-71.2,-0.45899999999999996,19.28,20.93,02a57405o0663o
9,57405.649487,20.824,1.209,17,21,o,0,1.34,181.35761000000002,-21.40033,2313.05,8285.34,3.79,3.42,-76.0,-0.455,19.26,20.95,02a57405o0703o
10,57406.554798000005,21.949,3.9330000000000003,6,24,o,0,1.36,181.35761000000002,-21.40033,8123.78,2986.63,3.68,3.44,33.1,-0.49700000000000005,19.16,20.76,02a57406o0431o
11,57406.568799,-20.21,0.759,-30,23,o,0,1.2,181.35761000000002,-21.40033,8408.9,3573.69,3.6,3.36,60.8,-0.483,19.2,20.81,02a57406o0452o
12,57406.5919,-22.07,4.143,-5,22,o,0,1.34,181.35761000000002,-21.40033,7537.43,2405.33,3.64,3.38,17.8,-0.506,19.23,20.85,02a57406o0487o
13,57406.61524299999,-23.837,17.0,-1,18,o,0,1.45,181.35761000000002,-21.40033,7210.99,4155.43,3.46,3.27,72.1,-0.474,19.25,20.86,02a57406o0524o
14,57407.5531,-19.464000000000002,0.636,-60,38,o,0,1.16,181.35761000000002,-21.40033,8122.7,2987.13,3.87,3.65,35.0,-0.447,18.67,19.94,02a57407o0565o
15,57407.567341999995,-21.314,3.222,-11,35,o,0,1.04,181.35761000000002,-21.40033,8407.5,3573.53,3.74,3.52,62.3,-0.452,18.79,20.12,02a57407o0586o
16,57407.58932000001,-19.719,0.442,-47,21,o,0,1.4,181.35761000000002,-21.40033,7536.86,2405.85,3.68,3.45,21.9,-0.488,19.16,20.74,02a57407o0620o
17,57407.614713,-21.051,1.389,-14,19,o,0,1.13,181.35761000000002,-21.40033,7208.34,4155.7,3.68,3.52,67.2,-0.43700000000000006,19.16,20.81,02a57407o0659o
18,57410.555638,23.188000000000002,26.0,2,50,o,0,1.13,181.35761000000002,-21.40033,8118.06,2992.67,3.65,3.49,54.4,-0.45799999999999996,18.32,19.14,02a57410o0567o
19,57410.568705,-22.877,16.714000000000002,-3,43,o,0,1.28,181.35761000000002,-21.40033,8401.78,3580.17,3.6,3.36,67.8,-0.45899999999999996,18.35,19.17,02a57410o0586o
20,57410.588929,-20.232,1.27,-29,37,o,0,1.32,181.35761000000002,-21.40033,7528.56,2412.27,3.74,3.51,18.7,-0.47200000000000003,18.34,19.18,02a57410o0617o
21,57410.59194400001,-18.912,0.40399999999999997,-99,40,o,0,1.27,181.35761000000002,-21.40033,3503.87,6550.48,3.78,3.5,-73.0,-0.42700000000000005,18.34,19.21,02a57410o0621o
22,57411.546148,-22.195,10.25,-5,49,o,0,1.24,181.35761000000002,-21.40033,8112.38,2993.79,3.72,3.46,39.4,-0.483,18.22,18.95,02a57411o0551o
23,57411.567764,-19.934,1.186,-39,46,o,0,1.08,181.35761000000002,-21.40033,8395.35,3583.44,3.63,3.36,60.3,-0.475,18.26,19.0,02a57411o0584o
24,57411.588978,-19.508,0.777,-57,44,o,0,1.21,181.35761000000002,-21.40033,7519.57,2415.97,3.85,3.48,22.1,-0.486,18.26,19.02,02a57411o0617o
25,57411.59127999999,-20.429000000000002,1.8359999999999999,-24,45,o,0,1.28,181.35761000000002,-21.40033,3495.63,6550.51,3.82,3.51,-70.9,-0.433,18.22,19.05,02a57411o0620o
26,57412.545052999994,20.752,2.167,18,39,o,0,1.44,181.35761000000002,-21.40033,8115.59,2993.54,3.91,3.64,34.2,-0.45799999999999996,18.28,19.14,02a57412o0500o
27,57412.566624,-20.004,1.01,-36,36,o,0,1.3,181.35761000000002,-21.40033,8396.39,3582.95,3.58,3.37,54.5,-0.488,18.38,19.19,02a57412o0533o
28,57412.58839,-19.285,0.632,-70,44,o,0,0.84,181.35761000000002,-21.40033,7524.65,2414.79,3.84,3.48,20.7,-0.486,18.37,19.22,02a57412o0566o
29,57412.590383,-19.5,0.691,-58,40,o,0,1.18,181.35761000000002,-21.40033,3497.68,6550.06,3.77,3.41,-70.3,-0.44799999999999995,18.38,19.26,02a57412o0569o
30,57416.521678,18.565,0.263,136,36,o,0,1.07,181.35761000000002,-21.40033,7852.48,2776.42,3.7,3.48,32.5,-0.47,18.53,19.54,02a57416o0510o
31,57416.535197000005,19.063,0.40399999999999997,86,35,o,0,1.08,181.35761000000002,-21.40033,8133.26,3364.07,3.61,3.42,58.6,-0.457,18.55,19.56,02a57416o0532o
