,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57761.62689299999,17.533,0.062,352,22,o,0,2.0,239.36812,30.060859999999998,5605.14,8411.22,3.33,3.3,-16.0,-0.445,19.34,20.99,02a57761o0719o
1,57761.643251,17.419,0.054000000000000006,391,21,o,0,1.83,239.36812,30.060859999999998,5623.81,8449.28,3.27,3.13,-22.7,-0.41100000000000003,19.42,21.1,02a57761o0741o
2,57761.661427,17.457,0.06,378,23,o,0,1.89,239.36812,30.060859999999998,5574.18,8371.51,3.29,3.13,-25.2,-0.41200000000000003,19.4,21.05,02a57761o0763o
3,57761.678371,18.307000000000002,1.651,173,285,o,0,1.44,239.36812,30.060859999999998,5543.56,8491.82,3.27,3.06,-26.0,-0.66,17.85,17.97,02a57761o0785o
4,57765.667142,17.719,0.15,297,45,o,0,1.15,239.36812,30.060859999999998,7028.93,1716.31,3.55,3.38,-86.2,-0.47200000000000003,18.43,19.1,02a57765o0842o
5,57793.58336900001,19.146,0.504,80,40,o,0,1.41,239.36812,30.060859999999998,6410.71,9922.88,3.26,3.08,-34.8,-0.446,18.66,19.55,02a57793o0632o
6,57793.588717,20.57,1.9169999999999998,22,41,o,0,1.48,239.36812,30.060859999999998,6444.48,9961.63,3.33,3.22,-17.6,-0.449,18.68,19.59,02a57793o0639o
7,57793.599395000005,19.595,0.7290000000000001,53,38,o,0,1.21,239.36812,30.060859999999998,6376.23,9884.47,3.29,3.14,-23.0,-0.441,18.72,19.66,02a57793o0654o
8,57793.60895,18.618,0.242,130,31,o,0,1.78,239.36812,30.060859999999998,6358.56,10005.25,3.28,3.12,-21.9,-0.439,18.75,19.71,02a57793o0668o
9,57793.611111,20.6,1.4580000000000002,21,30,o,0,1.98,239.36812,30.060859999999998,6514.54,130.88,3.58,3.5,-43.2,-0.46299999999999997,18.76,19.72,02a57793o0671o
10,57793.620456,20.412,1.291,25,32,o,0,1.43,239.36812,30.060859999999998,6384.96,9947.31,3.41,3.28,-11.5,-0.433,18.77,19.8,02a57793o0684o
11,57793.621978999996,18.462,0.205,150,31,o,0,1.54,239.36812,30.060859999999998,6525.28,171.88,3.64,3.59,-9.7,-0.47,18.78,19.81,02a57793o0687o
12,57793.632614999995,19.338,0.495,67,33,o,0,1.07,239.36812,30.060859999999998,6475.8,96.2,3.6,3.55,-27.9,-0.474,18.84,19.91,02a57793o0706o
13,57793.644824,19.205,0.429,76,32,o,0,1.09,239.36812,30.060859999999998,6460.03,215.86,3.56,3.48,-39.6,-0.473,18.95,20.08,02a57793o0728o
14,57793.65805,18.968,0.284,94,27,o,0,1.17,239.36812,30.060859999999998,6495.8,158.57,3.58,3.49,-48.9,-0.47100000000000003,19.13,20.45,02a57793o0750o
15,57797.631796,18.651,0.295,126,37,o,0,1.09,239.36812,30.060859999999998,3963.55,9611.84,3.25,2.76,-11.3,-0.501,18.85,19.86,02a57797o0624o
16,57797.64461799999,18.691,0.423,121,51,o,0,1.2,239.36812,30.060859999999998,4092.06,432.39,4.05,3.88,6.0,-0.65,18.64,20.09,01a57797o0758o
17,57797.649907000006,-23.365,18.5,-2,30,o,0,2.09,239.36812,30.060859999999998,3982.9,9654.27,3.25,2.77,-11.4,-0.491,18.86,19.88,02a57797o0650o
18,57797.662954,18.276,0.305,178,54,o,0,1.19,239.36812,30.060859999999998,4069.51,389.23,4.23,4.01,11.4,-0.6459999999999999,18.46,19.82,01a57797o0785o
19,57797.667634000005,18.878,0.429,102,44,o,0,1.62,239.36812,30.060859999999998,3917.81,9579.07,3.27,2.8,-11.6,-0.505,18.61,19.37,02a57797o0676o
