,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57764.655522,-21.462,2.8280000000000003,-9,27,o,0,1.28,207.45475,-3.0800799999999997,7077.97,5033.53,3.59,3.39,-87.2,-0.41600000000000004,18.78,19.85,02a57764o0867o
1,57764.672351,22.516,9.6,4,34,o,0,1.0,207.45475,-3.0800799999999997,7099.0,5075.02,3.56,3.36,89.2,-0.418,18.49,19.39,02a57764o0896o
2,57768.682276,19.512,2.515,57,143,o,0,1.06,207.45475,-3.0800799999999997,4249.81,3490.66,3.64,3.53,-82.8,-0.44299999999999995,17.38,17.08,02a57768o0919o
3,57784.675101,20.227,1.55,30,46,c,0,1.27,207.45475,-3.0800799999999997,4475.78,3022.37,4.08,3.99,-87.2,-0.368,18.41,19.41,02a57784o0684c
4,57788.665724,18.313,0.127,172,22,o,0,0.96,207.45475,-3.0800799999999997,1840.23,5687.18,3.55,3.38,75.8,-0.455,19.26,20.73,02a57788o0866o
5,57788.674911,18.007,0.19899999999999998,228,45,o,0,1.1,207.45475,-3.0800799999999997,1820.05,5645.61,3.53,3.35,75.4,-0.466,18.38,18.98,02a57788o0880o
6,57792.652984,17.809,0.073,273,20,o,0,1.28,207.45475,-3.0800799999999997,4281.89,2438.06,3.68,3.61,-62.7,-0.43200000000000005,19.17,20.68,02a57792o0095o
7,57792.670311,17.776,0.122,282,34,o,0,1.38,207.45475,-3.0800799999999997,4263.4,2401.97,3.62,3.49,-71.5,-0.444,18.48,19.34,02a57792o0123o
8,57804.640159,17.33,0.05,424,21,c,0,0.97,207.45475,-3.0800799999999997,1556.55,5341.6,3.88,3.63,64.0,-0.405,19.35,20.98,02a57804o0818c
9,57804.644347,17.480999999999998,0.053,369,20,c,0,1.24,207.45475,-3.0800799999999997,1540.12,5304.25,3.86,3.61,65.1,-0.409,19.35,20.97,02a57804o0826c
10,57804.665688,17.415,0.08800000000000001,393,34,c,0,1.13,207.45475,-3.0800799999999997,1602.09,5380.8,3.86,3.61,64.0,-0.418,18.77,19.89,02a57804o0865c
11,57808.617226,17.599,0.052000000000000005,331,17,c,0,1.15,207.45475,-3.0800799999999997,1655.71,4083.42,3.84,3.63,71.0,-0.39899999999999997,19.6,21.45,02a57808o0758c
12,57808.63506,17.645,0.055,318,18,c,0,0.95,207.45475,-3.0800799999999997,1638.04,4043.01,3.89,3.7,78.7,-0.395,19.56,21.43,02a57808o0792c
13,57808.649953,17.58,0.064,337,22,c,0,1.17,207.45475,-3.0800799999999997,1698.8,4119.82,3.85,3.67,76.0,-0.396,19.19,20.98,02a57808o0820c
14,57808.662366,17.781,0.094,280,26,c,0,1.08,207.45475,-3.0800799999999997,1722.69,4004.79,3.89,3.67,73.6,-0.392,19.03,20.39,02a57808o0842c
15,57810.666296,18.686,1.369,122,167,o,0,1.24,207.45475,-3.0800799999999997,6273.75,7361.31,3.47,3.45,-17.7,-0.723,17.4,18.24,01a57810o0871o
16,57816.539057,18.265,0.08800000000000001,180,16,c,0,0.91,207.45475,-3.0800799999999997,5844.18,7863.2,3.78,3.65,69.8,-0.426,19.73,21.86,02a57816o0559c
17,57816.561845000004,18.129,0.075,204,15,c,0,0.9,207.45475,-3.0800799999999997,4621.84,2547.48,3.93,3.81,77.3,-0.38,19.7,21.83,02a57816o0600c
18,57816.573778,18.13,0.068,203,14,c,0,1.08,207.45475,-3.0800799999999997,4678.09,2624.93,3.92,3.75,80.0,-0.377,19.71,21.82,02a57816o0622c
19,57816.592912,18.081,0.065,213,14,c,0,1.44,207.45475,-3.0800799999999997,4697.31,2509.53,4.0,3.87,81.6,-0.37,19.67,21.8,02a57816o0656c
20,57816.608052999996,18.121,0.063,205,13,c,0,1.49,207.45475,-3.0800799999999997,4662.84,2566.42,3.91,3.78,87.3,-0.37799999999999995,19.68,21.77,02a57816o0685c
21,57816.649186,18.423,0.165,155,26,o,0,1.05,207.45475,-3.0800799999999997,8959.07,7035.88,3.45,3.31,60.1,-0.48,19.03,20.91,01a57816o0850o
22,57816.663652999996,18.721,2.714,118,320,o,0,1.44,207.45475,-3.0800799999999997,8977.94,7076.45,3.48,3.33,65.4,-0.499,17.24,18.29,01a57816o0879o
23,57818.64094500001,18.428,0.14,154,22,o,0,1.37,207.45475,-3.0800799999999997,8928.47,6319.77,3.71,3.33,-43.7,-0.466,19.01,21.11,01a57818o0839o
24,57818.655388,18.678,0.34,123,42,o,0,1.26,207.45475,-3.0800799999999997,8947.48,6360.03,3.78,3.38,-45.0,-0.531,18.3,19.71,01a57818o0868o
25,57820.615793,18.558,0.223,137,30,o,0,1.32,207.45475,-3.0800799999999997,6938.86,6729.21,3.42,3.19,-22.5,-0.478,18.82,20.84,01a57820o0812o
26,57820.629861,18.546,0.287,139,40,o,0,0.97,207.45475,-3.0800799999999997,6959.29,6767.98,3.53,3.2,-18.4,-0.47100000000000003,18.62,20.6,01a57820o0840o
27,57820.643402,18.753,0.213,114,24,o,0,1.06,207.45475,-3.0800799999999997,6896.26,6694.14,4.0,3.31,-10.1,-0.457,19.02,21.11,01a57820o0867o
28,57820.65741,18.262,0.222,180,40,o,0,0.84,207.45475,-3.0800799999999997,6876.6,6810.57,3.53,3.23,-28.1,-0.474,18.49,19.87,01a57820o0895o
29,57828.571073,18.404,0.364,158,57,o,0,1.47,207.45475,-3.0800799999999997,2557.15,5658.58,3.66,3.49,87.0,-0.43200000000000005,17.65,18.11,02a57828o0663o
30,57828.585599,18.038,0.253,221,56,o,0,1.38,207.45475,-3.0800799999999997,2541.86,5619.67,3.64,3.5,86.4,-0.425,17.65,18.11,02a57828o0692o
31,57828.604662,18.621,0.43200000000000005,129,56,o,0,1.15,207.45475,-3.0800799999999997,2606.82,5696.07,3.61,3.5,85.3,-0.426,17.63,18.1,02a57828o0731o
32,57828.611091,18.123,0.445,204,91,o,0,1.35,207.45475,-3.0800799999999997,8846.96,7095.71,3.36,3.25,-39.9,-0.49200000000000005,17.87,18.69,01a57828o0783o
33,57828.615825,18.131,0.257,203,52,o,0,1.24,207.45475,-3.0800799999999997,2625.21,5577.51,3.53,3.37,-87.8,-0.441,17.66,18.07,02a57828o0753o
34,57828.624591,18.744,0.93,116,107,o,0,0.89,207.45475,-3.0800799999999997,8867.02,7135.15,3.42,3.31,-38.6,-0.488,17.82,18.63,01a57828o0810o
35,57828.63290800001,18.936,0.523,97,51,o,0,1.18,207.45475,-3.0800799999999997,2590.63,5632.26,3.51,3.38,89.5,-0.516,17.64,18.04,02a57828o0787o
36,57828.63759,18.223,0.493,186,92,o,0,1.66,207.45475,-3.0800799999999997,8804.36,7059.57,3.37,3.15,-40.7,-0.5820000000000001,17.82,18.57,01a57828o0836o
37,57828.651669000006,18.009,0.965,227,219,o,0,1.31,207.45475,-3.0800799999999997,8785.91,7176.93,3.44,3.22,-36.5,-0.49,17.13,17.69,01a57828o0864o
