,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57746.558914999994,21.721999999999998,2.105,7,16,c,0,0.88,174.07629,38.11922,7687.09,4701.17,4.26,4.07,84.4,-0.366,19.65,21.83,02a57746o0714c
1,57746.570404,22.179000000000002,3.0,5,15,c,0,0.99,174.07629,38.11922,7718.8,4743.35,4.05,3.82,85.2,-0.376,19.71,21.81,02a57746o0736c
2,57746.582006,-20.381,0.48,-26,12,c,0,1.13,174.07629,38.11922,7662.06,4669.26,4.0,3.77,84.7,-0.37799999999999995,19.73,21.82,02a57746o0758c
3,57746.593476,-20.746,0.764,-18,14,c,0,1.02,174.07629,38.11922,7643.98,4786.5,3.96,3.71,88.2,-0.381,19.75,21.83,02a57746o0780c
4,57746.604989,20.903000000000002,0.83,16,13,c,0,0.89,174.07629,38.11922,7674.15,4728.75,3.99,3.75,82.2,-0.37799999999999995,19.73,21.81,02a57746o0802c
5,57750.56499,21.206999999999997,1.435,12,17,c,0,0.95,174.07629,38.11922,5623.12,2960.71,4.95,4.79,82.0,-0.327,19.45,21.75,02a57750o0558c
6,57750.576475,20.811999999999998,0.976,17,17,c,0,1.05,174.07629,38.11922,5565.1,2885.27,4.01,3.87,88.9,-0.366,19.4,21.42,02a57750o0580c
7,57750.587791,0.0,20.686,0,19,c,0,1.26,174.07629,38.11922,5547.72,3002.6,4.5,4.43,69.2,-0.336,19.23,21.41,02a57750o0602c
8,57762.524399,19.840999999999998,0.562,42,24,o,0,1.24,174.07629,38.11922,4042.98,4652.18,3.42,3.35,-83.7,-0.456,18.93,20.03,02a57762o0656o
9,57762.534964,-20.849,1.412,-17,24,o,0,1.12,174.07629,38.11922,4058.18,4692.3,3.45,3.38,-80.4,-0.452,18.95,20.08,02a57762o0675o
10,57762.54746,19.812,0.5920000000000001,43,26,o,0,0.92,174.07629,38.11922,4013.87,4616.31,3.51,3.41,88.1,-0.449,18.98,20.14,02a57762o0697o
11,57762.55959600001,19.587,0.441,53,23,o,0,0.89,174.07629,38.11922,3979.8,4733.45,3.46,3.38,84.8,-0.45299999999999996,19.05,20.26,02a57762o0719o
12,57762.571726999995,-20.773000000000003,1.2409999999999999,-18,22,o,0,1.04,174.07629,38.11922,4027.13,4677.47,3.49,3.4,-83.7,-0.452,19.12,20.42,02a57762o0741o
13,57765.488764,-20.818,2.623,-17,45,o,0,1.19,174.07629,38.11922,7052.45,5466.96,3.56,3.27,-85.2,-0.449,18.27,18.79,02a57765o0560o
14,57765.500822,19.262,0.7120000000000001,72,51,o,0,0.89,174.07629,38.11922,7068.47,5506.89,3.55,3.25,-86.6,-0.442,18.31,18.85,02a57765o0580o
15,57765.526044000006,18.724,0.439,118,52,o,0,0.78,174.07629,38.11922,7006.07,5432.38,3.64,3.35,-84.8,-0.43,18.32,18.91,02a57765o0621o
16,57765.546376,20.358,1.5830000000000002,26,41,o,0,1.01,174.07629,38.11922,6991.12,5549.39,3.49,3.22,-84.0,-0.45399999999999996,18.38,18.97,02a57765o0654o
17,57765.552705999995,20.108,1.198,33,39,o,0,1.52,174.07629,38.11922,7036.55,5493.38,3.51,3.22,-84.7,-0.451,18.39,18.97,02a57765o0666o
18,57766.537377,19.018,0.452,90,41,o,0,0.89,174.07629,38.11922,6310.17,4564.77,3.51,3.3,-88.2,-0.431,18.48,19.16,02a57766o0630o
19,57766.540646,22.553,10.455,4,36,o,0,0.95,174.07629,38.11922,6341.05,4604.43,3.48,3.26,-87.5,-0.436,18.5,19.17,02a57766o0636o
20,57766.554639,18.848,0.363,105,38,o,0,1.05,174.07629,38.11922,6282.18,4531.13,3.47,3.25,-88.8,-0.43700000000000006,18.51,19.2,02a57766o0660o
21,57766.568601,20.39,1.5930000000000002,25,40,o,0,0.93,174.07629,38.11922,6265.09,4649.16,3.48,3.29,-86.6,-0.433,18.5,19.19,02a57766o0684o
22,57766.58160499999,19.372,0.53,65,34,o,0,1.34,174.07629,38.11922,6296.62,4590.63,3.56,3.36,82.4,-0.423,18.45,19.16,02a57766o0707o
23,57774.510812,19.631,0.355,51,18,o,0,0.89,174.07629,38.11922,5940.72,5496.23,3.45,3.36,-77.2,-0.457,19.43,21.11,02a57774o0628o
24,57774.528511000004,18.904,0.19899999999999998,100,20,o,0,0.95,174.07629,38.11922,5974.62,5536.3,3.4,3.29,-74.2,-0.46399999999999997,19.44,21.08,02a57774o0662o
25,57774.536784,19.371,0.275,65,18,o,0,1.15,174.07629,38.11922,5913.35,5460.07,3.39,3.3,-76.4,-0.462,19.43,21.05,02a57774o0679o
26,57774.552496000004,19.159000000000002,0.25,79,20,o,0,0.85,174.07629,38.11922,5900.58,5580.95,3.45,3.38,79.0,-0.45,19.41,21.05,02a57774o0709o
27,57774.56531900001,18.855,0.183,104,19,o,0,0.94,174.07629,38.11922,5928.35,5524.13,3.48,3.39,-83.5,-0.446,19.38,20.99,02a57774o0733o
28,57778.519863,18.958,0.145,95,14,c,0,1.42,174.07629,38.11922,5919.45,2657.02,3.76,3.74,14.6,-0.402,19.77,21.83,02a57778o0475c
29,57778.523515999994,19.378,0.218,64,14,c,0,1.03,174.07629,38.11922,5932.6,2700.41,3.77,3.73,3.7,-0.4,19.79,21.85,02a57778o0482c
30,57778.535303,19.16,0.177,79,14,c,0,1.02,174.07629,38.11922,5876.84,2619.01,3.73,3.71,-85.6,-0.402,19.79,21.85,02a57778o0504c
31,57778.553966,19.267,0.2,71,14,c,0,0.97,174.07629,38.11922,5862.88,2740.92,3.72,3.69,76.2,-0.395,19.82,21.9,02a57778o0537c
32,57778.56675599999,19.447,0.226,60,14,c,0,0.95,174.07629,38.11922,5892.77,2683.43,3.74,3.7,84.9,-0.39799999999999996,19.81,21.89,02a57778o0561c
33,57782.49367,19.28,0.17,70,12,c,0,1.17,174.07629,38.11922,6367.82,3661.01,3.81,3.63,88.8,-0.386,19.79,21.84,02a57782o0585c
34,57782.519521,19.421,0.21,62,13,c,0,1.1,174.07629,38.11922,6382.87,3708.36,3.79,3.6,88.7,-0.385,19.83,21.91,02a57782o0633c
