,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57747.640097,19.32,0.46399999999999997,68,32,c,0,1.5,173.70458,-38.14375,3717.14,3822.23,4.82,3.51,-2.5,-0.364,18.95,20.97,02a57747o0907c
1,57751.638216,15.487,0.008,2318,19,c,0,259.98,173.70458,-38.14375,7067.37,2780.42,3.93,3.84,76.8,-0.397,19.55,21.53,02a57751o0422c
2,57751.64819299999,20.373,0.742,26,19,c,0,1.4,173.70458,-38.14375,7037.67,2743.48,4.09,3.99,74.8,-0.386,19.49,21.51,02a57751o0442c
3,57751.665774,18.018,0.165,225,37,c,0,1.94,173.70458,-38.14375,7100.26,2822.42,3.89,3.79,77.0,-0.39899999999999997,18.79,20.24,02a57751o0477c
4,57755.628011,-21.27,1.514,-11,17,c,0,1.24,173.70458,-38.14375,5887.25,5126.04,3.69,3.51,82.2,-0.401,19.61,21.52,02a57755o0834c
5,57755.63794400001,-20.953000000000003,1.156,-15,17,c,0,1.26,173.70458,-38.14375,5857.79,5089.85,3.77,3.59,81.8,-0.395,19.58,21.5,02a57755o0853c
6,57755.65521900001,-20.48,0.716,-23,17,c,0,1.55,173.70458,-38.14375,5920.29,5168.21,3.84,3.65,87.1,-0.39399999999999996,19.53,21.44,02a57755o0887c
7,57763.607701,19.817999999999998,0.8320000000000001,43,36,o,0,1.66,173.70458,-38.14375,3549.77,3679.85,3.47,3.42,79.2,-0.434,18.58,19.44,02a57763o0697o
8,57763.62203300001,19.037,0.358,88,32,o,0,1.51,173.70458,-38.14375,3534.42,3639.22,3.44,3.38,81.8,-0.44299999999999995,18.71,19.67,02a57763o0724o
9,57763.635858,22.956999999999997,10.429,2,25,o,0,1.44,173.70458,-38.14375,3583.32,3720.18,3.43,3.41,54.2,-0.444,19.09,20.42,02a57763o0751o
10,57763.649526,22.278000000000002,5.077,4,23,o,0,4.99,173.70458,-38.14375,3616.55,3602.92,3.45,3.41,86.4,-0.442,19.22,20.69,02a57763o0778o
11,57767.600328,20.087,1.263,34,42,o,0,1.32,173.70458,-38.14375,5726.49,3498.95,3.45,3.24,-17.8,-0.436,18.38,19.12,02a57767o0763o
12,57767.615819000006,-19.557000000000002,0.7879999999999999,-55,43,o,0,1.22,173.70458,-38.14375,5712.7,3464.26,3.51,3.41,88.5,-0.43,18.41,19.15,02a57767o0793o
13,57767.631215999994,-20.085,1.3159999999999998,-34,44,o,0,1.11,173.70458,-38.14375,5773.86,3541.1,3.54,3.45,85.5,-0.42,18.39,19.14,02a57767o0823o
14,57771.59469,-20.28,1.3940000000000001,-28,39,o,0,2.24,173.70458,-38.14375,3582.62,2160.07,3.76,3.7,-36.9,-0.418,18.56,19.57,02a57771o0767o
15,57771.610247000004,20.067999999999998,1.048,34,36,o,0,2.67,173.70458,-38.14375,3569.16,2123.72,3.99,3.69,-6.6,-0.40700000000000003,18.55,19.63,02a57771o0797o
16,57771.625754999994,20.894000000000002,2.385,16,38,o,0,2.32,173.70458,-38.14375,3631.26,2201.52,3.88,3.74,-19.3,-0.41,18.56,19.62,02a57771o0827o
17,57779.56567,18.069000000000003,0.098,215,21,c,0,2.01,173.70458,-38.14375,5352.67,5465.27,3.88,3.55,-15.4,-0.386,19.16,21.29,02a57779o0676c
18,57779.581749000004,18.215,0.085,188,16,c,0,4.87,173.70458,-38.14375,5339.06,5427.0,3.87,3.71,87.3,-0.391,19.55,21.6,02a57779o0707c
19,57779.597165,18.445,0.128,152,19,c,0,1.73,173.70458,-38.14375,5401.96,5506.6,3.96,3.79,82.7,-0.38,19.56,21.61,02a57779o0737c
20,57783.561132,17.166,0.04,494,20,c,0,2.07,173.70458,-38.14375,4443.7,3642.22,4.12,4.03,-28.8,-0.359,19.5,21.67,02a57783o0659c
21,57783.577805999994,17.309,0.048,433,21,c,0,1.9,173.70458,-38.14375,4429.92,3603.21,3.99,3.94,-48.8,-0.375,19.61,21.75,02a57783o0691c
22,57783.593914,15.546,0.009000000000000001,2196,19,c,0,170.06,173.70458,-38.14375,4478.58,3682.92,3.94,3.84,-59.8,-0.376,19.63,21.74,02a57783o0722c
23,57787.532935,16.753,0.054000000000000006,722,39,c,0,3.33,173.70458,-38.14375,3641.24,2431.48,4.23,3.67,-10.2,-0.386,18.96,20.88,02a57787o0614c
24,57787.546514,16.917,0.039,621,24,c,0,1.42,173.70458,-38.14375,3627.27,2391.72,3.91,3.83,-8.4,-0.386,19.42,21.35,02a57787o0642c
25,57787.561277999994,17.375999999999998,0.17600000000000002,407,72,c,0,1.29,173.70458,-38.14375,3674.23,2470.43,3.99,3.94,-88.3,-0.37,17.79,19.77,02a57787o0671c
26,57787.575669000005,15.184000000000001,0.006999999999999999,3065,22,c,0,271.26,173.70458,-38.14375,3706.04,2357.61,3.89,3.86,-71.8,-0.385,19.46,21.51,02a57787o0700c
27,57787.585272000004,15.618,0.01,2055,20,c,0,107.28,173.70458,-38.14375,3659.34,2410.27,3.88,3.84,-76.3,-0.38299999999999995,19.62,21.69,02a57787o0719c
28,57799.521240999995,17.189,0.076,484,37,o,0,1.51,173.70458,-38.14375,5236.03,3144.78,3.76,3.69,76.2,-0.40700000000000003,18.49,19.48,02a57799o0584o
29,57799.53681799999,17.005,0.061,573,35,o,0,3.95,173.70458,-38.14375,5207.76,3108.89,3.78,3.76,40.9,-0.4,18.48,19.47,02a57799o0614o
