,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57752.429462,19.36,1.15,65,75,c,0,0.99,80.19615999999999,3.2568200000000003,653.8,6558.55,3.9,3.73,66.4,-0.39899999999999997,17.76,19.5,02a57752o0428c
1,57752.431936,-19.08,0.9790000000000001,-85,83,c,0,1.1,80.19615999999999,3.2568200000000003,10337.18,6599.77,4.13,3.55,82.8,-0.425,17.64,19.39,02a57752o0433c
2,57752.439999,18.065,2.452,216,529,c,0,1.07,80.19615999999999,3.2568200000000003,636.4,6516.7,3.89,3.71,68.2,-0.397,16.08,17.77,02a57752o0449c
3,57752.447873000005,15.985,0.6609999999999999,1466,970,c,0,0.98,80.19615999999999,3.2568200000000003,10318.04,6561.21,4.09,3.52,84.6,-0.43,15.58,17.25,02a57752o0464c
4,57752.454476,-17.461,0.63,-376,237,c,0,1.33,80.19615999999999,3.2568200000000003,697.96,6595.13,3.89,3.69,70.4,-0.402,16.73,18.4,02a57752o0477c
5,57752.463948000004,-18.703,1.036,-120,124,c,0,1.1,80.19615999999999,3.2568200000000003,10379.25,6639.12,4.13,3.47,83.7,-0.402,17.41,19.09,02a57752o0496c
6,57752.474904999995,-16.686,1.1840000000000002,-768,909,c,0,1.09,80.19615999999999,3.2568200000000003,10401.45,6523.44,4.01,3.37,84.3,-0.46399999999999997,15.15,16.71,02a57752o0518c
7,57752.475902,16.458,0.909,948,862,c,0,1.09,80.19615999999999,3.2568200000000003,720.9,6477.67,3.8,3.61,71.1,-0.406,15.01,16.56,02a57752o0520c
8,57752.480397,16.608,0.9,826,743,c,0,1.61,80.19615999999999,3.2568200000000003,681.71,6533.04,3.86,3.69,72.3,-0.39,15.07,16.64,02a57752o0529c
9,57756.40478,21.514,1.69,9,15,c,0,0.84,80.19615999999999,3.2568200000000003,2943.52,5203.18,3.74,3.57,62.2,-0.41,19.77,21.78,02a57756o0397c
10,57756.422835000005,21.723000000000003,1.9580000000000002,7,14,c,0,1.03,80.19615999999999,3.2568200000000003,2925.27,5166.15,3.71,3.55,64.4,-0.41600000000000004,19.77,21.78,02a57756o0428c
11,57756.433928,20.774,0.8140000000000001,18,14,c,0,1.0,80.19615999999999,3.2568200000000003,2982.82,5242.81,3.72,3.54,69.9,-0.41100000000000003,19.75,21.75,02a57756o0448c
12,57756.44701,-25.171,48.0,0,15,c,0,0.91,80.19615999999999,3.2568200000000003,3006.14,5125.09,3.77,3.59,69.2,-0.40399999999999997,19.75,21.75,02a57756o0470c
