,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57756.64154,19.839000000000002,0.375,42,16,c,0,0.94,171.40941999999998,7.33356,3267.76,3346.02,3.89,3.65,75.9,-0.39399999999999996,19.7,21.6,02a57756o0817c
1,57756.660466999994,20.674,0.733,20,14,c,0,1.18,171.40941999999998,7.33356,3324.72,3422.57,3.84,3.64,73.6,-0.397,19.66,21.5,02a57756o0850c
2,57756.675461,18.7,0.45899999999999996,120,55,c,0,1.02,171.40941999999998,7.33356,3343.43,3306.57,3.81,3.62,80.1,-0.4,18.33,18.88,02a57756o0877c
3,57764.587939,-18.843,1.3230000000000002,-105,139,o,0,1.03,171.40941999999998,7.33356,8162.1,4197.87,3.61,3.28,-87.1,-0.42100000000000004,17.16,17.44,02a57764o0746o
4,57764.605133000005,-18.423,0.469,-155,73,o,0,1.4,171.40941999999998,7.33356,2315.83,6209.9,3.44,3.33,46.2,-0.483,17.97,18.36,02a57764o0779o
5,57764.619471000005,25.149,133.0,0,42,o,0,1.08,171.40941999999998,7.33356,2374.22,6286.04,3.36,3.25,41.8,-0.493,18.62,19.45,02a57764o0805o
6,57764.63627,-18.597,0.426,-132,56,o,0,1.06,171.40941999999998,7.33356,2392.98,6171.41,3.35,3.26,44.5,-0.48200000000000004,18.08,18.65,02a57764o0834o
7,57764.653183,-19.8,0.721,-44,32,o,0,0.84,171.40941999999998,7.33356,2353.31,6229.06,3.51,3.34,37.7,-0.46299999999999997,18.84,19.88,02a57764o0863o
8,57768.584130999996,20.612,3.2239999999999998,21,67,o,0,0.97,171.40941999999998,7.33356,3171.87,4330.54,3.73,3.59,77.7,-0.42100000000000004,17.99,18.45,02a57768o0734o
9,57768.60366,-21.319000000000003,5.069,-11,55,o,0,1.38,171.40941999999998,7.33356,3154.98,4295.13,3.86,3.71,75.7,-0.401,17.97,18.44,02a57768o0774o
10,57768.625198,-18.543,0.373,-139,52,o,0,1.36,171.40941999999998,7.33356,3212.28,4372.85,3.75,3.64,69.6,-0.41700000000000004,18.05,18.63,02a57768o0818o
11,57768.638284,-18.684,0.418,-122,51,o,0,1.32,171.40941999999998,7.33356,3233.61,4255.18,3.62,3.52,77.6,-0.43200000000000005,18.1,18.64,02a57768o0841o
12,57768.654434000004,-19.373,0.907,-65,59,o,0,1.21,171.40941999999998,7.33356,3194.04,4309.47,3.67,3.62,68.8,-0.425,17.98,18.37,02a57768o0871o
13,57776.612749,22.271,3.077,4,14,c,0,1.39,171.40941999999998,7.33356,1853.54,4151.31,3.97,3.82,77.1,-0.385,19.67,21.63,02a57776o0758c
14,57776.628029,20.82,0.84,17,14,c,0,1.32,171.40941999999998,7.33356,1836.17,4113.01,3.95,3.8,74.4,-0.384,19.65,21.58,02a57776o0789c
15,57776.643380999994,21.129,1.1320000000000001,13,14,c,0,1.16,171.40941999999998,7.33356,1897.02,4188.74,3.89,3.75,76.9,-0.39,19.62,21.52,02a57776o0820c
16,57776.660138,-20.96,1.093,-15,16,c,0,0.94,171.40941999999998,7.33356,1919.59,4072.45,3.94,3.82,76.2,-0.384,19.54,21.4,02a57776o0850c
17,57776.679517,19.01,1.016,90,92,c,0,0.92,171.40941999999998,7.33356,1883.77,4127.33,3.97,3.83,76.2,-0.406,17.86,18.29,02a57776o0886c
18,57780.603185,-21.136,1.2309999999999999,-13,16,c,0,0.77,171.40941999999998,7.33356,1696.89,5681.55,3.89,3.61,59.3,-0.413,19.8,21.79,02a57780o0735c
19,57780.623215,-20.771,0.8109999999999999,-18,14,c,0,1.06,171.40941999999998,7.33356,1679.07,5644.2,3.93,3.67,58.6,-0.41100000000000003,19.77,21.79,02a57780o0770c
20,57780.632301,21.75,2.0,7,14,c,0,1.08,171.40941999999998,7.33356,1737.5,5719.49,3.85,3.63,58.4,-0.41600000000000004,19.77,21.76,02a57780o0789c
21,57780.65390599999,-23.271,9.0,-2,16,c,0,0.75,171.40941999999998,7.33356,1763.57,5601.52,3.99,3.79,60.1,-0.402,19.68,21.7,02a57780o0830c
22,57780.670560000006,20.759,1.392,18,25,c,0,1.2,171.40941999999998,7.33356,1726.07,5658.24,3.93,3.75,64.4,-0.406,18.97,20.3,02a57780o0858c
