,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57757.558340999996,20.275,0.5429999999999999,28,15,c,0,0.93,162.64433,30.425209999999996,4003.51,8776.43,3.63,3.44,7.5,-0.42100000000000004,19.77,21.79,02a57757o0659c
1,57757.570455999994,-20.928,0.9440000000000001,-15,15,c,0,0.99,162.64433,30.425209999999996,4016.08,8818.14,3.51,3.27,-3.7,-0.41700000000000004,19.8,21.8,02a57757o0679c
2,57757.594477,-21.435,1.3869999999999998,-10,13,c,0,0.96,162.64433,30.425209999999996,6557.94,1703.91,3.76,3.58,-85.1,-0.40299999999999997,19.81,21.82,02a57757o0718c
3,57757.601491999994,-20.945999999999998,1.0,-15,15,c,0,0.82,162.64433,30.425209999999996,3930.9,8857.77,3.53,3.4,-32.2,-0.40700000000000003,19.82,21.86,02a57757o0727c
4,57757.61751799999,23.658,10.25,1,13,c,0,1.21,162.64433,30.425209999999996,6539.42,1646.53,3.77,3.59,-85.7,-0.406,19.82,21.84,02a57757o0750c
5,57761.527733,22.048000000000002,3.944,6,22,o,0,1.07,162.64433,30.425209999999996,5461.14,7577.38,3.35,3.18,-42.5,-0.41,19.16,20.53,02a57761o0568o
6,57761.541791999996,19.993,0.589,37,22,o,0,1.03,162.64433,30.425209999999996,5480.2,7618.11,3.28,3.13,-33.3,-0.42100000000000004,19.3,20.78,02a57761o0590o
7,57761.565397000006,-20.794,1.0,-18,18,o,0,1.16,162.64433,30.425209999999996,5432.66,7545.81,3.3,3.15,-25.5,-0.42200000000000004,19.6,21.37,02a57761o0627o
8,57761.576301,-20.791999999999998,0.9309999999999999,-18,16,o,0,1.02,162.64433,30.425209999999996,5413.28,7659.72,3.31,3.17,-33.2,-0.436,19.61,21.42,02a57761o0646o
9,57761.583464999996,-20.671,0.758,-20,15,o,0,1.18,162.64433,30.425209999999996,5445.67,7601.96,3.29,3.15,-32.7,-0.41700000000000004,19.63,21.44,02a57761o0657o
10,57765.462576,21.129,7.975,13,102,o,0,0.75,162.64433,30.425209999999996,10485.64,882.85,3.69,3.09,80.4,-0.475,18.17,18.61,02a57765o0513o
