,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57753.311975,20.781999999999996,2.278,18,40,c,0,1.08,36.846920000000004,25.27563,3833.8,1193.66,4.08,4.04,-35.7,-0.40700000000000003,18.45,20.3,02a57753o0126c
1,57753.330949,-18.598,1.265,-132,167,c,0,0.93,36.846920000000004,25.27563,3888.82,1272.18,3.98,3.94,-45.0,-0.405,16.83,18.54,02a57753o0159c
2,57753.336925999996,-20.358,1.216,-26,32,c,0,0.98,36.846920000000004,25.27563,3908.0,1153.3,3.93,3.89,-16.9,-0.42,18.79,20.62,02a57753o0170c
3,57753.352618,20.859,7.0,16,115,c,0,1.19,36.846920000000004,25.27563,3874.45,1212.34,3.93,3.88,-37.2,-0.424,17.85,19.58,02a57753o0197c
4,57757.307585,-22.706999999999997,5.667000000000001,-3,17,c,0,0.89,36.846920000000004,25.27563,6264.2,1281.22,3.8,3.74,-74.6,-0.409,19.44,21.1,02a57757o0218c
5,57757.318842999994,-22.845,6.375,-3,17,c,0,1.03,36.846920000000004,25.27563,6247.91,1240.67,3.76,3.72,-87.2,-0.409,19.43,21.09,02a57757o0238c
6,57757.322465,-20.734,0.855,-18,16,c,0,1.15,36.846920000000004,25.27563,6300.74,1319.4,3.81,3.75,-85.3,-0.41100000000000003,19.43,21.09,02a57757o0245c
7,57757.33925800001,-20.846999999999998,0.96,-17,16,c,0,1.18,36.846920000000004,25.27563,6339.45,1203.15,3.77,3.71,-86.3,-0.41600000000000004,19.43,21.08,02a57757o0274c
8,57757.346767999996,-20.261,0.635,-28,18,c,0,0.94,36.846920000000004,25.27563,6288.21,1258.91,3.78,3.73,-81.3,-0.414,19.42,21.08,02a57757o0288c
9,57761.294163,20.502,1.652,23,38,o,0,1.16,36.846920000000004,25.27563,4806.33,2496.74,3.65,3.61,-43.8,-0.42200000000000004,18.4,19.2,02a57761o0172o
10,57761.302816999996,-19.127,0.466,-81,38,o,0,1.13,36.846920000000004,25.27563,4789.69,2457.53,3.61,3.51,-76.8,-0.434,18.41,19.17,02a57761o0187o
11,57761.307926,-20.965,2.568,-15,38,o,0,1.13,36.846920000000004,25.27563,4842.76,2535.36,3.6,3.51,-80.1,-0.429,18.42,19.16,02a57761o0197o
12,57761.322048,20.633000000000003,2.267,20,46,o,0,0.89,36.846920000000004,25.27563,4865.86,2421.18,3.61,3.48,-77.3,-0.43200000000000005,18.39,19.12,02a57761o0222o
13,57761.330427,-19.385,0.672,-64,43,o,0,0.99,36.846920000000004,25.27563,4832.35,2476.58,3.61,3.57,-46.0,-0.42200000000000004,18.37,19.1,02a57761o0237o
14,57765.302852999994,-19.953,2.224,-38,84,o,0,1.0,36.846920000000004,25.27563,601.07,9173.36,3.59,3.22,37.4,-0.496,18.39,19.04,02a57765o0220o
15,57765.31425,-18.484,0.536,-147,79,o,0,1.08,36.846920000000004,25.27563,585.3,9133.19,3.57,3.26,39.0,-0.489,18.37,19.03,02a57765o0241o
16,57765.318076999996,21.479,7.607,9,71,o,0,1.36,36.846920000000004,25.27563,10083.44,9215.63,3.73,3.17,88.3,-0.486,18.39,19.03,02a57765o0248o
17,57765.326174,21.855999999999998,12.85,7,84,o,0,1.19,36.846920000000004,25.27563,638.77,9209.08,3.6,3.25,39.7,-0.49,18.36,18.99,02a57765o0263o
18,57765.330173,18.476,0.5670000000000001,148,84,o,0,1.07,36.846920000000004,25.27563,10067.26,9175.26,3.67,3.04,-85.8,-0.485,18.38,18.98,02a57765o0270o
19,57765.339304999994,-19.329,1.3159999999999998,-67,89,o,0,1.14,36.846920000000004,25.27563,659.41,9089.21,3.45,3.13,37.7,-0.499,18.37,18.96,02a57765o0287o
20,57765.344253999996,-20.82,3.346,-17,57,o,0,0.87,36.846920000000004,25.27563,10122.15,9254.42,3.71,3.1,-89.5,-0.506,18.35,18.96,02a57765o0296o
21,57765.353617999994,-19.229,1.307,-74,96,o,0,1.2,36.846920000000004,25.27563,622.69,9147.55,3.56,3.23,40.4,-0.49700000000000005,18.31,18.89,02a57765o0313o
22,57765.359026,-20.328,3.3160000000000003,-27,89,o,0,1.31,36.846920000000004,25.27563,10139.98,9136.58,3.71,3.1,-87.7,-0.485,18.31,18.89,02a57765o0322o
23,57765.373295000005,-20.282,3.655,-28,102,o,0,1.08,36.846920000000004,25.27563,10103.37,9193.38,3.68,2.98,-87.7,-0.504,18.28,18.79,02a57765o0348o
24,57769.274176,-21.355,3.5,-10,36,o,0,1.22,36.846920000000004,25.27563,3507.92,10502.03,3.68,3.04,4.3,-0.442,19.3,20.92,02a57769o0139o
25,57769.279423,-20.195999999999998,0.868,-30,26,o,0,1.0,36.846920000000004,25.27563,3490.65,10462.73,3.66,3.23,10.8,-0.423,19.32,20.95,02a57769o0148o
26,57769.279909000004,-20.25,0.716,-29,21,o,0,0.89,36.846920000000004,25.27563,6482.39,750.51,3.58,3.52,-49.1,-0.47,19.37,20.99,02a57769o0149o
27,57769.286549000004,-20.73,1.078,-18,20,o,0,0.93,36.846920000000004,25.27563,6466.66,710.72,3.64,3.6,-30.5,-0.461,19.34,20.95,02a57769o0159o
28,57769.29652,-20.282,0.8370000000000001,-28,23,o,0,0.81,36.846920000000004,25.27563,3563.82,10425.01,3.59,3.19,10.8,-0.42200000000000004,19.32,20.92,02a57769o0173o
29,57769.297098,-20.598000000000003,0.862,-21,18,o,0,1.15,36.846920000000004,25.27563,6520.38,790.17,3.65,3.61,-36.0,-0.456,19.34,20.96,02a57769o0174o
