,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57762.494613999996,-18.875999999999998,0.324,-102,33,o,0,1.0,161.53063,44.72493,6044.42,1526.27,3.59,3.46,-67.6,-0.442,18.87,19.9,02a57762o0600o
1,57762.51163200001,-19.349,0.406,-66,27,o,0,1.3,161.53063,44.72493,6075.25,1567.32,3.59,3.43,-66.6,-0.447,18.91,19.99,02a57762o0632o
2,57762.522261,-19.02,0.28600000000000003,-90,26,o,0,1.37,161.53063,44.72493,6021.13,1492.53,3.6,3.49,-68.3,-0.441,18.93,20.05,02a57762o0652o
3,57762.534336000004,-19.024,0.312,-89,28,o,0,1.1,161.53063,44.72493,5991.67,1611.58,3.61,3.5,-69.2,-0.444,18.95,20.08,02a57762o0674o
4,57762.546851,-20.329,0.9620000000000001,-27,26,o,0,1.36,161.53063,44.72493,6035.07,1553.75,3.58,3.45,-71.5,-0.449,18.99,20.15,02a57762o0696o
5,57765.464596000005,19.206,0.643,75,48,o,0,1.6,161.53063,44.72493,8991.54,2307.45,3.62,3.16,86.1,-0.47700000000000004,18.19,18.64,02a57765o0517o
6,57765.47629400001,19.674,1.054,49,52,o,0,1.17,161.53063,44.72493,9007.63,2348.52,3.7,3.28,87.1,-0.483,18.19,18.68,02a57765o0538o
7,57765.476788,19.392,0.9440000000000001,64,60,o,0,0.92,161.53063,44.72493,8952.48,2272.43,3.71,3.23,87.3,-0.456,18.19,18.68,02a57765o0539o
8,57765.502385,-20.682,2.41,-19,47,o,0,1.1,161.53063,44.72493,8938.19,2391.19,3.64,3.17,88.4,-0.475,18.3,18.82,02a57765o0583o
9,57765.522897,22.033,8.647,6,48,o,0,1.22,161.53063,44.72493,8967.89,2333.63,3.7,3.25,87.2,-0.46299999999999997,18.29,18.84,02a57765o0615o
10,57766.506195,-18.28,0.28,-177,50,o,0,1.06,161.53063,44.72493,8265.95,1418.9,3.53,3.35,81.5,-0.495,18.34,18.97,02a57766o0571o
11,57766.515115999995,-19.419,0.8009999999999999,-62,50,o,0,1.19,161.53063,44.72493,8298.16,1458.24,3.57,3.34,84.6,-0.501,18.37,18.97,02a57766o0587o
12,57766.522368,-18.539,0.375,-139,52,o,0,0.94,161.53063,44.72493,8241.03,1380.36,3.59,3.33,83.8,-0.493,18.34,18.98,02a57766o0601o
13,57766.539576999996,-18.159000000000002,0.255,-198,50,o,0,1.03,161.53063,44.72493,8216.82,1502.46,3.54,3.29,82.5,-0.479,18.36,18.97,02a57766o0634o
14,57766.55287000001,-20.065,1.389,-34,48,o,0,1.29,161.53063,44.72493,8261.06,1443.43,3.52,3.25,81.6,-0.486,18.37,18.99,02a57766o0657o
15,57774.47895,-20.328,0.636,-27,17,o,0,1.73,161.53063,44.72493,7901.96,2363.09,3.75,3.47,-89.5,-0.42700000000000005,19.51,21.33,02a57774o0568o
16,57774.50880599999,-18.783,0.146,-111,16,o,0,1.84,161.53063,44.72493,7928.46,2408.19,3.64,3.37,89.1,-0.434,19.49,21.2,02a57774o0624o
17,57774.515063,-20.644000000000002,0.915,-20,18,o,0,1.54,161.53063,44.72493,7874.91,2332.91,3.67,3.42,89.3,-0.43,19.47,21.16,02a57774o0636o
18,57774.525157000004,-19.869,0.41,-41,17,o,0,2.04,161.53063,44.72493,7852.59,2449.0,3.6,3.33,89.1,-0.43799999999999994,19.46,21.11,02a57774o0655o
19,57774.537285000006,-19.275,0.235,-71,17,o,0,1.88,161.53063,44.72493,7893.25,2389.24,3.59,3.33,88.5,-0.439,19.43,21.05,02a57774o0680o
20,57778.490066,-19.058,0.15,-86,13,c,0,1.69,161.53063,44.72493,386.05,9212.22,3.96,3.82,38.7,-0.415,19.79,21.85,02a57778o0419c
21,57778.49942000001,-19.629,0.278,-51,14,c,0,1.55,161.53063,44.72493,398.18,9253.52,3.97,3.83,19.7,-0.409,19.78,21.83,02a57778o0436c
22,57778.50085599999,-19.316,0.389,-68,26,c,0,1.34,161.53063,44.72493,10510.47,9114.38,4.33,3.64,85.1,-0.40399999999999997,19.75,21.81,02a57778o0439c
23,57778.521769000006,-18.488,0.10400000000000001,-146,15,c,0,1.18,161.53063,44.72493,342.9,9171.5,3.93,3.8,27.9,-0.415,19.81,21.88,02a57778o0479c
24,57778.524475,-19.142,0.242,-80,19,c,0,2.03,161.53063,44.72493,10500.25,9236.62,4.24,3.62,82.2,-0.395,19.79,21.85,02a57778o0484c
25,57778.537716,-18.688,0.121,-122,15,c,0,1.35,161.53063,44.72493,317.17,9288.0,3.98,3.77,21.4,-0.425,19.82,21.88,02a57778o0508c
26,57778.545105,-20.22,0.529,-30,16,c,0,1.32,161.53063,44.72493,358.79,9232.79,3.99,3.78,19.0,-0.41200000000000003,19.84,21.93,02a57778o0523c
