,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57776.494335,-19.177,0.882,-78,68,c,0,1.46,125.99438,-6.89841,1062.45,5559.82,4.04,3.81,61.9,-0.40399999999999997,17.94,19.81,02a57776o0544c
1,57776.527689999995,-20.025,0.42,-36,15,c,0,1.24,125.99438,-6.89841,1107.54,5597.41,3.94,3.73,62.6,-0.41200000000000003,19.74,21.82,02a57776o0605c
2,57776.544393,21.254,1.4380000000000002,11,16,c,0,1.07,125.99438,-6.89841,1128.95,5479.0,3.93,3.75,69.4,-0.40700000000000003,19.7,21.76,02a57776o0634c
3,57776.561813,20.347,0.6,26,16,c,0,1.37,125.99438,-6.89841,1091.71,5535.38,3.97,3.79,69.0,-0.40700000000000003,19.6,21.64,02a57776o0663c
4,57780.485310000004,20.46,0.667,24,16,c,0,1.1,125.99438,-6.89841,900.9,7090.05,3.86,3.59,41.7,-0.451,19.72,21.73,02a57780o0522c
5,57780.501297,-21.099,1.128,-13,15,c,0,1.25,125.99438,-6.89841,884.27,7050.99,3.83,3.53,45.9,-0.456,19.74,21.74,02a57780o0551c
6,57780.518502,20.910999999999998,0.9570000000000001,16,15,c,0,1.25,125.99438,-6.89841,946.28,7126.78,3.78,3.48,45.8,-0.45799999999999996,19.74,21.72,02a57780o0582c
7,57780.536389,21.933000000000003,2.765,6,17,c,0,1.06,125.99438,-6.89841,970.02,7008.47,3.92,3.65,45.8,-0.442,19.66,21.67,02a57780o0614c
8,57780.553041,-21.872,2.444,-6,16,c,0,1.42,125.99438,-6.89841,930.81,7066.08,3.89,3.61,43.3,-0.44299999999999995,19.65,21.66,02a57780o0644c
9,57784.47094,20.278,0.47600000000000003,28,13,c,0,1.33,125.99438,-6.89841,2633.61,5276.44,3.92,3.76,65.7,-0.38299999999999995,19.75,21.9,02a57784o0313c
10,57784.487829,21.044,1.05,14,15,c,0,1.21,125.99438,-6.89841,2615.18,5237.15,3.93,3.78,73.1,-0.379,19.76,21.93,02a57784o0343c
11,57784.520878999996,22.752,4.875,3,14,c,0,1.55,125.99438,-6.89841,2697.65,5196.55,3.93,3.83,74.8,-0.379,19.7,21.88,02a57784o0403c
12,57784.53831799999,23.066,7.332999999999999,2,16,c,0,0.96,125.99438,-6.89841,2662.51,5252.44,3.88,3.78,78.9,-0.381,19.66,21.79,02a57784o0432c
13,57788.457638,20.711,1.089,19,20,o,0,1.42,125.99438,-6.89841,9754.83,7980.96,3.84,3.12,88.2,-0.466,19.29,20.81,02a57788o0480o
14,57788.479475,-21.053,1.537,-14,21,o,0,1.31,125.99438,-6.89841,9738.2,7940.74,3.8,3.08,89.0,-0.467,19.32,20.87,02a57788o0519o
15,57788.49307999999,-21.423000000000002,2.0,-10,20,o,0,1.52,125.99438,-6.89841,9798.39,8017.41,3.81,3.07,88.6,-0.47100000000000003,19.35,20.93,02a57788o0542o
16,57788.509473000006,-22.781,7.5,-3,21,o,0,1.28,125.99438,-6.89841,9819.01,7899.67,3.84,3.21,87.9,-0.465,19.35,20.98,02a57788o0573o
17,57788.530057,24.178,27.5,1,21,o,0,1.62,125.99438,-6.89841,9783.57,7957.67,3.96,3.48,85.7,-0.45799999999999996,19.29,20.94,02a57788o0613o
