,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57789.666668,-19.235,0.35200000000000004,-73,26,o,0,1.28,258.60116,20.31401,5004.7,1302.71,3.61,3.47,-67.4,-0.45399999999999996,19.07,20.38,02a57789o0773o
1,57793.62781799999,-19.789,1.081,-44,48,o,0,1.23,258.60116,20.31401,2480.69,9184.37,3.49,3.27,21.0,-0.456,18.59,19.49,02a57793o0698o
2,57793.639584000004,20.364,1.524,26,40,o,0,1.42,258.60116,20.31401,2499.76,9225.1,3.4,3.17,15.0,-0.46299999999999997,18.69,19.66,02a57793o0719o
3,57793.65216900001,-18.857,0.307,-104,32,o,0,1.42,258.60116,20.31401,2447.16,9148.03,3.46,3.22,15.5,-0.45399999999999996,18.83,19.95,02a57793o0741o
4,57793.666794000004,-18.442,0.213,-152,32,o,0,1.2,258.60116,20.31401,2426.06,9265.66,3.43,3.16,10.6,-0.46399999999999997,18.84,19.98,02a57793o0763o
5,57833.629473,16.715,0.032,748,24,c,0,1.08,258.60116,20.31401,6369.64,1326.91,3.91,3.78,-89.5,-0.401,18.75,20.31,02a57833o0708c
6,57833.646785000004,16.652,0.036000000000000004,793,28,c,0,1.5,258.60116,20.31401,6391.48,1365.38,3.73,3.63,-84.7,-0.409,18.55,19.78,02a57833o0734c
7,57841.60755,16.995,0.038,578,22,c,0,1.56,258.60116,20.31401,2808.15,8571.7,3.61,3.4,3.9,-0.43200000000000005,19.05,20.96,02a57841o0682c
8,57841.625838,17.086,0.036000000000000004,531,19,c,0,1.65,258.60116,20.31401,7653.71,1837.36,3.95,3.76,87.7,-0.389,19.02,20.98,02a57841o0709c
9,57841.64330900001,17.195999999999998,0.053,480,26,c,0,1.6,258.60116,20.31401,7724.64,1918.96,3.84,3.74,-85.6,-0.39299999999999996,18.53,19.85,02a57841o0736c
10,57853.511342,16.699,0.387,759,294,o,0,1.89,258.60116,20.31401,7795.59,152.17,3.62,3.46,87.9,-0.436,16.3,16.19,02a57853o0579o
11,57853.51758200001,17.005,1.51,573,865,o,0,0.8,258.60116,20.31401,7811.31,188.47,3.49,3.42,5.0,-0.43700000000000006,14.65,14.08,02a57853o0590o
12,57853.518557,-16.995,0.941,-578,544,o,0,0.78,258.60116,20.31401,3484.49,9857.06,3.38,3.07,4.1,-0.505,15.59,15.41,02a57853o0592o
13,57853.530475,16.224,0.45899999999999996,1176,540,o,0,0.87,258.60116,20.31401,3501.49,9899.74,3.27,2.84,-6.7,-0.58,16.08,16.07,02a57853o0616o
14,57853.539764999994,16.56,0.259,863,223,o,0,0.84,258.60116,20.31401,7754.8,116.59,3.65,3.46,86.4,-0.466,16.48,17.04,02a57853o0632o
15,57853.541222,17.209,0.161,475,77,o,0,1.32,258.60116,20.31401,3425.27,9821.22,3.2,2.8,-9.6,-0.502,17.19,17.56,02a57853o0635o
16,57853.550798000004,17.352,0.22899999999999998,416,95,o,0,1.04,258.60116,20.31401,7737.1,236.88,3.61,3.43,-85.7,-0.445,17.01,17.21,02a57853o0652o
17,57853.553981,17.782,0.24,280,67,o,0,1.3,258.60116,20.31401,3405.49,9940.71,3.23,2.75,-8.8,-0.498,17.27,17.63,02a57853o0657o
18,57853.56529299999,15.581,0.457,2126,971,o,0,0.79,258.60116,20.31401,7770.57,184.78,3.67,3.37,-81.0,-0.435,15.09,14.71,02a57853o0676o
19,57853.56821799999,16.098,0.747,1320,986,o,0,0.96,258.60116,20.31401,3438.65,9889.13,3.52,3.16,7.9,-0.46299999999999997,15.14,14.73,02a57853o0681o
20,57877.52600499999,18.547,0.08800000000000001,138,12,o,0,2.03,258.60116,20.31401,1766.16,9347.69,2.57,2.32,7.9,-0.419,19.69,20.97,02a57877o0374o
21,57877.540616,17.729,0.055999999999999994,294,16,o,0,2.3,258.60116,20.31401,8712.23,1064.86,3.39,2.11,23.8,-0.467,19.54,20.94,02a57877o0398o
22,57877.566199,18.118,0.08199999999999999,205,17,o,0,1.92,258.60116,20.31401,8766.5,1145.32,2.97,2.01,27.5,-0.522,19.6,20.86,02a57877o0440o
23,57877.583589999995,18.326,0.095,170,16,o,0,2.29,258.60116,20.31401,8781.0,1026.57,2.98,2.04,29.5,-0.545,19.57,20.83,02a57877o0465o
24,57877.603901999995,18.372,0.124,163,20,o,0,1.86,258.60116,20.31401,8751.92,1088.7,2.69,2.08,26.5,-0.52,19.52,20.87,02a57877o0492o
25,57879.601112000004,18.617,0.10099999999999999,130,13,o,0,1.76,258.60116,20.31401,2759.26,9174.49,3.08,2.93,-84.7,-0.446,19.38,20.91,01a57879o0285o
26,57879.61868099999,18.512999999999998,0.127,143,18,o,0,1.71,258.60116,20.31401,2776.05,9213.22,3.04,2.85,-86.8,-0.44799999999999995,19.13,20.3,01a57879o0315o
27,57880.593303999995,18.375,0.11699999999999999,162,19,o,0,1.25,258.60116,20.31401,5520.05,1170.45,3.4,3.24,-70.7,-0.43,19.31,20.83,01a57880o0697o
28,57880.61031900001,18.442999999999998,0.11800000000000001,152,18,o,0,1.31,258.60116,20.31401,5540.51,1208.98,4.1,3.79,-60.7,-0.449,19.1,20.73,01a57880o0728o
29,57880.62812,18.666,0.49,124,61,o,0,1.61,258.60116,20.31401,5485.0,1132.19,3.47,3.26,-53.7,-0.456,17.62,17.86,01a57880o0759o
30,57882.487589,18.362000000000002,0.17600000000000002,164,29,o,0,1.76,258.60116,20.31401,5826.99,8903.37,3.27,3.18,79.9,-0.413,18.62,19.52,01a57882o0390o
31,57882.499912,18.362000000000002,0.209,164,34,o,0,1.37,258.60116,20.31401,5880.87,8975.89,3.11,2.9,75.3,-0.434,18.69,19.47,01a57882o0414o
32,57882.512220000004,18.441,0.201,153,31,o,0,1.47,258.60116,20.31401,5896.65,8857.5,3.12,2.88,76.9,-0.439,18.68,19.47,01a57882o0437o
33,57883.600679999996,18.432000000000002,0.17,154,26,o,0,1.41,258.60116,20.31401,5226.03,399.94,3.32,3.02,82.8,-0.426,18.52,19.1,01a57883o0376o
34,57883.604552,18.948,0.324,96,31,o,0,1.21,258.60116,20.31401,907.59,10131.34,3.65,2.73,-47.2,-0.505,18.59,19.27,01a57883o0383o
35,57883.61745599999,18.612000000000002,0.261,130,34,o,0,0.98,258.60116,20.31401,5263.26,503.14,3.3,2.97,81.1,-0.429,18.48,18.95,01a57883o0406o
36,57883.621384000005,18.53,0.32,141,45,o,0,1.14,258.60116,20.31401,943.38,10234.6,3.67,2.75,-46.3,-0.513,18.32,18.81,01a57883o0413o
37,57884.571189,18.375999999999998,0.204,162,33,o,0,1.09,258.60116,20.31401,9548.74,9425.6,3.31,3.17,54.4,-0.465,18.52,19.24,01a57884o0476o
38,57884.587677999996,17.930999999999997,0.125,244,31,o,0,1.49,258.60116,20.31401,9583.5,9530.52,3.26,3.11,54.5,-0.429,18.49,19.2,01a57884o0507o
