,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57852.623358000004,17.386,0.079,403,32,o,0,0.94,271.68287999999995,6.83875,5846.71,6417.82,3.25,3.07,-39.7,-0.43200000000000005,18.28,19.2,02a57852o0762o
1,57852.639272,17.221,0.098,469,46,o,0,0.91,271.68287999999995,6.83875,5862.57,6463.86,3.2,2.95,-28.9,-0.449,17.88,18.35,02a57852o0790o
2,57856.622316999994,17.51,0.13,360,47,o,0,1.11,271.68287999999995,6.83875,5722.06,2302.06,3.66,3.59,88.0,-0.439,17.72,18.3,02a57856o0078o
3,57856.64085,18.079,0.579,213,123,o,0,1.01,271.68287999999995,6.83875,5703.39,2265.41,3.64,3.51,83.1,-0.457,16.82,16.66,02a57856o0110o
4,57876.599732,18.54,0.083,139,12,o,0,1.0,271.68287999999995,6.83875,5698.79,5697.82,2.05,1.88,27.4,-0.527,19.5,20.69,02a57876o0598o
5,57876.613080999996,18.524,0.08199999999999999,141,12,o,0,0.72,271.68287999999995,6.83875,5677.87,5655.84,2.05,1.87,27.2,-0.524,19.55,20.68,02a57876o0623o
6,57876.631558,17.912,0.231,248,58,o,0,1.05,271.68287999999995,6.83875,5735.89,5735.45,2.09,1.92,41.4,-0.5529999999999999,17.85,17.77,02a57876o0656o
7,57881.584498000004,18.799,0.195,110,21,o,0,0.94,271.68287999999995,6.83875,4124.33,6342.09,3.05,2.94,-72.2,-0.457,18.85,19.9,01a57881o0705o
8,57881.597713999996,18.977,0.19899999999999998,93,19,o,0,1.18,271.68287999999995,6.83875,4064.0,6264.39,3.22,3.07,-67.1,-0.444,18.91,20.02,01a57881o0731o
9,57881.611962,19.016,0.19,90,17,o,0,0.94,271.68287999999995,6.83875,4049.71,6380.35,3.11,2.94,-62.8,-0.44799999999999995,19.08,20.37,01a57881o0757o
10,57882.524825,18.746,0.217,115,25,o,0,1.04,271.68287999999995,6.83875,6035.08,2170.26,3.14,3.1,71.9,-0.48100000000000004,18.68,19.57,01a57882o0461o
11,57882.53745900001,18.871,0.262,103,27,o,0,0.81,271.68287999999995,6.83875,6012.7,2128.29,3.23,3.18,-10.2,-0.47200000000000003,18.75,19.62,01a57882o0485o
12,57882.551612,18.507,0.159,144,23,o,0,1.13,271.68287999999995,6.83875,6068.52,2201.21,3.13,3.07,69.8,-0.488,18.74,19.63,01a57882o0512o
13,57882.566103,18.788,0.223,111,25,o,0,0.93,271.68287999999995,6.83875,6081.84,2079.22,3.28,3.13,64.9,-0.473,18.68,19.59,01a57882o0539o
14,57883.48136900001,18.964000000000002,0.309,94,29,o,0,0.74,271.68287999999995,6.83875,4716.47,6529.4,2.27,2.17,52.5,-0.527,18.6,19.1,02a57883o0481o
15,57883.498236,18.975,0.249,93,23,o,0,1.07,271.68287999999995,6.83875,4736.75,6570.0,2.2,2.17,57.5,-0.524,18.65,19.15,02a57883o0511o
