,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57863.535325,12.718,0.002,29716,71,c,0,29.55,218.14342000000002,-44.13409,7625.12,3638.01,3.88,3.67,81.9,-0.39,18.29,19.58,02a57863o0574c
1,57863.548949,12.7,0.002,30202,75,c,0,17.32,218.14342000000002,-44.13409,7598.96,3598.64,3.92,3.73,83.9,-0.389,18.21,19.46,02a57863o0600c
2,57922.357232,14.742,0.033,4606,151,o,0,1.26,218.14342000000002,-44.13409,2272.05,9090.75,3.15,2.93,-20.5,-0.439,16.81,18.17,01a57922o0237o
3,57922.36606,14.732999999999999,0.011000000000000001,4643,52,o,0,2.47,218.14342000000002,-44.13409,2287.09,9164.57,3.14,2.93,-38.0,-0.44799999999999995,18.15,19.5,01a57922o0255o
4,57922.37439,14.737,0.009000000000000001,4625,44,o,0,1.77,218.14342000000002,-44.13409,2230.43,9122.13,3.09,2.84,-55.3,-0.46299999999999997,18.42,19.75,01a57922o0272o
5,57922.383252,13.392999999999999,1.043,15953,16633,o,0,0.94,218.14342000000002,-44.13409,2214.7,9273.69,3.08,2.83,-71.1,-0.37,13.36,14.83,01a57922o0290o
6,57923.338987,14.732999999999999,0.07200000000000001,4643,334,o,0,1.27,218.14342000000002,-44.13409,746.09,1807.99,2.35,2.03,34.2,-0.573,17.19,18.65,02a57923o0185o
7,57923.347904999995,14.65,0.034,5010,170,o,0,1.72,218.14342000000002,-44.13409,719.64,1766.03,2.48,2.14,36.8,-0.525,17.38,18.92,02a57923o0203o
8,57923.350875,14.73,0.102,4656,476,o,0,1.55,218.14342000000002,-44.13409,10272.7,1793.89,2.72,2.34,75.6,-0.5,16.2,17.66,02a57923o0209o
9,57923.356311,14.447000000000001,0.107,6044,649,o,0,2.36,218.14342000000002,-44.13409,792.77,1845.52,2.48,2.14,39.8,-0.484,15.18,16.72,02a57923o0220o
10,57923.35980700001,14.899000000000001,0.322,3984,1282,o,0,1.06,218.14342000000002,-44.13409,10260.78,1754.76,2.96,2.45,69.4,-0.474,15.08,16.61,02a57923o0227o
11,57923.365264,13.995,0.6629999999999999,9160,6077,o,0,1.25,218.14342000000002,-44.13409,807.77,1728.37,2.44,2.13,40.2,-0.613,14.26,15.91,02a57923o0238o
