,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57841.544183000005,17.339000000000002,0.045,421,19,c,0,1.64,230.29804,25.77826,817.93,7813.72,3.79,3.54,34.9,-0.456,19.05,20.96,02a57841o0580c
1,57841.556139,17.413,0.047,393,18,c,0,0.87,230.29804,25.77826,9667.27,2593.64,4.01,3.75,87.5,-0.397,19.02,20.96,02a57841o0600c
2,57841.580729999994,17.516,0.054000000000000006,358,19,c,0,1.2,230.29804,25.77826,9717.89,2675.63,3.96,3.63,87.9,-0.413,19.04,20.99,02a57841o0641c
3,57841.597842999996,17.416,0.05,392,20,c,0,1.05,230.29804,25.77826,9734.51,2557.77,4.04,3.98,73.0,-0.39799999999999996,18.98,20.98,02a57841o0668c
4,57841.616432,17.281,0.044000000000000004,444,20,c,0,1.09,230.29804,25.77826,9705.3,2618.55,3.9,3.55,86.5,-0.41700000000000004,19.03,20.95,02a57841o0695c
5,57843.621822,18.335,0.16,168,27,o,0,1.4,230.29804,25.77826,1456.25,9009.46,4.3,4.09,61.7,-0.446,19.11,21.07,01a57843o0720o
6,57843.638527999996,18.048,0.16899999999999998,219,37,o,0,1.16,230.29804,25.77826,1473.87,9046.45,4.74,4.38,72.3,-0.426,18.79,20.57,01a57843o0749o
7,57844.612264999996,18.453,0.192,151,29,o,0,1.09,230.29804,25.77826,1495.34,7861.19,4.63,4.27,86.8,-0.413,19.09,21.16,01a57844o0687o
8,57844.629055,18.201,0.16,190,30,o,0,1.06,230.29804,25.77826,1513.92,7897.78,4.67,4.34,85.2,-0.41600000000000004,19.04,21.08,01a57844o0716o
9,57844.645292999994,-21.121,9.286,-13,120,o,0,1.21,230.29804,25.77826,1444.17,7818.91,4.78,4.43,-87.7,-0.39899999999999997,17.82,18.64,01a57844o0745o
10,57847.60208,18.334,0.147,168,25,o,0,1.28,230.29804,25.77826,1763.94,6927.73,3.97,3.57,-85.7,-0.467,19.09,21.08,01a57847o0688o
11,57847.618425,18.506,0.191,144,27,o,0,1.19,230.29804,25.77826,1782.14,6963.87,3.95,3.64,-87.4,-0.465,19.07,21.0,01a57847o0717o
12,57847.634012,18.499000000000002,0.21100000000000002,145,30,o,0,1.09,230.29804,25.77826,1728.66,6885.8,3.91,3.59,-89.1,-0.46799999999999997,18.9,20.62,01a57847o0746o
13,57848.561438,18.494,0.152,145,22,o,0,1.23,230.29804,25.77826,8696.05,7701.15,3.3,3.26,12.5,-0.498,19.18,21.09,01a57848o0606o
14,57848.576607,17.877,0.096,256,24,o,0,1.07,230.29804,25.77826,8717.77,7742.95,3.38,3.31,-11.0,-0.493,19.15,21.08,01a57848o0636o
15,57848.586141,18.187,0.125,193,24,o,0,1.05,230.29804,25.77826,8665.64,7666.58,3.34,3.29,25.0,-0.493,19.15,21.06,01a57848o0653o
16,57848.603255999995,18.179000000000002,0.138,194,27,o,0,0.89,230.29804,25.77826,8649.63,7784.88,3.37,3.25,-6.5,-0.499,19.12,21.01,01a57848o0687o
17,57853.462821,17.643,0.531,318,169,o,0,1.78,230.29804,25.77826,1476.49,9089.72,3.38,3.11,19.8,-0.47,16.5,16.2,02a57853o0491o
18,57853.479666,17.831,1.742,268,466,o,0,1.02,230.29804,25.77826,1489.75,9128.95,3.34,3.08,11.7,-0.47700000000000004,15.94,15.5,02a57853o0519o
19,57853.484772,18.183,1.984,194,384,o,0,0.97,230.29804,25.77826,1440.03,9050.95,3.4,3.1,12.1,-0.495,16.37,16.04,02a57853o0529o
20,57853.514687,-18.923,3.275,-98,321,o,0,1.01,230.29804,25.77826,1456.72,9112.48,3.37,3.07,14.3,-0.562,16.16,15.74,02a57853o0585o
