,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57779.438475999996,20.524,0.7,22,16,c,0,0.98,124.01125,-16.34871,3072.95,8788.22,3.65,3.35,10.1,-0.429,19.74,21.77,02a57779o0431c
1,57779.45415800001,-24.381999999999998,23.0,-1,15,c,0,1.24,124.01125,-16.34871,3056.24,8750.33,3.67,3.39,14.0,-0.431,19.73,21.77,02a57779o0461c
2,57779.470388,-19.835,0.387,-42,16,c,0,1.21,124.01125,-16.34871,3130.14,8830.37,3.93,3.35,8.5,-0.42200000000000004,19.67,21.74,02a57779o0492c
3,57779.486075,21.281999999999996,1.515,11,17,c,0,0.82,124.01125,-16.34871,3150.7,8711.93,3.86,3.38,6.5,-0.426,19.67,21.72,02a57779o0522c
4,57779.500597000006,-20.433,0.778,-24,19,c,0,0.87,124.01125,-16.34871,3097.54,8770.07,4.44,3.41,5.4,-0.41700000000000004,19.56,21.67,02a57779o0550c
5,57783.434663,-21.182,1.278,-12,16,c,0,0.99,124.01125,-16.34871,2148.53,6951.77,3.85,3.77,78.5,-0.406,19.63,21.66,02a57783o0418c
6,57783.45095499999,-21.818,2.15,-7,15,c,0,1.22,124.01125,-16.34871,2132.65,6913.47,3.84,3.77,77.6,-0.406,19.63,21.65,02a57783o0448c
7,57783.466735,21.307,1.455,11,16,c,0,0.96,124.01125,-16.34871,2189.68,6992.09,3.77,3.7,70.3,-0.41,19.64,21.64,02a57783o0478c
8,57783.481985000006,22.355,3.833,4,16,c,0,0.82,124.01125,-16.34871,2210.26,6874.84,3.84,3.82,75.5,-0.39799999999999996,19.61,21.65,02a57783o0507c
9,57783.496660000004,24.258000000000003,22.5,1,16,c,0,1.09,124.01125,-16.34871,2175.04,6932.21,3.92,3.85,-3.3,-0.39799999999999996,19.58,21.65,02a57783o0535c
10,57787.405297000005,22.198,3.4619999999999997,5,17,c,0,1.09,124.01125,-16.34871,1319.46,5740.19,4.06,3.9,57.3,-0.409,19.48,21.4,02a57787o0357c
