,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57829.618834,18.104,0.11800000000000001,208,25,o,0,1.31,256.02887999999996,25.05284,6540.75,1560.52,3.62,3.43,-74.4,-0.449,18.38,19.35,02a57829o0703o
1,57829.638064,18.151,0.132,199,26,o,0,1.14,256.02887999999996,25.05284,6574.32,1601.37,3.58,3.42,-79.2,-0.449,18.37,19.35,02a57829o0730o
2,57829.65701,19.035999999999998,0.669,88,59,o,0,1.46,256.02887999999996,25.05284,6505.02,1529.07,3.61,3.37,-80.4,-0.449,17.42,17.38,02a57829o0756o
3,57833.625089,17.627,0.069,323,22,c,0,0.92,256.02887999999996,25.05284,7012.2,1814.93,3.93,3.76,86.7,-0.392,18.77,20.38,02a57833o0703c
4,57833.643417,17.500999999999998,0.057999999999999996,363,21,c,0,1.22,256.02887999999996,25.05284,7032.28,1856.92,3.76,3.61,-85.0,-0.40399999999999997,18.72,20.15,02a57833o0729c
5,57841.59699500001,17.65,0.062,316,20,c,0,1.25,256.02887999999996,25.05284,6577.66,9186.32,3.59,3.48,-35.2,-0.45799999999999996,19.05,21.0,02a57841o0667c
6,57841.615903,17.558,0.051,344,18,c,0,1.17,256.02887999999996,25.05284,3903.48,1222.78,3.87,3.78,87.3,-0.406,19.05,20.98,02a57841o0694c
7,57841.633548000005,17.465,0.047,375,18,c,0,1.23,256.02887999999996,25.05284,3971.7,1307.16,3.88,3.82,88.7,-0.4,19.02,20.94,02a57841o0721c
8,57841.650799,17.662,0.33899999999999997,313,106,c,0,1.31,256.02887999999996,25.05284,3985.56,1186.42,4.42,3.84,-3.9,-0.429,17.45,17.93,02a57841o0748c
9,57853.508451999995,-17.427,1.4409999999999998,-388,560,o,0,0.8,256.02887999999996,25.05284,7241.7,10470.71,3.3,3.04,-28.7,-0.48,16.07,15.77,02a57853o0573o
10,57853.509897,-17.274,2.136,-447,955,o,0,0.97,256.02887999999996,25.05284,8425.7,632.75,10.88,5.39,-85.6,-0.205,15.36,14.67,02a57853o0576o
11,57853.519041,18.399,0.914,159,145,o,0,1.1,256.02887999999996,25.05284,8440.31,670.66,3.6,3.41,89.2,-0.45299999999999996,16.41,16.24,02a57853o0593o
12,57853.520976,16.533,0.609,885,539,o,0,1.09,256.02887999999996,25.05284,7274.64,10510.71,3.28,2.96,-24.6,-0.552,16.27,16.19,02a57853o0597o
13,57853.527094000005,17.793,0.505,277,140,o,0,0.99,256.02887999999996,25.05284,7203.35,10433.73,3.24,2.98,-31.4,-0.489,16.66,16.69,02a57853o0609o
14,57853.529991999996,-16.51,1.1440000000000001,-904,1034,o,0,0.54,256.02887999999996,25.05284,8369.69,597.53,3.44,3.11,-67.8,-0.451,15.58,15.48,02a57853o0615o
15,57853.542189,18.587,0.39799999999999996,133,53,o,0,0.85,256.02887999999996,25.05284,8349.55,717.21,3.55,3.35,87.3,-0.46399999999999997,17.81,18.25,02a57853o0637o
16,57853.556341999996,-15.652999999999999,0.667,-1990,1326,o,0,1.05,256.02887999999996,25.05284,8403.56,661.36,3.8,3.52,-86.8,-0.424,14.82,14.23,02a57853o0661o
17,57853.559118,-17.21,1.4380000000000002,-474,682,o,0,0.96,256.02887999999996,25.05284,7215.94,10498.09,3.2,2.84,-21.9,-0.521,16.81,16.95,02a57853o0666o
18,57877.522591999994,18.643,0.115,127,14,o,0,1.07,256.02887999999996,25.05284,3734.19,10298.19,2.85,2.35,0.6,-0.395,19.59,20.96,02a57877o0368o
19,57877.523113,18.725,0.105,118,12,o,0,1.9,256.02887999999996,25.05284,4972.16,464.31,2.98,2.13,14.6,-0.491,19.55,20.98,02a57877o0369o
20,57877.532942,18.588,0.09300000000000001,133,12,o,0,1.27,256.02887999999996,25.05284,3714.24,10256.16,2.98,2.5,-2.6,-0.38299999999999995,19.5,20.92,02a57877o0385o
21,57877.537622,18.655,0.114,125,14,o,0,1.36,256.02887999999996,25.05284,4952.67,424.34,3.78,2.17,6.5,-0.444,19.42,20.94,02a57877o0393o
22,57877.55474400001,18.78,0.126,112,14,o,0,1.1,256.02887999999996,25.05284,3763.21,10335.79,2.76,2.48,-3.3,-0.38799999999999996,19.62,20.89,02a57877o0422o
23,57877.558121,18.977999999999998,0.129,93,12,o,0,1.81,256.02887999999996,25.05284,5004.44,501.56,2.71,2.16,14.9,-0.526,19.54,20.87,02a57877o0426o
24,57877.566740999995,18.779,0.10400000000000001,112,12,o,0,1.09,256.02887999999996,25.05284,3782.22,10220.69,2.67,2.34,-2.6,-0.395,19.6,20.86,02a57877o0441o
25,57877.5732,18.644000000000002,0.12,127,15,o,0,1.1,256.02887999999996,25.05284,5016.9,383.22,2.65,2.03,23.0,-0.55,19.58,20.86,02a57877o0451o
26,57877.588973000005,18.635,0.08800000000000001,128,11,o,0,1.56,256.02887999999996,25.05284,3749.53,10279.75,2.66,2.42,3.6,-0.401,19.56,20.89,02a57877o0472o
27,57877.592375,18.62,0.109,129,14,o,0,1.06,256.02887999999996,25.05284,4989.38,448.75,2.56,2.05,17.3,-0.552,19.57,20.78,02a57877o0477o
28,57879.594564,19.058,0.155,86,13,o,0,1.15,256.02887999999996,25.05284,6529.7,9723.94,3.46,3.16,80.9,-0.433,19.36,20.94,01a57879o0273o
29,57879.612195,18.842,0.12,105,13,o,0,1.45,256.02887999999996,25.05284,6544.54,9761.13,3.29,3.1,83.4,-0.445,19.32,20.79,01a57879o0303o
30,57879.629009000004,17.717,0.24100000000000002,297,72,o,0,1.08,256.02887999999996,25.05284,6471.82,9686.11,3.48,3.32,-89.1,-0.44299999999999995,17.5,17.74,01a57879o0334o
31,57880.580272,18.848,0.183,105,19,o,0,0.91,256.02887999999996,25.05284,6163.22,1646.19,3.45,3.35,-74.4,-0.441,19.11,20.42,01a57880o0673o
32,57880.597130999995,18.999000000000002,0.184,91,17,o,0,1.12,256.02887999999996,25.05284,6182.36,1684.49,4.16,3.78,-66.7,-0.439,19.09,20.87,01a57880o0704o
33,57880.613984,18.822,0.14800000000000002,108,16,o,0,1.37,256.02887999999996,25.05284,6111.5,1608.14,3.6,3.41,-64.6,-0.433,19.17,20.62,01a57880o0735o
34,57883.585075999996,19.182000000000002,0.368,77,28,o,0,1.0,256.02887999999996,25.05284,5790.25,850.15,3.27,3.0,74.7,-0.44299999999999995,18.58,19.23,01a57883o0348o
35,57883.602291999996,18.377,0.174,162,28,o,0,1.09,256.02887999999996,25.05284,5825.78,955.39,3.29,3.02,72.0,-0.442,18.48,19.17,01a57883o0379o
36,57883.619096,18.173,0.156,195,30,o,0,1.37,256.02887999999996,25.05284,5793.92,940.14,3.25,2.99,78.8,-0.452,18.33,18.91,01a57883o0409o
37,57884.571189,18.885,0.26,101,26,o,0,1.49,256.02887999999996,25.05284,4720.22,324.55,3.4,3.16,-9.3,-0.447,18.52,19.24,01a57884o0476o
38,57884.575447,18.935,0.312,97,30,o,0,1.04,256.02887999999996,25.05284,3512.67,10155.45,3.63,2.92,45.3,-0.431,18.57,19.31,01a57884o0484o
39,57884.587677999996,19.374000000000002,0.42200000000000004,65,27,o,0,1.36,256.02887999999996,25.05284,4754.28,429.03,3.26,3.03,-17.9,-0.466,18.49,19.2,01a57884o0507o
40,57884.591919000006,19.197,0.42,76,32,o,0,0.94,256.02887999999996,25.05284,3546.11,10258.72,3.61,2.9,44.5,-0.435,18.55,19.28,01a57884o0515o
41,57884.604089,18.646,0.257,126,32,o,0,0.92,256.02887999999996,25.05284,4702.28,414.1,3.29,3.07,-15.8,-0.465,18.52,19.14,01a57884o0538o
42,57884.608327999995,20.097,0.8140000000000001,33,27,o,0,1.38,256.02887999999996,25.05284,3493.59,10242.6,3.75,3.02,46.5,-0.42200000000000004,18.52,19.2,01a57884o0546o
43,57884.620528,19.383,0.56,64,36,o,0,0.96,256.02887999999996,25.05284,4706.68,591.35,3.41,3.14,-15.0,-0.46799999999999997,18.29,18.85,01a57884o0569o
44,57884.624247,18.602999999999998,0.324,132,43,o,0,1.02,256.02887999999996,25.05284,3495.75,10417.44,3.67,2.88,46.7,-0.402,18.14,18.57,01a57884o0576o
45,57885.502435,18.824,0.233,107,25,o,0,1.19,256.02887999999996,25.05284,5209.81,9396.0,3.73,2.42,-1.9,-0.41600000000000004,18.56,19.31,02a57885o0438o
46,57885.519796,18.802,0.198,110,22,o,0,1.66,256.02887999999996,25.05284,5188.14,9358.44,2.6,2.21,-6.8,-0.435,18.85,19.36,02a57885o0467o
