,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57816.611854999996,21.458000000000002,1.3330000000000002,10,13,c,0,1.2,234.6418,13.34775,5276.87,5006.1,3.87,3.73,86.1,-0.379,19.78,22.0,02a57816o0691c
1,57816.642387,20.936,0.8859999999999999,15,14,c,0,1.27,234.6418,13.34775,5188.41,5407.3,3.8,3.63,79.8,-0.396,19.77,21.93,02a57816o0749c
2,57816.645163,21.774,1.95,7,14,c,0,0.91,234.6418,13.34775,5238.51,4972.24,3.86,3.75,67.1,-0.387,19.76,21.94,02a57816o0754c
3,57816.66442000001,18.9,0.613,100,61,c,0,1.26,234.6418,13.34775,5262.66,5369.52,3.65,3.53,-84.8,-0.429,18.28,19.03,02a57816o0790c
4,57824.57303099999,18.35,0.43200000000000005,166,72,o,0,0.97,234.6418,13.34775,2176.75,8274.48,3.59,3.51,84.7,-0.48700000000000004,18.07,19.07,01a57824o0008o
5,57824.58094400001,18.678,0.525,123,64,o,0,1.32,234.6418,13.34775,2156.43,8234.37,3.56,3.35,70.3,-0.479,18.14,19.07,01a57824o0023o
6,57824.589371,18.405,0.439,158,69,o,0,1.15,234.6418,13.34775,2211.91,8302.3,3.54,3.37,75.9,-0.474,18.14,19.07,01a57824o0040o
7,57824.599209,18.858,0.5710000000000001,104,59,o,0,1.5,234.6418,13.34775,2230.55,8190.44,3.61,3.41,78.8,-0.478,18.14,19.08,01a57824o0060o
8,57828.620694000005,17.744,0.247,290,72,o,0,1.32,234.6418,13.34775,3123.03,8536.04,3.44,3.33,29.7,-0.45799999999999996,18.16,18.98,02a57828o0762o
9,57828.639316999994,18.089000000000002,0.359,211,76,o,0,0.95,234.6418,13.34775,3105.35,8497.2,3.39,3.27,19.3,-0.47,18.16,18.96,02a57828o0800o
10,57828.652430999995,20.607,6.197,21,129,o,0,1.11,234.6418,13.34775,3160.16,8573.28,3.37,3.22,5.2,-0.467,17.87,18.34,02a57828o0824o
11,57832.620261000004,17.958,0.092,238,22,o,0,1.56,234.6418,13.34775,5725.07,8512.0,3.28,3.02,-23.7,-0.426,18.61,19.87,02a57832o0763o
12,57832.642603,18.085,0.111,212,24,o,0,1.53,234.6418,13.34775,5705.71,8471.95,3.31,3.02,-25.1,-0.42200000000000004,18.51,19.71,02a57832o0806o
13,57844.597361,18.035,0.102,222,23,c,0,0.89,234.6418,13.34775,4878.17,6931.98,3.81,3.59,7.0,-0.429,19.6,21.64,02a57844o0693c
14,57844.606901,17.965,0.083,236,20,c,0,1.43,234.6418,13.34775,4934.47,7007.93,3.58,3.54,88.0,-0.43799999999999994,19.63,21.62,02a57844o0710c
15,57844.632201,18.066,0.08900000000000001,216,19,c,0,1.56,234.6418,13.34775,4958.33,6892.78,3.58,3.52,87.5,-0.435,19.56,21.48,02a57844o0757c
16,57844.649191,17.653,0.695,315,219,c,0,1.14,234.6418,13.34775,4920.8,6950.73,3.74,3.67,60.5,-0.46399999999999997,17.83,18.31,02a57844o0788c
17,57846.647314,19.076,1.778,85,151,o,0,1.29,234.6418,13.34775,5725.56,4435.46,3.43,3.26,-51.8,-0.49700000000000005,17.18,17.36,01a57846o0591o
18,57852.47863,18.18,0.191,194,37,o,0,0.91,234.6418,13.34775,6421.9,3474.7,3.64,3.43,-81.6,-0.419,17.96,18.59,02a57852o0497o
19,57852.497691,18.236,0.166,184,31,o,0,1.39,234.6418,13.34775,6438.4,3514.68,3.51,3.34,-77.7,-0.444,18.01,18.64,02a57852o0535o
20,57852.508819,19.377,0.534,64,34,o,0,1.12,234.6418,13.34775,6382.14,3441.12,3.6,3.4,-83.8,-0.428,18.02,18.67,02a57852o0556o
21,57852.527481,18.074,0.15,214,32,o,0,1.24,234.6418,13.34775,6362.16,3556.74,3.41,3.29,-74.8,-0.455,18.07,18.7,02a57852o0593o
22,57852.548035,18.553,0.24100000000000002,138,33,o,0,1.56,234.6418,13.34775,4094.63,6948.81,3.3,3.1,-4.3,-0.415,18.05,18.74,02a57852o0634o
23,57856.589317,18.614,0.439,130,57,o,0,1.22,234.6418,13.34775,5201.66,5170.21,3.41,3.33,-46.5,-0.46299999999999997,17.42,17.59,02a57856o0012o
24,57856.610735,20.118,4.06,33,132,o,0,0.99,234.6418,13.34775,5163.86,5228.63,3.54,3.4,86.2,-0.449,16.71,16.53,02a57856o0055o
25,57857.590626,19.316,7.1739999999999995,68,489,o,0,0.76,234.6418,13.34775,5864.52,2633.28,3.43,3.19,-60.9,-0.505,16.37,16.51,01a57857o0626o
26,57857.601459000005,17.14,0.40399999999999997,506,204,o,0,1.09,234.6418,13.34775,5884.14,2672.31,3.37,3.12,-63.9,-0.484,16.86,17.22,01a57857o0648o
27,57857.6184,18.351,0.41200000000000003,166,68,o,0,1.18,234.6418,13.34775,5825.3,2595.81,3.44,3.18,-66.5,-0.488,17.81,18.68,01a57857o0683o
28,57857.638829999996,-18.645,2.968,-126,375,o,0,1.33,234.6418,13.34775,5805.91,2712.99,3.45,3.23,-58.4,-0.485,16.33,16.44,01a57857o0724o
29,57858.609772,18.099,0.235,209,49,o,0,1.14,234.6418,13.34775,6156.48,3112.72,3.56,3.21,-59.6,-0.48100000000000004,18.17,19.41,01a57858o0584o
30,57858.637371000004,18.433,0.619,154,95,o,0,0.76,234.6418,13.34775,6116.83,3074.94,3.66,3.27,-63.2,-0.47200000000000003,17.57,18.26,01a57858o0640o
31,57861.639221000005,17.72,0.627,296,186,o,0,1.13,234.6418,13.34775,5641.28,4432.58,3.63,3.38,-66.6,-0.484,16.55,16.46,01a57861o0527o
32,57862.634858000005,19.108,1.05,83,87,o,0,0.99,234.6418,13.34775,6128.77,1612.5,3.67,3.43,-64.2,-0.48,17.12,17.56,01a57862o0270o
33,57865.623813,21.518,3.438,9,31,o,0,1.38,234.6418,13.34775,7846.28,3424.56,3.5,3.34,-38.3,-0.47200000000000003,18.09,19.45,01a57865o0824o
34,57865.636574000004,-21.733,26.364,-7,194,o,0,1.06,234.6418,13.34775,7865.36,3463.12,3.58,3.36,-34.7,-0.48100000000000004,16.48,16.39,01a57865o0850o
