,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57800.503362999996,-19.132,0.33,-81,27,o,0,1.56,152.69024,-3.77754,1169.61,3861.67,3.77,3.51,76.7,-0.431,19.0,20.2,02a57800o0392o
1,57800.520704999995,-19.022000000000002,0.255,-89,23,o,0,1.54,152.69024,-3.77754,1151.22,3821.82,3.77,3.48,76.9,-0.435,18.98,20.15,02a57800o0424o
2,57800.527261,-18.244,0.27,-183,49,o,0,1.42,152.69024,-3.77754,6193.79,6220.54,3.54,3.39,-83.4,-0.6779999999999999,18.56,20.01,01a57800o0567o
3,57800.536651,-18.69,0.212,-121,26,o,0,1.16,152.69024,-3.77754,1211.32,3899.12,3.72,3.44,77.7,-0.44,18.94,20.07,02a57800o0453o
4,57800.553159,-19.973,0.75,-37,28,o,0,1.15,152.69024,-3.77754,1234.85,3781.11,3.72,3.53,77.1,-0.434,18.89,20.01,02a57800o0483o
5,57800.569813999995,-19.185,0.364,-77,28,o,0,1.14,152.69024,-3.77754,1198.03,3837.01,3.72,3.48,82.8,-0.436,18.85,19.93,02a57800o0513o
6,57804.48641799999,-17.967,1.476,-236,349,o,0,1.08,152.69024,-3.77754,8819.25,5939.72,3.85,3.37,89.3,-0.687,16.65,18.53,01a57804o0409o
7,57804.501349,-18.143,0.68,-201,136,o,0,1.23,152.69024,-3.77754,8840.58,5978.13,3.61,3.21,-87.1,-0.669,17.34,19.14,01a57804o0438o
8,57804.515241999994,-17.909000000000002,0.15,-249,37,o,0,1.31,152.69024,-3.77754,8782.1,5900.25,3.76,3.3,-87.3,-0.638,18.9,20.79,01a57804o0465o
9,57804.527766,-18.855,0.22899999999999998,-104,24,c,0,1.19,152.69024,-3.77754,1092.67,4034.55,4.27,3.96,67.2,-0.39,18.93,20.81,02a57804o0612c
10,57804.528922000005,-18.090999999999998,0.16899999999999998,-211,36,o,0,1.8,152.69024,-3.77754,8765.67,6016.65,3.92,3.39,-89.1,-0.647,18.84,20.73,01a57804o0492o
11,57804.559974,-19.669,0.391,-49,19,c,0,1.32,152.69024,-3.77754,1078.94,3973.69,4.15,3.89,68.1,-0.385,19.15,20.88,02a57804o0669c
12,57806.479437,-20.999000000000002,2.333,-14,34,o,0,1.32,152.69024,-3.77754,7601.45,7537.9,3.8,3.52,-72.6,-0.606,18.83,20.7,01a57806o0516o
13,57806.494362,-19.863,0.75,-41,31,o,0,1.39,152.69024,-3.77754,7621.77,7578.01,3.82,3.47,-76.6,-0.598,18.83,20.66,01a57806o0545o
14,57806.508384,-18.24,0.16699999999999998,-184,31,o,0,2.24,152.69024,-3.77754,7562.35,7499.43,3.85,3.51,-73.5,-0.607,18.8,20.64,01a57806o0572o
15,57806.522554999996,-22.788,11.75,-3,33,o,0,1.34,152.69024,-3.77754,7545.19,7616.21,3.84,3.5,-71.8,-0.603,18.8,20.65,01a57806o0600o
16,57808.477057000004,-20.517,1.364,-22,31,o,0,1.47,152.69024,-3.77754,6551.32,6987.42,3.87,3.57,-76.3,-0.584,18.91,20.85,01a57808o0413o
17,57808.483869,17.692999999999998,1.712,304,520,c,0,0.91,152.69024,-3.77754,1145.72,2736.68,3.93,3.69,77.2,-0.386,16.39,18.08,02a57808o0507c
18,57808.49149400001,-18.041,0.13699999999999998,-221,30,o,0,1.78,152.69024,-3.77754,6572.44,7025.91,3.9,3.59,-74.3,-0.579,18.86,20.75,01a57808o0441o
19,57808.499711000004,21.884,2.3890000000000002,6,15,c,0,1.24,152.69024,-3.77754,1128.61,2696.47,3.91,3.74,84.8,-0.389,19.63,21.53,02a57808o0537c
20,57808.505803,-19.061,0.358,-86,31,o,0,1.54,152.69024,-3.77754,6513.22,6947.56,3.94,3.66,-72.7,-0.574,18.86,20.78,01a57808o0469o
21,57808.51653200001,-20.337,0.568,-27,15,c,0,1.15,152.69024,-3.77754,1189.89,2774.08,3.93,3.78,82.2,-0.392,19.63,21.53,02a57808o0568c
22,57808.519623,-17.814,0.114,-272,31,o,0,1.92,152.69024,-3.77754,6496.07,7063.52,4.11,3.85,-73.4,-0.565,18.82,20.81,01a57808o0496o
23,57808.53365599999,-20.311,0.541,-27,15,c,0,1.2,152.69024,-3.77754,1210.56,2656.07,3.94,3.78,88.3,-0.386,19.58,21.45,02a57808o0600c
24,57808.551221,21.486,2.083,9,19,c,0,1.05,152.69024,-3.77754,1175.68,2710.7,3.9,3.79,-87.9,-0.39,19.4,21.21,02a57808o0632c
25,57810.474703,-17.011,0.7609999999999999,-570,434,o,0,0.83,152.69024,-3.77754,6791.34,8693.76,3.47,3.36,-84.0,-0.629,16.18,17.95,01a57810o0499o
26,57810.509535000005,-15.963,0.303,-1495,453,o,0,1.05,152.69024,-3.77754,6735.14,8770.71,3.4,3.33,-73.8,-0.6629999999999999,16.13,17.9,01a57810o0567o
27,57816.406503,-21.305,1.167,-11,13,c,0,1.36,152.69024,-3.77754,4139.36,1239.44,3.75,3.74,30.0,-0.419,19.65,21.65,02a57816o0309c
28,57816.413719000004,-19.787,0.33299999999999996,-44,15,c,0,0.98,152.69024,-3.77754,4122.27,1202.55,3.77,3.76,-42.4,-0.41700000000000004,19.71,21.78,02a57816o0324c
29,57816.430827,-20.858,0.889,-16,15,c,0,1.12,152.69024,-3.77754,4181.36,1280.88,3.78,3.76,-85.8,-0.415,19.74,21.84,02a57816o0355c
30,57816.437833,-19.28,0.319,-70,22,o,0,1.28,152.69024,-3.77754,9481.66,8374.39,3.69,3.41,44.8,-0.46,19.21,21.24,01a57816o0430o
31,57816.445983000005,-20.219,0.45,-30,13,c,0,1.25,152.69024,-3.77754,4201.85,1161.8,3.78,3.76,-84.4,-0.418,19.75,21.84,02a57816o0382c
32,57816.452260000005,-19.858,0.578,-41,24,o,0,1.19,152.69024,-3.77754,9502.02,8412.26,3.86,3.58,56.4,-0.45,19.16,21.26,01a57816o0459o
33,57816.45905800001,-19.502,0.209,-57,12,c,0,1.47,152.69024,-3.77754,4165.74,1222.23,3.77,3.74,-47.2,-0.41700000000000004,19.74,21.83,02a57816o0409c
34,57816.467897,-19.089000000000002,0.267,-84,22,o,0,1.56,152.69024,-3.77754,9441.49,8335.36,3.65,3.32,61.3,-0.467,19.22,21.23,01a57816o0490o
35,57816.48299700001,-19.253,0.309,-72,22,o,0,1.31,152.69024,-3.77754,9423.95,8452.74,3.66,3.33,65.6,-0.469,19.2,21.2,01a57816o0520o
36,57818.437422,-19.137999999999998,0.33299999999999996,-80,27,o,0,1.63,152.69024,-3.77754,9455.26,7654.19,3.75,3.46,-22.9,-0.46399999999999997,18.78,20.74,01a57818o0434o
37,57818.457978,-19.832,0.644,-42,27,o,0,1.1,152.69024,-3.77754,9476.59,7693.43,3.63,3.4,-33.7,-0.47200000000000003,18.81,20.74,01a57818o0475o
38,57818.46793200001,20.074,0.7929999999999999,34,27,o,0,0.91,152.69024,-3.77754,9415.89,7616.51,3.67,3.43,-29.4,-0.46399999999999997,18.83,20.77,01a57818o0495o
39,57818.482771,21.465999999999998,2.562,9,24,o,0,1.57,152.69024,-3.77754,9398.77,7733.84,3.66,3.41,-27.0,-0.462,18.87,20.86,01a57818o0525o
40,57820.417428999994,-18.235,13.652999999999999,-185,2520,o,0,1.19,152.69024,-3.77754,7457.65,8062.11,3.54,3.21,-6.1,-0.466,15.3,15.37,01a57820o0416o
41,57820.4327,-16.436,0.573,-967,554,o,0,1.92,152.69024,-3.77754,7477.24,8101.36,3.77,3.24,-1.8,-0.528,16.38,16.76,01a57820o0446o
42,57820.446701,-18.815,0.733,-108,79,o,0,1.36,152.69024,-3.77754,7419.17,8024.26,3.79,3.28,-2.9,-0.466,17.6,18.68,01a57820o0474o
43,57820.461626,15.815999999999999,3.3989999999999996,1712,5819,o,0,1.21,152.69024,-3.77754,7403.1,8138.72,3.56,3.28,-6.4,-0.439,14.0,14.1,01a57820o0504o
44,57828.409061,20.026,0.925,35,33,o,0,1.35,152.69024,-3.77754,9368.75,8435.14,3.4,3.24,42.6,-0.495,18.67,20.18,01a57828o0380o
45,57828.422921000005,-20.601,1.7069999999999999,-21,36,o,0,1.26,152.69024,-3.77754,9389.63,8472.33,3.31,3.16,42.1,-0.496,18.64,20.08,01a57828o0408o
46,57828.433851,-19.308,1.359,-69,93,o,0,1.02,152.69024,-3.77754,2056.17,4317.89,3.66,3.44,86.7,-0.43700000000000006,16.88,17.45,02a57828o0410o
