,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57783.617104,22.845,6.0,3,16,c,0,1.09,194.45551,-24.71968,3752.98,10222.15,4.02,3.84,19.2,-0.402,19.7,21.81,02a57783o0767c
1,57783.622325,22.795,6.571000000000001,3,18,c,0,0.79,194.45551,-24.71968,7641.81,543.19,4.08,3.88,19.4,-0.43799999999999994,19.7,21.79,02a57783o0777c
2,57783.633128999994,-22.019000000000002,3.0,-6,17,c,0,1.01,194.45551,-24.71968,3735.78,10183.88,4.02,3.87,21.2,-0.402,19.71,21.83,02a57783o0798c
3,57783.638362,-20.833000000000002,1.0,-17,17,c,0,1.09,194.45551,-24.71968,7624.66,504.92,4.08,3.87,19.2,-0.444,19.7,21.79,02a57783o0808c
4,57783.64915,21.171,1.375,12,17,c,0,1.1,194.45551,-24.71968,3808.12,10265.19,4.06,3.96,13.0,-0.387,19.69,21.81,02a57783o0829c
5,57783.654412,19.833,0.371,42,16,c,0,1.13,194.45551,-24.71968,7697.96,585.25,4.15,3.94,14.4,-0.429,19.68,21.77,02a57783o0839c
6,57783.665227,-22.281999999999996,4.8180000000000005,-4,21,c,0,1.05,194.45551,-24.71968,3828.75,10145.11,4.11,4.05,1.7,-0.38299999999999995,19.35,21.2,02a57783o0860c
7,57783.670470000005,-19.695,0.6779999999999999,-48,33,c,0,1.19,194.45551,-24.71968,7719.0,466.48,4.21,3.99,12.6,-0.43799999999999994,18.86,20.23,02a57783o0870c
8,57783.67699400001,18.324,1.354,170,230,c,0,1.02,194.45551,-24.71968,3794.83,10202.51,4.2,4.14,8.5,-0.457,17.79,18.31,02a57783o0883c
9,57787.590992,-23.314,8.4,-2,14,c,0,1.29,194.45551,-24.71968,2932.2,9003.47,3.84,3.59,24.2,-0.42200000000000004,19.75,21.83,02a57787o0731c
10,57787.604552,-20.897,1.043,-16,17,c,0,0.9,194.45551,-24.71968,2916.09,8962.54,3.82,3.6,28.0,-0.423,19.74,21.82,02a57787o0757c
11,57787.618254999994,-25.09,49.0,0,16,c,0,0.96,194.45551,-24.71968,2972.99,9043.77,3.75,3.53,20.8,-0.428,19.76,21.83,02a57787o0783c
