,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57779.58223099999,19.905,0.342,40,14,c,0,1.44,179.4655,-23.956129999999998,6312.99,3871.56,3.84,3.63,86.5,-0.377,19.75,21.8,02a57779o0708c
1,57779.597647,20.205,0.44299999999999995,30,13,c,0,1.49,179.4655,-23.956129999999998,6296.67,3834.71,3.92,3.71,85.8,-0.375,19.74,21.81,02a57779o0738c
2,57779.613525,20.684,0.696,19,14,c,0,1.41,179.4655,-23.956129999999998,6352.82,3912.09,3.94,3.72,88.1,-0.373,19.72,21.78,02a57779o0769c
3,57779.628925,20.745,0.75,18,14,c,0,1.37,179.4655,-23.956129999999998,6372.35,3795.56,3.93,3.78,-89.2,-0.374,19.68,21.73,02a57779o0799c
4,57779.645302,20.645,0.7040000000000001,20,14,c,0,1.41,179.4655,-23.956129999999998,6338.17,3852.57,3.98,3.91,-4.1,-0.373,19.64,21.72,02a57779o0831c
5,57783.578288,19.675,0.305,49,15,c,0,1.54,179.4655,-23.956129999999998,5397.24,2048.04,4.02,3.93,-0.7,-0.39399999999999996,19.72,21.89,02a57783o0692c
6,57783.594398,20.746,0.765,18,14,c,0,1.65,179.4655,-23.956129999999998,5380.75,2010.09,3.89,3.85,-6.4,-0.402,19.76,21.91,02a57783o0723c
7,57783.610414999996,21.826,2.053,7,14,c,0,1.57,179.4655,-23.956129999999998,5436.09,2088.48,3.9,3.79,-14.1,-0.39799999999999996,19.76,21.89,02a57783o0754c
8,57783.626413,20.423,0.603,25,15,c,0,1.3,179.4655,-23.956129999999998,5456.41,1970.57,3.92,3.82,-11.2,-0.40399999999999997,19.75,21.88,02a57783o0785c
9,57783.643024000005,21.244,1.226,12,14,c,0,1.68,179.4655,-23.956129999999998,5422.85,2027.6,4.01,3.85,-12.0,-0.392,19.71,21.86,02a57783o0817c
10,57787.549504999995,-23.201999999999998,8.2,-2,16,c,0,1.31,179.4655,-23.956129999999998,4588.1,832.22,4.0,3.95,-16.1,-0.41200000000000003,19.73,21.83,02a57787o0648c
11,57787.559785000005,-19.604,0.35200000000000004,-52,18,c,0,1.86,179.4655,-23.956129999999998,9521.49,10464.01,4.02,3.77,83.9,-0.413,19.67,21.78,02a57787o0668c
12,57787.564255,20.453,0.7090000000000001,24,17,c,0,0.9,179.4655,-23.956129999999998,4571.54,795.3,3.85,3.78,-20.5,-0.42700000000000005,19.54,21.64,02a57787o0677c
13,57787.574186,-19.272000000000002,0.22,-71,16,c,0,1.45,179.4655,-23.956129999999998,9504.45,10426.12,3.96,3.72,87.6,-0.39799999999999996,19.71,21.83,02a57787o0697c
14,57787.57864,22.090999999999998,2.533,5,13,c,0,1.57,179.4655,-23.956129999999998,4625.37,874.6,3.83,3.78,-25.2,-0.426,19.8,21.9,02a57787o0706c
15,57787.588131,18.384,0.198,161,32,c,0,1.32,179.4655,-23.956129999999998,9557.69,10503.27,3.87,3.6,-85.9,-0.402,19.79,21.9,02a57787o0725c
16,57787.592978999994,-21.064,1.0,-14,14,c,0,1.69,179.4655,-23.956129999999998,4644.69,756.9,3.98,3.92,-42.2,-0.41200000000000003,19.79,21.94,02a57787o0735c
17,57787.603601,19.24,0.231,73,17,c,0,1.38,179.4655,-23.956129999999998,9577.24,10386.16,3.89,3.64,-86.4,-0.40700000000000003,19.76,21.88,02a57787o0755c
18,57787.60864299999,20.656999999999996,0.72,20,14,c,0,1.51,179.4655,-23.956129999999998,4611.7,817.17,3.83,3.79,-39.1,-0.423,19.67,21.77,02a57787o0764c
19,57787.621591999996,-19.914,0.446,-39,18,c,0,1.15,179.4655,-23.956129999999998,9545.37,10442.88,3.92,3.89,32.5,-0.43,19.74,21.86,02a57787o0790c
20,57795.453142,-18.952,8.16,-95,778,o,0,0.82,179.4655,-23.956129999999998,5291.23,8111.04,3.73,3.59,86.3,-0.446,17.25,17.2,02a57795o0457o
21,57795.485654,16.089000000000002,1.6440000000000001,1331,2188,o,0,1.06,179.4655,-23.956129999999998,5254.72,8076.41,3.73,3.43,9.4,-0.42700000000000005,17.08,17.4,02a57795o0512o
22,57799.536322,22.888,15.571,2,40,o,0,1.15,179.4655,-23.956129999999998,6178.61,1541.51,3.68,3.64,-89.0,-0.44,18.56,19.5,02a57799o0613o
23,57799.551846,19.988,1.01,37,37,o,0,1.08,179.4655,-23.956129999999998,6161.85,1504.67,3.61,3.52,-82.4,-0.45,18.58,19.49,02a57799o0643o
24,57799.567403999994,-19.272000000000002,0.467,-71,33,o,0,1.59,179.4655,-23.956129999999998,6216.89,1582.7,3.64,3.57,-83.5,-0.441,18.56,19.47,02a57799o0673o
25,57799.582908000004,-19.807000000000002,0.932,-43,40,o,0,1.18,179.4655,-23.956129999999998,6237.33,1468.29,4.28,3.68,1.7,-0.41700000000000004,18.43,19.45,02a57799o0703o
26,57799.598402999996,-20.635,1.96,-20,40,o,0,1.29,179.4655,-23.956129999999998,6202.34,1525.31,4.04,3.73,-3.3,-0.41600000000000004,18.43,19.41,02a57799o0733o
27,57803.564115999994,-20.163,0.649,-31,20,c,0,1.25,179.4655,-23.956129999999998,7375.38,2256.38,3.76,3.61,84.2,-0.406,19.26,20.82,02a57803o0672c
28,57803.575784,21.291999999999998,1.781,11,20,c,0,1.35,179.4655,-23.956129999999998,7360.34,2217.41,3.81,3.66,89.8,-0.40399999999999997,19.22,20.77,02a57803o0695c
29,57803.587435,21.241999999999997,2.0909999999999997,12,24,c,0,0.85,179.4655,-23.956129999999998,7415.24,2294.54,3.83,3.71,86.3,-0.39799999999999996,19.18,20.74,02a57803o0718c
30,57803.599679,-19.921,0.545,-39,21,c,0,1.29,179.4655,-23.956129999999998,7435.01,2178.17,3.81,3.75,85.8,-0.402,19.16,20.7,02a57803o0742c
31,57803.611251,22.348000000000003,5.332999999999999,4,22,c,0,1.12,179.4655,-23.956129999999998,7400.3,2235.42,3.78,3.72,85.4,-0.40399999999999997,19.17,20.69,02a57803o0765c
32,57804.596662,-19.278,0.602,-71,42,o,0,1.01,179.4655,-23.956129999999998,5600.83,6322.47,4.26,4.05,-73.2,-0.5670000000000001,18.51,20.26,01a57804o0624o
33,57804.61066900001,-14.775,1.073,-4466,4792,o,0,1.15,179.4655,-23.956129999999998,5618.56,6361.75,4.36,4.15,-80.2,-0.6409999999999999,14.52,15.9,01a57804o0651o
34,57804.638470000005,20.414,2.545,25,63,o,0,1.26,179.4655,-23.956129999999998,5531.05,6402.3,4.13,3.91,-73.5,-0.599,18.0,19.6,01a57804o0705o
35,57806.584353,-18.382,0.248,-161,40,o,0,1.14,179.4655,-23.956129999999998,4384.58,7927.39,4.1,3.95,-58.1,-0.551,18.67,20.43,01a57806o0720o
