,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57799.53378,-20.88,3.1,-16,50,o,0,0.97,168.20308,31.920890000000004,6069.05,6868.86,3.46,3.41,15.0,-0.657,18.79,20.35,01a57799o0562o
1,57799.557788,-19.588,0.8909999999999999,-53,47,o,0,0.98,168.20308,31.920890000000004,6089.1,6908.4,3.57,3.53,-50.5,-0.633,18.74,20.3,01a57799o0606o
2,57799.569951,-19.997,1.341,-36,49,o,0,1.04,168.20308,31.920890000000004,6039.48,6829.54,3.52,3.47,-16.1,-0.64,18.74,20.29,01a57799o0628o
3,57799.581537,-19.569000000000003,0.9570000000000001,-54,52,o,0,1.01,168.20308,31.920890000000004,6024.36,6948.99,3.45,3.38,-19.6,-0.665,18.74,20.21,01a57799o0650o
4,57801.48035,-20.32,0.6829999999999999,-27,18,o,0,0.98,168.20308,31.920890000000004,3645.3,5205.26,3.59,3.49,86.3,-0.428,19.24,20.7,02a57801o0479o
5,57801.491466,22.176,4.0,5,20,o,0,1.13,168.20308,31.920890000000004,6830.5,5210.19,3.58,3.37,89.2,-0.424,19.23,20.68,02a57801o0499o
6,57801.512017999994,21.763,2.609,7,19,o,0,1.24,168.20308,31.920890000000004,6876.65,5288.92,3.45,3.28,-86.6,-0.452,19.24,20.66,02a57801o0537o
7,57801.5277,-20.342,1.3230000000000002,-26,35,o,0,1.22,168.20308,31.920890000000004,3650.6,7539.16,3.9,3.77,-66.1,-0.61,18.75,20.49,01a57801o0531o
8,57801.533049,25.180999999999997,61.0,0,19,o,0,1.04,168.20308,31.920890000000004,6894.72,5174.93,3.43,3.26,-80.0,-0.45299999999999996,19.25,20.66,02a57801o0576o
9,57801.535693,-20.635,2.0,-20,40,o,0,1.0,168.20308,31.920890000000004,3684.38,7576.58,3.74,3.61,-57.9,-0.624,18.79,20.47,01a57801o0544o
10,57801.537739,20.475,0.8270000000000001,23,19,o,0,1.32,168.20308,31.920890000000004,6860.94,5232.33,3.51,3.28,-87.8,-0.441,19.24,20.65,02a57801o0584o
11,57801.551277,-20.142,1.189,-32,38,o,0,1.09,168.20308,31.920890000000004,3619.68,7500.76,3.79,3.66,-55.6,-0.629,18.74,20.37,01a57801o0573o
12,57801.569527,-20.941,2.556,-15,39,o,0,1.17,168.20308,31.920890000000004,3603.57,7616.6,3.72,3.58,-49.4,-0.623,18.77,20.37,01a57801o0607o
13,57802.32915,22.089000000000002,5.571000000000001,5,30,o,0,1.38,168.20308,31.920890000000004,5197.23,4509.07,3.66,3.6,-39.1,-0.605,18.83,20.59,01a57802o0176o
14,57802.346905,-18.914,0.256,-99,25,o,0,1.94,168.20308,31.920890000000004,5787.78,3927.8,3.66,3.64,44.4,-0.56,18.97,20.89,01a57802o0211o
15,57802.347064999994,-21.67,1.9580000000000002,-8,15,o,0,1.51,168.20308,31.920890000000004,5313.21,5990.39,3.5,3.35,-88.4,-0.444,19.44,21.09,02a57802o0206o
16,57802.35093099999,20.866,1.682,16,28,o,0,1.46,168.20308,31.920890000000004,6087.71,4794.0,3.73,3.65,81.7,-0.5710000000000001,18.97,20.91,01a57802o0219o
17,57802.351439,-20.18,1.056,-31,32,o,0,1.11,168.20308,31.920890000000004,4917.36,3639.2,3.96,3.93,49.6,-0.569,18.95,20.94,01a57802o0220o
18,57802.364637,20.815,0.981,17,17,o,0,1.08,168.20308,31.920890000000004,4721.08,6569.93,3.47,3.38,86.3,-0.457,19.52,21.25,02a57802o0241o
19,57802.366627999996,17.723,0.096,296,28,o,0,9.28,168.20308,31.920890000000004,4633.64,5091.94,3.77,3.7,-51.7,-0.608,19.01,20.96,01a57802o0250o
20,57802.368609000005,-22.73,5.667000000000001,-3,17,o,0,1.14,168.20308,31.920890000000004,4427.98,5697.9,3.52,3.44,86.1,-0.434,19.52,21.27,02a57802o0249o
21,57802.369105,-20.88,1.02,-16,16,o,0,1.28,168.20308,31.920890000000004,5589.84,6862.77,3.52,3.37,88.9,-0.45299999999999996,19.52,21.28,02a57802o0250o
22,57802.369635,-19.051,0.33899999999999997,-87,30,o,0,1.35,168.20308,31.920890000000004,6374.38,3341.46,3.61,3.55,38.4,-0.595,19.02,20.99,01a57802o0256o
23,57802.385684,21.84,2.4290000000000003,7,16,o,0,0.99,168.20308,31.920890000000004,5886.94,5414.15,3.52,3.31,-86.5,-0.445,19.57,21.33,02a57802o0280o
24,57802.386752,-20.465999999999998,1.31,-24,31,o,0,1.07,168.20308,31.920890000000004,5496.63,4213.41,3.78,3.77,-69.8,-0.5579999999999999,19.01,21.04,01a57802o0290o
25,57802.387752999995,-19.98,0.745,-37,28,o,0,1.14,168.20308,31.920890000000004,5496.48,4213.39,3.74,3.7,79.7,-0.578,19.03,21.04,01a57802o0292o
26,57802.388681,20.219,0.547,30,16,o,0,1.19,168.20308,31.920890000000004,4128.63,7149.86,3.37,3.33,71.4,-0.47600000000000003,19.57,21.33,02a57802o0286o
27,57802.410135000006,-22.320999999999998,3.5,-4,15,o,0,1.25,168.20308,31.920890000000004,5015.07,6286.8,3.4,3.27,-79.2,-0.462,19.53,21.23,02a57802o0324o
28,57802.411158,-21.147,1.2930000000000001,-13,16,o,0,1.1,168.20308,31.920890000000004,5014.93,6286.29,3.4,3.27,-77.1,-0.467,19.53,21.22,02a57802o0326o
29,57802.527779,-20.447,1.6540000000000001,-24,40,o,0,1.02,168.20308,31.920890000000004,3651.81,7540.21,4.2,4.09,-58.6,-0.5720000000000001,18.61,20.42,01a57802o0532o
30,57802.535538,21.018,3.062,14,44,o,0,0.79,168.20308,31.920890000000004,3685.67,7576.58,3.96,3.84,-43.0,-0.593,18.65,20.35,01a57802o0545o
31,57802.551320000006,0.0,19.701,0,48,o,0,0.87,168.20308,31.920890000000004,3621.03,7501.91,4.2,4.08,-42.5,-0.574,18.57,20.28,01a57802o0574o
32,57802.569530999994,-18.308,0.26,-173,45,o,0,1.14,168.20308,31.920890000000004,3604.96,7617.34,5.24,4.99,-69.0,-0.508,18.34,20.28,01a57802o0607o
33,57803.525188,-18.977999999999998,0.33,-93,31,o,0,0.99,168.20308,31.920890000000004,4652.41,5035.86,4.34,4.18,-76.5,-0.5579999999999999,18.8,20.82,01a57803o0419o
34,57803.534412,-19.617,0.615,-52,32,o,0,1.1,168.20308,31.920890000000004,4666.52,5073.25,3.98,3.89,-70.1,-0.596,18.89,20.78,01a57803o0434o
35,57803.539988,-21.073,2.062,-14,28,o,0,1.18,168.20308,31.920890000000004,4617.82,4998.03,4.21,4.05,-80.4,-0.5720000000000001,18.85,20.79,01a57803o0445o
36,57803.566972,23.369,18.5,2,30,o,0,1.09,168.20308,31.920890000000004,4588.18,5113.42,4.09,3.96,-71.5,-0.579,18.86,20.75,01a57803o0494o
37,57805.491401,-20.679000000000002,0.5870000000000001,-19,11,c,0,1.4,168.20308,31.920890000000004,4821.8,5703.25,3.73,3.59,82.0,-0.39,19.75,21.75,02a57805o0499c
38,57805.503311,-20.861,0.7879999999999999,-16,13,c,0,1.32,168.20308,31.920890000000004,4802.76,5664.21,3.79,3.64,81.5,-0.384,19.75,21.78,02a57805o0519c
39,57805.504827,-23.048000000000002,5.857,-2,13,c,0,1.34,168.20308,31.920890000000004,4869.13,5741.97,3.76,3.62,81.4,-0.392,19.75,21.77,02a57805o0522c
40,57805.507883000006,-19.4,0.488,-63,31,o,0,1.23,168.20308,31.920890000000004,6428.35,5585.88,3.86,3.67,85.3,-0.562,18.89,20.79,01a57805o0520o
41,57805.519696,-19.2,0.37,-76,28,o,0,1.61,168.20308,31.920890000000004,6462.56,5624.92,4.05,3.81,-88.6,-0.562,18.84,20.77,01a57805o0539o
42,57805.531623,-19.97,0.88,-37,33,o,0,0.99,168.20308,31.920890000000004,6397.06,5548.49,3.82,3.66,-75.9,-0.5720000000000001,18.9,20.78,01a57805o0559o
43,57805.55218099999,-19.56,0.493,-54,27,o,0,1.5,168.20308,31.920890000000004,6386.87,5667.41,3.88,3.74,-77.5,-0.557,18.87,20.76,01a57805o0595o
44,57807.50076,-19.105,0.28300000000000003,-83,23,o,0,1.22,168.20308,31.920890000000004,4371.55,6003.07,4.07,3.93,-77.0,-0.529,19.04,21.14,01a57807o0449o
45,57807.513174,23.426,17.0,2,26,o,0,0.99,168.20308,31.920890000000004,4387.9,6040.08,4.05,3.9,-76.2,-0.537,19.06,21.16,01a57807o0469o
46,57807.526595,-18.813,0.226,-108,24,o,0,1.2,168.20308,31.920890000000004,4337.95,5965.36,4.1,3.93,-69.7,-0.535,19.07,21.18,01a57807o0492o
47,57807.53801900001,20.222,0.816,30,24,o,0,1.39,168.20308,31.920890000000004,4306.48,6080.53,4.09,3.92,-66.2,-0.524,19.11,21.22,01a57807o0512o
48,57809.471197000006,-20.477999999999998,0.62,-23,14,c,0,0.93,168.20308,31.920890000000004,5072.51,3420.29,3.75,3.62,88.7,-0.375,19.76,21.82,02a57809o0460c
49,57809.49527000001,-17.746,0.687,-290,199,o,0,0.97,168.20308,31.920890000000004,6977.09,4660.62,3.79,3.6,87.0,-0.596,16.97,18.89,01a57809o0489o
50,57809.505596,-19.546,0.44,-55,24,c,0,0.81,168.20308,31.920890000000004,5057.94,3383.57,3.75,3.61,-89.9,-0.38,19.19,21.14,02a57809o0519c
51,57809.507108000005,-18.887,0.259,-101,26,c,0,1.17,168.20308,31.920890000000004,5124.28,3461.62,3.77,3.62,80.3,-0.38,19.0,20.93,02a57809o0522c
52,57809.507818,-18.144000000000002,0.9359999999999999,-201,188,o,0,1.21,168.20308,31.920890000000004,6993.72,4697.73,3.81,3.57,-87.5,-0.584,16.95,18.83,01a57809o0510o
53,57809.526779,-20.519000000000002,0.932,-22,21,c,0,1.38,168.20308,31.920890000000004,5140.77,3344.83,3.75,3.63,78.6,-0.37799999999999995,19.18,21.12,02a57809o0556c
54,57809.530792,-19.343,0.43700000000000006,-66,29,c,0,1.12,168.20308,31.920890000000004,5108.51,3403.52,3.72,3.6,82.5,-0.381,18.86,20.76,02a57809o0564c
55,57811.533503,-19.194000000000003,0.376,-76,29,o,0,1.2,168.20308,31.920890000000004,4186.14,6119.99,4.13,3.98,-72.6,-0.568,18.92,20.98,01a57811o0022o
56,57817.397367,20.442999999999998,0.721,24,17,c,0,1.33,168.20308,31.920890000000004,4837.12,7465.92,3.75,3.62,85.7,-0.42200000000000004,19.35,21.08,02a57817o0257c
57,57817.41351900001,22.646,5.332999999999999,3,17,c,0,1.03,168.20308,31.920890000000004,4853.91,7503.64,3.74,3.62,83.3,-0.414,19.39,21.16,02a57817o0285c
58,57817.429845000006,-21.598000000000003,1.8330000000000002,-8,15,c,0,1.17,168.20308,31.920890000000004,4805.21,7431.3,3.71,3.59,80.9,-0.423,19.46,21.28,02a57817o0314c
59,57817.445578,20.927,0.867,16,13,c,0,1.4,168.20308,31.920890000000004,4768.74,7548.19,3.68,3.6,69.3,-0.41700000000000004,19.62,21.6,02a57817o0342c
60,57817.461672000005,-21.076,0.846,-14,11,c,0,1.31,168.20308,31.920890000000004,5661.97,2954.73,3.76,3.66,-88.3,-0.389,19.74,21.85,02a57817o0371c
