,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57883.607978,-23.526999999999997,34.111,-1,48,o,0,1.93,304.26592,-8.06279,8769.09,6407.11,2.24,1.96,52.5,-0.5489999999999999,18.0,18.18,02a57883o0714o
1,57884.514615,19.207,0.701,75,53,o,0,0.92,304.26592,-8.06279,8511.75,7288.88,2.98,2.52,60.1,-0.48,18.36,18.91,02a57884o0367o
2,57884.526799,19.54,0.672,55,37,o,0,1.34,304.26592,-8.06279,8528.29,7328.97,2.28,1.98,50.2,-0.556,18.69,18.99,02a57884o0390o
3,57884.53849199999,19.457,0.635,60,38,o,0,0.94,304.26592,-8.06279,8469.24,7252.38,2.5,2.27,54.3,-0.5529999999999999,18.61,19.07,02a57884o0412o
4,57884.550576999995,16.264,0.36700000000000005,1134,416,o,0,1.77,304.26592,-8.06279,8448.19,7369.45,2.6,2.09,55.9,-0.5589999999999999,16.36,16.21,02a57884o0435o
5,57884.562761,19.047,0.40700000000000003,87,36,o,0,1.13,304.26592,-8.06279,8483.43,7314.28,2.44,2.11,56.1,-0.5670000000000001,18.72,19.13,02a57884o0458o
6,57904.581522,22.141,1.781,5,9,c,0,1.2,304.26592,-8.06279,8933.2,3478.66,3.33,2.82,-40.4,-0.382,19.66,21.57,02a57904o0478c
7,57904.599549,20.410999999999998,0.365,25,9,c,0,1.19,304.26592,-8.06279,8912.62,3444.96,3.33,2.79,-42.9,-0.382,19.68,21.58,02a57904o0512c
8,57904.618426,20.09,0.675,33,23,c,0,1.12,304.26592,-8.06279,8973.06,3523.56,3.58,2.92,-43.9,-0.35200000000000004,18.75,19.88,02a57904o0544c
9,57908.590804,21.008000000000003,0.828,14,12,o,0,1.21,304.26592,-8.06279,1307.64,4031.72,2.35,2.31,10.3,-0.441,19.36,20.4,02a57908o0676o
10,57908.612132,-21.004,1.0,-14,14,o,0,1.07,304.26592,-8.06279,1288.58,3991.51,2.36,2.34,51.0,-0.439,19.17,20.0,02a57908o0717o
