,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57853.558271,-16.55,0.825,-871,718,o,0,0.98,283.36593,28.9517,5767.65,2863.75,3.58,3.41,-85.9,-0.44799999999999995,15.15,14.74,02a57853o0665o
1,57853.572453,19.944000000000003,2.0,38,76,o,0,1.11,283.36593,28.9517,5783.63,2906.87,3.56,3.36,-82.9,-0.43799999999999994,16.92,17.36,02a57853o0689o
2,57853.58480599999,18.934,0.45,97,44,o,0,1.48,283.36593,28.9517,5715.8,2831.61,3.6,3.44,-81.1,-0.435,17.58,18.08,02a57853o0713o
3,57853.596793,19.712,7.244,47,343,o,0,1.08,283.36593,28.9517,5695.25,2949.42,3.48,3.28,-74.3,-0.467,15.86,15.67,02a57853o0737o
4,57853.60866699999,18.705,0.47200000000000003,120,56,o,0,1.23,283.36593,28.9517,5743.74,2893.83,3.52,3.36,-75.5,-0.45399999999999996,17.56,18.11,02a57853o0761o
5,57877.586974,19.337,0.153,67,10,o,0,2.22,283.36593,28.9517,4124.54,2370.92,2.21,2.04,21.3,-0.44299999999999995,19.55,20.89,02a57877o0469o
6,57877.606603,19.246,0.19899999999999998,73,14,o,0,3.07,283.36593,28.9517,6359.77,8041.52,3.14,2.33,-4.8,-0.48,19.36,20.75,02a57877o0496o
7,57877.62370800001,19.382,0.337,64,22,o,0,6.39,283.36593,28.9517,6427.95,8125.74,4.16,2.28,-1.5,-0.429,18.8,19.79,02a57877o0523o
8,57885.571338,19.172,0.251,78,20,o,0,0.96,283.36593,28.9517,2620.47,3242.68,2.1,2.0,17.6,-0.462,19.05,19.64,02a57885o0547o
9,57885.584822000004,19.423,0.344,62,21,o,0,2.14,283.36593,28.9517,7866.0,7170.47,2.58,2.31,4.7,-0.46799999999999997,18.92,19.64,02a57885o0568o
10,57885.60306,20.405,0.9059999999999999,25,23,o,0,3.17,283.36593,28.9517,7914.59,7254.49,2.26,2.22,80.8,-0.493,18.94,19.63,02a57885o0595o
11,57885.620662,21.668000000000003,3.444,8,27,o,0,1.82,283.36593,28.9517,7926.15,7137.03,2.47,2.19,0.6,-0.516,18.7,19.2,02a57885o0622o
12,57889.553240999994,-21.737,2.7260000000000004,-7,20,o,0,1.13,283.36593,28.9517,2869.12,517.53,2.56,1.98,14.3,-0.573,19.3,20.22,02a57889o0525o
13,57889.553782,21.456,1.732,10,16,o,0,2.78,283.36593,28.9517,9116.49,10211.51,2.3,2.0,13.6,-0.546,19.36,20.28,02a57889o0526o
14,57889.566146000005,20.095,0.52,33,17,o,0,5.05,283.36593,28.9517,1348.61,211.9,2.7,2.08,16.5,-0.569,19.34,20.26,02a57889o0546o
15,57889.569877999995,20.879,1.19,16,19,o,0,4.05,283.36593,28.9517,7618.66,9897.62,3.39,2.12,1.5,-0.495,19.06,20.18,02a57889o0552o
16,57889.58298300001,19.142,0.22899999999999998,80,18,o,0,2.93,283.36593,28.9517,1416.87,287.26,3.22,2.17,8.6,-0.546,19.26,20.23,02a57889o0570o
17,57889.589702,19.394000000000002,0.312,63,20,o,0,5.76,283.36593,28.9517,7667.26,9976.01,3.52,2.22,2.0,-0.47600000000000003,19.04,20.15,02a57889o0580o
18,57889.601282,19.566,0.38299999999999995,54,21,o,0,3.17,283.36593,28.9517,1435.86,174.46,2.92,2.18,11.9,-0.552,19.24,20.15,02a57889o0598o
19,57889.607445,19.605999999999998,0.284,52,15,o,0,3.2,283.36593,28.9517,7702.75,9866.98,2.53,2.17,3.9,-0.508,19.17,20.05,02a57889o0608o
20,57889.619706,18.937,0.21100000000000002,97,20,o,0,6.29,283.36593,28.9517,1401.16,231.83,2.61,2.01,13.3,-0.579,18.98,19.47,02a57889o0626o
21,57889.626382,19.527,1.305,56,73,o,0,1.22,283.36593,28.9517,7649.53,9923.96,2.37,2.12,6.8,-0.508,18.07,18.04,02a57889o0636o
22,57893.540072,20.257,0.373,29,11,c,0,6.46,283.36593,28.9517,5498.28,691.41,4.16,2.67,34.8,-0.46399999999999997,19.66,21.38,02a57893o0539c
23,57893.562890999994,-17.632,0.051,-322,16,c,0,12.8,283.36593,28.9517,8578.18,58.96,5.29,2.84,44.3,-0.35600000000000004,19.61,21.33,02a57893o0577c
24,57893.574957000004,20.04,0.366,35,13,c,0,2.91,283.36593,28.9517,4965.65,9734.87,4.37,2.66,-3.7,-0.436,19.35,21.3,02a57893o0597c
25,57893.585005999994,22.154,2.5140000000000002,5,13,c,0,5.06,283.36593,28.9517,5017.36,9815.56,2.78,2.45,-0.1,-0.48200000000000004,19.63,21.3,02a57893o0611c
