,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57830.5483,-20.052,0.667,-35,23,o,0,1.08,246.87904,49.69573,7886.63,1997.47,3.53,3.25,-87.5,-0.46299999999999997,18.48,19.52,02a57830o0650o
1,57830.562117999994,20.11,0.758,33,25,o,0,0.78,246.87904,49.69573,7897.66,2036.03,3.57,3.29,-88.7,-0.45399999999999996,18.47,19.53,02a57830o0676o
2,57830.575912,-19.980999999999998,0.68,-37,25,o,0,0.93,246.87904,49.69573,7847.18,1963.35,3.54,3.29,-89.8,-0.45899999999999996,18.49,19.56,02a57830o0702o
3,57830.589721000004,21.323,2.133,11,23,o,0,0.82,246.87904,49.69573,7823.62,2083.52,3.52,3.3,-89.4,-0.46,18.51,19.61,02a57830o0728o
4,57830.60363099999,-20.625,1.2590000000000001,-20,26,o,0,0.79,246.87904,49.69573,7860.44,2025.57,3.52,3.24,-89.7,-0.46399999999999997,18.52,19.62,02a57830o0754o
5,57834.560905,20.723000000000003,0.917,19,17,c,0,0.85,246.87904,49.69573,6663.83,2636.48,4.01,3.81,90.0,-0.37200000000000005,18.91,20.77,02a57834o0568c
6,57834.575581,-20.706999999999997,0.92,-19,17,c,0,0.95,246.87904,49.69573,6676.04,2676.47,3.95,3.75,89.1,-0.37799999999999995,18.92,20.74,02a57834o0594c
7,57834.590287,20.006,0.42700000000000005,36,15,c,0,1.19,246.87904,49.69573,6626.3,2600.29,3.95,3.75,86.3,-0.37799999999999995,18.93,20.75,02a57834o0620c
8,57834.605091,-19.597,0.299,-53,16,c,0,1.3,246.87904,49.69573,6603.13,2719.22,4.01,3.81,87.6,-0.369,18.9,20.73,02a57834o0646c
9,57834.619158,-20.297,0.662,-28,18,c,0,0.82,246.87904,49.69573,6643.63,2661.21,3.93,3.74,83.8,-0.37799999999999995,18.92,20.72,02a57834o0672c
10,57838.559384,20.442,0.8640000000000001,24,21,c,0,0.88,246.87904,49.69573,3214.32,9059.99,3.98,3.81,34.2,-0.418,19.04,21.13,02a57838o0578c
11,57838.574722000005,-21.44,1.815,-10,18,c,0,1.19,246.87904,49.69573,3243.95,9098.89,3.71,3.51,19.2,-0.413,19.12,21.16,02a57838o0604c
12,57838.589663,-21.143,1.5519999999999998,-13,20,c,0,1.11,246.87904,49.69573,3181.63,9017.01,4.17,3.98,34.8,-0.40399999999999997,19.03,21.18,02a57838o0630c
13,57838.604671,20.291,0.6890000000000001,28,19,c,0,1.06,246.87904,49.69573,3155.52,9152.95,3.86,3.65,23.7,-0.42200000000000004,19.09,21.17,02a57838o0656c
14,57838.619297000005,-20.366,0.754,-26,20,c,0,0.98,246.87904,49.69573,3190.26,9075.54,3.94,3.72,29.0,-0.431,19.07,21.14,02a57838o0682c
15,57848.642703,-19.772000000000002,1.806,-45,81,o,0,0.8,246.87904,49.69573,5404.09,223.66,3.9,3.61,40.5,-0.43700000000000006,17.91,18.58,01a57848o0762o
16,57850.516496000004,-19.819000000000003,0.6809999999999999,-43,29,o,0,0.88,246.87904,49.69573,7715.11,1517.92,3.59,3.36,-88.2,-0.457,18.31,19.23,02a57850o0587o
17,57850.533004,-20.233,0.87,-29,26,o,0,0.93,246.87904,49.69573,7725.98,1559.45,3.56,3.38,-84.8,-0.462,18.34,19.28,02a57850o0618o
18,57850.546335,-20.117,0.8140000000000001,-33,26,o,0,1.05,246.87904,49.69573,7680.91,1483.38,3.59,3.42,88.3,-0.451,18.35,19.36,02a57850o0644o
19,57850.559586,20.862,1.3719999999999999,16,22,o,0,1.25,246.87904,49.69573,7654.09,1603.18,3.62,3.44,88.2,-0.446,18.39,19.41,02a57850o0670o
20,57850.572540999994,-20.267,0.8029999999999999,-28,23,o,0,1.25,246.87904,49.69573,7693.33,1544.6,3.61,3.42,-88.1,-0.451,18.44,19.54,02a57850o0696o
21,57854.488485,-19.07,0.7509999999999999,-86,64,o,0,1.0,246.87904,49.69573,6389.64,58.43,3.64,3.54,-77.2,-0.48100000000000004,17.72,18.08,02a57854o0542o
22,57854.492919000004,-21.456,5.8,-10,55,o,0,0.89,246.87904,49.69573,1898.09,9669.69,3.28,2.81,-4.1,-0.518,17.76,18.14,02a57854o0551o
23,57854.499155,19.157,0.649,79,51,o,0,1.21,246.87904,49.69573,1925.49,9711.55,3.28,2.81,-1.3,-0.504,17.8,18.2,02a57854o0563o
24,57854.511269,-20.214000000000002,1.6340000000000001,-30,49,o,0,1.44,246.87904,49.69573,1860.07,9633.16,3.25,2.82,-3.5,-0.511,17.73,18.11,02a57854o0586o
25,57854.518211,-19.273,0.757,-71,54,o,0,0.85,246.87904,49.69573,6314.84,104.32,3.67,3.63,-35.2,-0.455,17.76,18.1,02a57854o0599o
26,57854.523294000006,21.235,4.912,12,57,o,0,1.21,246.87904,49.69573,1831.94,9751.21,3.34,2.87,-5.7,-0.502,17.56,17.82,02a57854o0609o
27,57854.530119,17.79,0.498,278,138,o,0,1.01,246.87904,49.69573,6353.56,45.32,3.72,3.65,-27.3,-0.45799999999999996,17.62,17.94,02a57854o0622o
28,57854.535191999996,24.962,158.0,0,59,o,0,1.21,246.87904,49.69573,1881.54,9694.9,3.44,3.05,-1.2,-0.511,17.49,17.83,02a57854o0632o
29,57858.49855599999,19.921,0.774,39,30,o,0,0.99,246.87904,49.69573,6106.56,2429.68,3.47,3.37,82.9,-0.46399999999999997,18.2,19.03,02a57858o0546o
30,57858.508821,21.384,3.179,10,32,o,0,0.9,246.87904,49.69573,6122.84,2469.39,3.45,3.35,85.5,-0.46,18.22,19.05,02a57858o0566o
31,57858.529844000004,-22.296999999999997,6.75,-4,30,o,0,1.22,246.87904,49.69573,6068.31,2373.64,3.48,3.39,74.9,-0.45399999999999996,18.21,19.04,02a57858o0606o
32,57858.54367100001,19.409000000000002,0.47200000000000003,63,30,o,0,0.81,246.87904,49.69573,6044.8,2491.98,3.44,3.35,81.3,-0.45399999999999996,18.25,19.09,02a57858o0632o
33,57858.558103999996,19.291,0.369,70,26,o,0,1.37,246.87904,49.69573,6085.92,2436.28,3.41,3.35,77.6,-0.45299999999999996,18.26,19.1,02a57858o0659o
34,57859.61704600001,20.297,1.256,28,35,o,0,1.11,246.87904,49.69573,7029.55,1654.25,3.85,3.62,-45.1,-0.451,18.05,19.46,01a57859o0739o
35,57859.63320599999,20.043,1.579,35,55,o,0,0.99,246.87904,49.69573,7057.51,1693.99,3.76,3.51,-42.9,-0.45899999999999996,17.59,18.45,01a57859o0769o
36,57860.614674000004,18.996,0.37,92,34,o,0,0.99,246.87904,49.69573,5323.65,303.43,3.87,3.73,-84.8,-0.436,18.09,19.49,01a57860o0731o
37,57860.623712,-19.137999999999998,0.759,-80,61,o,0,0.85,246.87904,49.69573,943.02,10009.34,5.7,4.82,68.1,-0.42700000000000005,18.05,19.41,01a57860o0747o
