,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57816.402209,-19.817999999999998,0.836,-43,36,o,0,0.67,140.15838,-29.95079,9455.68,874.36,4.19,3.9,-22.8,-0.446,18.89,20.86,01a57816o0359o
1,57816.417298,-19.721,0.6609999999999999,-47,31,o,0,0.87,140.15838,-29.95079,9472.07,914.94,4.13,3.81,-28.8,-0.447,18.95,20.94,01a57816o0389o
2,57816.4322,-19.209,0.5539999999999999,-75,42,o,0,0.96,140.15838,-29.95079,9402.96,837.25,4.23,4.01,-25.5,-0.446,18.88,20.92,01a57816o0419o
3,57816.447286,-20.164,1.031,-31,32,o,0,1.07,140.15838,-29.95079,9387.4,956.21,4.65,4.4,-45.2,-0.42100000000000004,18.74,20.87,01a57816o0449o
4,57818.391291,-20.715,1.955,-19,37,o,0,1.31,140.15838,-29.95079,9441.89,148.2,5.21,3.56,-45.9,-0.469,18.51,20.32,01a57818o0342o
5,57818.405446000004,-21.686,6.5,-8,50,o,0,1.22,140.15838,-29.95079,1708.68,10040.03,5.72,4.93,18.2,-0.439,18.58,20.47,01a57818o0370o
6,57818.40648400001,-21.906,6.2860000000000005,-6,39,o,0,1.04,140.15838,-29.95079,9457.61,187.71,5.22,3.67,-46.8,-0.46799999999999997,18.49,20.33,01a57818o0372o
7,57818.420352999994,18.748,0.433,115,50,o,0,1.26,140.15838,-29.95079,1726.32,10079.1,5.65,4.85,15.0,-0.41200000000000003,18.62,20.48,01a57818o0400o
8,57818.421933000005,-20.209,2.0,-30,60,o,0,0.58,140.15838,-29.95079,9405.32,110.01,5.13,3.58,-45.6,-0.489,18.49,20.31,01a57818o0403o
9,57818.435944000004,19.238,0.75,73,55,o,0,1.09,140.15838,-29.95079,1675.43,10001.69,5.69,4.8,13.0,-0.379,18.58,20.47,01a57818o0431o
10,57818.436926,-19.972,1.195,-37,44,o,0,0.83,140.15838,-29.95079,9371.19,229.73,5.32,3.71,-47.5,-0.45,18.45,20.29,01a57818o0433o
11,57818.451127,20.549,2.588,22,57,o,0,1.09,140.15838,-29.95079,1640.94,10120.46,5.71,4.79,14.8,-0.36,18.61,20.46,01a57818o0461o
12,57819.412344000004,-20.566999999999997,1.608,-22,35,o,0,1.05,140.15838,-29.95079,1687.54,1398.73,3.74,3.57,-40.7,-0.46,18.72,19.87,02a57819o0255o
13,57819.427501,-19.666,0.778,-49,38,o,0,1.05,140.15838,-29.95079,1672.41,1358.59,3.72,3.58,-46.2,-0.461,18.69,19.82,02a57819o0284o
14,57819.442733,21.236,3.37,12,39,o,0,1.05,140.15838,-29.95079,1727.07,1436.38,3.77,3.61,-36.3,-0.45399999999999996,18.67,19.79,02a57819o0313o
15,57819.457835,-20.246,1.317,-29,38,o,0,1.14,140.15838,-29.95079,1744.83,1317.19,3.92,3.65,-17.6,-0.45399999999999996,18.59,19.73,02a57819o0342o
16,57819.47336900001,-19.819000000000003,0.9670000000000001,-43,42,o,0,1.0,140.15838,-29.95079,1714.36,1373.21,3.95,3.69,-18.7,-0.44,18.55,19.68,02a57819o0372o
17,57820.365291999995,-16.312,1.7069999999999999,-1085,1852,o,0,1.42,140.15838,-29.95079,9221.1,10317.83,3.46,3.29,-2.8,-0.498,14.48,14.59,01a57820o0312o
18,57820.371223,-15.272,0.608,-2827,1719,o,0,0.99,140.15838,-29.95079,7375.42,529.44,4.25,3.4,-45.3,-0.457,14.69,14.8,01a57820o0324o
19,57820.380376,20.666,2.533,20,50,o,0,1.42,140.15838,-29.95079,9239.39,10357.44,4.04,3.39,6.6,-0.466,18.09,19.44,01a57820o0342o
20,57820.386342,16.307000000000002,0.743,1089,809,o,0,1.1,140.15838,-29.95079,7392.01,568.91,4.27,3.42,-46.5,-0.483,16.26,17.1,01a57820o0354o
21,57820.394873000005,19.625,1.8259999999999998,51,94,o,0,0.9,140.15838,-29.95079,9186.89,10277.93,3.82,3.26,4.9,-0.47700000000000004,17.54,18.5,01a57820o0371o
22,57820.400951999996,19.049,7.4,87,645,o,0,1.05,140.15838,-29.95079,7322.92,491.37,4.48,3.5,-53.4,-0.396,15.26,16.36,01a57820o0383o
23,57820.409962,-19.457,8.037,-60,481,o,0,1.09,140.15838,-29.95079,9171.99,10395.4,3.44,3.25,24.8,-0.48700000000000004,15.4,15.79,01a57820o0401o
24,57823.413284,19.642,1.246,50,63,o,0,1.27,140.15838,-29.95079,9259.64,2202.34,3.74,3.39,76.0,-0.513,17.99,18.48,02a57823o0368o
25,57823.427900999995,18.844,0.9470000000000001,105,100,o,0,0.74,140.15838,-29.95079,9246.93,2164.04,5.14,3.83,6.0,-0.446,17.77,18.43,02a57823o0397o
26,57823.442329,19.267,1.138,71,81,o,0,1.01,140.15838,-29.95079,9299.96,2239.44,4.85,3.86,7.6,-0.426,17.75,18.38,02a57823o0425o
27,57823.456389,18.840999999999998,0.768,106,81,o,0,0.9,140.15838,-29.95079,9318.31,2121.09,3.97,3.69,35.2,-0.479,17.84,18.32,02a57823o0452o
28,57823.47152000001,18.698,0.5660000000000001,120,68,o,0,1.41,140.15838,-29.95079,9287.32,2178.1,3.73,3.49,44.5,-0.507,17.83,18.23,02a57823o0481o
29,57827.398616,19.352999999999998,0.8690000000000001,66,57,o,0,1.12,140.15838,-29.95079,2954.08,9388.45,3.51,3.22,16.3,-0.45899999999999996,17.94,18.64,02a57827o0309o
30,57827.412565,19.93,1.5519999999999998,39,60,o,0,1.97,140.15838,-29.95079,2941.3,9346.69,3.43,3.12,8.9,-0.462,17.92,18.6,02a57827o0337o
31,57828.371316,-19.688,0.985,-48,48,o,0,0.79,140.15838,-29.95079,9338.51,935.14,4.35,3.51,-38.8,-0.451,18.41,19.85,01a57828o0304o
32,57828.385840999996,-19.063,0.747,-86,64,o,0,0.85,140.15838,-29.95079,9356.55,975.8,4.47,3.79,-35.7,-0.441,18.13,19.6,01a57828o0333o
33,57828.400062,-20.053,1.25,-35,43,o,0,1.21,140.15838,-29.95079,9292.21,898.69,4.25,3.7,-39.2,-0.447,18.25,19.62,01a57828o0362o
34,57828.414457000006,-19.69,1.673,-48,81,o,0,1.01,140.15838,-29.95079,9270.13,1017.15,4.25,3.71,-40.6,-0.43700000000000006,17.71,18.91,01a57828o0391o
35,57830.351543,20.129,0.872,32,28,o,0,0.99,140.15838,-29.95079,9874.22,9014.13,4.0,3.68,71.8,-0.43200000000000005,18.98,21.0,01a57830o0255o
36,57830.366466,19.871,0.639,41,26,o,0,1.12,140.15838,-29.95079,9891.03,9053.96,3.65,3.27,64.1,-0.45299999999999996,19.11,21.0,01a57830o0285o
37,57830.371510000004,-20.077,1.122,-34,38,o,0,0.97,140.15838,-29.95079,393.81,9178.04,4.47,3.93,58.2,-0.46799999999999997,19.14,21.04,01a57830o0295o
38,57830.380839,-20.108,0.94,-33,31,o,0,0.87,140.15838,-29.95079,9822.2,8975.0,3.97,3.55,68.5,-0.426,18.94,20.83,01a57830o0314o
39,57830.386360000004,20.472,1.63,24,38,o,0,0.93,140.15838,-29.95079,411.11,9216.08,4.63,4.1,60.1,-0.45799999999999996,18.96,20.76,01a57830o0325o
40,57830.395836,20.432000000000002,1.244,24,30,o,0,1.04,140.15838,-29.95079,9804.39,9091.53,3.52,3.18,57.1,-0.46399999999999997,18.87,20.51,01a57830o0344o
41,57830.405684000005,19.349,0.653,66,43,o,0,1.02,140.15838,-29.95079,358.14,9139.44,4.63,4.16,48.6,-0.47600000000000003,18.81,20.49,01a57830o0364o
42,57830.415101,21.02,3.467,14,49,o,0,0.99,140.15838,-29.95079,342.51,9258.03,4.72,4.17,48.9,-0.478,18.79,20.42,01a57830o0383o
43,57831.382254,23.143,13.5,2,27,o,0,0.86,140.15838,-29.95079,321.79,1001.01,4.21,4.01,-50.7,-0.414,18.51,20.04,02a57831o0317o
44,57831.397612,-20.718000000000004,1.2930000000000001,-19,24,o,0,1.23,140.15838,-29.95079,9797.57,1052.82,3.91,3.58,71.8,-0.505,18.6,20.11,02a57831o0346o
45,57831.398095000004,-21.83,3.7689999999999997,-7,25,o,0,1.12,140.15838,-29.95079,306.2,960.71,4.29,4.07,-26.5,-0.40700000000000003,18.51,20.06,02a57831o0347o
