,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57810.528029999994,17.145,0.8540000000000001,504,430,o,0,1.37,164.38359,-14.835020000000002,4307.21,1241.98,3.91,3.8,22.6,-0.5720000000000001,15.94,17.7,01a57810o0603o
1,57810.542398000005,17.019000000000002,0.75,566,424,o,0,1.22,164.38359,-14.835020000000002,4248.81,1164.56,3.93,3.83,30.9,-0.5870000000000001,16.11,17.82,01a57810o0631o
2,57810.556905,-16.05,0.6920000000000001,-1380,955,o,0,0.88,164.38359,-14.835020000000002,4233.26,1282.1,3.94,3.91,36.8,-0.621,15.3,16.97,01a57810o0659o
3,57816.51108,19.815,0.5589999999999999,43,24,o,0,1.07,164.38359,-14.835020000000002,7020.72,926.21,3.85,3.52,-55.2,-0.456,19.13,21.17,01a57816o0576o
4,57816.52570599999,-22.467,6.0,-4,22,o,0,1.23,164.38359,-14.835020000000002,6963.43,830.24,3.83,3.46,-53.7,-0.45899999999999996,19.14,21.18,01a57816o0605o
5,57816.53989099999,21.25,2.167,12,25,o,0,1.25,164.38359,-14.835020000000002,6947.25,948.57,3.88,3.48,-54.9,-0.456,19.09,21.11,01a57816o0633o
6,57818.487365999994,-19.982,0.72,-37,27,o,0,1.23,164.38359,-14.835020000000002,6997.3,143.86,4.51,3.58,-46.0,-0.475,18.9,21.0,01a57818o0534o
7,57818.49933,19.37,0.452,65,29,o,0,1.5,164.38359,-14.835020000000002,1998.17,9924.27,5.28,4.4,11.4,-0.42100000000000004,19.1,21.34,01a57818o0558o
8,57818.502411,21.476,2.385,9,22,o,0,1.43,164.38359,-14.835020000000002,7016.91,203.44,4.41,3.48,-49.6,-0.491,19.12,21.39,01a57818o0564o
9,57818.514554999994,19.227,0.46399999999999997,74,34,o,0,1.26,164.38359,-14.835020000000002,2017.75,9963.26,5.32,4.4,10.4,-0.408,19.12,21.4,01a57818o0588o
10,57818.517552,19.714000000000002,0.53,47,25,o,0,1.32,164.38359,-14.835020000000002,6958.66,106.13,4.36,3.46,-45.6,-0.493,19.1,21.36,01a57818o0594o
11,57818.529209,20.364,1.36,26,35,o,0,1.21,164.38359,-14.835020000000002,1963.28,9882.82,5.3,4.43,12.7,-0.405,19.15,21.4,01a57818o0617o
12,57818.532210000005,21.026999999999997,1.8330000000000002,14,26,o,0,1.32,164.38359,-14.835020000000002,6923.81,224.71,4.64,3.66,-51.5,-0.475,19.05,21.36,01a57818o0623o
13,57818.543255,19.151,0.425,79,34,o,0,1.37,164.38359,-14.835020000000002,1940.85,10003.11,5.37,4.42,15.6,-0.40299999999999997,19.11,21.36,01a57818o0645o
14,57819.472362,19.473,0.469,59,28,o,0,1.57,164.38359,-14.835020000000002,1197.91,1482.05,3.75,3.62,-63.0,-0.45,18.94,20.24,02a57819o0370o
15,57819.487348,20.258,1.043,29,30,o,0,1.04,164.38359,-14.835020000000002,1182.75,1441.18,3.72,3.55,-65.4,-0.46399999999999997,18.97,20.25,02a57819o0399o
16,57819.50301,20.543000000000003,1.222,22,27,o,0,1.06,164.38359,-14.835020000000002,1242.06,1520.15,3.71,3.59,-61.0,-0.451,18.98,20.3,02a57819o0429o
17,57819.518154,19.367,0.38799999999999996,65,25,o,0,1.37,164.38359,-14.835020000000002,1260.57,1402.08,3.8,3.65,-49.8,-0.446,18.99,20.38,02a57819o0458o
18,57819.533349,19.537,0.49200000000000005,56,27,o,0,1.37,164.38359,-14.835020000000002,1226.24,1457.23,3.87,3.68,-28.4,-0.442,19.06,20.58,02a57819o0487o
