,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57810.362057000006,-17.073,0.91,-538,490,o,0,0.96,124.78836000000001,-16.4957,8147.44,4384.92,3.48,3.3,56.7,-0.66,16.22,18.03,01a57810o0281o
1,57810.407146000005,16.32,1.0,1077,1077,o,0,1.31,124.78836000000001,-16.4957,8097.2,4460.98,3.36,3.19,54.8,-0.652,15.05,16.87,01a57810o0368o
2,57811.397336,23.287,8.4,2,15,c,0,1.01,124.78836000000001,-16.4957,264.53,6222.05,3.97,3.8,84.7,-0.38,19.68,21.77,02a57811o0335c
3,57811.411525,20.137999999999998,0.529,32,17,c,0,1.15,124.78836000000001,-16.4957,9989.06,6262.64,4.17,3.52,84.5,-0.45299999999999996,19.66,21.77,02a57811o0362c
4,57811.412564,-20.730999999999998,0.82,-18,15,c,0,1.14,124.78836000000001,-16.4957,249.04,6179.49,4.04,3.86,84.8,-0.36700000000000005,19.63,21.73,02a57811o0364c
5,57811.426677999996,22.057,4.0,6,22,c,0,0.79,124.78836000000001,-16.4957,9972.93,6223.45,4.14,3.5,84.4,-0.45399999999999996,19.43,21.48,02a57811o0391c
6,57811.44179,-18.58,0.528,-134,71,c,0,1.2,124.78836000000001,-16.4957,10034.9,6298.84,4.11,3.47,84.0,-0.446,17.95,19.86,02a57811o0420c
7,57811.44342999999,-18.802,0.519,-109,57,c,0,1.03,124.78836000000001,-16.4957,332.66,6137.7,4.0,3.87,81.5,-0.37,18.03,19.94,02a57811o0423c
8,57811.45688400001,16.375,0.579,1023,592,c,0,1.34,124.78836000000001,-16.4957,10056.18,6180.76,4.1,3.48,83.5,-0.451,15.67,17.57,02a57811o0449c
9,57816.360961,-18.735,0.425,-116,49,o,0,0.81,124.78836000000001,-16.4957,1137.99,4187.99,5.25,4.44,-89.0,-0.41100000000000003,18.93,20.91,01a57816o0277o
10,57816.375625,-17.99,0.21100000000000002,-231,49,o,0,0.82,124.78836000000001,-16.4957,1158.38,4226.05,5.14,4.41,-87.6,-0.40399999999999997,18.96,20.95,01a57816o0306o
11,57816.390566999995,-19.01,0.557,-90,50,o,0,0.85,124.78836000000001,-16.4957,1100.79,4149.8,5.11,4.48,87.2,-0.369,18.95,20.97,01a57816o0336o
12,57816.405634,-18.727999999999998,0.341,-117,40,o,0,0.94,124.78836000000001,-16.4957,1081.85,4266.1,4.77,3.95,-89.3,-0.491,19.04,21.02,01a57816o0366o
13,57818.348925,-18.546,0.436,-139,60,o,0,0.89,124.78836000000001,-16.4957,1129.01,3472.18,5.5,4.6,84.3,-0.315,18.62,20.39,01a57818o0258o
14,57818.364207000006,-19.16,0.755,-79,59,o,0,0.83,124.78836000000001,-16.4957,1149.36,3510.66,4.51,4.27,54.6,-0.441,18.62,20.41,01a57818o0288o
15,57818.37970499999,-18.146,0.36200000000000004,-200,72,o,0,0.84,124.78836000000001,-16.4957,1074.64,3433.54,4.56,4.12,19.5,-0.509,18.6,20.42,01a57818o0319o
16,57818.394733,-18.221,0.41600000000000004,-187,78,o,0,0.85,124.78836000000001,-16.4957,1057.94,3549.86,4.6,4.0,17.4,-0.53,18.58,20.42,01a57818o0349o
17,57819.375091999995,-20.455,2.8939999999999997,-24,69,o,0,1.19,124.78836000000001,-16.4957,1961.0,7953.4,3.47,3.34,41.0,-0.48,18.71,19.81,02a57819o0184o
18,57819.390236,-19.522000000000002,0.9009999999999999,-56,51,o,0,0.96,124.78836000000001,-16.4957,1945.26,7912.02,3.53,3.4,52.0,-0.473,18.68,19.8,02a57819o0213o
19,57819.405953999994,-20.872,4.5,-16,73,o,0,1.05,124.78836000000001,-16.4957,2003.44,7989.61,3.52,3.37,26.8,-0.473,18.66,19.76,02a57819o0243o
20,57819.421175999996,-19.1,0.564,-83,47,o,0,1.06,124.78836000000001,-16.4957,2025.62,7870.52,3.47,3.36,29.6,-0.47700000000000004,18.62,19.68,02a57819o0272o
21,57819.436365999994,19.533,1.245,56,70,o,0,1.65,124.78836000000001,-16.4957,1990.72,7926.05,3.53,3.38,27.5,-0.47600000000000003,18.54,19.57,02a57819o0301o
22,57820.310842,-16.183,4.319,-1221,5273,o,0,1.17,124.78836000000001,-16.4957,8833.82,3757.01,3.92,3.51,-30.3,-0.42100000000000004,13.74,13.68,01a57820o0204o
23,57822.368514,-13.841,1.531,-10555,16160,o,0,1.09,124.78836000000001,-16.4957,505.63,2079.27,10.27,3.59,0.0,-0.259,14.73,14.41,01a57822o0013o
24,57823.376621,-19.180999999999997,0.857,-77,66,o,0,0.8,124.78836000000001,-16.4957,9767.89,8779.47,3.86,3.2,90.0,-0.496,17.96,18.51,02a57823o0295o
25,57823.391624,-19.406,1.14,-63,72,o,0,1.23,124.78836000000001,-16.4957,9753.02,8738.65,4.01,3.89,25.3,-0.473,17.97,18.58,02a57823o0325o
26,57823.39210499999,18.829,1.035,107,110,o,0,1.13,124.78836000000001,-16.4957,59.61,8770.92,4.64,3.81,7.0,-0.431,17.91,18.59,02a57823o0326o
27,57823.40719299999,-18.605999999999998,0.5870000000000001,-131,77,o,0,0.99,124.78836000000001,-16.4957,9811.26,8818.63,4.44,4.24,89.2,-0.43,17.83,18.53,02a57823o0356o
28,57823.40767000001,18.575,0.77,135,104,o,0,0.78,124.78836000000001,-16.4957,80.91,8654.05,4.6,3.88,9.9,-0.405,17.86,18.54,02a57823o0357o
29,57823.421781,-19.004,0.934,-91,85,o,0,1.11,124.78836000000001,-16.4957,9830.6,8700.13,4.33,3.95,9.8,-0.474,17.85,18.47,02a57823o0385o
30,57823.422258000006,17.899,0.7559999999999999,252,190,o,0,0.48,124.78836000000001,-16.4957,45.28,8710.18,4.9,3.76,5.4,-0.45899999999999996,17.81,18.45,02a57823o0386o
31,57823.436001999995,-19.283,1.153,-70,81,o,0,1.0,124.78836000000001,-16.4957,9795.08,8757.01,4.09,3.94,11.5,-0.461,17.84,18.39,02a57823o0413o
32,57826.417938,-19.859,1.113,-41,46,o,0,1.31,124.78836000000001,-16.4957,9282.28,3140.63,3.7,3.35,-47.4,-0.452,18.11,19.17,01a57826o0297o
33,57826.431513999996,-18.773,0.519,-112,58,o,0,0.94,124.78836000000001,-16.4957,8688.32,3727.57,3.78,3.35,-51.3,-0.46299999999999997,18.0,19.08,01a57826o0323o
34,57826.433552999995,-24.158,83.5,-1,66,o,0,1.48,124.78836000000001,-16.4957,1225.31,7294.24,3.56,3.38,74.1,-0.48200000000000004,17.76,18.29,02a57826o0397o
35,57826.445273000005,-19.082,0.746,-84,63,o,0,0.99,124.78836000000001,-16.4957,9568.43,4017.16,3.85,3.43,-43.9,-0.455,17.91,18.94,01a57826o0349o
36,57826.447453,21.631999999999998,9.381,8,76,o,0,1.44,124.78836000000001,-16.4957,1830.96,6716.57,3.5,3.32,83.0,-0.48,17.69,18.16,02a57826o0423o
37,57826.46204,-19.750999999999998,1.3330000000000002,-46,61,o,0,0.94,124.78836000000001,-16.4957,955.43,6411.97,3.61,3.4,82.3,-0.465,17.55,17.97,02a57826o0450o
38,57827.339057000005,23.729,29.333000000000002,1,34,o,0,1.56,124.78836000000001,-16.4957,1561.53,6142.57,3.67,3.47,62.7,-0.45899999999999996,18.17,19.08,02a57827o0190o
39,57827.353525,-18.97,0.396,-94,37,o,0,0.93,124.78836000000001,-16.4957,1543.84,6104.85,3.7,3.46,70.0,-0.456,18.15,19.04,02a57827o0219o
40,57827.368504,-20.04,1.157,-35,40,o,0,0.93,124.78836000000001,-16.4957,1602.86,6181.17,3.69,3.48,69.3,-0.451,18.11,19.0,02a57827o0249o
41,57827.383454999996,-19.997,1.074,-36,39,o,0,1.13,124.78836000000001,-16.4957,1624.84,6063.67,3.6,3.41,65.3,-0.46299999999999997,18.12,18.95,02a57827o0279o
42,57827.398063,-19.625,0.794,-51,41,o,0,0.87,124.78836000000001,-16.4957,1588.47,6118.78,3.55,3.38,68.3,-0.469,18.08,18.87,02a57827o0308o
43,57827.453678,-19.774,1.2919999999999998,-45,58,o,0,1.07,124.78836000000001,-16.4957,1229.22,7288.32,3.5,3.31,58.2,-0.493,17.79,18.41,02a57827o0417o
44,57828.343348,-19.062,0.557,-86,48,o,0,0.86,124.78836000000001,-16.4957,1023.89,4250.81,4.66,3.88,-87.1,-0.429,18.77,20.37,01a57828o0248o
45,57828.357763,-18.247,0.318,-182,58,o,0,0.83,124.78836000000001,-16.4957,1046.33,4287.11,4.57,3.97,-88.5,-0.413,18.67,20.2,01a57828o0277o
46,57828.372303,-19.059,0.6559999999999999,-86,57,o,0,0.89,124.78836000000001,-16.4957,989.04,4210.45,4.53,4.1,82.4,-0.382,18.61,20.13,01a57828o0306o
47,57828.38681900001,-20.362000000000002,2.0869999999999997,-26,54,o,0,1.07,124.78836000000001,-16.4957,972.98,4327.55,5.21,4.47,85.3,-0.39399999999999996,18.48,20.02,01a57828o0335o
48,57830.29526,-19.807000000000002,0.721,-43,31,o,0,0.83,124.78836000000001,-16.4957,9496.22,2449.56,3.97,3.58,20.8,-0.43700000000000006,19.11,21.04,01a57830o0143o
49,57830.310407000004,-20.294,1.0,-28,28,o,0,1.0,124.78836000000001,-16.4957,9515.62,2488.54,3.94,3.53,20.3,-0.43799999999999994,19.13,21.06,01a57830o0173o
50,57830.32500800001,-20.239,0.917,-29,27,o,0,1.07,124.78836000000001,-16.4957,9454.72,2413.33,3.82,3.48,19.7,-0.44799999999999995,19.15,21.09,01a57830o0202o
51,57830.339912,-19.766,0.594,-45,27,o,0,1.17,124.78836000000001,-16.4957,9436.89,2531.09,4.05,3.85,25.2,-0.431,19.02,21.05,01a57830o0232o
52,57831.344213,-20.96,1.474,-15,22,o,0,1.09,124.78836000000001,-16.4957,575.49,7607.5,3.7,3.45,58.5,-0.465,18.61,20.07,02a57831o0241o
53,57831.358217999994,-20.065,0.659,-34,22,o,0,1.11,124.78836000000001,-16.4957,10310.4,7643.64,3.99,3.28,89.3,-0.45899999999999996,18.65,20.16,02a57831o0269o
54,57831.358702,20.038,0.721,35,25,o,0,0.8,124.78836000000001,-16.4957,557.55,7566.64,3.75,3.51,41.0,-0.452,18.61,20.11,02a57831o0270o
55,57831.373274,-20.107,0.7140000000000001,-33,24,o,0,1.12,124.78836000000001,-16.4957,10292.35,7603.7,3.98,3.55,88.8,-0.447,18.59,20.11,02a57831o0299o
56,57831.373758,-19.865,0.594,-41,24,o,0,0.94,124.78836000000001,-16.4957,615.84,7642.99,3.86,3.63,61.6,-0.44299999999999995,18.55,20.05,02a57831o0300o
57,57831.388267999995,-19.46,0.336,-60,20,o,0,1.13,124.78836000000001,-16.4957,10350.99,7681.63,3.99,3.46,86.5,-0.45399999999999996,18.6,20.11,02a57831o0329o
58,57831.38875,-20.159000000000002,0.71,-31,22,o,0,1.01,124.78836000000001,-16.4957,638.45,7525.24,3.94,3.8,55.0,-0.424,18.51,20.05,02a57831o0330o
59,57831.40401699999,-20.839000000000002,1.4409999999999998,-17,24,o,0,1.03,124.78836000000001,-16.4957,10372.75,7562.29,4.1,3.9,78.8,-0.445,18.53,20.11,02a57831o0359o
60,57831.40450800001,-19.435,0.4,-61,24,o,0,0.91,124.78836000000001,-16.4957,603.54,7580.25,4.03,3.83,29.2,-0.419,18.47,20.03,02a57831o0360o
61,57831.419029,21.346999999999998,2.333,10,24,o,0,1.0,124.78836000000001,-16.4957,10337.41,7618.96,4.05,3.39,87.5,-0.462,18.46,19.85,02a57831o0389o
62,57832.283234,-19.898,0.6940000000000001,-40,28,o,0,0.79,124.78836000000001,-16.4957,8403.02,4089.81,3.32,3.06,-4.4,-0.478,19.05,20.74,01a57832o0129o
63,57832.298724,-19.706,0.584,-48,28,o,0,0.98,124.78836000000001,-16.4957,8421.63,4128.72,3.32,3.08,-4.9,-0.48,19.06,20.77,01a57832o0160o
64,57832.314596000004,-20.995,1.9669999999999999,-14,29,o,0,0.79,124.78836000000001,-16.4957,8342.56,4052.53,3.4,3.09,-9.9,-0.473,19.04,20.81,01a57832o0191o
65,57832.329964,22.441999999999997,6.875,4,26,o,0,1.07,124.78836000000001,-16.4957,8324.8,4169.44,3.32,3.13,-17.0,-0.47600000000000003,19.04,20.8,01a57832o0222o
66,57833.279669,-21.921999999999997,4.167,-6,26,o,0,1.0,124.78836000000001,-16.4957,7651.82,1589.38,3.48,3.17,-26.1,-0.47200000000000003,19.05,20.78,01a57833o0121o
67,57833.295104,-19.666,0.516,-49,26,o,0,1.2,124.78836000000001,-16.4957,7670.31,1628.2,3.52,3.18,-29.3,-0.474,19.06,20.82,01a57833o0152o
68,57833.310587,-20.373,1.0,-26,26,o,0,0.92,124.78836000000001,-16.4957,7610.48,1551.83,3.54,3.2,-33.1,-0.469,19.06,20.84,01a57833o0183o
69,57833.325919,-19.153,0.327,-79,26,o,0,1.31,124.78836000000001,-16.4957,7592.17,1669.54,3.53,3.23,-37.4,-0.469,19.06,20.85,01a57833o0214o
70,57834.311748,-18.805,0.299,-109,33,o,0,1.08,124.78836000000001,-16.4957,7974.31,2328.55,4.31,3.94,22.0,-0.426,18.78,20.7,01a57834o0037o
71,57834.32614,-19.746,0.672,-46,31,o,0,1.1,124.78836000000001,-16.4957,7956.62,2444.84,4.1,3.71,21.6,-0.441,18.85,20.7,01a57834o0066o
72,57835.339951999995,-21.135,1.6880000000000002,-13,22,c,0,1.02,124.78836000000001,-16.4957,1045.19,7883.61,3.94,3.65,39.6,-0.44299999999999995,18.94,20.84,02a57835o0151c
73,57835.355004,21.223000000000003,1.767,12,21,c,0,0.92,124.78836000000001,-16.4957,1029.14,7843.6,3.86,3.58,40.7,-0.455,18.94,20.83,02a57835o0180c
74,57835.371225999996,21.305,1.889,11,21,c,0,1.07,124.78836000000001,-16.4957,1085.43,7919.4,3.88,3.6,39.1,-0.456,18.9,20.78,02a57835o0211c
75,57835.387007000005,-21.526,2.4090000000000003,-9,22,c,0,1.11,124.78836000000001,-16.4957,1106.76,7800.84,3.87,3.57,39.7,-0.451,18.89,20.76,02a57835o0241c
76,57835.402629,-19.648,0.488,-50,24,c,0,0.93,124.78836000000001,-16.4957,1072.2,7858.1,3.87,3.56,37.3,-0.452,18.84,20.68,02a57835o0271c
77,57837.299884,-18.942,0.292,-96,28,o,0,1.14,124.78836000000001,-16.4957,7124.06,2975.98,3.71,3.32,-11.0,-0.46799999999999997,18.78,20.44,01a57837o0019o
78,57837.31496799999,-19.882,0.721,-40,29,o,0,0.99,124.78836000000001,-16.4957,7105.68,3092.71,3.77,3.42,-36.5,-0.462,18.76,20.5,01a57837o0048o
