,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57855.60430499999,20.332,1.764,27,47,o,0,1.24,286.71596,-36.95876,4556.94,3119.01,3.46,3.36,-87.7,-0.43700000000000006,17.56,17.9,02a57855o0774o
1,57855.625697,-19.660999999999998,1.03,-50,51,o,0,0.89,286.71596,-36.95876,4584.95,3158.61,3.45,3.4,89.4,-0.439,17.59,17.95,02a57855o0818o
2,57855.642205,-18.694000000000003,0.787,-121,95,o,0,1.36,286.71596,-36.95876,4519.93,3081.1,3.54,3.46,-87.5,-0.436,16.97,16.77,02a57855o0852o
3,57891.60752899999,19.149,0.239,80,19,o,0,1.44,286.71596,-36.95876,4449.86,6044.59,2.5,2.42,-26.4,-0.42,18.77,19.51,02a57891o0421o
4,57891.622739,18.769000000000002,0.41100000000000003,113,46,o,0,7.36,286.71596,-36.95876,4436.42,6004.37,2.44,2.37,-58.6,-0.436,17.84,17.92,02a57891o0450o
5,57895.618165,19.299,0.633,69,44,c,0,1.25,286.71596,-36.95876,5180.55,7791.87,2.87,2.81,0.5,-0.484,17.83,18.87,02a57895o0729c
6,57899.590397,21.961,1.571,6,9,c,0,1.74,286.71596,-36.95876,5053.18,6628.48,2.57,2.43,27.0,-0.479,19.52,21.26,02a57899o0686c
7,57899.607185,-21.476999999999997,1.305,-9,12,c,0,1.59,286.71596,-36.95876,5040.9,6588.3,2.67,2.59,32.0,-0.47100000000000003,19.34,20.91,02a57899o0718c
8,57899.623572000004,18.907,1.422,99,141,c,0,1.25,286.71596,-36.95876,5105.74,6667.73,3.05,2.92,74.2,-0.504,16.77,17.62,02a57899o0749c
9,57903.57849199999,21.432,1.319,10,13,c,0,0.75,286.71596,-36.95876,6775.02,5533.16,2.62,2.54,6.2,-0.441,19.57,21.21,02a57903o0670c
10,57903.594879,21.533,1.111,9,10,c,0,1.46,286.71596,-36.95876,6761.66,5494.3,2.57,2.56,74.3,-0.444,19.61,21.2,02a57903o0702c
11,57903.611748,20.372,0.573,26,15,c,0,1.49,286.71596,-36.95876,6809.67,5572.62,2.65,2.63,-75.9,-0.45299999999999996,19.2,20.39,02a57903o0735c
12,57907.568989,19.7,0.39399999999999996,48,19,o,0,0.97,286.71596,-36.95876,4509.74,6365.54,2.47,2.37,52.0,-0.473,18.95,20.07,02a57907o0543o
13,57907.585804999995,-23.81,14.286,-1,16,o,0,1.11,286.71596,-36.95876,4497.56,6325.53,2.56,2.52,-83.8,-0.473,19.05,20.27,02a57907o0576o
14,57907.602187000004,20.132,0.433,32,14,o,0,1.29,286.71596,-36.95876,4546.78,6403.34,2.21,2.18,82.9,-0.488,19.13,20.12,02a57907o0608o
15,57907.619084000005,18.533,0.9129999999999999,140,128,o,0,1.19,286.71596,-36.95876,4580.45,6285.31,2.68,2.57,-63.0,-0.488,16.76,16.97,02a57907o0641o
16,57911.425279999996,20.410999999999998,1.774,25,44,o,0,1.04,286.71596,-36.95876,3038.93,4199.54,2.12,1.99,25.3,-0.488,17.9,18.25,02a57911o0349o
