,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57816.449366999994,23.848000000000003,14.667,1,15,c,0,1.18,170.8313,5.79991,1804.08,10155.97,3.85,3.36,17.9,-0.425,19.68,21.73,02a57816o0389c
1,57816.449849000004,22.546999999999997,4.7780000000000005,4,17,c,0,1.06,170.8313,5.79991,4701.07,436.33,3.82,3.76,-33.0,-0.424,19.68,21.72,02a57816o0390c
2,57816.454680999996,-21.524,1.5,-9,13,c,0,1.39,170.8313,5.79991,1784.84,10118.83,3.78,3.3,15.6,-0.434,19.69,21.74,02a57816o0400c
3,57816.470119000005,-20.861,0.932,-16,15,c,0,1.23,170.8313,5.79991,4682.79,399.74,3.74,3.65,-28.2,-0.433,19.7,21.72,02a57816o0429c
4,57816.476129999995,19.753,0.355,46,16,c,0,1.03,170.8313,5.79991,4739.18,477.18,3.77,3.72,-43.4,-0.426,19.69,21.72,02a57816o0440c
5,57816.47757,25.105999999999998,47.0,0,16,c,0,1.09,170.8313,5.79991,1844.05,10198.49,3.67,3.14,7.4,-0.435,19.7,21.75,02a57816o0443c
6,57816.487682000006,-21.868000000000002,2.421,-6,16,c,0,1.06,170.8313,5.79991,1861.95,10079.93,3.74,3.28,12.3,-0.42700000000000005,19.69,21.75,02a57816o0461c
7,57816.499766999994,20.683000000000003,0.88,19,17,c,0,1.13,170.8313,5.79991,4761.79,361.18,3.8,3.74,-34.6,-0.42700000000000005,19.69,21.74,02a57816o0485c
8,57816.506311000005,-21.160999999999998,1.212,-12,15,c,0,1.26,170.8313,5.79991,1820.76,10141.3,3.96,3.52,18.3,-0.402,19.66,21.76,02a57816o0496c
9,57816.519749,19.42,0.381,62,24,o,0,1.05,170.8313,5.79991,8969.76,9168.21,3.64,3.34,68.2,-0.48100000000000004,19.16,21.13,01a57816o0593o
