,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57810.574414999995,22.505,47.0,4,170,o,0,1.14,183.01529,6.653969999999999,10157.35,7782.13,3.74,3.12,82.0,-0.62,16.91,18.64,01a57810o0693o
1,57810.63084600001,-16.351,0.413,-1046,432,o,0,0.94,183.01529,6.653969999999999,287.71,7996.88,4.38,4.14,84.7,-0.526,16.35,18.22,01a57810o0802o
2,57816.473879,-21.921999999999997,2.278,-6,14,c,0,1.13,183.01529,6.653969999999999,9719.06,8352.23,3.84,3.36,-86.3,-0.41,19.75,21.84,02a57816o0436c
3,57816.491538,-24.923000000000002,31.0,0,12,c,0,1.16,183.01529,6.653969999999999,743.6,2057.29,4.01,3.78,77.1,-0.395,19.74,21.82,02a57816o0469c
4,57816.510664,20.791999999999998,0.6890000000000001,18,12,c,0,1.57,183.01529,6.653969999999999,803.05,2137.52,4.04,3.78,74.2,-0.386,19.73,21.82,02a57816o0505c
5,57816.520338,-21.116,1.0,-13,13,c,0,1.57,183.01529,6.653969999999999,824.84,2019.0,3.99,3.86,64.1,-0.386,19.72,21.81,02a57816o0524c
6,57816.545499,-21.256,1.28,-11,15,c,0,1.13,183.01529,6.653969999999999,784.22,2076.12,4.52,4.08,7.8,-0.355,19.61,21.8,02a57816o0571c
7,57816.57064,22.061999999999998,3.6,5,20,o,0,1.45,183.01529,6.653969999999999,3072.89,7586.21,3.48,3.38,-89.3,-0.473,19.27,21.28,01a57816o0694o
8,57816.58466,-20.059,0.679,-34,23,o,0,1.05,183.01529,6.653969999999999,3094.14,7625.18,3.69,3.61,83.9,-0.465,19.18,21.23,01a57816o0722o
9,57816.598897,-20.284000000000002,0.745,-28,21,o,0,1.24,183.01529,6.653969999999999,3032.92,7549.1,3.64,3.51,82.5,-0.46799999999999997,19.22,21.22,01a57816o0750o
10,57816.613637,-19.451,0.34700000000000003,-60,21,o,0,1.43,183.01529,6.653969999999999,3016.2,7664.61,3.76,3.63,85.3,-0.45799999999999996,19.17,21.17,01a57816o0779o
11,57818.570469000006,-20.755,1.696,-18,31,o,0,0.89,183.01529,6.653969999999999,3047.04,6871.23,4.26,3.98,-2.0,-0.447,19.18,21.34,01a57818o0699o
12,57818.584548,21.502,3.455,9,31,o,0,1.11,183.01529,6.653969999999999,3067.28,6909.37,4.33,4.11,0.5,-0.49,19.17,21.37,01a57818o0727o
13,57818.599229,-19.189,0.40700000000000003,-77,31,o,0,0.9,183.01529,6.653969999999999,3008.33,6832.09,4.45,4.19,3.8,-0.444,19.07,21.23,01a57818o0756o
14,57818.61332999999,19.996,0.925,36,34,o,0,1.12,183.01529,6.653969999999999,2990.7,6947.45,4.5,4.14,2.5,-0.426,19.02,21.17,01a57818o0784o
15,57820.540537,18.197,2.627,191,502,o,0,1.02,183.01529,6.653969999999999,1039.53,7286.88,4.31,3.92,44.9,-0.503,16.54,17.31,01a57820o0662o
16,57820.554484,19.36,0.603,66,40,o,0,0.95,183.01529,6.653969999999999,1059.88,7324.61,4.54,4.16,56.7,-0.465,18.82,20.45,01a57820o0690o
17,57820.56810599999,-19.605999999999998,1.125,-52,59,o,0,1.19,183.01529,6.653969999999999,1001.59,7247.55,4.73,4.33,57.3,-0.456,18.32,19.88,01a57820o0717o
18,57820.582753999995,-20.345,1.7,-26,45,o,0,0.95,183.01529,6.653969999999999,981.79,7363.47,4.85,4.41,55.2,-0.44799999999999995,18.84,20.87,01a57820o0746o
19,57828.522469,20.3,1.197,28,33,o,0,1.21,183.01529,6.653969999999999,8460.86,5202.78,3.73,3.19,86.3,-0.451,18.14,18.99,02a57828o0575o
20,57828.532105,-20.085,1.386,-34,46,o,0,1.05,183.01529,6.653969999999999,2960.25,7646.94,4.14,4.05,-53.3,-0.45299999999999996,18.43,19.8,01a57828o0626o
21,57828.538983000006,-20.834,1.8119999999999998,-17,30,o,0,1.24,183.01529,6.653969999999999,8443.35,5164.08,3.63,3.11,85.6,-0.446,18.15,18.95,02a57828o0605o
22,57828.54580299999,18.872,0.46399999999999997,103,48,o,0,0.95,183.01529,6.653969999999999,2981.5,7686.54,4.02,3.89,-13.5,-0.5,18.43,19.76,01a57828o0653o
23,57828.55586,-19.922,0.755,-39,30,o,0,1.25,183.01529,6.653969999999999,8505.86,5239.28,3.73,3.19,87.9,-0.44799999999999995,18.1,18.91,02a57828o0636o
24,57828.559345,19.893,1.218,40,49,o,0,1.28,183.01529,6.653969999999999,2920.45,7611.03,3.94,3.77,-4.1,-0.505,18.35,19.58,01a57828o0680o
25,57828.572853,-19.839000000000002,1.22,-42,51,o,0,1.17,183.01529,6.653969999999999,2902.4,7725.75,4.28,4.26,-15.2,-0.445,18.29,19.55,01a57828o0707o
26,57828.57315900001,-20.781999999999996,1.851,-18,33,o,0,1.2,183.01529,6.653969999999999,8526.75,5121.66,3.75,3.22,87.7,-0.445,18.07,18.87,02a57828o0667o
27,57828.591837,-19.265,0.514,-72,37,o,0,0.94,183.01529,6.653969999999999,8489.62,5178.27,3.83,3.4,87.6,-0.445,17.98,18.79,02a57828o0705o
28,57830.528035,-20.759,1.571,-18,28,o,0,1.43,183.01529,6.653969999999999,1706.28,5978.64,3.92,3.49,87.5,-0.49700000000000005,18.78,20.32,01a57830o0610o
29,57830.541986000004,-20.34,1.308,-27,35,o,0,1.09,183.01529,6.653969999999999,1727.03,6016.51,4.06,3.58,89.0,-0.49200000000000005,18.74,20.26,01a57830o0638o
30,57830.555585,-19.988,0.9420000000000001,-37,35,o,0,1.22,183.01529,6.653969999999999,1668.52,5939.29,4.09,3.69,84.2,-0.5,18.74,20.22,01a57830o0665o
31,57830.570114999995,21.57,4.667,8,40,o,0,0.93,183.01529,6.653969999999999,1648.75,6054.04,4.05,3.66,82.1,-0.508,18.73,20.16,01a57830o0694o
32,57832.496885,-20.051,0.6629999999999999,-35,23,o,0,0.97,183.01529,6.653969999999999,1302.83,5170.93,3.69,3.37,65.5,-0.47700000000000004,18.62,19.93,02a57832o0531o
