,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57816.472038,22.355,3.25,4,14,c,0,0.92,178.5599,11.761280000000001,4292.26,2390.36,3.75,3.68,86.4,-0.385,19.75,21.84,02a57816o0433c
1,57816.49296799999,-21.122,1.0,-13,13,c,0,1.36,178.5599,11.761280000000001,4270.73,2355.01,3.8,3.66,82.3,-0.385,19.75,21.84,02a57816o0472c
2,57816.49491,-22.54,3.8,-4,13,c,0,1.22,178.5599,11.761280000000001,4327.89,2432.22,3.79,3.67,83.0,-0.386,19.74,21.83,02a57816o0476c
3,57816.514042999996,-25.033,36.0,0,13,c,0,1.33,178.5599,11.761280000000001,4347.94,2317.1,3.76,3.73,64.5,-0.384,19.72,21.82,02a57816o0512c
4,57816.526205999995,20.162,0.451,31,14,c,0,1.23,178.5599,11.761280000000001,4308.57,2375.03,3.77,3.65,85.3,-0.385,19.73,21.8,02a57816o0534c
5,57816.545863,-20.0,0.591,-36,22,o,0,1.42,178.5599,11.761280000000001,9333.1,7202.78,3.52,3.32,62.4,-0.47700000000000004,19.23,21.21,01a57816o0645o
6,57816.560563,-19.369,0.33299999999999996,-65,22,o,0,1.15,178.5599,11.761280000000001,9354.07,7242.25,3.52,3.33,62.8,-0.473,19.22,21.22,01a57816o0674o
7,57816.575218,-19.21,0.316,-75,24,o,0,1.24,178.5599,11.761280000000001,9296.59,7165.86,3.49,3.3,70.8,-0.484,19.22,21.22,01a57816o0703o
8,57816.589288,-20.072,0.782,-34,27,o,0,0.85,178.5599,11.761280000000001,9278.85,7283.88,3.66,3.51,66.5,-0.474,19.11,21.15,01a57816o0731o
9,57818.534169000006,-19.367,0.35700000000000004,-65,23,o,0,1.09,178.5599,11.761280000000001,9304.45,6486.83,3.68,3.36,-33.8,-0.47600000000000003,19.18,21.41,01a57818o0627o
10,57818.548742,-19.901,0.541,-40,22,o,0,1.04,178.5599,11.761280000000001,9325.35,6526.4,3.56,3.22,-38.9,-0.48200000000000004,19.19,21.38,01a57818o0656o
11,57818.563437,-19.279,0.344,-71,24,o,0,0.88,178.5599,11.761280000000001,9267.1,6449.99,3.67,3.3,-43.6,-0.474,19.14,21.34,01a57818o0685o
12,57818.577541,-19.515,0.384,-57,22,o,0,1.2,178.5599,11.761280000000001,9248.22,6567.13,3.66,3.31,-44.1,-0.475,19.12,21.3,01a57818o0713o
13,57820.515926,-18.076,7.532,-214,1608,o,0,1.2,178.5599,11.761280000000001,7292.18,6911.8,3.38,3.11,-15.5,-0.46299999999999997,15.18,15.61,01a57820o0613o
