,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57922.49540299999,-22.795,8.273,-3,23,o,0,0.93,285.94237999999996,-42.7701,2017.1,6236.63,3.8,3.39,-7.2,-0.40399999999999997,18.86,20.28,01a57922o0518o
1,57922.50572000001,20.894000000000002,1.171,16,19,o,0,1.62,285.94237999999996,-42.7701,2054.71,6314.59,3.7,3.13,-5.2,-0.41700000000000004,18.87,20.25,01a57922o0539o
2,57922.517513,21.284000000000002,1.864,11,21,o,0,1.09,285.94237999999996,-42.7701,2004.76,6287.31,2.92,2.82,-59.0,-0.466,19.01,20.2,01a57922o0562o
3,57922.529313,22.034000000000002,3.733,6,21,o,0,1.43,285.94237999999996,-42.7701,1983.03,6451.46,3.09,2.95,-65.2,-0.455,18.9,20.1,01a57922o0586o
4,57923.473957,-12.674000000000001,0.504,-30930,15578,o,0,0.87,285.94237999999996,-42.7701,770.18,4514.63,2.67,2.13,72.6,-0.45,12.83,15.28,02a57923o0458o
5,57923.489085,-14.470999999999998,0.38299999999999995,-5910,2263,o,0,1.4,285.94237999999996,-42.7701,10481.2,4457.61,3.01,2.39,79.9,-0.466,13.87,16.15,02a57923o0489o
6,57923.496286,-15.497,0.242,-2298,555,o,0,1.13,285.94237999999996,-42.7701,813.5,4550.71,2.53,2.37,71.8,-0.445,15.41,17.2,02a57923o0503o
7,57923.498232000005,-15.571,0.424,-2145,910,o,0,1.15,285.94237999999996,-42.7701,10452.16,4423.08,2.83,2.21,-88.3,-0.531,14.89,16.96,02a57923o0507o
8,57926.486342,21.386,1.696,10,17,o,0,1.39,285.94237999999996,-42.7701,1666.3,6843.31,3.65,3.06,-15.5,-0.431,19.03,20.55,01a57926o0499o
9,57930.47743099999,21.503,1.7619999999999998,9,16,o,0,1.85,285.94237999999996,-42.7701,2740.75,6731.77,3.52,3.13,-37.4,-0.446,19.01,20.49,01a57930o0454o
10,57930.488704999996,20.018,0.469,36,17,o,0,1.66,285.94237999999996,-42.7701,2762.56,6815.06,3.57,3.2,-40.9,-0.44299999999999995,18.96,20.42,01a57930o0477o
11,57930.499513,-19.801,0.47600000000000003,-44,21,o,0,1.54,285.94237999999996,-42.7701,2710.59,6781.83,4.6,3.94,-13.2,-0.408,18.7,20.38,01a57930o0499o
12,57930.511808,19.792,0.541,44,24,o,0,0.9,285.94237999999996,-42.7701,2702.85,6948.14,3.94,3.56,-37.8,-0.436,18.86,20.38,01a57930o0524o
13,57934.458060000004,-20.072,0.47100000000000003,-34,16,o,0,1.62,285.94237999999996,-42.7701,10334.28,3999.03,3.14,2.82,-54.0,-0.48200000000000004,19.03,20.41,01a57934o0450o
14,57934.46789400001,-19.796,0.374,-44,16,o,0,1.77,285.94237999999996,-42.7701,10354.98,4077.57,3.5,3.14,-62.8,-0.444,19.01,20.5,01a57934o0470o
15,57934.471812,0.0,20.673000000000002,0,20,o,0,1.09,285.94237999999996,-42.7701,619.84,4186.13,3.08,2.86,-19.4,-0.486,19.11,20.51,01a57934o0478o
16,57934.47868200001,-23.708000000000002,14.0,-1,17,o,0,1.64,285.94237999999996,-42.7701,10301.42,4042.21,3.54,3.21,-23.5,-0.447,18.98,20.49,01a57934o0492o
17,57934.480158000006,19.977999999999998,0.39299999999999996,37,15,o,0,1.72,285.94237999999996,-42.7701,654.37,4256.69,3.14,2.99,-46.1,-0.48100000000000004,19.06,20.5,01a57934o0495o
18,57934.488989,20.941,1.344,15,20,o,0,1.69,285.94237999999996,-42.7701,601.71,4217.03,3.53,3.12,-18.9,-0.46399999999999997,18.92,20.38,01a57934o0513o
19,57934.490942,-21.451,2.0669999999999997,-10,20,o,0,1.24,285.94237999999996,-42.7701,10291.29,4207.68,3.25,2.86,-57.4,-0.479,19.02,20.38,01a57934o0517o
20,57934.496332,19.715999999999998,0.40299999999999997,47,19,o,0,1.7,285.94237999999996,-42.7701,577.39,4363.47,3.01,2.8,-55.1,-0.499,19.07,20.42,01a57934o0528o
21,57938.453362,19.289,0.486,70,34,o,0,0.99,285.94237999999996,-42.7701,985.25,4041.94,4.29,3.64,-22.9,-0.424,18.3,19.52,01a57938o0332o
22,57938.462877,-18.319000000000003,0.21,-171,36,o,0,2.37,285.94237999999996,-42.7701,1021.44,4117.27,4.28,3.55,-21.3,-0.431,18.32,19.51,01a57938o0350o
23,57938.471785,-21.359,2.8539999999999996,-10,30,o,0,1.15,285.94237999999996,-42.7701,970.37,4077.56,3.87,3.22,-39.5,-0.451,18.45,19.51,01a57938o0368o
24,57938.473275,22.683000000000003,9.833,3,30,o,0,1.31,285.94237999999996,-42.7701,944.07,4201.11,3.85,3.26,-35.0,-0.444,18.39,19.5,01a57938o0371o
25,57948.444874,-20.327,0.635,-27,17,o,0,1.97,285.94237999999996,-42.7701,7454.67,3057.81,2.17,2.09,72.5,-0.47600000000000003,19.0,19.64,02a57948o0407o
26,57948.453784000005,-19.094,0.20800000000000002,-84,17,o,0,2.1,285.94237999999996,-42.7701,7443.38,3018.68,2.17,2.07,76.7,-0.48,19.0,19.62,02a57948o0425o
27,57948.461128999996,-18.963,0.17600000000000002,-94,17,o,0,3.12,285.94237999999996,-42.7701,7502.14,3094.42,2.24,2.13,81.5,-0.47700000000000004,18.95,19.62,02a57948o0440o
28,57948.474673000004,-19.547,0.466,-55,26,o,0,1.18,285.94237999999996,-42.7701,7519.18,2976.53,2.52,2.26,64.8,-0.491,18.78,19.69,02a57948o0466o
