,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57816.53395,23.845,14.667,1,15,c,0,0.86,201.84588,-2.80554,5837.62,3116.54,3.77,3.65,78.4,-0.382,19.68,21.77,02a57816o0549c
1,57816.553461,20.467,0.594,24,14,c,0,1.06,201.84588,-2.80554,5816.16,3081.27,3.73,3.57,82.9,-0.38799999999999996,19.7,21.77,02a57816o0585c
2,57816.562817,20.885,1.0,16,16,c,0,0.91,201.84588,-2.80554,5875.97,3160.99,3.9,3.7,82.7,-0.377,19.66,21.78,02a57816o0602c
3,57816.571327,-20.448,0.545,-24,13,c,0,1.16,201.84588,-2.80554,5893.45,3042.68,3.88,3.71,83.7,-0.38,19.66,21.77,02a57816o0617c
4,57816.59241799999,-23.756999999999998,14.0,-1,16,c,0,0.92,201.84588,-2.80554,5855.73,3102.68,3.98,3.79,84.2,-0.371,19.61,21.75,02a57816o0655c
5,57816.631151,-21.021,1.423,-14,20,o,0,1.44,201.84588,-2.80554,7769.82,6515.43,3.46,3.42,-0.3,-0.484,19.12,21.17,01a57816o0814o
6,57816.64470599999,20.701,1.105,19,21,o,0,1.09,201.84588,-2.80554,7788.24,6554.88,3.28,3.27,23.5,-0.494,19.12,21.07,01a57816o0841o
7,57816.659176,19.387999999999998,1.246,64,80,o,0,0.95,201.84588,-2.80554,7728.96,6478.5,3.28,3.26,15.7,-0.505,17.96,18.84,01a57816o0870o
8,57818.62289400001,-20.701,1.3330000000000002,-19,25,o,0,0.95,201.84588,-2.80554,7739.45,5801.47,3.83,3.41,-47.6,-0.46299999999999997,19.06,21.18,01a57818o0803o
9,57818.635949,22.05,5.0,6,28,o,0,0.95,201.84588,-2.80554,7758.64,5840.0,3.93,3.49,-46.0,-0.45799999999999996,19.0,21.14,01a57818o0829o
10,57818.650911000004,20.738000000000003,1.8619999999999999,18,34,o,0,0.82,201.84588,-2.80554,7700.07,5763.7,4.04,3.55,-47.4,-0.452,18.7,20.57,01a57818o0859o
11,57818.66490900001,21.188000000000002,29.055999999999997,12,353,o,0,1.68,201.84588,-2.80554,7681.9,5881.04,4.15,3.62,-44.2,-0.457,16.69,17.9,01a57818o0887o
