,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57819.601408,19.68,0.812,49,40,o,0,0.97,210.54076,22.872339999999998,253.09,3595.3,5.16,4.07,80.8,-0.34700000000000003,19.18,21.22,01a57819o0709o
1,57819.606812,-21.353,2.1430000000000002,-10,22,o,0,1.31,210.54076,22.872339999999998,9850.01,3414.22,4.31,3.85,-43.2,-0.43200000000000005,19.05,21.23,01a57819o0720o
2,57819.6147,-20.54,1.6,-22,35,o,0,1.14,210.54076,22.872339999999998,273.13,3635.1,4.93,3.98,80.0,-0.33899999999999997,19.18,21.2,01a57819o0733o
3,57819.620748,-22.768,13.0,-3,37,o,0,1.12,210.54076,22.872339999999998,218.92,3556.8,5.16,3.98,76.1,-0.345,19.18,21.18,01a57819o0745o
4,57819.62136799999,-21.315,2.263,-11,24,o,0,0.79,210.54076,22.872339999999998,9833.31,3532.24,3.75,3.3,-42.9,-0.462,19.17,21.16,01a57819o0746o
5,57819.642739999996,-19.811,0.932,-43,40,o,0,0.94,210.54076,22.872339999999998,201.83,3671.64,5.42,4.26,72.7,-0.315,19.14,21.15,01a57819o0787o
6,57827.609879999996,20.265,1.8940000000000001,28,54,o,0,1.01,210.54076,22.872339999999998,2528.79,4684.77,3.91,3.37,-77.2,-0.495,18.17,19.16,01a57827o0743o
7,57827.625148,19.473,0.87,59,51,o,0,1.41,210.54076,22.872339999999998,2549.56,4723.38,4.0,3.45,-86.5,-0.495,18.15,19.13,01a57827o0770o
8,57827.640161,19.709,1.375,48,65,o,0,0.96,210.54076,22.872339999999998,2495.4,4646.38,4.01,3.51,-81.1,-0.496,18.14,19.12,01a57827o0796o
9,57827.654709,-18.108,0.569,-207,118,o,0,0.99,210.54076,22.872339999999998,2479.85,4761.79,3.99,3.56,-80.0,-0.485,17.64,18.11,01a57827o0822o
10,57829.526551999996,-20.698,1.255,-19,24,o,0,1.0,210.54076,22.872339999999998,1650.04,5858.11,3.63,3.37,60.3,-0.46399999999999997,18.41,19.42,02a57829o0557o
11,57829.534625,21.223000000000003,2.0,12,24,o,0,1.0,210.54076,22.872339999999998,8820.85,4553.44,3.55,3.12,-85.6,-0.461,18.41,19.43,02a57829o0572o
12,57829.54283,21.608,2.833,8,23,o,0,1.07,210.54076,22.872339999999998,8875.12,4637.14,3.61,3.17,-87.4,-0.442,18.4,19.44,02a57829o0588o
13,57829.566075,-20.265,0.9159999999999999,-28,26,o,0,0.84,210.54076,22.872339999999998,8890.06,4516.38,3.59,3.16,-85.4,-0.449,18.4,19.42,02a57829o0630o
14,57829.579126,20.945,1.6440000000000001,15,25,o,0,1.09,210.54076,22.872339999999998,8856.38,4578.12,3.52,3.14,-83.8,-0.45799999999999996,18.4,19.41,02a57829o0652o
15,57829.599304999996,-22.383000000000003,9.0,-4,36,o,0,1.05,210.54076,22.872339999999998,1944.89,5171.59,3.99,3.61,-82.2,-0.511,18.73,20.23,01a57829o0686o
16,57829.606653999996,20.559,1.656,22,36,o,0,1.17,210.54076,22.872339999999998,1964.1,5209.02,4.05,3.61,-84.0,-0.503,18.67,20.12,01a57829o0699o
17,57829.623063,21.258000000000003,3.375,11,38,o,0,1.03,210.54076,22.872339999999998,1912.46,5132.45,4.15,3.68,-88.0,-0.518,18.64,20.06,01a57829o0729o
18,57829.637999,21.073,3.235,14,44,o,0,1.12,210.54076,22.872339999999998,1895.41,5248.0,4.38,3.89,-84.4,-0.498,18.56,20.01,01a57829o0755o
19,57831.560857000004,-19.36,0.65,-66,43,o,0,1.23,210.54076,22.872339999999998,10021.15,5173.03,4.4,3.62,42.4,-0.408,18.68,20.53,01a57831o0630o
