,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57823.501193,-19.874000000000002,1.216,-41,50,o,0,1.16,193.08491999999998,-15.960329999999999,3364.16,114.6,3.66,3.41,-19.8,-0.494,18.27,18.84,02a57823o0539o
1,57823.510204,-18.974,0.56,-93,52,o,0,1.04,193.08491999999998,-15.960329999999999,8376.69,9820.47,3.56,3.29,89.7,-0.485,18.28,18.89,02a57823o0557o
2,57823.515104,20.063,1.7790000000000001,34,61,o,0,0.76,193.08491999999998,-15.960329999999999,3345.98,79.36,3.69,3.43,-18.8,-0.488,18.26,18.87,02a57823o0567o
3,57823.524634,-19.63,1.036,-51,53,o,0,1.25,193.08491999999998,-15.960329999999999,8358.36,9782.29,3.55,3.3,-88.0,-0.49200000000000005,18.27,18.89,02a57823o0586o
4,57823.53541799999,21.38,5.32,10,54,o,0,1.27,193.08491999999998,-15.960329999999999,3402.29,158.79,3.73,3.47,-17.3,-0.47600000000000003,18.25,18.87,02a57823o0608o
5,57823.541643,-18.745,0.537,-115,62,o,0,1.0,193.08491999999998,-15.960329999999999,8415.64,9865.29,3.56,3.5,88.1,-0.478,18.24,18.89,02a57823o0621o
6,57823.543075,18.26,15.138,180,2730,o,0,0.0,193.08491999999998,-15.960329999999999,3422.17,40.38,4.07,3.53,-6.5,-0.44799999999999995,18.2,18.86,02a57823o0624o
7,57823.551349,18.385,1.1420000000000001,161,183,o,0,1.06,193.08491999999998,-15.960329999999999,8432.44,9747.89,3.48,3.22,-82.8,-0.465,17.69,18.5,02a57823o0641o
8,57823.564746000004,19.382,2.241,64,144,o,0,1.11,193.08491999999998,-15.960329999999999,3388.77,97.54,4.16,3.49,-5.1,-0.474,17.34,17.54,02a57823o0669o
9,57823.56929400001,18.302,1.706,174,296,o,0,1.16,193.08491999999998,-15.960329999999999,8399.78,9808.2,3.58,3.55,-60.4,-0.47200000000000003,17.74,18.38,02a57823o0678o
10,57828.569880999996,17.304000000000002,0.177,435,77,o,0,1.31,193.08491999999998,-15.960329999999999,2410.19,3188.22,4.27,3.85,-79.9,-0.428,18.02,19.05,01a57828o0701o
11,57828.583422,-18.105,0.46,-208,96,o,0,0.85,193.08491999999998,-15.960329999999999,2429.44,3225.31,4.12,3.86,-86.5,-0.441,17.97,18.98,01a57828o0728o
