,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57816.61052,-20.68,1.0290000000000001,-19,20,o,0,1.35,194.35813000000002,-17.86349,4948.59,6764.85,3.41,3.35,-46.3,-0.478,19.18,21.21,01a57816o0773o
1,57816.624578999996,-20.638,1.212,-20,24,o,0,0.96,194.35813000000002,-17.86349,4967.93,6803.19,3.58,3.52,-51.0,-0.47100000000000003,19.1,21.15,01a57816o0801o
2,57816.639213999995,-20.067,0.725,-34,25,o,0,1.26,194.35813000000002,-17.86349,4912.62,6725.37,3.73,3.66,-61.7,-0.47,19.02,21.06,01a57816o0830o
3,57816.652718,-22.568,10.0,-3,34,o,0,1.06,194.35813000000002,-17.86349,4895.31,6841.96,3.77,3.71,-59.4,-0.46,18.62,20.29,01a57816o0857o
4,57818.602355999996,-19.45,0.38,-60,23,o,0,1.33,194.35813000000002,-17.86349,4920.59,6052.43,4.22,3.8,-36.2,-0.465,19.04,21.22,01a57818o0762o
5,57818.616402,-19.643,0.5670000000000001,-50,29,o,0,0.94,194.35813000000002,-17.86349,4939.98,6090.24,4.42,4.05,-40.1,-0.436,18.97,21.18,01a57818o0790o
6,57818.630463,19.373,0.444,65,29,o,0,0.94,194.35813000000002,-17.86349,4884.31,6011.64,4.28,3.91,-32.9,-0.469,18.97,21.12,01a57818o0818o
7,57818.644476,-19.715999999999998,0.66,-47,31,o,0,1.04,194.35813000000002,-17.86349,4867.86,6127.7,4.5,4.12,-34.4,-0.457,18.82,20.95,01a57818o0846o
8,57819.558077,22.783,7.75,3,22,o,0,1.08,194.35813000000002,-17.86349,7889.77,5322.38,3.57,3.18,88.1,-0.451,19.36,21.05,02a57819o0534o
9,57819.57311799999,-21.344,2.167,-10,23,o,0,1.05,194.35813000000002,-17.86349,7873.49,5283.55,3.58,3.17,87.9,-0.44799999999999995,19.35,21.02,02a57819o0563o
10,57819.588324000004,19.891,0.565,40,23,o,0,0.89,194.35813000000002,-17.86349,7951.7,5361.01,3.59,3.18,89.1,-0.451,19.33,21.01,02a57819o0592o
11,57819.619092999994,-22.204,5.537999999999999,-5,26,o,0,0.99,194.35813000000002,-17.86349,7918.07,5301.02,3.62,3.31,86.4,-0.44299999999999995,19.18,20.77,02a57819o0651o
12,57820.582201,-21.795,7.5,-7,52,o,0,1.19,194.35813000000002,-17.86349,2936.75,6476.99,4.39,4.24,-28.2,-0.42100000000000004,18.18,20.23,01a57820o0745o
13,57820.596191,-19.245,0.5479999999999999,-73,40,o,0,0.98,194.35813000000002,-17.86349,2957.41,6514.32,4.08,3.97,-26.4,-0.489,18.62,20.64,01a57820o0773o
14,57820.609861000004,20.084,1.4,34,47,o,0,1.19,194.35813000000002,-17.86349,2900.26,6437.33,4.36,4.19,-20.2,-0.46299999999999997,18.55,20.59,01a57820o0800o
15,57820.62385,-20.123,1.7919999999999998,-32,58,o,0,0.88,194.35813000000002,-17.86349,2883.2,6552.67,4.21,4.02,-14.7,-0.509,18.47,20.43,01a57820o0828o
16,57823.510204,-22.787,15.5,-3,43,o,0,1.25,194.35813000000002,-17.86349,5988.9,6120.22,3.48,3.28,83.0,-0.449,18.28,18.89,02a57823o0557o
17,57823.524634,-19.305,0.675,-69,46,o,0,1.04,194.35813000000002,-17.86349,5971.4,6082.38,3.5,3.3,83.1,-0.441,18.27,18.89,02a57823o0586o
18,57823.541643,-21.468000000000004,5.231,-9,49,o,0,0.87,194.35813000000002,-17.86349,6027.23,6163.94,3.52,3.43,78.9,-0.441,18.24,18.89,02a57823o0621o
19,57823.551349,-19.27,1.6,-71,114,o,0,0.97,194.35813000000002,-17.86349,6044.54,6048.21,3.45,3.22,87.9,-0.489,17.69,18.5,02a57823o0641o
20,57823.56929400001,18.935,1.3880000000000001,97,134,o,0,0.87,194.35813000000002,-17.86349,6012.43,6107.44,3.46,3.36,85.2,-0.45,17.74,18.38,02a57823o0678o
21,57828.569880999996,-20.135,2.085,-32,67,o,0,1.12,194.35813000000002,-17.86349,4841.53,6826.88,3.92,3.64,-35.4,-0.47200000000000003,18.02,19.05,01a57828o0701o
22,57828.583422,20.267,2.805,28,80,o,0,0.89,194.35813000000002,-17.86349,4859.91,6864.44,3.91,3.65,-32.1,-0.474,17.97,18.98,01a57828o0728o
23,57828.59701900001,-19.173,1.069,-78,83,o,0,1.03,194.35813000000002,-17.86349,4803.83,6787.5,4.19,3.94,-40.3,-0.441,17.88,18.91,01a57828o0755o
24,57828.610602999994,-20.718000000000004,5.13,-19,96,o,0,0.93,194.35813000000002,-17.86349,4787.54,6904.01,4.19,4.04,-54.9,-0.449,17.79,18.78,01a57828o0782o
25,57830.565672000004,-19.067,0.431,-86,37,o,0,0.98,194.35813000000002,-17.86349,3602.94,5168.46,3.62,3.38,-80.7,-0.475,18.58,19.98,01a57830o0685o
26,57830.579722,22.136999999999997,8.125,5,41,o,0,0.82,194.35813000000002,-17.86349,3621.67,5206.34,3.68,3.51,-71.6,-0.475,18.54,19.93,01a57830o0713o
27,57830.593209000006,22.279,9.571,4,43,o,0,0.68,194.35813000000002,-17.86349,3566.1,5128.79,3.67,3.48,-69.1,-0.483,18.53,19.87,01a57830o0740o
28,57830.607273,-22.08,9.286,-5,50,o,0,0.6,194.35813000000002,-17.86349,3549.57,5244.42,4.07,3.84,-67.5,-0.449,18.38,19.77,01a57830o0768o
29,57831.527498,-20.344,0.853,-26,23,o,0,1.04,194.35813000000002,-17.86349,6521.47,5000.41,3.73,3.5,89.1,-0.42100000000000004,18.4,19.58,02a57831o0604o
30,57831.542026999996,0.0,20.465,0,24,o,0,1.18,194.35813000000002,-17.86349,6504.08,4961.33,3.78,3.7,88.9,-0.405,18.34,19.55,02a57831o0633o
31,57831.556085000004,22.674,8.0,3,25,o,0,1.05,194.35813000000002,-17.86349,6559.44,5039.02,3.99,3.75,86.8,-0.4,18.27,19.5,02a57831o0661o
32,57831.584814999995,24.688000000000002,54.0,0,26,o,0,1.22,194.35813000000002,-17.86349,6545.11,4979.36,4.07,4.03,18.1,-0.389,18.15,19.39,02a57831o0718o
33,57832.55392200001,-20.366,1.286,-26,33,o,0,1.09,194.35813000000002,-17.86349,2519.48,6815.55,4.14,3.95,-89.4,-0.44299999999999995,18.78,20.48,01a57832o0671o
34,57832.56836699999,-18.977,0.39299999999999996,-93,37,o,0,0.83,194.35813000000002,-17.86349,2540.35,6854.18,3.73,3.7,38.1,-0.501,18.84,20.45,01a57832o0700o
35,57832.582772,-19.94,0.9,-38,34,o,0,1.16,194.35813000000002,-17.86349,2483.44,6777.83,4.14,3.99,85.8,-0.46,18.75,20.39,01a57832o0729o
36,57832.596828999995,-19.227999999999998,0.511,-74,38,o,0,1.03,194.35813000000002,-17.86349,2463.25,6894.65,4.15,4.05,86.8,-0.452,18.72,20.35,01a57832o0757o
37,57833.550098,-19.187,0.374,-77,29,o,0,1.35,194.35813000000002,-17.86349,1778.21,4337.86,4.18,3.61,-83.1,-0.512,18.91,20.6,01a57833o0664o
38,57833.564589999994,-21.436,3.846,-10,37,o,0,0.88,194.35813000000002,-17.86349,1797.58,4376.77,4.23,3.72,-83.5,-0.507,18.86,20.53,01a57833o0693o
39,57833.578954,20.575,1.778,21,38,o,0,0.95,194.35813000000002,-17.86349,1740.99,4299.69,4.34,3.83,-84.2,-0.505,18.81,20.47,01a57833o0722o
40,57833.59346799999,-19.4,0.575,-63,36,o,0,1.05,194.35813000000002,-17.86349,1723.53,4415.17,4.37,3.88,-88.9,-0.456,18.77,20.39,01a57833o0751o
41,57834.56308099999,20.581999999999997,1.4809999999999999,21,32,o,0,1.16,194.35813000000002,-17.86349,2163.77,5141.6,4.36,3.93,-82.0,-0.47600000000000003,18.91,20.74,01a57834o0541o
42,57834.577701,-19.276,0.493,-71,35,o,0,1.02,194.35813000000002,-17.86349,2108.71,5066.39,5.07,4.45,-86.9,-0.431,18.74,20.72,01a57834o0570o
43,57834.59232,-19.727999999999998,0.7020000000000001,-47,33,o,0,1.17,194.35813000000002,-17.86349,2088.8,5182.5,4.99,4.39,-81.9,-0.415,18.63,20.68,01a57834o0599o
44,57835.522338999996,21.275,1.6669999999999998,11,19,c,0,0.93,194.35813000000002,-17.86349,6982.06,5269.67,3.76,3.54,87.6,-0.41,18.76,20.55,02a57835o0500c
45,57835.537589,20.644000000000002,0.745,20,15,c,0,1.32,194.35813000000002,-17.86349,6964.8,5232.28,3.75,3.54,-89.9,-0.40299999999999997,18.93,20.72,02a57835o0529c
46,57835.55353,-20.285999999999998,2.0,-28,56,c,0,1.13,194.35813000000002,-17.86349,7022.13,5307.74,4.01,3.76,83.4,-0.385,17.73,19.44,02a57835o0559c
47,57835.56978,21.909000000000002,5.667000000000001,6,36,c,0,1.25,194.35813000000002,-17.86349,7043.54,5189.19,3.78,3.74,10.7,-0.406,18.21,19.83,02a57835o0590c
48,57837.537259000004,-19.004,0.4,-91,36,o,0,0.88,194.35813000000002,-17.86349,1299.38,5764.07,4.89,4.47,83.1,-0.47100000000000003,18.97,20.93,01a57837o0474o
49,57837.552465,-19.186,0.47200000000000003,-77,36,o,0,1.12,194.35813000000002,-17.86349,1319.07,5801.94,4.95,4.63,80.5,-0.456,18.92,20.87,01a57837o0503o
50,57837.581464999996,-19.918,1.031,-39,40,o,0,1.21,194.35813000000002,-17.86349,1248.03,5839.56,5.44,4.95,82.2,-0.435,18.81,20.77,01a57837o0558o
51,57838.546802,-19.727,0.5539999999999999,-47,26,o,0,1.1,194.35813000000002,-17.86349,3863.54,5320.66,4.54,4.13,-67.4,-0.40399999999999997,18.96,21.09,01a57838o0563o
52,57838.561936,-21.396,2.6919999999999997,-10,27,o,0,1.01,194.35813000000002,-17.86349,3806.83,5244.23,4.27,3.91,-65.1,-0.431,18.99,21.03,01a57838o0592o
53,57838.57611,-19.835,0.585,-42,25,o,0,1.44,194.35813000000002,-17.86349,3791.4,5357.93,4.35,3.97,-65.0,-0.426,18.94,20.95,01a57838o0619o
54,57839.506148,20.062,0.505,34,17,c,0,0.97,194.35813000000002,-17.86349,7099.1,4803.08,3.7,3.47,-87.7,-0.41100000000000003,18.96,20.72,02a57839o0545c
55,57839.53748099999,-20.739,0.882,-18,16,c,0,0.98,194.35813000000002,-17.86349,7137.02,4839.73,3.71,3.5,-87.6,-0.409,18.96,20.75,02a57839o0604c
56,57839.56879,20.855999999999998,1.111,16,18,c,0,0.87,194.35813000000002,-17.86349,7124.16,4780.22,3.73,3.52,-86.7,-0.401,18.9,20.66,02a57839o0663c
57,57842.522088,19.437,0.49200000000000005,61,30,o,0,1.08,194.35813000000002,-17.86349,2449.19,7849.17,4.81,4.55,-80.0,-0.375,18.92,20.86,01a57842o0591o
58,57842.536804999996,-21.079,2.3569999999999998,-13,32,o,0,1.14,194.35813000000002,-17.86349,2466.89,7888.46,4.85,4.59,-71.2,-0.371,18.88,20.76,01a57842o0619o
59,57842.551599,-20.114,1.0,-33,33,o,0,1.16,194.35813000000002,-17.86349,2410.35,7811.24,5.1,4.83,-66.6,-0.355,18.82,20.71,01a57842o0647o
60,57842.566385000006,-20.594,3.105,-21,65,o,0,0.46,194.35813000000002,-17.86349,2391.26,7927.25,5.23,4.92,-77.7,-0.345,18.78,20.67,01a57842o0675o
61,57843.497326,-20.02,0.575,-36,20,c,0,0.85,194.35813000000002,-17.86349,8032.72,6286.3,3.97,3.89,66.5,-0.384,18.84,20.69,02a57843o0508c
62,57843.513032,-21.274,2.16,-11,24,c,0,0.87,194.35813000000002,-17.86349,8016.5,6246.39,4.08,3.82,84.5,-0.39,18.69,20.45,02a57843o0538c
63,57845.510572,-21.304000000000002,2.533,-11,28,o,0,1.07,194.35813000000002,-17.86349,3608.3,7765.79,4.02,3.91,-51.1,-0.439,18.91,20.8,01a57845o0547o
64,57845.52646,-19.884,0.7759999999999999,-40,31,o,0,0.92,194.35813000000002,-17.86349,3627.32,7804.08,4.31,4.22,-57.7,-0.41600000000000004,18.8,20.74,01a57845o0577o
65,57845.541859000004,-19.172,0.41200000000000003,-78,32,o,0,1.11,194.35813000000002,-17.86349,3569.83,7727.19,4.25,4.1,-57.9,-0.426,18.78,20.65,01a57845o0606o
66,57846.510078,-19.174,0.461,-78,36,o,0,0.95,194.35813000000002,-17.86349,2330.64,7035.51,5.06,4.75,-70.1,-0.35600000000000004,18.71,20.65,01a57846o0331o
67,57846.525324,-19.484,0.588,-58,34,o,0,1.22,194.35813000000002,-17.86349,2347.45,7076.55,5.28,5.09,-82.6,-0.359,18.65,20.66,01a57846o0360o
68,57846.54115700001,23.019000000000002,16.5,2,37,o,0,1.4,194.35813000000002,-17.86349,2291.49,7000.3,5.27,5.0,-86.3,-0.354,18.61,20.6,01a57846o0390o
69,57846.556474000005,-20.557,1.65,-22,36,o,0,1.11,194.35813000000002,-17.86349,2272.91,7116.11,5.16,4.84,-83.8,-0.361,18.61,20.57,01a57846o0419o
70,57847.486053,21.377,1.815,10,18,c,0,1.05,194.35813000000002,-17.86349,7832.25,4892.7,3.89,3.66,89.7,-0.387,18.79,20.43,02a57847o0498c
71,57847.501774000004,-20.822,0.9570000000000001,-17,16,c,0,0.92,194.35813000000002,-17.86349,7816.57,4853.24,3.83,3.58,-89.6,-0.39899999999999997,18.87,20.6,02a57847o0528c
72,57847.51749400001,-20.938000000000002,1.071,-15,16,c,0,1.08,194.35813000000002,-17.86349,7876.44,4928.25,3.8,3.53,-89.3,-0.40399999999999997,18.86,20.57,02a57847o0558c
73,57847.533172,20.242,0.64,29,19,c,0,1.02,194.35813000000002,-17.86349,7894.78,4812.43,3.91,3.65,88.1,-0.39,18.81,20.51,02a57847o0588c
74,57847.548842,-21.506999999999998,2.19,-9,20,c,0,0.98,194.35813000000002,-17.86349,7858.79,4870.0,4.08,3.87,88.8,-0.377,18.72,20.48,02a57847o0618c
75,57849.476628,23.078000000000003,17.333,2,37,o,0,1.16,194.35813000000002,-17.86349,2608.47,6239.74,4.05,3.83,-84.6,-0.442,18.46,20.04,01a57849o0514o
76,57849.49361699999,-21.335,3.529,-11,38,o,0,1.01,194.35813000000002,-17.86349,2629.37,6277.67,3.79,3.56,-85.4,-0.455,18.53,20.02,01a57849o0549o
77,57849.508758,20.73,2.1109999999999998,18,39,o,0,1.07,194.35813000000002,-17.86349,2554.73,6201.31,3.98,3.74,-89.4,-0.449,18.46,19.99,01a57849o0580o
78,57849.523479999996,-20.452,1.828,-24,44,o,0,0.9,194.35813000000002,-17.86349,2535.29,6317.42,4.38,4.13,-74.5,-0.429,18.36,19.97,01a57849o0610o
79,57851.472492999994,21.038,2.971,14,42,o,0,1.15,194.35813000000002,-17.86349,6061.45,6172.96,3.93,3.39,1.3,-0.446,17.76,18.41,02a57851o0414o
80,57851.488686000004,-21.248,3.958,-12,46,o,0,1.06,194.35813000000002,-17.86349,6043.09,6133.64,4.52,3.48,0.4,-0.434,17.65,18.38,02a57851o0447o
81,57851.50500700001,20.570999999999998,2.167,22,46,o,0,0.95,194.35813000000002,-17.86349,6118.49,6210.36,3.38,3.32,-55.6,-0.48100000000000004,17.8,18.31,02a57851o0480o
82,57851.521200999996,-20.408,1.8030000000000002,-25,45,o,0,1.0,194.35813000000002,-17.86349,6141.18,6093.03,3.34,3.28,-46.9,-0.478,17.77,18.24,02a57851o0513o
83,57851.536951999995,19.730999999999998,0.992,46,46,o,0,1.18,194.35813000000002,-17.86349,6106.94,6150.29,3.31,3.25,-40.8,-0.483,17.74,18.17,02a57851o0545o
84,57857.47629299999,-16.756,3.812,-721,2748,o,0,1.12,194.35813000000002,-17.86349,2475.55,5235.18,3.95,3.54,-84.7,-0.5429999999999999,14.66,14.61,01a57857o0394o
85,57857.489465,16.109,0.633,1307,827,o,0,0.19,194.35813000000002,-17.86349,2494.32,5272.56,3.83,3.4,-84.3,-0.455,17.15,17.69,01a57857o0421o
86,57857.503202,-17.883,1.13,-255,288,o,0,1.08,194.35813000000002,-17.86349,2435.64,5196.99,4.19,3.68,-84.2,-0.431,16.58,16.95,01a57857o0449o
87,57857.516993,18.782,2.9760000000000004,112,332,o,0,0.7,194.35813000000002,-17.86349,2415.48,5313.66,4.24,3.73,-84.5,-0.414,16.57,17.13,01a57857o0477o
88,57858.470223000004,21.814,7.332999999999999,7,50,o,0,1.06,194.35813000000002,-17.86349,2758.13,5712.81,4.32,3.84,-80.4,-0.41600000000000004,18.23,19.54,01a57858o0302o
89,57858.499394000006,-21.052,4.471,-14,62,o,0,0.84,194.35813000000002,-17.86349,2718.93,5673.69,4.46,3.98,-78.0,-0.4,18.12,19.39,01a57858o0361o
90,57858.513189,-19.248,0.7909999999999999,-73,57,o,0,1.02,194.35813000000002,-17.86349,2701.22,5788.46,4.57,4.08,-76.6,-0.38799999999999996,18.09,19.33,01a57858o0389o
91,57859.474242,20.445,1.222,24,30,o,0,1.05,194.35813000000002,-17.86349,5684.07,3326.85,3.58,3.49,77.4,-0.439,18.19,19.19,02a57859o0497o
92,57859.488278,19.607,0.496,52,26,o,0,1.34,194.35813000000002,-17.86349,5742.31,3402.98,3.6,3.5,88.3,-0.43200000000000005,18.17,19.14,02a57859o0524o
93,57859.503377999994,20.19,1.078,30,33,o,0,0.95,194.35813000000002,-17.86349,5763.7,3286.79,3.64,3.54,72.2,-0.42700000000000005,18.11,19.06,02a57859o0553o
94,57861.52749099999,20.256,1.6669999999999998,29,48,o,0,0.84,194.35813000000002,-17.86349,2248.44,7034.83,5.18,4.68,-80.5,-0.361,17.92,19.37,01a57861o0302o
95,57861.539548,19.127,0.606,81,49,o,0,0.87,194.35813000000002,-17.86349,2265.32,7072.47,5.38,4.92,-82.4,-0.33299999999999996,17.83,19.26,01a57861o0326o
96,57861.551923,19.891,1.375,40,55,o,0,0.99,194.35813000000002,-17.86349,2207.77,6994.35,5.44,5.27,-34.6,-0.335,17.69,19.11,01a57861o0351o
97,57862.535327,-20.169,1.105,-31,34,o,0,1.48,194.35813000000002,-17.86349,2724.65,4218.4,4.32,3.9,-86.4,-0.429,17.81,19.25,01a57862o0069o
98,57862.545201,19.576,0.809,54,43,o,0,1.05,194.35813000000002,-17.86349,2742.82,4256.36,4.26,3.77,-82.2,-0.433,17.79,19.14,01a57862o0089o
99,57863.474922,18.836,0.153,106,16,c,0,1.1,194.35813000000002,-17.86349,6207.9,6053.14,3.66,3.47,84.2,-0.409,18.88,20.59,02a57863o0459c
100,57863.487016,18.968,0.16699999999999998,94,16,c,0,1.19,194.35813000000002,-17.86349,6191.22,6013.75,3.67,3.49,85.2,-0.40399999999999997,18.84,20.54,02a57863o0482c
101,57863.499123,18.624000000000002,0.133,129,17,c,0,1.18,194.35813000000002,-17.86349,6250.21,6089.31,3.65,3.45,84.4,-0.409,18.77,20.37,02a57863o0505c
102,57863.512303999996,19.172,0.221,78,17,c,0,1.42,194.35813000000002,-17.86349,6270.01,5972.02,3.67,3.47,83.9,-0.40399999999999997,18.63,20.09,02a57863o0530c
103,57863.52538099999,18.739,0.188,116,22,c,0,0.98,194.35813000000002,-17.86349,6233.38,6028.99,3.66,3.48,85.4,-0.40299999999999997,18.51,19.87,02a57863o0555c
104,57865.510151,18.507,0.192,144,28,o,0,1.23,194.35813000000002,-17.86349,4443.3,6024.95,3.6,3.42,-71.2,-0.462,18.19,19.74,01a57865o0594o
105,57865.52256900001,19.744,1.486,46,68,o,0,0.86,194.35813000000002,-17.86349,4459.2,6064.27,3.77,3.54,-59.5,-0.441,17.35,18.86,01a57865o0619o
106,57865.535853999994,19.824,1.806,43,77,o,0,1.02,194.35813000000002,-17.86349,4402.6,5985.9,3.76,3.51,-65.2,-0.44299999999999995,17.2,18.63,01a57865o0646o
107,57866.509574,-16.687,0.785,-768,603,o,0,0.89,194.35813000000002,-17.86349,2316.61,5352.18,3.91,3.56,-83.3,-0.45299999999999996,15.47,16.94,01a57866o0595o
108,57866.522523,18.081,0.545,213,116,o,0,0.98,194.35813000000002,-17.86349,2333.95,5389.56,4.03,3.63,-87.0,-0.445,17.08,18.57,01a57866o0621o
109,57866.535424,-19.945999999999998,3.6189999999999998,-38,138,o,0,1.22,194.35813000000002,-17.86349,2276.94,5310.82,4.16,3.77,-81.0,-0.452,17.01,18.5,01a57866o0647o
110,57869.501479,18.235,0.168,184,31,o,0,1.13,194.35813000000002,-17.86349,3745.87,7391.03,3.58,3.49,-89.1,-0.466,18.22,19.73,01a57869o0471o
111,57869.513857000005,18.122,0.161,205,33,o,0,1.05,194.35813000000002,-17.86349,3763.86,7428.64,3.74,3.7,-66.8,-0.455,18.16,19.71,01a57869o0496o
112,57869.52675599999,17.958,0.146,238,35,o,0,0.97,194.35813000000002,-17.86349,3706.22,7349.89,3.88,3.79,-66.4,-0.445,18.06,19.57,01a57869o0522o
113,57871.429433000005,17.695,0.038,304,12,c,0,1.57,194.35813000000002,-17.86349,9188.45,4955.78,2.9,2.71,40.6,-0.467,19.46,20.76,02a57871o0238c
114,57871.445215,17.641,0.038,319,12,c,0,1.86,194.35813000000002,-17.86349,9172.19,4916.43,2.89,2.66,34.0,-0.469,19.43,20.63,02a57871o0268c
115,57871.460537,17.663,0.040999999999999995,312,13,c,0,1.3,194.35813000000002,-17.86349,9229.24,4992.91,2.89,2.68,34.8,-0.467,19.39,20.57,02a57871o0297c
116,57871.476323,17.768,0.051,284,14,c,0,0.96,194.35813000000002,-17.86349,9249.06,4876.22,3.13,2.87,35.4,-0.45899999999999996,19.3,20.52,02a57871o0327c
117,57871.49209299999,17.667,0.048,311,15,c,0,0.85,194.35813000000002,-17.86349,9214.69,4935.31,3.03,2.8,38.6,-0.462,19.26,20.42,02a57871o0357c
118,57879.410672000005,17.718,0.07400000000000001,297,22,o,0,1.2,194.35813000000002,-17.86349,5666.0,4509.42,2.26,2.12,31.1,-0.47700000000000004,18.62,18.86,02a57879o0360o
119,57879.441688,17.542,0.083,349,29,o,0,0.93,194.35813000000002,-17.86349,5707.87,4545.58,2.29,2.19,25.1,-0.478,18.5,18.78,02a57879o0419o
