,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57818.445564,-20.122,0.7879999999999999,-32,26,o,0,1.1,153.80624,0.9562700000000001,7845.34,8162.55,3.86,3.57,-18.3,-0.449,18.78,20.74,01a57818o0450o
1,57818.454561,20.488000000000003,1.079,23,25,o,0,1.11,153.80624,0.9562700000000001,7865.73,8201.78,3.79,3.52,-26.5,-0.45299999999999996,18.81,20.74,01a57818o0468o
2,57818.475923000005,23.232,15.0,2,28,o,0,0.86,153.80624,0.9562700000000001,7804.97,8125.83,3.83,3.55,-30.3,-0.449,18.85,20.82,01a57818o0511o
3,57818.490887,20.885,1.6540000000000001,16,27,o,0,1.03,153.80624,0.9562700000000001,7788.03,8242.98,3.88,3.53,-19.5,-0.449,18.95,21.02,01a57818o0541o
4,57820.425608000005,-17.954,3.0060000000000002,-239,719,o,0,0.97,153.80624,0.9562700000000001,5854.94,8575.64,3.67,3.37,-6.7,-0.462,16.2,16.58,01a57820o0432o
5,57820.469669000006,12.849,2.0780000000000003,26323,54705,o,0,1.21,153.80624,0.9562700000000001,5796.73,8656.31,3.52,3.23,-39.4,-0.48700000000000004,12.0,11.97,01a57820o0520o
6,57828.416917999995,-20.680999999999997,2.364,-19,46,o,0,1.18,153.80624,0.9562700000000001,7761.41,8942.1,3.28,3.17,19.3,-0.502,18.16,19.32,01a57828o0396o
7,57828.43027899999,19.74,0.809,46,37,o,0,1.1,153.80624,0.9562700000000001,7781.77,8980.64,3.26,3.19,34.1,-0.498,18.49,19.85,01a57828o0423o
8,57828.43909,-19.487000000000002,1.505,-58,88,o,0,1.19,153.80624,0.9562700000000001,3669.48,3832.57,3.55,3.45,88.2,-0.42700000000000005,17.08,17.78,02a57828o0420o
9,57828.444704999994,-21.169,2.72,-12,34,o,0,0.92,153.80624,0.9562700000000001,7720.99,8903.39,3.25,3.19,5.6,-0.498,18.66,20.14,01a57828o0452o
10,57828.456713,17.929000000000002,1.235,244,302,o,0,1.68,153.80624,0.9562700000000001,3653.55,3793.94,3.57,3.46,-87.0,-0.41,15.71,15.82,02a57828o0453o
11,57828.458077999996,19.986,1.014,37,37,o,0,0.86,153.80624,0.9562700000000001,7701.59,9021.05,3.25,3.17,-6.2,-0.498,18.59,20.01,01a57828o0479o
12,57828.474538999995,-19.812,0.856,-43,37,o,0,1.16,153.80624,0.9562700000000001,3715.55,3869.84,3.57,3.48,-77.9,-0.42100000000000004,17.9,18.72,02a57828o0486o
13,57828.492127,-19.781,0.7140000000000001,-44,32,o,0,0.88,153.80624,0.9562700000000001,3735.6,3752.17,3.57,3.46,-71.1,-0.426,18.18,19.07,02a57828o0519o
14,57828.508752999995,20.367,1.275,26,33,o,0,0.99,153.80624,0.9562700000000001,3698.03,3808.18,3.54,3.48,-68.3,-0.42200000000000004,18.13,18.97,02a57828o0550o
15,57830.411123000005,-20.686999999999998,1.143,-19,22,o,0,1.2,153.80624,0.9562700000000001,6514.23,7266.22,3.12,3.03,20.8,-0.501,19.04,20.79,01a57830o0375o
16,57830.425665999996,21.747,3.625,7,26,o,0,0.82,153.80624,0.9562700000000001,6536.95,7305.92,3.09,3.03,18.9,-0.506,19.01,20.72,01a57830o0404o
17,57830.447442,-21.217,2.227,-12,26,o,0,1.06,153.80624,0.9562700000000001,6476.87,7229.75,3.37,3.32,-19.4,-0.488,18.85,20.59,01a57830o0448o
18,57830.45086799999,20.855,1.484,16,24,o,0,1.32,153.80624,0.9562700000000001,6456.79,7347.73,3.35,3.3,0.6,-0.486,18.86,20.58,01a57830o0455o
19,57832.398632000004,20.535,1.136,22,25,o,0,0.87,153.80624,0.9562700000000001,5428.8,8912.79,3.38,3.24,7.7,-0.48100000000000004,19.09,21.0,01a57832o0360o
20,57832.415067999995,20.541,1.021,22,22,o,0,1.05,153.80624,0.9562700000000001,5450.21,8952.06,3.23,3.12,7.7,-0.49,19.13,20.97,01a57832o0393o
21,57832.425891,-21.416,1.704,-10,17,o,0,1.05,153.80624,0.9562700000000001,6284.89,3823.87,3.56,3.41,-82.5,-0.433,18.72,20.15,02a57832o0397o
22,57832.428465,21.285999999999998,2.043,11,23,o,0,1.4,153.80624,0.9562700000000001,5390.98,8874.42,3.27,3.17,2.4,-0.488,19.12,20.97,01a57832o0420o
23,57832.443928,23.136999999999997,12.5,2,25,o,0,1.04,153.80624,0.9562700000000001,5371.1,8993.22,3.37,3.23,3.9,-0.48,19.06,20.9,01a57832o0451o
24,57832.443957,21.484,2.154,9,20,o,0,0.82,153.80624,0.9562700000000001,6265.47,3786.01,3.49,3.32,-78.7,-0.446,18.72,20.1,02a57832o0431o
25,57832.461853,20.851,1.37,17,23,o,0,0.7,153.80624,0.9562700000000001,6324.52,3863.02,3.5,3.35,-80.4,-0.441,18.61,19.9,02a57832o0465o
26,57832.479775,-22.398000000000003,5.5,-4,22,o,0,1.23,153.80624,0.9562700000000001,6347.64,3745.59,3.74,3.64,-89.6,-0.39799999999999996,18.49,19.77,02a57832o0499o
27,57832.49746599999,21.245,2.033,12,24,o,0,0.86,153.80624,0.9562700000000001,6311.97,3801.15,3.64,3.48,-85.2,-0.42,18.46,19.67,02a57832o0532o
28,57833.395005,21.434,2.286,10,22,o,0,0.91,153.80624,0.9562700000000001,4700.0,6420.36,3.17,3.11,-36.1,-0.48700000000000004,19.19,21.05,01a57833o0353o
29,57833.41035700001,22.078000000000003,3.909,5,21,o,0,1.13,153.80624,0.9562700000000001,4719.86,6458.85,3.25,3.2,-63.7,-0.48,19.14,20.99,01a57833o0384o
30,57833.425324,20.480999999999998,0.938,23,22,o,0,1.13,153.80624,0.9562700000000001,4662.76,6382.31,3.3,3.16,-56.8,-0.48200000000000004,19.15,21.01,01a57833o0414o
31,57833.446599,20.831,1.3940000000000001,17,24,o,0,1.12,153.80624,0.9562700000000001,4643.56,6499.67,3.37,3.24,-54.7,-0.478,19.07,20.88,01a57833o0457o
32,57834.393369000005,20.933000000000003,1.621,15,25,o,0,0.85,153.80624,0.9562700000000001,5059.86,7189.47,3.37,3.27,30.6,-0.485,19.03,20.92,01a57834o0201o
33,57834.40826900001,-21.985,3.917,-6,23,o,0,0.77,153.80624,0.9562700000000001,5079.24,7226.82,3.2,3.13,10.3,-0.493,19.09,20.94,01a57834o0231o
34,57834.423638,20.38,0.92,26,24,o,0,0.96,153.80624,0.9562700000000001,5022.12,7150.77,3.29,3.23,-22.4,-0.485,19.06,20.89,01a57834o0262o
35,57834.438529,20.949,1.4809999999999999,15,22,o,0,1.29,153.80624,0.9562700000000001,5003.28,7269.91,3.44,3.4,-36.8,-0.48,19.02,20.94,01a57834o0292o
36,57836.425928,22.581,5.0,3,17,c,0,0.95,153.80624,0.9562700000000001,3149.28,2587.72,3.84,3.74,-86.8,-0.377,18.96,20.77,02a57836o0375c
37,57836.441622000006,21.21,1.6130000000000002,12,19,c,0,0.9,153.80624,0.9562700000000001,3132.32,2548.3,3.91,3.77,88.1,-0.375,18.93,20.72,02a57836o0404c
38,57836.457675,-21.124000000000002,1.406,-13,18,c,0,1.15,153.80624,0.9562700000000001,3190.63,2625.52,3.98,3.84,85.5,-0.369,18.89,20.7,02a57836o0434c
39,57836.4738,-21.184,1.419,-12,17,c,0,1.06,153.80624,0.9562700000000001,3212.04,2508.28,3.88,3.76,89.3,-0.376,18.89,20.63,02a57836o0464c
40,57836.490241,-20.578000000000003,0.818,-21,17,c,0,1.09,153.80624,0.9562700000000001,3176.17,2564.36,3.83,3.7,87.6,-0.38,18.86,20.57,02a57836o0494c
41,57837.38239500001,20.14,0.9129999999999999,32,29,o,0,1.02,153.80624,0.9562700000000001,4215.51,7841.12,4.32,3.55,-1.1,-0.44299999999999995,18.86,20.78,01a57837o0177o
42,57837.396953999996,21.439,2.714,10,26,o,0,1.37,153.80624,0.9562700000000001,4235.95,7879.77,3.98,3.83,-11.5,-0.44299999999999995,18.87,20.75,01a57837o0205o
43,57837.412097,-20.53,1.1520000000000001,-22,26,o,0,1.25,153.80624,0.9562700000000001,4178.32,7803.2,3.92,3.81,-26.2,-0.441,18.92,20.82,01a57837o0234o
44,57837.427237,19.817999999999998,0.71,43,30,o,0,1.03,153.80624,0.9562700000000001,4157.62,7920.75,3.98,3.84,-38.7,-0.441,18.87,20.73,01a57837o0263o
45,57838.376818,19.495,0.581,58,34,o,0,1.41,153.80624,0.9562700000000001,6743.41,7383.04,6.42,4.75,0.4,-0.405,18.58,21.13,01a57838o0238o
46,57838.391947000004,-20.442,1.348,-24,33,o,0,1.15,153.80624,0.9562700000000001,6763.87,7421.76,5.0,4.67,-8.5,-0.426,18.73,21.11,01a57838o0267o
47,57838.40691699999,-22.006999999999998,4.444,-6,25,o,0,0.83,153.80624,0.9562700000000001,6706.01,7344.99,3.93,3.48,-8.4,-0.46299999999999997,18.99,21.06,01a57838o0295o
