,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57834.410424,21.838,2.562,7,17,c,0,1.05,167.43864,46.4096,1806.63,1483.76,4.16,3.96,81.5,-0.377,19.01,21.01,02a57834o0286c
1,57834.41929500001,-21.664,2.1,-8,16,c,0,0.98,167.43864,46.4096,1778.24,1441.66,4.03,3.79,83.2,-0.38799999999999996,19.04,21.01,02a57834o0303c
2,57834.441653999995,-19.974,0.446,-37,17,c,0,0.93,167.43864,46.4096,1849.8,1519.23,4.35,4.11,1.4,-0.36,18.97,21.03,02a57834o0346c
3,57834.456733000006,-19.979,0.451,-37,17,c,0,1.13,167.43864,46.4096,1863.52,1399.77,4.08,3.85,82.8,-0.391,19.04,21.02,02a57834o0375c
4,57834.466578,-20.33,0.635,-27,17,c,0,0.96,167.43864,46.4096,1824.42,1458.21,4.13,4.06,67.4,-0.377,19.01,21.05,02a57834o0394c
5,57835.412135000006,-19.285999999999998,0.4,-70,28,o,0,0.61,167.43864,46.4096,7765.01,8039.77,3.63,3.41,46.8,-0.478,19.12,21.21,01a57835o0262o
6,57838.408705999995,22.605,4.625,3,15,c,0,1.12,167.43864,46.4096,852.87,4773.03,4.06,4.0,-51.1,-0.379,19.04,21.13,02a57838o0295c
7,57838.421807000006,-19.961,0.507,-38,19,c,0,0.94,167.43864,46.4096,843.28,4737.24,4.75,4.44,-5.0,-0.358,18.91,21.16,02a57838o0320c
8,57838.439662,-19.92,0.408,-39,16,c,0,1.33,167.43864,46.4096,893.98,4808.14,4.59,4.5,-89.3,-0.35700000000000004,18.9,21.13,02a57838o0354c
9,57838.445871,21.389,2.056,10,21,c,0,0.73,167.43864,46.4096,908.98,4693.17,4.84,4.73,-82.0,-0.33899999999999997,18.82,21.12,02a57838o0366c
10,57838.457487,-22.057,3.091,-6,17,c,0,1.3,167.43864,46.4096,869.3,4752.05,4.49,4.4,81.5,-0.359,18.89,21.11,02a57838o0388c
11,57839.398467,-18.878,0.24,-102,24,o,0,0.87,167.43864,46.4096,7661.89,5955.14,3.66,3.47,8.9,-0.46399999999999997,19.1,21.15,01a57839o0232o
12,57839.412249,-18.997,0.292,-91,27,o,0,1.09,167.43864,46.4096,7692.04,5993.91,3.54,3.31,11.6,-0.473,18.98,20.91,01a57839o0254o
13,57839.42574400001,-19.921,0.608,-39,24,o,0,1.23,167.43864,46.4096,7620.03,5916.14,3.44,3.22,11.9,-0.479,19.1,21.01,01a57839o0275o
14,57839.439284,-20.526999999999997,1.07,-22,24,o,0,0.82,167.43864,46.4096,7611.86,6037.08,3.36,3.16,3.6,-0.484,19.09,20.98,01a57839o0297o
15,57840.393913,-20.513,1.0859999999999999,-23,25,o,0,1.23,167.43864,46.4096,9102.48,8350.47,3.78,3.63,3.3,-0.465,19.03,21.05,01a57840o0312o
16,57840.40656,-20.127,0.74,-32,24,o,0,1.16,167.43864,46.4096,9120.43,8389.53,3.78,3.61,3.5,-0.46399999999999997,19.05,21.08,01a57840o0334o
17,57840.419203,-19.077,0.299,-85,25,o,0,0.82,167.43864,46.4096,9063.88,8314.8,3.74,3.47,-4.0,-0.475,19.12,21.16,01a57840o0355o
18,57840.431765,-18.969,0.278,-94,26,o,0,1.04,167.43864,46.4096,9047.48,8437.22,3.84,3.57,-9.7,-0.466,19.07,21.14,01a57840o0377o
19,57842.408221000005,-24.075,18.5,-1,16,c,0,1.15,167.43864,46.4096,3338.14,1174.45,4.09,4.07,21.2,-0.379,18.98,21.02,02a57842o0353c
20,57842.420315999996,-22.593000000000004,8.4,-3,28,c,0,1.04,167.43864,46.4096,3326.14,1134.98,3.94,3.83,-87.8,-0.39799999999999996,18.4,20.3,02a57842o0376c
21,57842.469440999994,-21.18,1.355,-12,17,c,0,1.17,167.43864,46.4096,3370.7,1152.14,3.95,3.75,89.9,-0.406,19.01,20.93,02a57842o0394c
22,57843.388320000005,-19.378,0.324,-64,21,o,0,1.48,167.43864,46.4096,10013.9,7582.29,3.66,3.47,19.0,-0.456,19.11,21.02,01a57843o0307o
23,57843.401257000005,-20.296,0.935,-28,26,o,0,0.79,167.43864,46.4096,10049.4,7624.29,3.65,3.54,25.6,-0.447,19.11,21.06,01a57843o0328o
24,57843.412235,-18.48,0.242,-147,36,o,0,1.33,167.43864,46.4096,86.09,7801.07,4.34,3.8,82.6,-0.473,19.15,21.13,01a57843o0346o
25,57843.415015,-19.317,0.33899999999999997,-68,23,o,0,0.84,167.43864,46.4096,9976.11,7547.8,3.73,3.58,25.4,-0.45,19.13,21.11,01a57843o0350o
26,57843.426082000005,-18.831,0.284,-106,30,o,0,1.17,167.43864,46.4096,114.77,7839.98,4.3,3.77,84.0,-0.473,19.17,21.13,01a57843o0369o
