,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57852.55545299999,-19.095,0.363,-84,30,o,0,1.19,270.13032000000004,2.43182,8183.55,5340.89,3.49,3.15,-80.9,-0.469,18.08,18.8,02a57852o0648o
1,57852.560278,-19.096,0.37,-84,31,o,0,1.14,270.13032000000004,2.43182,8212.02,5379.77,3.53,3.19,-81.8,-0.46399999999999997,18.09,18.81,02a57852o0658o
2,57852.58431699999,-18.744,0.262,-116,30,o,0,0.96,270.13032000000004,2.43182,8154.98,5306.87,3.47,3.13,-79.2,-0.475,18.15,18.91,02a57852o0699o
3,57852.60335599999,-18.96,0.26,-95,25,o,0,1.44,270.13032000000004,2.43182,8130.64,5425.74,3.39,3.1,-76.7,-0.486,18.2,18.99,02a57852o0728o
4,57852.62007999999,-18.979,0.32,-93,30,o,0,0.79,270.13032000000004,2.43182,8168.26,5370.6,3.36,3.09,-69.4,-0.49200000000000005,18.25,19.12,02a57852o0756o
5,57856.61954400001,-18.045,0.436,-220,96,o,0,1.16,270.13032000000004,2.43182,3369.12,3375.12,3.75,3.65,81.1,-0.425,16.9,17.0,02a57856o0073o
6,57856.629065,-18.750999999999998,0.6679999999999999,-115,77,o,0,0.95,270.13032000000004,2.43182,3348.7,3338.74,3.67,3.54,79.5,-0.43799999999999994,17.16,17.34,02a57856o0090o
7,57876.599204,-18.956,0.154,-95,15,o,0,0.46,270.13032000000004,2.43182,3346.94,6766.58,1.96,1.9,15.7,-0.518,19.54,20.64,02a57876o0597o
8,57876.603373000005,-19.029,0.077,-89,7,o,0,2.2,270.13032000000004,2.43182,3328.17,6727.79,1.97,1.9,22.5,-0.521,19.56,20.67,02a57876o0605o
9,57876.626083,-19.1,0.179,-83,15,o,0,1.62,270.13032000000004,2.43182,3385.43,6802.47,1.93,1.87,19.1,-0.55,18.86,19.24,02a57876o0646o
10,57881.565902999995,-19.663,0.42,-50,21,o,0,0.83,270.13032000000004,2.43182,6427.73,5199.8,3.08,3.03,-44.9,-0.48700000000000004,18.8,19.79,01a57881o0668o
11,57881.578987,-19.275,0.281,-71,20,o,0,0.73,270.13032000000004,2.43182,6449.02,5238.08,3.04,2.99,-69.7,-0.48700000000000004,18.85,19.81,01a57881o0694o
12,57881.591563,-19.202,0.235,-76,18,o,0,1.28,270.13032000000004,2.43182,6390.11,5160.36,3.18,3.05,-48.9,-0.48200000000000004,18.82,19.89,01a57881o0719o
13,57881.605247,-19.804000000000002,0.42,-44,18,o,0,0.85,270.13032000000004,2.43182,6374.59,5274.83,3.37,3.09,-52.0,-0.47700000000000004,18.97,20.13,01a57881o0745o
14,57882.515315,-20.273,0.7929999999999999,-28,22,o,0,1.2,270.13032000000004,2.43182,3695.6,3265.65,3.26,3.15,-17.2,-0.457,18.63,19.48,01a57882o0443o
15,57882.527989999995,-23.145,11.7,-2,23,o,0,1.22,270.13032000000004,2.43182,3673.46,3224.1,3.3,3.23,-38.8,-0.446,18.6,19.48,01a57882o0467o
16,57882.541164999995,-19.930999999999997,0.6,-39,23,o,0,1.05,270.13032000000004,2.43182,3729.7,3297.33,3.12,3.09,78.7,-0.47100000000000003,18.69,19.53,01a57882o0492o
17,57882.55546799999,24.576,41.667,0,22,o,0,1.07,270.13032000000004,2.43182,3743.98,3176.17,3.08,3.0,-86.9,-0.488,18.74,19.54,01a57882o0519o
18,57883.473475,20.677,1.133,20,22,o,0,1.38,270.13032000000004,2.43182,7066.98,5458.24,2.37,2.06,48.2,-0.531,18.6,19.0,02a57883o0468o
19,57883.49022000001,-21.951,4.17,-6,25,o,0,1.6,270.13032000000004,2.43182,7093.53,5496.9,2.61,2.26,47.1,-0.521,18.58,19.06,02a57883o0497o
20,57883.512459000005,20.881999999999998,1.444,16,23,o,0,1.19,270.13032000000004,2.43182,7033.71,5422.46,2.53,2.22,48.5,-0.512,18.63,19.08,02a57883o0537o
21,57883.527195,20.432000000000002,0.982,24,24,o,0,1.13,270.13032000000004,2.43182,7013.44,5539.94,2.41,2.13,44.9,-0.524,18.6,19.09,02a57883o0564o
22,57883.545913,20.494,1.181,23,27,o,0,0.84,270.13032000000004,2.43182,7049.92,5484.42,2.19,1.94,45.1,-0.528,18.57,19.01,02a57883o0599o
23,57884.4431,19.355,0.436,66,29,o,0,1.07,270.13032000000004,2.43182,6798.2,6344.64,2.24,1.93,51.3,-0.5579999999999999,18.48,18.7,02a57884o0235o
24,57884.456783,19.211,0.32299999999999995,75,24,o,0,0.9,270.13032000000004,2.43182,6825.35,6382.77,2.23,1.97,54.0,-0.5589999999999999,18.43,18.79,02a57884o0260o
25,57884.464613,19.271,0.409,71,29,o,0,1.2,270.13032000000004,2.43182,6765.12,6307.31,2.16,1.91,50.6,-0.5589999999999999,18.57,18.82,02a57884o0275o
26,57884.473253,19.023,0.273,89,24,o,0,0.91,270.13032000000004,2.43182,6747.82,6423.37,2.1,1.84,49.9,-0.565,18.57,18.86,02a57884o0291o
27,57884.490372,19.614,0.528,52,27,o,0,1.12,270.13032000000004,2.43182,6779.21,6367.48,2.37,1.99,49.0,-0.5529999999999999,18.52,18.87,02a57884o0322o
28,57886.577677,17.902,0.14,251,35,o,0,1.25,270.13032000000004,2.43182,7431.16,4181.62,4.12,3.17,-10.3,-0.46399999999999997,18.25,19.01,01a57886o0731o
29,57886.58252,18.073,0.147,214,32,o,0,0.98,270.13032000000004,2.43182,7450.56,4239.29,3.17,2.78,-68.5,-0.502,18.4,19.02,01a57886o0741o
30,57886.602924,18.229,0.151,186,28,o,0,1.19,270.13032000000004,2.43182,7403.33,4242.09,3.22,2.81,-72.1,-0.499,18.37,19.0,01a57886o0783o
31,57886.608720000004,17.727999999999998,0.114,294,34,o,0,0.98,270.13032000000004,2.43182,7388.84,4384.16,3.3,2.91,-67.3,-0.499,18.36,18.99,01a57886o0795o
32,57888.609999,17.36,0.049,413,20,o,0,0.95,270.13032000000004,2.43182,2302.9,3768.13,2.34,2.26,-81.3,-0.434,18.83,19.41,02a57888o0119o
33,57888.627059000006,17.485,0.16899999999999998,368,62,o,0,0.9,270.13032000000004,2.43182,2321.77,3651.0,2.31,2.27,-69.5,-0.415,17.62,17.55,02a57888o0150o
34,57892.572397,16.695,0.019,762,15,o,0,1.84,270.13032000000004,2.43182,1009.8,5574.42,2.18,2.0,-6.5,-0.507,19.58,20.68,02a57892o0633o
35,57892.58405,16.673,0.02,777,16,o,0,1.26,270.13032000000004,2.43182,994.93,5537.57,2.22,2.03,-13.9,-0.504,19.49,20.6,02a57892o0655o
36,57892.602501,16.745,0.021,728,15,o,0,1.65,270.13032000000004,2.43182,1056.19,5612.74,2.24,2.01,-7.4,-0.504,19.51,20.5,02a57892o0690o
37,57892.612713999995,16.741,0.027000000000000003,730,20,o,0,0.66,270.13032000000004,2.43182,1076.01,5494.83,2.22,1.97,-6.3,-0.502,19.4,20.26,02a57892o0709o
38,57894.611172000004,16.616,0.021,819,17,o,0,1.48,270.13032000000004,2.43182,8612.27,6711.25,3.25,2.88,-58.5,-0.473,19.21,20.47,01a57894o0164o
39,57897.602874000004,16.502,0.016,910,14,o,0,1.39,270.13032000000004,2.43182,5835.38,4092.93,3.28,2.82,-56.8,-0.46399999999999997,19.32,20.97,01a57897o0712o
40,57897.618901,16.543,0.033,876,29,o,0,0.87,270.13032000000004,2.43182,5866.52,4190.08,3.29,2.76,-52.6,-0.47100000000000003,18.51,19.17,01a57897o0744o
41,57898.598077999995,16.505,0.024,908,21,o,0,1.42,270.13032000000004,2.43182,9468.29,6429.46,4.65,3.15,-54.9,-0.474,19.06,20.72,01a57898o0566o
42,57898.614055,16.432000000000002,0.027000000000000003,971,26,o,0,1.22,270.13032000000004,2.43182,9500.03,6527.3,4.64,3.14,-56.2,-0.474,18.94,20.15,01a57898o0598o
43,57900.551777999994,16.155,0.011000000000000001,1253,14,c,0,2.57,270.13032000000004,2.43182,2065.77,4038.62,2.64,2.33,10.1,-0.486,19.79,21.55,02a57900o0574c
44,57900.565862999996,16.16,0.012,1247,15,c,0,1.82,270.13032000000004,2.43182,2047.61,3999.55,2.62,2.32,10.6,-0.48200000000000004,19.81,21.53,02a57900o0601c
45,57900.586639,16.224,0.013000000000000001,1176,15,c,0,1.66,270.13032000000004,2.43182,2108.99,4077.13,2.64,2.38,9.6,-0.484,19.76,21.48,02a57900o0640c
46,57900.600298000005,16.213,0.012,1187,14,c,0,2.16,270.13032000000004,2.43182,2128.98,3958.51,2.68,2.43,8.2,-0.486,19.71,21.4,02a57900o0666c
47,57901.587240999994,16.489,0.023,922,21,o,0,1.28,270.13032000000004,2.43182,8787.81,6869.39,5.09,3.49,-52.2,-0.449,19.14,20.93,01a57901o0498o
48,57901.603263,16.505,0.024,908,22,o,0,1.41,270.13032000000004,2.43182,8819.15,6968.17,5.42,3.69,-54.6,-0.419,19.09,20.96,01a57901o0530o
49,57901.619435,16.47,0.043,938,40,o,0,1.37,270.13032000000004,2.43182,8770.66,6949.19,5.59,3.89,-50.6,-0.402,18.4,19.51,01a57901o0562o
50,57902.584367999996,16.511,0.025,903,22,o,0,1.16,270.13032000000004,2.43182,8557.56,5069.38,4.36,3.23,-54.5,-0.489,19.08,20.66,01a57902o0692o
51,57902.616880999994,16.457,0.025,949,23,o,0,1.43,270.13032000000004,2.43182,8540.79,5150.12,4.56,3.37,-54.5,-0.465,18.84,20.2,01a57902o0757o
52,57904.480635,16.258,0.011000000000000001,1140,13,c,0,2.28,270.13032000000004,2.43182,9590.18,6022.29,3.0,2.69,-17.8,-0.39,19.72,21.59,02a57904o0287c
53,57904.496775,16.233,0.011000000000000001,1166,13,c,0,2.05,270.13032000000004,2.43182,869.25,4386.5,2.84,2.7,-58.1,-0.389,19.7,21.57,02a57904o0318c
54,57904.516615,16.24,0.011000000000000001,1158,13,c,0,1.9,270.13032000000004,2.43182,928.82,4462.3,2.86,2.67,-53.8,-0.389,19.7,21.57,02a57904o0354c
55,57904.528273,16.268,0.012,1130,14,c,0,1.29,270.13032000000004,2.43182,952.79,4349.12,2.99,2.78,-63.1,-0.38799999999999996,19.62,21.56,02a57904o0377c
56,57904.550889,16.253,0.011000000000000001,1145,13,c,0,2.17,270.13032000000004,2.43182,912.42,4407.21,2.86,2.66,-61.7,-0.385,19.69,21.55,02a57904o0420c
57,57905.591283,16.592,0.022000000000000002,838,18,o,0,1.19,270.13032000000004,2.43182,6642.73,4754.11,3.44,2.85,-54.7,-0.49200000000000005,19.2,20.68,01a57905o0447o
58,57905.607346000004,16.617,0.025,819,20,o,0,1.14,270.13032000000004,2.43182,6595.8,4734.52,3.62,3.07,-44.5,-0.462,18.98,20.4,01a57905o0479o
59,57906.547312,16.642,0.022000000000000002,800,18,o,0,1.15,270.13032000000004,2.43182,5756.42,6929.16,3.19,2.93,61.4,-0.44299999999999995,19.15,20.74,01a57906o0544o
60,57906.563795,16.634,0.02,806,16,o,0,1.18,270.13032000000004,2.43182,5787.78,7032.36,3.12,2.86,63.1,-0.457,19.35,21.04,01a57906o0577o
61,57906.579854999996,16.579,0.018000000000000002,848,15,o,0,0.98,270.13032000000004,2.43182,5740.77,7015.92,3.09,2.88,70.4,-0.457,19.45,21.23,01a57906o0609o
62,57906.596391,16.625,0.023,813,19,o,0,1.08,270.13032000000004,2.43182,5736.05,7190.22,3.13,2.94,82.3,-0.451,19.13,20.74,01a57906o0642o
63,57908.509514,16.702,0.021,757,16,o,0,1.56,270.13032000000004,2.43182,3008.64,4986.0,2.67,2.54,-58.7,-0.43,19.15,20.12,02a57908o0523o
64,57908.518801,16.723,0.027999999999999997,743,21,o,0,1.3,270.13032000000004,2.43182,2989.3,4945.84,3.12,2.99,-40.7,-0.433,18.88,20.11,02a57908o0540o
65,57908.536783,16.734,0.025,735,18,o,0,0.71,270.13032000000004,2.43182,3051.15,5024.9,2.71,2.55,-63.0,-0.433,19.33,20.51,02a57908o0575o
66,57908.554859,16.686,0.017,768,13,o,0,2.49,270.13032000000004,2.43182,3071.12,4908.36,2.66,2.52,-52.8,-0.444,19.28,20.37,02a57908o0608o
67,57908.565789,16.688,0.021,767,16,o,0,1.18,270.13032000000004,2.43182,3032.81,4963.85,2.78,2.65,-57.7,-0.441,19.2,20.42,02a57908o0628o
68,57909.533237,16.802,0.026000000000000002,690,18,o,0,1.23,270.13032000000004,2.43182,6871.62,4010.78,3.02,2.83,59.9,-0.455,19.05,20.08,01a57909o0592o
69,57909.5492,16.836,0.026000000000000002,669,18,o,0,0.97,270.13032000000004,2.43182,6902.47,4112.48,2.92,2.72,66.9,-0.475,19.2,20.3,01a57909o0624o
70,57909.56583300001,16.787,0.022000000000000002,700,16,o,0,0.98,270.13032000000004,2.43182,6855.21,4099.56,3.02,2.79,70.5,-0.47200000000000003,19.27,20.65,01a57909o0657o
71,57909.581974,16.845,0.024,664,16,o,0,1.15,270.13032000000004,2.43182,6845.08,4277.27,3.01,2.73,67.7,-0.473,19.29,20.58,01a57909o0689o
