,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57905.565122,16.963,0.025,595,15,o,0,4.18,343.90463,19.17333,9102.57,1590.4,2.43,2.16,57.7,-0.47100000000000003,19.6,20.72,02a57905o0381o
1,57905.576451,17.087,0.024,531,13,o,0,5.85,343.90463,19.17333,9121.07,1630.62,2.39,2.16,60.9,-0.475,19.6,20.79,02a57905o0403o
2,57905.587888,17.002,0.022000000000000002,574,12,o,0,9.21,343.90463,19.17333,9067.03,1555.58,2.33,2.1,60.1,-0.488,19.61,20.67,02a57905o0425o
3,57905.59914400001,16.996,0.023,577,14,o,0,4.6,343.90463,19.17333,9045.58,1673.97,2.41,2.2,63.7,-0.47,19.57,20.76,02a57905o0447o
4,57905.610294000006,17.125999999999998,0.026000000000000002,512,13,o,0,3.58,343.90463,19.17333,9082.26,1616.07,2.37,2.17,62.7,-0.47200000000000003,19.47,20.5,02a57905o0469o
5,57928.606890999996,17.529,0.039,354,14,o,0,5.71,343.90463,19.17333,1709.19,8004.52,2.97,2.78,-87.8,-0.45399999999999996,19.42,20.93,01a57928o0692o
6,57928.618551,17.769000000000002,0.12300000000000001,284,35,o,0,1.68,343.90463,19.17333,1695.58,7920.6,2.95,2.77,81.8,-0.461,18.72,19.51,01a57928o0709o
7,57930.614994,17.932000000000002,0.077,244,19,o,0,2.74,343.90463,19.17333,3048.21,8090.65,3.39,2.67,-11.2,-0.41700000000000004,19.09,20.25,02a57930o0724o
8,57930.626051,-18.465999999999998,1.4680000000000002,-149,219,o,0,1.58,343.90463,19.17333,3027.19,8051.7,2.99,2.6,-29.0,-0.423,17.28,17.6,02a57930o0741o
9,57932.593283,18.058,0.055,217,12,o,0,3.51,343.90463,19.17333,2848.39,9066.41,3.19,2.76,69.8,-0.439,19.61,21.49,01a57932o0660o
10,57932.604758,18.102999999999998,0.057999999999999996,208,12,o,0,4.11,343.90463,19.17333,2835.58,8985.05,3.17,2.87,66.4,-0.435,19.58,21.44,01a57932o0677o
11,57932.614965999994,17.95,0.057999999999999996,240,14,o,0,3.6,343.90463,19.17333,2893.77,9018.97,3.17,2.77,69.8,-0.43700000000000006,19.31,20.65,01a57932o0694o
12,57932.626454,17.907,0.91,250,227,o,0,0.73,343.90463,19.17333,2914.7,8856.96,3.29,2.85,66.7,-0.46799999999999997,17.52,17.9,01a57932o0711o
13,57936.581862,18.364,0.073,164,12,o,0,4.17,343.90463,19.17333,872.6,8777.4,3.03,2.72,82.9,-0.45399999999999996,19.56,21.32,01a57936o0653o
14,57936.593097000004,18.101,0.059000000000000004,209,12,o,0,2.29,343.90463,19.17333,859.48,8693.01,3.12,2.86,89.0,-0.447,19.49,21.29,01a57936o0670o
15,57936.597952,17.96,0.049,238,12,o,0,6.6,343.90463,19.17333,10458.37,8713.32,3.18,2.98,57.7,-0.409,19.55,21.27,01a57936o0677o
16,57936.604330999995,18.261,0.068,180,12,o,0,3.66,343.90463,19.17333,920.23,8727.53,3.1,2.75,89.1,-0.45,19.48,21.27,01a57936o0687o
17,57936.609373,17.82,0.045,270,12,o,0,6.06,343.90463,19.17333,10443.94,8630.92,3.16,2.97,59.8,-0.40700000000000003,19.52,21.11,01a57936o0694o
18,57936.616090999996,18.284000000000002,0.087,176,15,o,0,3.09,343.90463,19.17333,9195.0,1714.05,2.98,2.98,-44.4,-0.455,19.29,20.5,01a57936o0704o
19,57936.620794,-18.967,0.373,-94,35,o,0,2.51,343.90463,19.17333,10504.73,8660.75,3.17,2.89,52.1,-0.41600000000000004,18.64,19.48,01a57936o0711o
20,57940.571866,18.593,0.1,133,13,o,0,5.84,343.90463,19.17333,3503.24,8257.37,3.13,2.85,77.5,-0.431,19.32,20.69,01a57940o0641o
21,57940.581679999996,18.256,0.069,181,13,o,0,2.38,343.90463,19.17333,3489.71,8181.03,3.16,2.85,69.2,-0.43,19.39,20.97,01a57940o0658o
22,57940.591729,18.166,0.063,197,12,o,0,3.78,343.90463,19.17333,3550.26,8219.6,3.25,2.84,67.2,-0.428,19.55,21.37,01a57940o0675o
23,57940.602087,18.578,0.07400000000000001,135,10,o,0,3.85,343.90463,19.17333,3572.73,8063.03,3.24,2.85,64.2,-0.425,19.58,21.45,01a57940o0692o
24,57942.581746,18.538,0.152,140,21,o,0,4.95,343.90463,19.17333,2455.29,8489.04,2.37,1.99,7.5,-0.48700000000000004,19.14,19.74,02a57942o0621o
25,57942.596696,19.136,0.287,80,23,o,0,5.75,343.90463,19.17333,2436.32,8450.57,2.26,2.02,8.3,-0.488,19.16,19.77,02a57942o0650o
26,57942.605750999996,18.965999999999998,0.22899999999999998,94,22,o,0,4.85,343.90463,19.17333,2492.23,8528.66,2.24,2.03,10.5,-0.494,19.19,19.79,02a57942o0667o
27,57942.615484,18.482,0.161,147,24,o,0,4.65,343.90463,19.17333,2507.61,8405.93,2.22,2.0,3.2,-0.495,19.09,19.66,02a57942o0684o
28,57944.558424,18.393,0.14,159,22,o,0,1.7,343.90463,19.17333,1861.57,824.72,2.93,2.69,78.0,-0.493,18.84,19.64,01a57944o0499o
29,57944.56840599999,18.352,0.282,166,47,o,0,1.56,343.90463,19.17333,1849.68,747.61,3.14,2.9,83.0,-0.47600000000000003,17.92,18.7,01a57944o0515o
30,57944.580511,19.003,0.259,91,24,o,0,1.49,343.90463,19.17333,1910.98,778.98,2.97,2.72,68.9,-0.49,18.72,19.57,01a57944o0532o
31,57944.59256799999,18.808,0.21,109,23,o,0,1.62,343.90463,19.17333,8182.3,9654.93,3.0,2.86,87.6,-0.47600000000000003,18.77,19.69,01a57944o0549o
32,57946.575749,18.320999999999998,0.131,170,22,o,0,1.96,343.90463,19.17333,1001.4,9501.61,3.43,2.05,3.0,-0.494,18.91,19.74,02a57946o0617o
33,57946.579804999994,18.688,0.188,122,23,o,0,3.95,343.90463,19.17333,982.5,9463.72,2.57,2.05,14.0,-0.484,19.07,19.75,02a57946o0625o
34,57946.593667999994,18.997,0.267,92,24,o,0,1.95,343.90463,19.17333,1035.42,9540.53,2.65,2.18,16.9,-0.508,19.04,19.74,02a57946o0651o
35,57946.603415,18.413,0.152,157,24,o,0,2.31,343.90463,19.17333,1054.18,9422.68,3.11,2.28,2.9,-0.495,18.94,19.74,02a57946o0668o
36,57948.552914,19.25,0.622,72,45,o,0,1.35,343.90463,19.17333,1908.58,7476.94,3.22,2.63,-84.3,-0.465,18.47,19.2,01a57948o0589o
37,57948.558428,-20.009,3.012,-36,108,o,0,1.51,343.90463,19.17333,1891.07,7415.55,3.14,2.64,-80.4,-0.499,18.0,18.49,01a57948o0600o
38,57948.572333000004,18.395,0.327,159,52,o,0,1.33,343.90463,19.17333,1954.44,7440.36,3.12,2.65,-89.3,-0.48100000000000004,18.14,19.01,01a57948o0623o
39,57948.584203,18.877,1.508,102,154,o,0,0.91,343.90463,19.17333,8165.21,3005.06,3.36,3.24,-70.5,-0.419,16.8,17.21,01a57948o0640o
40,57952.538182000004,19.505,0.285,57,16,o,0,3.09,343.90463,19.17333,2165.1,7914.22,2.82,2.51,-84.4,-0.47600000000000003,19.18,20.63,01a57952o0560o
41,57952.553320000006,19.142,0.24,80,19,o,0,2.09,343.90463,19.17333,7976.25,2459.27,3.2,3.01,-73.0,-0.42700000000000005,19.06,20.55,01a57952o0590o
42,57952.56383099999,18.934,0.154,97,15,o,0,3.47,343.90463,19.17333,2211.67,7851.81,3.06,2.63,-83.9,-0.455,19.24,20.89,01a57952o0609o
43,57952.57548099999,-18.874000000000002,0.696,-102,71,o,0,1.41,343.90463,19.17333,7907.38,2588.38,3.01,2.94,-42.7,-0.429,17.29,18.24,01a57952o0627o
44,57956.535135000006,20.387999999999998,0.557,25,14,o,0,2.07,343.90463,19.17333,1839.8,8339.9,4.03,3.52,-86.7,-0.382,19.24,21.35,01a57956o0560o
45,57956.550872,19.739,0.345,46,16,o,0,1.69,343.90463,19.17333,8233.27,1963.23,4.71,4.11,-10.0,-0.35700000000000004,19.08,21.34,01a57956o0589o
46,57956.551359000005,18.320999999999998,0.10800000000000001,170,18,o,0,1.88,343.90463,19.17333,8307.31,2041.91,5.01,4.69,-71.6,-0.37799999999999995,19.0,21.34,01a57956o0590o
47,57956.561835,19.048,0.16699999999999998,87,15,o,0,1.89,343.90463,19.17333,8217.81,2124.29,4.56,4.07,-8.3,-0.33799999999999997,19.08,21.35,01a57956o0608o
48,57958.54240700001,20.121,0.401,32,13,o,0,10.12,343.90463,19.17333,709.58,8726.21,2.28,1.91,27.7,-0.46299999999999997,19.85,21.26,02a57958o0220o
49,57958.543313999995,20.116,0.278,33,9,o,0,13.44,343.90463,19.17333,189.52,1667.89,2.37,1.93,49.7,-0.5379999999999999,19.82,21.24,02a57958o0221o
50,57958.548352,19.159000000000002,0.161,79,13,o,0,6.25,343.90463,19.17333,690.95,8683.58,2.24,1.87,24.0,-0.47,19.73,21.15,02a57958o0230o
51,57958.558811,19.195,0.29,76,22,o,0,2.54,343.90463,19.17333,746.01,8763.37,2.2,1.82,21.5,-0.484,18.91,20.25,02a57958o0250o
52,57958.55929600001,18.337,0.125,168,21,o,0,4.54,343.90463,19.17333,10278.96,8726.64,2.08,1.87,14.7,-0.49700000000000005,18.85,20.18,02a57958o0251o
53,57958.569685,19.355999999999998,0.158,66,10,o,0,10.11,343.90463,19.17333,10332.17,8804.29,2.16,1.98,19.7,-0.48100000000000004,19.8,21.24,02a57958o0268o
54,57958.573826,19.521,0.166,56,9,o,0,14.23,343.90463,19.17333,766.04,8647.54,2.29,1.87,32.8,-0.473,19.85,21.22,02a57958o0276o
55,57958.580939,19.777,0.265,45,12,o,0,7.67,343.90463,19.17333,10346.87,8688.16,2.17,2.01,24.5,-0.47700000000000004,19.78,21.22,02a57958o0288o
56,57960.53652,19.377,0.184,64,12,o,0,3.4,343.90463,19.17333,2744.76,8529.15,3.22,2.65,-82.8,-0.449,19.48,21.31,01a57960o0576o
57,57960.541836000004,21.158,0.785,12,10,o,0,3.32,343.90463,19.17333,7405.27,1811.84,3.23,2.72,-86.4,-0.452,19.5,21.31,01a57960o0586o
58,57960.542322,22.298000000000002,2.391,4,10,o,0,5.52,343.90463,19.17333,7350.02,1736.7,3.22,2.7,-87.8,-0.451,19.5,21.31,01a57960o0587o
59,57960.552335,19.249000000000002,0.17,72,12,o,0,3.0,343.90463,19.17333,7334.68,1893.59,3.29,3.15,-82.8,-0.42100000000000004,19.38,21.33,01a57960o0605o
60,57964.512896,19.449,0.22899999999999998,60,14,o,0,2.26,343.90463,19.17333,9561.42,1727.72,3.33,2.88,-80.4,-0.436,19.43,21.07,01a57964o0534o
