,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57935.593842999995,19.379,0.25,64,16,o,0,1.15,357.95654,-4.76254,3548.08,9123.42,6.31,4.0,-1.9,-0.35,18.99,21.29,01a57935o0691o
1,57935.602412,19.454,0.322,60,19,o,0,0.89,357.95654,-4.76254,3527.47,9055.06,6.93,4.02,-0.8,-0.341,18.92,21.26,01a57935o0708o
2,57935.611065,20.712,0.9490000000000001,19,18,o,0,1.25,357.95654,-4.76254,3585.12,9101.25,6.88,3.87,-1.1,-0.366,18.85,21.04,01a57935o0725o
3,57935.61971,19.9,0.748,40,30,o,0,1.16,357.95654,-4.76254,3602.96,8952.93,4.68,4.08,-6.8,-0.391,18.51,19.88,01a57935o0742o
4,57939.614002999995,19.454,0.20800000000000002,60,12,o,0,1.51,357.95654,-4.76254,4856.66,9653.71,2.98,2.9,-56.4,-0.466,19.35,20.59,01a57939o0719o
5,57939.624039999995,19.774,1.016,45,45,o,0,0.89,357.95654,-4.76254,4830.34,9572.91,3.16,2.89,84.3,-0.45799999999999996,17.97,18.48,01a57939o0737o
6,57940.591075,19.807000000000002,0.204,43,9,o,0,0.84,357.95654,-4.76254,6720.9,1498.0,2.1,1.99,59.2,-0.461,19.75,20.94,02a57940o0645o
7,57940.600366,20.428,0.364,24,9,o,0,0.9,357.95654,-4.76254,6662.58,1421.23,2.19,2.02,54.4,-0.461,19.73,21.03,02a57940o0664o
8,57940.609691,20.039,0.267,35,9,o,0,1.57,357.95654,-4.76254,6639.44,1541.45,2.13,1.98,57.8,-0.462,19.76,20.87,02a57940o0683o
9,57941.548812,19.005,0.271,91,25,o,0,0.91,357.95654,-4.76254,7255.57,9644.57,2.47,2.25,35.2,-0.483,18.93,19.65,02a57941o0072o
10,57941.55579400001,20.434,0.899,24,22,o,0,0.95,357.95654,-4.76254,7276.05,9686.57,2.49,2.25,29.3,-0.461,19.01,19.73,02a57941o0085o
11,57941.564129,20.111,0.526,33,17,o,0,1.67,357.95654,-4.76254,7216.87,9610.75,2.46,2.17,32.7,-0.474,19.07,19.8,02a57941o0100o
12,57941.571575,21.204,1.4909999999999999,12,18,o,0,1.27,357.95654,-4.76254,7195.24,9729.4,2.36,2.11,25.7,-0.47700000000000004,19.2,19.85,02a57941o0114o
