,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57736.307358000005,-24.011999999999997,73.0,-1,66,o,0,1.3,18.14242,0.29146,1659.93,9119.12,3.4,3.11,18.5,-0.48200000000000004,18.45,19.13,02a57736o0231o
1,57736.320895000004,-19.684,1.643,-49,80,o,0,1.22,18.14242,0.29146,1641.45,9080.65,3.83,3.22,11.2,-0.46399999999999997,18.34,19.08,02a57736o0257o
2,57736.334472,-18.565,0.493,-136,67,o,0,1.57,18.14242,0.29146,1700.76,9157.25,3.52,3.13,16.5,-0.47200000000000003,18.37,19.04,02a57736o0283o
3,57736.347967999995,-18.494,0.517,-145,75,o,0,1.19,18.14242,0.29146,1723.35,9038.63,3.5,3.19,19.2,-0.475,18.35,18.99,02a57736o0309o
4,57736.361038,-18.529,0.612,-141,86,o,0,1.22,18.14242,0.29146,1686.35,9095.0,3.54,3.2,16.6,-0.46299999999999997,18.31,18.93,02a57736o0334o
5,57743.29749600001,-18.887999999999998,0.18899999999999997,-101,19,o,0,1.61,18.14242,0.29146,707.47,9461.38,3.61,3.22,25.8,-0.484,19.18,20.65,02a57743o0224o
6,57743.310505999994,-19.859,0.619,-41,26,o,0,1.1,18.14242,0.29146,688.73,9421.36,3.58,3.22,21.4,-0.485,19.14,20.6,02a57743o0249o
7,57743.311022,-19.293,0.342,-70,24,o,0,1.33,18.14242,0.29146,10463.29,9498.79,3.9,3.3,-86.2,-0.44799999999999995,19.18,20.67,02a57743o0250o
8,57743.323001,-19.347,0.415,-66,28,o,0,0.99,18.14242,0.29146,747.13,9498.43,3.57,3.23,22.6,-0.495,19.14,20.56,02a57743o0273o
9,57743.323512,-20.317,0.831,-27,22,o,0,1.24,18.14242,0.29146,10443.38,9459.03,3.96,3.42,-87.7,-0.42100000000000004,19.14,20.62,02a57743o0274o
10,57743.335475,-18.658,0.195,-125,24,o,0,1.67,18.14242,0.29146,770.02,9379.15,4.74,3.44,5.4,-0.431,18.97,20.57,02a57743o0297o
11,57743.335986,-19.918,0.8740000000000001,-39,34,o,0,1.1,18.14242,0.29146,10503.32,9538.0,3.8,3.19,-84.2,-0.466,19.16,20.59,02a57743o0298o
12,57743.348385000005,-19.518,0.534,-57,30,o,0,0.86,18.14242,0.29146,732.34,9436.23,4.68,3.57,5.1,-0.423,18.92,20.52,02a57743o0322o
13,57743.3489,-19.232,7.805,-74,575,o,0,0.01,18.14242,0.29146,10523.41,9419.19,4.01,3.54,89.4,-0.45399999999999996,19.1,20.6,02a57743o0323o
14,57743.361838,-19.766,0.685,-45,31,o,0,1.23,18.14242,0.29146,10486.42,9476.69,4.44,4.06,9.0,-0.439,18.98,20.59,02a57743o0348o
15,57744.308503,-19.867,0.42,-41,17,c,0,1.03,18.14242,0.29146,1634.56,9417.06,3.68,3.31,14.2,-0.43200000000000005,19.57,21.37,02a57744o0240c
16,57744.320955999996,-19.944000000000003,0.527,-38,20,c,0,0.85,18.14242,0.29146,1692.71,9494.64,3.93,3.58,22.0,-0.42200000000000004,19.51,21.35,02a57744o0264c
17,57744.333587,-19.719,0.401,-47,19,c,0,1.04,18.14242,0.29146,1717.07,9373.87,3.77,3.35,14.9,-0.426,19.5,21.3,02a57744o0288c
18,57744.346783,-21.576999999999998,2.077,-8,18,c,0,1.08,18.14242,0.29146,1679.36,9431.26,3.73,3.3,13.8,-0.43200000000000005,19.49,21.27,02a57744o0313c
19,57752.274412,17.475,0.5579999999999999,371,207,c,0,1.32,18.14242,0.29146,314.93,10467.45,4.03,3.48,19.8,-0.527,17.03,18.71,02a57752o0128c
20,57752.283479,-17.217,0.71,-471,334,c,0,0.96,18.14242,0.29146,4868.27,818.02,3.95,3.83,-29.1,-0.45899999999999996,16.51,18.09,02a57752o0146c
21,57752.286002999994,-18.777,2.7239999999999998,-112,305,c,0,1.05,18.14242,0.29146,10092.16,10499.58,4.21,3.85,87.2,-0.397,16.83,18.51,02a57752o0151c
22,57752.28903099999,-20.398,12.25,-25,308,c,0,1.34,18.14242,0.29146,299.04,10426.3,4.08,3.61,27.5,-0.461,16.25,17.86,02a57752o0157c
23,57752.300813,0.0,18.579,0,134,c,0,0.99,18.14242,0.29146,10075.65,10457.86,4.19,3.84,85.4,-0.40399999999999997,17.29,18.97,02a57752o0180c
24,57752.327427,-17.328,0.589,-425,251,c,0,1.17,18.14242,0.29146,4931.37,735.96,4.15,3.91,-15.6,-0.433,16.56,18.12,02a57752o0232c
25,57752.329944000005,-17.509,1.015,-360,366,c,0,1.1,18.14242,0.29146,10156.02,10416.75,4.11,3.77,84.6,-0.359,16.29,17.85,02a57752o0237c
26,57756.256454999995,21.479,1.8,9,17,c,0,1.8,18.14242,0.29146,2631.67,9082.26,3.71,3.39,14.8,-0.405,19.45,21.17,02a57756o0126c
27,57756.269776,20.638,0.909,20,18,c,0,1.2,18.14242,0.29146,2614.14,9041.64,3.67,3.36,13.2,-0.401,19.45,21.14,02a57756o0151c
28,57756.28421900001,21.701999999999998,2.2,8,17,c,0,1.84,18.14242,0.29146,2674.1,9117.6,3.62,3.29,8.1,-0.4,19.43,21.09,02a57756o0177c
29,57756.312929,-24.418000000000003,29.0,-1,18,c,0,1.51,18.14242,0.29146,2657.82,9056.47,3.65,3.36,13.0,-0.40700000000000003,19.39,21.03,02a57756o0228c
30,57764.243773,-18.625,0.597,-129,77,o,0,0.95,18.14242,0.29146,6197.39,2322.27,3.61,3.43,-79.6,-0.44,17.91,18.49,02a57764o0108o
31,57764.255757000006,-21.166,3.029,-12,38,o,0,1.15,18.14242,0.29146,6177.38,2284.04,3.6,3.45,-79.0,-0.43700000000000006,18.42,19.12,02a57764o0131o
32,57764.265412,-19.085,0.449,-84,38,o,0,1.62,18.14242,0.29146,6238.81,2360.38,3.59,3.47,-77.7,-0.444,18.35,19.02,02a57764o0150o
33,57764.27346799999,-19.119,0.591,-82,48,o,0,1.03,18.14242,0.29146,6259.37,2243.18,3.63,3.54,-78.7,-0.431,18.25,18.86,02a57764o0166o
34,57764.281042999995,-18.81,1.057,-109,115,o,0,1.13,18.14242,0.29146,6221.39,2300.49,3.6,3.49,-73.4,-0.433,17.37,17.53,02a57764o0181o
