,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57911.494347,21.462,2.506,9,24,o,0,1.49,311.58775,-27.524459999999998,2929.1,5245.04,2.44,2.28,-2.0,-0.48100000000000004,18.56,19.15,02a57911o0481o
1,57911.507027,20.136,0.662,32,21,o,0,1.48,311.58775,-27.524459999999998,2872.83,5168.82,2.21,2.14,-11.9,-0.488,18.58,19.17,02a57911o0505o
2,57911.517462,-20.721999999999998,1.162,-19,22,o,0,1.53,311.58775,-27.524459999999998,2857.6,5285.1,2.08,2.01,-10.9,-0.489,18.81,19.25,02a57911o0525o
3,57911.53236699999,19.242,0.309,73,23,o,0,1.5,311.58775,-27.524459999999998,2890.08,5227.47,2.19,2.1,-29.4,-0.493,18.76,19.32,02a57911o0549o
4,57922.551851,20.029,0.327,35,12,o,0,1.83,311.58775,-27.524459999999998,6116.36,4783.79,3.11,2.84,54.3,-0.43799999999999994,19.22,20.44,01a57922o0629o
5,57922.55527999999,20.794,0.97,18,17,o,0,0.95,311.58775,-27.524459999999998,6098.63,4732.74,3.1,2.89,61.9,-0.43700000000000006,19.18,20.41,01a57922o0636o
6,57922.562385000005,20.288,0.545,28,15,o,0,1.51,311.58775,-27.524459999999998,4444.31,5522.64,3.13,2.96,53.3,-0.433,19.11,20.42,01a57922o0650o
7,57922.56830399999,19.941,0.41,38,16,o,0,1.28,311.58775,-27.524459999999998,4434.02,5660.23,3.09,2.91,65.3,-0.43,19.21,20.48,01a57922o0662o
8,57923.533736000005,-16.701,0.682,-758,517,o,0,1.24,311.58775,-27.524459999999998,2739.66,5292.64,2.21,1.98,-31.1,-0.45799999999999996,15.35,15.96,02a57923o0578o
9,57923.551303,-15.262,0.623,-2851,1778,o,0,1.33,311.58775,-27.524459999999998,2751.7,5333.27,2.21,2.04,42.3,-0.42700000000000005,14.1,14.59,02a57923o0613o
10,57923.560320000004,-16.807000000000002,1.119,-687,769,o,0,1.01,311.58775,-27.524459999999998,7759.16,5188.9,2.36,2.28,-47.8,-0.467,14.69,15.23,02a57923o0631o
11,57923.565389999996,18.906,0.642,100,64,o,0,1.2,311.58775,-27.524459999999998,2661.86,5372.13,2.14,1.99,-19.5,-0.45399999999999996,17.29,17.87,02a57923o0641o
12,57930.53240599999,-22.743000000000002,6.7139999999999995,-3,20,o,0,1.13,311.58775,-27.524459999999998,5184.6,6022.53,5.69,4.0,-4.5,-0.37,18.83,20.84,01a57930o0565o
13,57930.544324,-21.741999999999997,2.812,-7,20,o,0,1.08,311.58775,-27.524459999999998,5226.85,6108.91,5.31,4.5,-10.5,-0.414,18.83,20.88,01a57930o0588o
14,57930.547774,-20.44,0.7809999999999999,-24,19,o,0,1.08,311.58775,-27.524459999999998,5160.63,6044.96,4.7,4.36,-28.7,-0.38,18.94,20.91,01a57930o0595o
15,57930.560751,-20.055999999999997,0.48200000000000004,-34,17,o,0,1.29,311.58775,-27.524459999999998,5154.55,6213.66,4.21,3.9,-49.4,-0.40700000000000003,19.02,20.82,01a57930o0620o
16,57934.515235,24.548000000000002,25.666999999999998,1,14,o,0,1.26,311.58775,-27.524459999999998,7498.46,6924.97,3.07,2.9,73.3,-0.445,19.33,20.84,01a57934o0566o
17,57934.53294600001,-21.581,1.489,-8,13,o,0,1.3,311.58775,-27.524459999999998,7482.15,6820.06,3.08,2.87,70.2,-0.44299999999999995,19.37,20.88,01a57934o0601o
18,57934.541573,20.803,0.706,17,12,o,0,1.91,311.58775,-27.524459999999998,3049.14,3445.89,2.95,2.8,59.4,-0.46299999999999997,19.36,20.89,01a57934o0618o
19,57934.54745599999,21.011999999999997,0.925,14,13,o,0,1.26,311.58775,-27.524459999999998,3035.88,3585.43,3.05,2.84,74.0,-0.45,19.31,20.87,01a57934o0630o
20,57938.49956799999,21.103,1.811,13,24,o,0,1.45,311.58775,-27.524459999999998,7151.39,7046.67,5.74,3.23,-6.5,-0.413,18.66,20.18,01a57938o0423o
21,57938.507701,-22.994,7.6,-2,18,o,0,1.56,311.58775,-27.524459999999998,3406.05,3251.76,3.88,3.08,-6.8,-0.442,18.94,20.31,01a57938o0439o
22,57938.515328999994,22.193,3.423,5,16,o,0,1.31,311.58775,-27.524459999999998,7126.22,6948.07,3.34,2.79,-57.9,-0.46,19.19,20.39,01a57938o0454o
23,57938.524495000005,19.514,0.303,57,17,o,0,1.43,311.58775,-27.524459999999998,3405.9,3433.02,5.43,3.13,-3.0,-0.40399999999999997,18.93,20.66,01a57938o0472o
24,57940.463299,22.535,6.581,4,23,o,0,0.78,311.58775,-27.524459999999998,4910.07,6671.77,2.0,1.87,-9.8,-0.504,19.01,19.45,02a57940o0404o
25,57940.472582,-21.9,3.09,-6,20,o,0,1.11,311.58775,-27.524459999999998,4925.17,6711.43,1.99,1.86,-12.5,-0.503,18.99,19.47,02a57940o0423o
26,57940.481847,22.328000000000003,4.558,4,19,o,0,1.61,311.58775,-27.524459999999998,4870.66,6635.45,2.01,1.86,-12.5,-0.508,19.01,19.48,02a57940o0442o
27,57948.49567999999,19.791,0.32799999999999996,44,14,o,0,2.8,311.58775,-27.524459999999998,4706.18,3671.08,2.14,2.1,51.8,-0.457,19.15,19.83,02a57948o0509o
28,57948.505452,-21.92,2.79,-6,17,o,0,1.65,311.58775,-27.524459999999998,4691.59,3630.12,2.2,2.12,48.5,-0.478,19.13,19.81,02a57948o0529o
29,57948.510315,21.208000000000002,1.444,12,17,o,0,1.34,311.58775,-27.524459999999998,4743.91,3709.75,2.16,2.1,74.4,-0.466,19.08,19.79,02a57948o0539o
30,57948.52089199999,-22.628,4.394,-3,14,o,0,2.13,311.58775,-27.524459999999998,4761.91,3589.33,2.2,2.11,60.0,-0.462,19.13,19.78,02a57948o0560o
31,57950.490424,20.394000000000002,0.648,25,16,o,0,1.48,311.58775,-27.524459999999998,3255.78,6214.43,3.5,3.18,-86.3,-0.41700000000000004,19.05,20.55,01a57950o0513o
32,57950.498620000006,21.337,1.463,11,16,o,0,1.66,311.58775,-27.524459999999998,3225.32,6210.7,3.23,2.69,-88.2,-0.457,19.11,20.51,01a57950o0529o
33,57950.50105,19.692,0.308,48,15,o,0,1.87,311.58775,-27.524459999999998,3278.95,6297.59,3.22,2.78,-89.8,-0.442,19.05,20.36,01a57950o0534o
34,57950.507347000006,19.873,0.423,41,17,o,0,1.55,311.58775,-27.524459999999998,3216.16,6361.5,3.15,2.63,-87.7,-0.46299999999999997,18.93,20.37,01a57950o0547o
35,57954.470635000005,20.222,0.5,30,15,o,0,1.42,311.58775,-27.524459999999998,4304.74,4536.95,3.47,2.66,-88.2,-0.436,19.08,20.65,01a57954o0534o
36,57954.480354,20.851,0.813,17,14,o,0,1.48,311.58775,-27.524459999999998,4330.42,4613.54,3.61,2.77,-88.0,-0.42700000000000005,19.07,20.65,01a57954o0554o
37,57954.495961,-20.909000000000002,0.816,-16,13,o,0,2.1,311.58775,-27.524459999999998,4288.2,4597.89,3.5,2.67,89.1,-0.43200000000000005,19.13,20.7,01a57954o0586o
38,57954.505174,20.386,0.517,26,13,o,0,1.51,311.58775,-27.524459999999998,4278.14,4750.75,3.52,2.71,-87.4,-0.434,19.13,20.67,01a57954o0605o
39,57958.466264999995,-21.108,1.14,-13,15,o,0,1.32,311.58775,-27.524459999999998,4338.28,5066.16,3.94,3.06,-87.0,-0.41100000000000003,19.0,20.74,01a57958o0195o
40,57958.474995000004,20.531999999999996,0.742,22,16,o,0,1.15,311.58775,-27.524459999999998,4361.78,5138.83,3.75,2.92,-85.8,-0.42,19.09,20.82,01a57958o0213o
41,57958.478876,20.289,0.568,28,16,o,0,1.27,311.58775,-27.524459999999998,4312.55,5076.78,3.85,2.99,-88.9,-0.408,19.02,20.82,01a57958o0221o
42,57958.490476,-20.718000000000004,0.797,-19,15,o,0,1.37,311.58775,-27.524459999999998,4299.2,5238.71,3.87,3.01,-89.1,-0.409,19.06,20.77,01a57958o0244o
43,57960.470053,-21.612,1.035,-8,8,o,0,3.68,311.58775,-27.524459999999998,6592.0,4710.34,2.06,1.98,89.9,-0.47100000000000003,19.62,20.76,02a57960o0451o
44,57960.482762,-21.076,0.728,-14,10,o,0,5.02,311.58775,-27.524459999999998,6575.78,4674.04,2.11,2.02,89.4,-0.455,19.58,20.7,02a57960o0477o
45,57960.487630999996,21.246,0.843,12,10,o,0,2.43,311.58775,-27.524459999999998,6628.44,4750.28,2.13,2.03,-83.5,-0.455,19.55,20.7,02a57960o0487o
46,57960.496898000005,-21.698,1.368,-8,10,o,0,3.25,311.58775,-27.524459999999998,6647.07,4635.14,2.25,2.15,-87.8,-0.44799999999999995,19.52,20.69,02a57960o0506o
47,57966.432799,-19.698,0.391,-48,19,o,0,1.26,311.58775,-27.524459999999998,6002.73,6609.16,3.31,3.1,-85.5,-0.41600000000000004,19.01,20.33,01a57966o0378o
48,57966.443015,-20.088,0.486,-34,16,o,0,1.55,311.58775,-27.524459999999998,6027.96,6688.02,3.4,3.19,-76.8,-0.41100000000000003,19.02,20.38,01a57966o0399o
49,57966.45860499999,20.335,0.609,27,16,o,0,1.24,311.58775,-27.524459999999998,5985.33,6671.62,3.11,2.81,-87.8,-0.43200000000000005,19.16,20.47,01a57966o0430o
50,57966.466865999995,19.569000000000003,0.265,54,14,o,0,1.56,311.58775,-27.524459999999998,5974.59,6819.85,3.1,2.83,-86.7,-0.431,19.21,20.59,01a57966o0447o
51,57968.412163,-20.858,0.872,-16,14,o,0,2.93,311.58775,-27.524459999999998,4935.44,7083.41,1.98,1.81,-21.5,-0.473,19.15,19.7,02a57968o0343o
52,57968.417037,-22.774,4.971,-3,14,o,0,2.23,311.58775,-27.524459999999998,4953.8,7121.65,1.94,1.8,-31.2,-0.489,19.18,19.72,02a57968o0353o
