,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57967.578579999994,19.248,0.16899999999999998,73,12,o,0,1.04,14.27808,8.97255,499.69,7065.57,3.27,2.63,85.3,-0.419,19.49,21.35,01a57967o0323o
1,57967.589144000005,19.305,0.18,69,12,o,0,1.43,14.27808,8.97255,9739.88,3284.95,3.59,2.7,-84.1,-0.444,19.56,21.47,01a57967o0341o
2,57967.595163,19.814,0.298,43,13,o,0,1.3,14.27808,8.97255,10236.89,6952.44,3.72,2.81,-89.6,-0.42200000000000004,19.52,21.37,01a57967o0351o
3,57967.599292,19.116,0.12,82,10,o,0,1.67,14.27808,8.97255,542.16,7023.2,3.33,2.57,85.2,-0.424,19.53,21.41,01a57967o0358o
4,57967.609927,20.374000000000002,0.41700000000000004,26,11,o,0,1.54,14.27808,8.97255,561.99,6863.83,3.49,2.74,87.6,-0.414,19.46,21.37,01a57967o0376o
5,57967.615585,20.206,0.41200000000000003,30,12,o,0,1.73,14.27808,8.97255,10276.65,6909.91,3.8,2.72,-88.7,-0.425,19.46,21.29,01a57967o0386o
6,57967.625311,19.184,0.21600000000000003,77,17,o,0,1.4,14.27808,8.97255,10296.15,6756.27,3.88,2.8,-86.6,-0.41600000000000004,19.11,20.38,01a57967o0404o
7,57969.591382000006,19.605,0.192,52,10,o,0,1.79,14.27808,8.97255,2981.52,9489.61,2.3,1.97,7.6,-0.45799999999999996,19.72,21.08,02a57969o0667o
8,57969.600892999995,19.265,0.131,71,9,o,0,1.96,14.27808,8.97255,2960.92,9450.98,2.29,1.98,12.3,-0.46399999999999997,19.74,21.08,02a57969o0685o
9,57969.609474000004,19.125,0.13,81,10,o,0,1.93,14.27808,8.97255,3017.14,9528.85,2.48,2.14,19.9,-0.47,19.64,21.09,02a57969o0702o
10,57969.619425,19.539,0.20199999999999999,56,11,o,0,1.67,14.27808,8.97255,3036.9,9411.84,2.3,2.04,13.3,-0.474,19.66,20.94,02a57969o0720o
11,57972.482993,-21.803,11.0,-7,76,o,0,1.28,14.27808,8.97255,3663.44,9193.82,3.37,2.92,-74.4,-0.444,18.01,18.59,01a57972o0335o
12,57972.491503,19.137,0.9540000000000001,80,77,o,0,1.36,14.27808,8.97255,3649.19,9135.33,3.17,2.91,-68.5,-0.451,17.97,18.57,01a57972o0352o
13,57972.50010599999,-20.934,4.565,-15,70,o,0,0.95,14.27808,8.97255,3711.74,9189.72,3.27,2.81,-78.5,-0.461,18.05,18.66,01a57972o0369o
14,57972.508638,20.693,2.041,19,39,o,0,1.28,14.27808,8.97255,3733.61,9048.36,3.19,2.76,-76.5,-0.465,18.53,19.23,01a57972o0386o
15,57974.52875700001,19.511,0.32899999999999996,57,19,o,0,1.27,14.27808,8.97255,7892.7,1660.21,2.04,1.98,68.5,-0.499,18.92,19.29,02a57974o0560o
16,57974.537487,19.242,0.325,73,24,o,0,1.0,14.27808,8.97255,7917.61,1698.12,2.02,1.93,75.1,-0.469,18.96,19.31,02a57974o0577o
17,57974.546195,19.389,0.251,64,16,o,0,1.89,14.27808,8.97255,7859.64,1621.74,2.02,1.93,76.3,-0.46399999999999997,18.98,19.32,02a57974o0594o
18,57974.554873,19.883,0.54,40,22,o,0,0.81,14.27808,8.97255,7839.47,1740.57,2.02,1.93,70.6,-0.455,18.97,19.34,02a57974o0611o
19,57978.578891,20.476,0.7340000000000001,23,17,o,0,1.66,14.27808,8.97255,1387.9,8325.22,2.15,1.99,-1.3,-0.47700000000000004,19.16,19.85,02a57978o0640o
20,57978.587721,20.044,0.56,35,20,o,0,1.16,14.27808,8.97255,1369.75,8286.33,2.19,2.03,-4.0,-0.478,19.11,19.87,02a57978o0657o
21,57978.596535000004,19.864,0.414,41,17,o,0,1.86,14.27808,8.97255,1427.31,8363.28,2.15,1.99,-6.5,-0.483,19.15,19.86,02a57978o0674o
22,57978.605335,20.354,0.628,26,16,o,0,1.51,14.27808,8.97255,1447.1,8246.64,2.13,2.0,-10.4,-0.47200000000000003,19.19,19.87,02a57978o0691o
23,57980.568928999994,20.563000000000002,0.551,22,12,o,0,1.57,14.27808,8.97255,6922.74,150.7,3.01,2.79,-81.7,-0.447,19.38,20.87,01a57980o0629o
24,57980.577697,19.698,0.27699999999999997,48,13,o,0,1.3,14.27808,8.97255,6944.97,225.0,3.02,2.85,-86.9,-0.445,19.34,20.89,01a57980o0646o
25,57980.586546000006,20.053,0.4,35,14,o,0,1.24,14.27808,8.97255,6890.22,182.65,3.04,2.83,90.0,-0.447,19.35,20.85,01a57980o0663o
26,57980.595429999994,20.166,0.396,31,12,o,0,1.69,14.27808,8.97255,6873.81,336.01,2.97,2.82,88.6,-0.456,19.33,20.82,01a57980o0680o
27,57982.570738999995,19.820999999999998,0.191,43,8,c,0,2.04,14.27808,8.97255,888.79,7532.19,2.5,2.26,10.4,-0.435,19.8,21.48,02a57982o0645c
28,57982.580087,20.25,0.335,29,10,c,0,1.49,14.27808,8.97255,869.85,7492.81,2.53,2.32,10.3,-0.447,19.74,21.47,02a57982o0663c
29,57982.588917999994,20.038,0.23199999999999998,35,8,c,0,2.12,14.27808,8.97255,928.26,7568.92,2.49,2.3,9.7,-0.43700000000000006,19.75,21.46,02a57982o0680c
30,57982.598348,19.891,0.23,40,9,c,0,1.37,14.27808,8.97255,949.42,7452.72,2.54,2.34,8.7,-0.442,19.74,21.46,02a57982o0698c
31,57986.562025,21.033,0.759,14,11,c,0,1.76,14.27808,8.97255,3817.4,9740.42,3.29,2.63,3.1,-0.408,19.58,21.63,02a57986o0609c
32,57986.57130599999,21.174,0.828,12,10,c,0,1.26,14.27808,8.97255,3798.3,9701.37,2.57,2.46,-1.1,-0.439,19.77,21.62,02a57986o0627c
33,57988.550638,20.414,0.636,25,16,o,0,1.28,14.27808,8.97255,6865.18,180.07,3.52,3.09,-4.0,-0.418,19.14,20.8,01a57988o0640o
34,57988.55945,-22.55,4.846,-4,17,o,0,1.27,14.27808,8.97255,6887.17,254.51,3.83,3.04,-0.8,-0.41700000000000004,19.07,20.75,01a57988o0657o
35,57988.568290999996,19.559,0.29100000000000004,54,16,o,0,1.08,14.27808,8.97255,6832.04,212.65,3.21,3.0,2.1,-0.418,19.16,20.75,01a57988o0674o
36,57988.577164999995,20.271,0.5670000000000001,28,16,o,0,1.05,14.27808,8.97255,6816.38,366.31,3.22,3.17,49.0,-0.41600000000000004,19.14,20.75,01a57988o0691o
37,57992.498809000004,20.918000000000003,0.779,16,12,o,0,1.26,14.27808,8.97255,3904.12,3335.72,3.08,3.05,-77.9,-0.42200000000000004,19.33,21.01,01a57992o0464o
38,57992.505914,20.808000000000003,0.7170000000000001,17,12,o,0,1.11,14.27808,8.97255,3886.8,3271.39,3.0,2.87,76.0,-0.435,19.39,21.07,01a57992o0478o
39,57992.51361,22.055,1.903,6,10,o,0,1.63,14.27808,8.97255,3947.0,3320.64,2.96,2.71,-87.9,-0.446,19.44,21.12,01a57992o0493o
40,57992.520809,22.406999999999996,2.957,4,12,o,0,1.27,14.27808,8.97255,3967.28,3177.8,2.97,2.62,-88.8,-0.45299999999999996,19.43,21.12,01a57992o0507o
41,57994.52383,20.283,0.33399999999999996,28,9,o,0,1.48,14.27808,8.97255,2279.84,4498.14,2.09,1.98,-25.2,-0.45,19.77,21.12,02a57994o0526o
42,57994.532241999994,-21.51,0.768,-9,7,o,0,2.35,14.27808,8.97255,8206.54,5975.69,2.05,1.95,-37.1,-0.45299999999999996,19.81,21.18,02a57994o0540o
43,57994.54070800001,-23.807,6.832999999999999,-1,7,o,0,2.32,14.27808,8.97255,8148.56,5898.81,2.06,1.93,-39.3,-0.45399999999999996,19.83,21.18,02a57994o0555o
44,57994.549805999995,-24.476,14.667,-1,9,o,0,1.99,14.27808,8.97255,2341.3,4417.9,2.11,2.06,-43.3,-0.43700000000000006,19.74,21.17,02a57994o0569o
45,57996.49281,20.658,0.7,20,14,o,0,1.4,14.27808,8.97255,1150.33,4016.46,4.22,3.19,-0.1,-0.385,19.16,21.13,01a57996o0345o
46,57996.499889,-20.279,0.505,-28,14,o,0,1.49,14.27808,8.97255,1132.74,3951.98,4.19,3.31,-3.2,-0.43,19.16,21.15,01a57996o0359o
47,57996.507551999995,19.903,0.309,40,12,o,0,1.54,14.27808,8.97255,1192.89,4001.51,3.14,2.81,84.4,-0.444,19.4,21.14,01a57996o0374o
48,57996.51474199999,21.445999999999998,1.63,10,16,o,0,0.77,14.27808,8.97255,1212.6,3857.95,3.27,2.92,-90.0,-0.433,19.39,21.12,01a57996o0388o
49,57998.510574,20.804000000000002,0.638,17,11,o,0,1.62,14.27808,8.97255,6766.74,7832.42,2.01,1.89,-16.2,-0.47600000000000003,19.46,20.24,02a57998o0519o
50,57998.51889,21.888,1.6669999999999998,6,11,o,0,1.48,14.27808,8.97255,6784.25,7873.13,1.94,1.87,-23.7,-0.479,19.52,20.3,02a57998o0534o
51,57998.526969000006,-21.186999999999998,0.8370000000000001,-12,10,o,0,1.37,14.27808,8.97255,6727.17,7801.54,1.93,1.85,-12.6,-0.48,19.56,20.39,02a57998o0549o
52,57998.53524500001,19.937,0.272,38,10,o,0,1.67,14.27808,8.97255,3762.87,2520.15,2.1,2.07,53.9,-0.425,19.49,20.44,02a57998o0564o
53,58000.43752000001,21.088,1.714,13,23,o,0,1.26,14.27808,8.97255,2895.24,3491.89,3.72,3.48,-84.8,-0.39899999999999997,18.56,19.84,01a58000o0445o
54,58000.443742999996,-20.622,1.317,-20,27,o,0,1.04,14.27808,8.97255,2878.75,3434.37,4.15,3.79,80.6,-0.389,18.49,19.85,01a58000o0458o
55,58000.450070000006,-21.818,3.032,-7,21,o,0,1.55,14.27808,8.97255,2940.16,3492.86,3.36,3.06,88.7,-0.424,18.76,19.87,01a58000o0471o
56,58000.456351,19.526,0.41100000000000003,56,23,o,0,1.01,14.27808,8.97255,2961.55,3356.43,3.21,2.93,-88.3,-0.436,18.79,19.89,01a58000o0484o
57,58008.463272,-20.278,0.76,-28,21,o,0,0.9,14.27808,8.97255,1877.11,3397.29,5.3,3.47,1.7,-0.36700000000000005,18.83,20.58,01a58008o0063o
58,58008.469945000004,20.555,0.845,22,18,o,0,1.17,14.27808,8.97255,1860.06,3333.72,3.65,3.35,-3.5,-0.40700000000000003,19.03,20.57,01a58008o0077o
59,58008.477216,-22.445,4.167,-4,16,o,0,1.13,14.27808,8.97255,1920.69,3383.82,3.35,2.95,88.6,-0.431,19.16,20.56,01a58008o0092o
60,58008.484047000005,20.736,0.851,18,16,o,0,1.12,14.27808,8.97255,1940.89,3240.74,3.42,2.88,84.0,-0.43,19.16,20.56,01a58008o0106o
61,58010.464583,-21.823,1.324,-7,9,o,0,1.45,14.27808,8.97255,8656.51,7444.27,2.1,2.03,23.1,-0.48,19.72,20.96,02a58010o0503o
62,58010.465495000004,21.261,0.982,11,11,o,0,1.43,14.27808,8.97255,8676.12,7483.68,2.14,2.06,34.9,-0.483,19.69,20.95,02a58010o0505o
63,58010.474901,20.607,0.491,21,10,o,0,1.11,14.27808,8.97255,8597.97,7406.46,2.03,1.97,29.7,-0.484,19.75,20.91,02a58010o0524o
64,58010.480811,21.351999999999997,0.8,10,8,o,0,1.99,14.27808,8.97255,8576.86,7526.27,2.1,2.03,37.3,-0.483,19.69,20.89,02a58010o0536o
65,58012.45157999999,-22.000999999999998,3.0,-6,17,o,0,1.12,14.27808,8.97255,3004.99,3241.17,3.69,2.9,-0.3,-0.413,19.01,20.64,01a58012o0494o
66,58012.45825900001,20.34,0.57,26,15,o,0,1.16,14.27808,8.97255,2983.51,3202.42,3.25,3.06,-2.8,-0.413,19.14,20.79,01a58012o0508o
67,58012.471410000006,20.061,0.456,34,16,o,0,1.76,14.27808,8.97255,3056.27,3164.34,3.14,3.11,47.4,-0.428,19.01,20.65,01a58012o0536o
68,58012.47186799999,-20.454,0.682,-24,16,o,0,1.37,14.27808,8.97255,3038.08,3280.73,3.16,3.09,-79.1,-0.423,19.02,20.65,01a58012o0537o
69,58013.479022,21.953000000000003,2.346,6,14,o,0,1.0,14.27808,8.97255,10345.63,1748.84,3.42,3.12,-64.4,-0.428,19.39,20.99,01a58013o0541o
70,58013.494473,20.268,0.41200000000000003,28,12,o,0,1.48,14.27808,8.97255,222.64,8878.48,2.88,2.4,-81.6,-0.465,19.47,21.05,01a58013o0573o
71,58013.500834000006,-20.744,0.682,-18,12,o,0,1.8,14.27808,8.97255,10375.32,1788.96,3.36,2.95,-79.6,-0.43799999999999994,19.43,20.99,01a58013o0584o
72,58013.502063,21.108,0.831,13,11,o,0,1.54,14.27808,8.97255,145.66,8917.74,2.9,2.43,-84.7,-0.47,19.41,21.01,01a58013o0586o
73,58016.442623,19.926,0.436,39,17,o,0,1.14,14.27808,8.97255,1748.85,2572.41,3.46,3.35,6.3,-0.41,19.15,20.86,01a58016o0184o
74,58016.44931900001,23.302,9.167,2,16,o,0,1.17,14.27808,8.97255,1726.98,2533.79,3.79,3.65,72.9,-0.39899999999999997,19.06,20.86,01a58016o0198o
75,58016.452199,22.88,5.364,3,14,o,0,1.25,14.27808,8.97255,1785.14,2612.06,3.45,3.13,78.9,-0.425,19.2,20.86,01a58016o0204o
76,58016.462965,20.49,0.528,23,12,o,0,1.63,14.27808,8.97255,1798.43,2495.72,3.08,2.79,82.2,-0.449,19.33,20.84,01a58016o0227o
77,58018.442611,20.985,0.674,15,10,c,0,1.27,14.27808,8.97255,10182.96,8829.69,3.05,2.74,41.3,-0.4,19.66,21.56,02a58018o0181c
78,58018.449348,21.191999999999997,0.75,12,9,c,0,1.51,14.27808,8.97255,10202.26,8869.65,2.71,2.45,45.4,-0.42200000000000004,19.77,21.57,02a58018o0195c
79,58018.454207,21.393,1.0,10,10,c,0,1.25,14.27808,8.97255,10143.66,8791.87,2.98,2.71,43.6,-0.409,19.66,21.56,02a58018o0205c
80,58018.454755,22.468000000000004,2.154,4,8,c,0,1.27,14.27808,8.97255,10124.6,8909.62,2.79,2.59,44.2,-0.41200000000000003,19.71,21.55,02a58018o0206c
81,58022.429337,-21.165,0.7959999999999999,-12,10,o,0,1.58,14.27808,8.97255,6486.89,7324.29,2.05,1.88,-32.6,-0.451,19.72,20.78,02a58022o0445o
82,58022.435923000005,21.430999999999997,0.882,10,9,o,0,1.9,14.27808,8.97255,6504.4,7364.08,2.05,1.9,-24.8,-0.452,19.7,20.76,02a58022o0459o
83,58022.43637999999,20.998,0.703,14,10,o,0,1.43,14.27808,8.97255,6446.98,7286.58,1.99,1.86,-31.7,-0.46,19.69,20.76,02a58022o0460o
84,58022.448572,20.323,0.405,27,11,o,0,0.97,14.27808,8.97255,6426.33,7406.03,2.08,1.93,-27.0,-0.455,19.66,20.77,02a58022o0486o
85,58024.4299,22.627,4.105,3,13,o,0,1.01,14.27808,8.97255,1241.38,5011.77,2.99,2.52,88.4,-0.475,19.38,20.89,01a58024o0479o
86,58024.439314999996,-20.975,0.857,-15,13,o,0,1.7,14.27808,8.97255,1263.9,5017.39,2.98,2.81,58.2,-0.475,19.31,20.87,01a58024o0498o
87,58024.446336,20.741999999999997,0.733,18,13,o,0,1.25,14.27808,8.97255,1303.76,5029.11,2.99,2.6,81.7,-0.46399999999999997,19.29,20.81,01a58024o0512o
88,58024.453486,20.725,0.772,19,14,o,0,1.62,14.27808,8.97255,1323.31,4885.48,2.89,2.49,87.3,-0.475,19.22,20.67,01a58024o0527o
89,58026.424712,21.35,0.831,10,9,o,0,2.09,14.27808,8.97255,7250.13,7429.07,2.0,1.95,-28.4,-0.455,19.53,20.43,02a58026o0467o
90,58026.434992999995,-22.781,4.355,-3,12,o,0,0.8,14.27808,8.97255,3208.42,2959.65,2.03,1.96,-77.0,-0.43799999999999994,19.49,20.43,02a58026o0487o
91,58026.453713999996,-22.136999999999997,2.094,-5,11,o,0,1.48,14.27808,8.97255,3263.28,3039.9,2.09,2.03,-86.8,-0.43700000000000006,19.49,20.47,02a58026o0526o
92,58026.454170000005,-21.83,1.9140000000000001,-7,13,o,0,0.93,14.27808,8.97255,3282.39,2923.36,2.07,2.05,78.8,-0.43799999999999994,19.47,20.47,02a58026o0527o
93,58028.423651,21.574,2.239,8,19,o,0,1.2,14.27808,8.97255,4229.04,1638.58,2.99,2.82,82.1,-0.447,18.94,19.94,01a58028o0410o
