,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57868.58525800001,-20.065,0.41200000000000003,-34,14,c,0,1.1,227.31167000000002,-11.33418,7679.53,5569.4,2.85,2.59,29.7,-0.48,19.12,20.05,02a57868o0466c
1,57868.59834,23.677,13.857000000000001,1,17,c,0,0.93,227.31167000000002,-11.33418,7662.3,5530.08,2.94,2.68,30.4,-0.47200000000000003,19.08,20.07,02a57868o0491c
2,57868.61139500001,-19.778,0.373,-45,17,c,0,1.07,227.31167000000002,-11.33418,7719.49,5606.84,2.82,2.57,28.5,-0.484,19.07,19.96,02a57868o0516c
3,57868.624549,-21.064,1.821,-14,25,c,0,0.92,227.31167000000002,-11.33418,7756.99,5490.8,3.08,2.81,24.5,-0.48200000000000004,18.62,19.26,02a57868o0541c
4,57869.597065999995,-14.312999999999999,0.001,-6833,6,o,0,7.67,227.31167000000002,-11.33418,3024.66,4406.04,3.51,3.14,-87.2,-0.48100000000000004,18.22,19.72,01a57869o0664o
5,57869.609414,-14.228,0.001,-7390,6,o,0,20.22,227.31167000000002,-11.33418,3043.08,4443.79,3.52,3.16,-87.4,-0.479,18.2,19.69,01a57869o0689o
6,57869.621777,-14.325999999999999,0.001,-6754,8,o,0,3.45,227.31167000000002,-11.33418,2983.53,4366.46,3.73,3.68,-20.6,-0.452,17.93,19.31,01a57869o0714o
7,57871.514727,-20.456,0.524,-24,12,c,0,0.93,227.31167000000002,-11.33418,9894.63,7971.37,2.67,2.53,14.2,-0.478,19.43,20.56,02a57871o0400c
8,57871.516296,-20.02,0.494,-36,18,c,0,0.74,227.31167000000002,-11.33418,72.7,7915.16,2.9,2.74,45.8,-0.381,19.39,20.52,02a57871o0403c
9,57871.53042999999,-21.26,1.0490000000000002,-11,12,c,0,0.98,227.31167000000002,-11.33418,9878.29,7931.74,2.69,2.52,12.0,-0.478,19.39,20.47,02a57871o0430c
10,57871.532028999995,-20.534000000000002,0.564,-22,12,c,0,0.73,227.31167000000002,-11.33418,133.9,7991.82,2.88,2.71,47.7,-0.387,19.35,20.42,02a57871o0433c
11,57871.547762,-19.838,0.221,-42,9,c,0,1.41,227.31167000000002,-11.33418,154.88,7873.62,2.82,2.63,46.0,-0.386,19.37,20.41,02a57871o0463c
12,57871.561954,-20.397000000000002,0.441,-25,11,c,0,1.53,227.31167000000002,-11.33418,9959.16,7891.63,2.65,2.47,10.4,-0.48100000000000004,19.36,20.42,02a57871o0490c
13,57871.563588,-19.822,0.384,-43,16,c,0,0.5,227.31167000000002,-11.33418,118.62,7930.3,2.76,2.58,49.8,-0.38799999999999996,19.34,20.35,02a57871o0493c
14,57871.577198,-21.019000000000002,0.8909999999999999,-14,13,c,0,1.16,227.31167000000002,-11.33418,9922.93,7949.98,2.65,2.45,15.6,-0.478,19.35,20.37,02a57871o0519c
15,57878.50147,-14.538,0.001,-5559,4,o,0,130.06,227.31167000000002,-11.33418,2885.29,4750.88,3.41,3.13,-45.0,-0.461,18.81,19.99,01a57878o0321o
16,57878.517375999996,-14.269,0.001,-7116,5,o,0,27.54,227.31167000000002,-11.33418,2906.51,4787.36,3.71,3.32,-36.9,-0.415,18.82,20.02,01a57878o0352o
17,57878.532641,-14.343,0.0,-6652,3,o,0,23.38,227.31167000000002,-11.33418,2849.07,4710.17,3.47,3.14,-28.4,-0.441,19.02,20.25,01a57878o0382o
18,57878.54786900001,-14.244000000000002,0.001,-7286,4,o,0,15.7,227.31167000000002,-11.33418,2833.02,4825.59,3.75,3.33,-34.6,-0.41200000000000003,18.98,20.33,01a57878o0412o
19,57879.495842,-14.665,0.001,-4944,3,o,0,376.05,227.31167000000002,-11.33418,6346.25,7510.65,2.16,2.14,-81.1,-0.499,18.97,19.53,02a57879o0522o
20,57879.51158200001,-14.538,0.003,-5555,19,o,0,9.42,227.31167000000002,-11.33418,6328.79,7471.04,2.06,2.05,-67.7,-0.506,19.01,19.53,02a57879o0552o
21,57879.52731900001,-14.735,0.0,-4636,2,o,0,508.63,227.31167000000002,-11.33418,6388.43,7548.13,2.06,2.05,-37.7,-0.51,18.97,19.52,02a57879o0582o
22,57879.558305,-14.697000000000001,0.0,-4798,2,o,0,368.04,227.31167000000002,-11.33418,6373.73,7486.82,2.2,2.17,-47.4,-0.5,19.14,19.97,02a57879o0641o
23,57881.391215999996,-14.55,0.008,-5494,44,o,0,1.43,227.31167000000002,-11.33418,316.6,7675.97,2.75,2.57,-57.8,-0.475,18.36,18.85,01a57881o0330o
24,57881.406799000004,-14.537,0.006,-5562,34,o,0,1.96,227.31167000000002,-11.33418,291.79,7635.89,2.74,2.53,-63.7,-0.47100000000000003,18.35,18.88,01a57881o0359o
25,57881.41344,-14.487,0.01,-5824,60,o,0,1.63,227.31167000000002,-11.33418,10105.2,7579.2,3.05,2.89,-54.7,-0.49700000000000005,18.43,18.96,01a57881o0372o
26,57881.421586000004,-14.464,0.008,-5946,50,o,0,1.32,227.31167000000002,-11.33418,347.01,7712.92,3.26,3.06,-67.9,-0.42700000000000005,18.23,18.93,01a57881o0388o
27,57881.427217,-14.484000000000002,0.008,-5842,46,o,0,1.91,227.31167000000002,-11.33418,10081.76,7536.92,3.42,3.25,-46.5,-0.496,18.33,19.02,01a57881o0399o
28,57881.434458,-14.515999999999998,0.008,-5670,46,o,0,1.17,227.31167000000002,-11.33418,362.4,7593.0,3.15,2.94,-71.3,-0.435,18.22,18.91,01a57881o0413o
29,57881.43852,-14.481,0.009000000000000001,-5855,54,o,0,1.64,227.31167000000002,-11.33418,10138.45,7610.13,3.31,3.12,-37.8,-0.47,18.39,19.03,01a57881o0421o
30,57881.452636,-14.432,0.004,-6125,24,o,0,4.19,227.31167000000002,-11.33418,423.97,3051.14,3.13,2.87,-62.4,-0.535,18.36,18.99,01a57881o0448o
31,57886.503852999995,-14.433,0.006,-6119,36,o,0,1.6,227.31167000000002,-11.33418,1759.92,2087.95,4.75,3.23,-16.7,-0.43799999999999994,18.23,19.06,01a57886o0581o
32,57886.517265999995,-14.404000000000002,0.005,-6284,31,o,0,2.42,227.31167000000002,-11.33418,1783.51,2178.42,4.2,3.06,-28.3,-0.48700000000000004,18.33,18.99,01a57886o0608o
33,57886.530973,-14.42,0.005,-6196,31,o,0,2.34,227.31167000000002,-11.33418,1728.42,2152.13,4.27,3.15,-28.6,-0.475,18.24,18.92,01a57886o0636o
34,57886.544187,-14.449000000000002,0.006,-6032,39,o,0,1.89,227.31167000000002,-11.33418,1714.36,2316.13,4.35,3.1,-30.6,-0.48100000000000004,18.22,18.84,01a57886o0663o
35,57887.472894000006,-14.540999999999999,0.001,-5543,4,o,0,88.27,227.31167000000002,-11.33418,7828.71,7763.71,2.49,2.41,79.5,-0.48200000000000004,18.78,19.41,02a57887o0186o
36,57887.499107,-14.433,0.005,-6121,29,o,0,5.35,227.31167000000002,-11.33418,7868.96,7801.2,2.54,2.44,62.0,-0.502,18.66,19.29,02a57887o0236o
37,57887.512241,-14.478,0.005,-5871,29,o,0,5.18,227.31167000000002,-11.33418,7888.75,7683.94,2.59,2.49,66.9,-0.511,18.66,19.3,02a57887o0261o
38,57887.52589600001,-14.498,0.003,-5767,19,o,0,7.28,227.31167000000002,-11.33418,7852.36,7742.81,2.55,2.4,63.0,-0.522,18.64,19.21,02a57887o0287o
39,57891.464335000004,-14.697000000000001,0.0,-4799,2,o,0,372.39,227.31167000000002,-11.33418,6451.33,7186.96,2.43,2.34,-22.7,-0.43,19.24,20.12,02a57891o0148o
40,57891.479577,-14.594000000000001,0.0,-5279,1,o,0,199.31,227.31167000000002,-11.33418,6434.41,7149.76,2.45,2.31,-36.9,-0.434,19.21,20.09,02a57891o0177o
41,57891.49484400001,-14.665,0.0,-4942,2,o,0,310.85,227.31167000000002,-11.33418,6494.76,7227.78,2.43,2.27,-43.1,-0.429,19.18,20.01,02a57891o0206o
42,57891.510066999996,-14.737,0.0,-4626,2,o,0,562.15,227.31167000000002,-11.33418,6514.8,7108.24,2.41,2.22,-40.5,-0.435,19.16,19.94,02a57891o0235o
43,57893.476116,18.656,0.195,125,24,o,0,14.55,227.31167000000002,-11.33418,2759.56,3005.02,5.64,4.75,83.7,-0.312,18.73,20.65,01a57893o0473o
44,57893.49266900001,18.753,0.244,114,28,o,0,13.11,227.31167000000002,-11.33418,2786.77,3107.66,5.68,4.72,84.4,-0.34600000000000003,18.64,20.48,01a57893o0506o
45,57893.509226,19.301,0.462,69,32,o,0,10.95,227.31167000000002,-11.33418,2737.07,3091.06,5.89,5.18,81.4,-0.326,18.52,20.36,01a57893o0539o
46,57893.525783000005,19.034000000000002,0.332,88,29,o,0,12.55,227.31167000000002,-11.33418,2719.64,3266.79,5.94,5.11,77.9,-0.31,18.42,20.16,01a57893o0572o
47,57895.455573,-20.279,0.342,-28,10,c,0,1.1,227.31167000000002,-11.33418,7215.11,8980.83,2.76,2.55,17.5,-0.451,19.69,21.45,02a57895o0420c
48,57895.472401,-20.249000000000002,0.36200000000000004,-29,10,c,0,1.29,227.31167000000002,-11.33418,7195.51,8942.33,2.82,2.67,11.8,-0.44299999999999995,19.57,21.3,02a57895o0452c
49,57895.489224000004,-21.631,1.604,-8,13,c,0,1.0,227.31167000000002,-11.33418,7255.62,9019.3,2.78,2.59,9.9,-0.445,19.4,21.09,02a57895o0484c
50,57895.505524,-20.489,0.402,-23,9,c,0,1.37,227.31167000000002,-11.33418,7277.48,8899.68,2.71,2.51,11.7,-0.449,19.66,21.31,02a57895o0515c
51,57895.522333,-20.475,0.6890000000000001,-23,16,c,0,0.81,227.31167000000002,-11.33418,7241.1,8956.53,2.81,2.68,7.3,-0.43700000000000006,19.1,20.7,02a57895o0547c
52,57897.447822,-14.460999999999999,0.0,-5964,3,o,0,4.58,227.31167000000002,-11.33418,9898.74,1581.98,4.57,3.45,-6.2,-0.406,19.06,20.75,01a57897o0403o
53,57897.464398000004,-14.456,0.0,-5992,2,o,0,11.49,227.31167000000002,-11.33418,9926.63,1686.66,3.47,3.1,-48.7,-0.455,19.18,20.68,01a57897o0436o
54,57897.466378,-14.311,0.0,-6850,3,o,0,76.63,227.31167000000002,-11.33418,74.2,1751.66,3.26,3.05,-8.2,-0.45299999999999996,19.19,20.68,01a57897o0440o
55,57897.480879999996,-14.470999999999998,0.0,-5909,2,o,0,4.99,227.31167000000002,-11.33418,9873.49,1674.03,3.51,3.11,-40.5,-0.44799999999999995,19.15,20.65,01a57897o0469o
56,57897.497512,-14.522,0.0,-5640,2,o,0,22.59,227.31167000000002,-11.33418,9859.56,1851.91,3.34,2.83,-69.7,-0.457,19.15,20.56,01a57897o0502o
57,57897.499554999995,-21.104,5.968999999999999,-13,78,o,0,0.1,227.31167000000002,-11.33418,32.1,1839.19,3.38,3.11,-22.8,-0.45399999999999996,19.14,20.62,01a57897o0506o
58,57898.460823,-14.432,0.0,-6128,2,o,0,19.41,227.31167000000002,-11.33418,3738.88,4089.94,3.34,2.76,-51.2,-0.461,19.32,20.85,01a57898o0293o
59,57898.494186,-14.423,0.0,-6178,2,o,0,12.52,227.31167000000002,-11.33418,3716.23,4177.52,4.46,3.31,-14.0,-0.397,18.97,20.68,01a57898o0359o
60,57898.510733,-14.421,0.0,-6190,2,o,0,17.62,227.31167000000002,-11.33418,3699.14,4353.14,3.79,3.05,-49.3,-0.43799999999999994,19.05,20.51,01a57898o0392o
61,57899.446987999996,-21.649,1.177,-8,9,c,0,0.82,227.31167000000002,-11.33418,7060.03,7770.96,2.61,2.44,26.1,-0.451,19.7,21.4,02a57899o0415c
62,57899.496759,-20.315,0.29600000000000004,-27,8,c,0,1.58,227.31167000000002,-11.33418,7123.35,7692.58,2.54,2.46,12.0,-0.455,19.63,21.34,02a57899o0508c
63,57899.513596000004,-20.853,0.754,-16,12,c,0,0.93,227.31167000000002,-11.33418,7087.89,7748.97,2.58,2.46,6.5,-0.455,19.57,21.22,02a57899o0540c
64,57901.450560000005,-14.501,0.0,-5749,3,o,0,14.23,227.31167000000002,-11.33418,3058.54,4532.67,4.05,3.15,-46.2,-0.431,19.1,20.78,01a57901o0226o
65,57901.467218,-14.505999999999998,0.0,-5725,3,o,0,13.05,227.31167000000002,-11.33418,3085.56,4635.97,4.11,3.18,-45.6,-0.43799999999999994,19.09,20.76,01a57901o0259o
66,57901.483316,-14.435,0.0,-6108,3,o,0,7.17,227.31167000000002,-11.33418,3034.85,4619.1,4.11,3.21,-39.9,-0.426,19.02,20.65,01a57901o0291o
67,57901.499946,-14.404000000000002,0.0,-6287,3,o,0,9.37,227.31167000000002,-11.33418,3020.56,4795.56,4.25,3.36,-48.7,-0.41700000000000004,18.94,20.48,01a57901o0324o
68,57902.448103999996,-14.502,0.001,-5743,3,o,0,7.35,227.31167000000002,-11.33418,2831.46,2733.17,3.67,3.0,-49.8,-0.445,18.83,20.47,01a57902o0420o
69,57902.46470800001,-14.440999999999999,0.001,-6074,4,o,0,3.44,227.31167000000002,-11.33418,2861.57,2838.15,3.89,3.23,-50.8,-0.43200000000000005,18.62,20.38,01a57902o0453o
70,57902.49727000001,-14.475999999999999,0.001,-5881,3,o,0,8.07,227.31167000000002,-11.33418,2792.97,2996.9,3.78,3.15,-47.0,-0.441,19.02,20.6,01a57902o0518o
71,57903.42531900001,-20.342,0.41700000000000004,-26,11,c,0,0.89,227.31167000000002,-11.33418,8780.63,6676.12,2.67,2.64,5.5,-0.433,19.7,21.39,02a57903o0371c
72,57903.442213,-20.799,0.48100000000000004,-17,8,c,0,1.79,227.31167000000002,-11.33418,8761.2,6639.4,2.67,2.6,-4.7,-0.43200000000000005,19.72,21.4,02a57903o0404c
73,57903.45860700001,-20.673000000000002,0.507,-20,10,c,0,0.98,227.31167000000002,-11.33418,8821.11,6715.82,2.59,2.54,-40.6,-0.44299999999999995,19.7,21.33,02a57903o0436c
74,57903.474984,20.982,0.711,15,10,c,0,1.48,227.31167000000002,-11.33418,8843.07,6597.93,2.58,2.51,-42.8,-0.44,19.7,21.33,02a57903o0468c
75,57903.49185599999,-20.738000000000003,0.58,-18,11,c,0,1.01,227.31167000000002,-11.33418,8805.99,6654.13,2.57,2.52,-36.5,-0.442,19.69,21.29,02a57903o0501c
76,57905.437275,-14.22,0.0,-7447,2,o,0,258.27,227.31167000000002,-11.33418,881.08,2316.43,2.95,2.83,60.9,-0.48700000000000004,19.3,20.67,01a57905o0141o
77,57905.453907,-14.314,0.0,-6831,3,o,0,49.24,227.31167000000002,-11.33418,905.09,2418.25,3.33,3.0,-40.6,-0.467,19.24,20.6,01a57905o0174o
78,57905.470449,-14.347000000000001,0.001,-6623,4,o,0,33.81,227.31167000000002,-11.33418,853.25,2405.57,3.52,3.14,-22.7,-0.455,19.08,20.51,01a57905o0207o
79,57905.487042999994,-14.370999999999999,0.0,-6482,3,o,0,21.96,227.31167000000002,-11.33418,840.24,2581.51,3.55,3.07,-57.2,-0.46,19.04,20.41,01a57905o0240o
80,57906.398667999994,-14.456,0.005,-5991,32,o,0,1.34,227.31167000000002,-11.33418,9815.49,4459.27,3.3,3.12,47.7,-0.44799999999999995,18.09,18.84,01a57906o0247o
81,57906.415704,-14.419,0.001,-6198,6,o,0,2.16,227.31167000000002,-11.33418,9842.46,4566.77,3.16,2.89,41.2,-0.45,18.15,18.96,01a57906o0281o
82,57906.432746000006,-14.452,0.001,-6017,4,o,0,5.46,227.31167000000002,-11.33418,9791.14,4557.22,3.07,2.93,59.8,-0.457,18.55,19.42,01a57906o0315o
83,57906.435317999996,-14.61,0.001,-5198,6,o,0,44.35,227.31167000000002,-11.33418,54.75,4744.2,2.67,2.52,87.7,-0.524,18.69,19.52,01a57906o0320o
84,57906.450735000006,-14.472999999999999,0.0,-5897,2,o,0,13.5,227.31167000000002,-11.33418,9778.43,4743.63,3.07,2.94,-78.8,-0.45899999999999996,19.0,20.04,01a57906o0351o
85,57907.425663,-14.639000000000001,0.0,-5065,2,o,0,196.65,227.31167000000002,-11.33418,6508.67,7505.0,2.41,2.35,71.0,-0.469,19.11,19.92,02a57907o0263o
86,57907.442008000005,-14.514000000000001,0.001,-5679,3,o,0,13.05,227.31167000000002,-11.33418,6488.33,7469.16,2.94,2.85,-78.0,-0.462,18.91,19.91,02a57907o0295o
87,57907.458889,-14.407,0.0,-6270,2,o,0,19.26,227.31167000000002,-11.33418,6547.29,7545.52,2.46,2.38,-80.8,-0.486,19.05,19.84,02a57907o0328o
88,57907.475228999996,-14.415999999999999,0.0,-6215,2,o,0,18.32,227.31167000000002,-11.33418,6569.02,7426.74,2.36,2.26,-55.6,-0.49200000000000005,19.03,19.8,02a57907o0360o
89,57907.492116999994,-14.623,0.0,-5139,2,o,0,189.36,227.31167000000002,-11.33418,6532.49,7483.34,2.49,2.38,-68.6,-0.485,19.04,19.91,02a57907o0393o
90,57909.383937,-14.467,0.001,-5930,4,o,0,7.75,227.31167000000002,-11.33418,1129.67,1614.25,3.14,2.92,58.4,-0.479,18.51,19.16,01a57909o0293o
91,57909.438718,-14.32,0.001,-6794,4,o,0,11.66,227.31167000000002,-11.33418,1104.28,1911.64,2.9,2.72,-87.3,-0.514,18.5,19.03,01a57909o0403o
92,57914.470718,-14.437999999999999,0.004,-6091,23,o,0,1.68,227.31167000000002,-11.33418,1379.18,5034.41,2.89,2.77,-69.9,-0.489,18.22,18.63,01a57914o0443o
93,57914.486649,-14.468,0.005,-5926,27,o,0,1.76,227.31167000000002,-11.33418,1397.75,5126.18,3.03,2.88,-58.6,-0.469,18.09,18.49,01a57914o0474o
94,57914.503815,-14.423,0.006,-6179,37,o,0,1.64,227.31167000000002,-11.33418,1340.97,5100.69,3.35,3.08,-57.9,-0.45899999999999996,18.0,18.31,01a57914o0507o
95,57914.51962100001,-14.446,0.006999999999999999,-6048,44,o,0,1.92,227.31167000000002,-11.33418,1324.68,5260.41,3.32,2.99,-53.6,-0.461,17.85,18.1,01a57914o0538o
96,57917.39166,-14.749,0.001,-4575,4,o,0,60.9,227.31167000000002,-11.33418,1320.28,4632.2,3.03,2.78,61.0,-0.47600000000000003,19.04,20.14,01a57917o0195o
