,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57935.610073,19.494,0.281,58,16,o,0,1.28,356.28029,9.06046,6405.64,6900.24,6.31,3.68,-0.0,-0.363,18.98,21.19,01a57935o0723o
1,57935.618701,19.529,0.34600000000000003,56,19,o,0,1.64,356.28029,9.06046,6388.63,6830.59,3.57,3.43,-54.7,-0.42200000000000004,18.92,20.19,01a57935o0740o
2,57935.62732100001,20.842,11.068,17,185,o,0,1.2,356.28029,9.06046,6448.4,6876.13,3.53,3.36,-73.9,-0.49700000000000005,17.52,18.02,01a57935o0757o
3,57939.625049,19.285999999999998,1.81,70,127,o,0,1.27,356.28029,9.06046,7722.18,7442.58,2.99,2.85,-75.3,-0.518,17.93,18.34,01a57939o0739o
4,57941.607251,19.436,0.212,61,13,o,0,2.19,356.28029,9.06046,2074.84,2102.91,2.42,2.2,49.4,-0.465,19.35,20.28,02a57941o0174o
5,57941.609199,19.503,0.25,57,14,o,0,2.21,356.28029,9.06046,2096.1,2142.57,2.34,2.12,51.6,-0.474,19.38,20.31,02a57941o0178o
6,57941.624475,19.144000000000002,1.247,80,100,o,0,1.18,356.28029,9.06046,8451.65,8372.03,2.34,2.27,28.4,-0.485,18.24,18.54,02a57941o0206o
7,57943.511019000005,19.083,0.32899999999999996,84,28,o,0,1.17,356.28029,9.06046,9196.57,806.82,3.3,3.05,-61.9,-0.456,18.6,19.35,01a57943o0529o
8,57943.512523000005,24.358,51.0,1,34,o,0,1.17,356.28029,9.06046,9068.96,10485.34,3.51,3.21,-57.7,-0.449,18.53,19.3,01a57943o0532o
9,57943.51848,19.465999999999998,0.473,59,28,o,0,1.07,356.28029,9.06046,9181.35,748.72,3.34,3.03,-58.7,-0.502,18.57,19.39,01a57943o0544o
10,57943.52597,17.322,0.539,428,230,o,0,0.23,356.28029,9.06046,9243.07,807.77,3.48,3.19,-51.7,-0.45899999999999996,18.36,19.13,01a57943o0559o
11,57943.527455999996,-20.994,2.4290000000000003,-14,35,o,0,1.25,356.28029,9.06046,9153.14,10408.25,3.47,3.27,-74.0,-0.433,18.32,19.14,01a57943o0562o
12,57943.533411000004,19.965,0.968,38,36,o,0,1.23,356.28029,9.06046,9266.02,668.69,3.29,3.02,-59.0,-0.465,18.4,19.14,01a57943o0574o
13,57944.59839400001,19.16,0.247,79,19,o,0,1.42,356.28029,9.06046,8996.93,630.2,3.09,2.93,87.9,-0.452,19.02,19.97,01a57944o0558o
14,57944.6075,15.761,0.32899999999999996,1801,593,o,0,0.81,356.28029,9.06046,8975.06,554.41,3.95,3.45,83.2,-0.456,15.44,16.46,01a57944o0575o
15,57944.617096,19.367,1.9409999999999998,65,126,o,0,0.88,356.28029,9.06046,9036.77,596.1,3.15,2.97,-86.6,-0.473,17.18,17.98,01a57944o0592o
16,57944.627475,-21.779,6.7139999999999995,-7,47,o,0,1.01,356.28029,9.06046,9058.69,437.37,3.03,2.88,-74.9,-0.47600000000000003,18.04,18.32,01a57944o0609o
17,57945.561276,19.116,0.21,82,17,o,0,2.31,356.28029,9.06046,3155.38,601.76,2.29,1.98,40.9,-0.508,19.0,19.48,02a57945o0614o
18,57945.569774,21.295,1.788,11,20,o,0,1.45,356.28029,9.06046,3172.07,642.36,2.39,2.07,45.3,-0.502,18.94,19.5,02a57945o0631o
19,57945.578246000005,20.906,1.0,16,16,o,0,2.01,356.28029,9.06046,3113.64,564.72,2.44,2.05,42.4,-0.488,18.9,19.51,02a57945o0648o
20,57945.586741,20.27,0.62,28,18,o,0,1.79,356.28029,9.06046,3094.11,682.69,2.47,2.1,40.6,-0.495,18.95,19.51,02a57945o0665o
21,57947.564439999995,18.937,0.257,97,25,o,0,1.25,356.28029,9.06046,8204.65,8774.56,3.39,2.91,-89.4,-0.431,18.77,19.64,01a57947o0410o
22,57947.574298,19.930999999999997,0.75,39,29,o,0,1.39,356.28029,9.06046,8183.95,8703.71,3.33,2.91,-84.9,-0.45399999999999996,18.74,19.61,01a57947o0427o
23,57947.583145000004,19.811,0.655,43,28,o,0,1.18,356.28029,9.06046,8244.48,8750.49,3.49,3.01,-86.2,-0.434,18.76,19.66,01a57947o0444o
24,57947.591588,-21.588,2.9560000000000004,-8,25,o,0,1.62,356.28029,9.06046,8264.83,8602.23,3.51,2.87,-85.6,-0.428,18.82,19.67,01a57947o0461o
25,57949.601979,-21.000999999999998,2.364,-14,34,o,0,1.69,356.28029,9.06046,8139.7,8324.37,2.16,1.98,-15.5,-0.523,18.97,19.53,02a57949o0717o
26,57949.611763,20.336,0.8009999999999999,27,21,o,0,2.69,356.28029,9.06046,2365.18,2148.64,1.96,1.83,55.9,-0.508,19.07,19.53,02a57949o0734o
27,57949.621654999995,20.04,0.583,35,20,o,0,1.94,356.28029,9.06046,2304.88,2069.99,2.01,1.84,58.7,-0.512,18.83,19.14,02a57949o0751o
28,57949.631519,23.063000000000002,125.28,2,271,o,0,1.34,356.28029,9.06046,8193.72,8249.2,2.23,2.12,5.0,-0.37,17.18,17.24,02a57949o0768o
29,57951.592971000005,20.689,0.685,19,13,o,0,1.9,356.28029,9.06046,4196.99,2990.2,2.83,2.69,-87.6,-0.45399999999999996,19.28,20.66,01a57951o0692o
30,57951.602903,20.259,0.446,29,13,o,0,1.52,356.28029,9.06046,4219.22,3068.22,2.79,2.64,-79.3,-0.456,19.35,20.83,01a57951o0710o
31,57951.612671,20.311,0.48100000000000004,27,13,o,0,1.81,356.28029,9.06046,4165.7,3028.57,2.81,2.7,-71.0,-0.451,19.3,20.72,01a57951o0727o
32,57951.623531,19.544,0.29600000000000004,55,16,o,0,1.45,356.28029,9.06046,4152.11,3190.17,2.98,2.95,-43.5,-0.43,19.03,20.2,01a57951o0745o
33,57955.57997100001,21.199,1.186,12,14,o,0,1.49,356.28029,9.06046,6541.88,8615.55,3.95,3.37,-87.2,-0.409,19.23,21.19,01a57955o0684o
34,57955.589447000006,-21.138,1.0,-13,13,o,0,1.26,356.28029,9.06046,6527.18,8544.45,3.82,3.23,-83.3,-0.409,19.27,21.25,01a57955o0702o
35,57955.60056,21.296999999999997,1.133,11,12,o,0,1.45,356.28029,9.06046,6588.24,8579.37,3.73,3.08,-86.7,-0.42100000000000004,19.35,21.25,01a57955o0721o
36,57955.611199,20.823,1.3330000000000002,17,23,o,0,0.97,356.28029,9.06046,3625.21,1885.33,5.57,5.22,27.6,-0.419,18.73,21.2,01a57955o0739o
37,57959.576120000005,22.249000000000002,2.765,5,13,o,0,1.7,356.28029,9.06046,9414.84,7217.33,4.33,2.99,-85.7,-0.39299999999999996,19.37,21.44,01a57959o0675o
38,57959.58139,-20.005,0.41100000000000003,-36,15,o,0,1.2,356.28029,9.06046,9397.06,7158.1,4.98,3.77,-85.8,-0.363,19.19,21.46,01a57959o0685o
39,57959.583353999995,-18.748,0.16899999999999998,-115,19,o,0,1.94,356.28029,9.06046,10505.26,2988.49,4.49,3.25,-85.3,-0.402,19.32,21.45,01a57959o0688o
40,57959.592464999994,-20.375,0.6,-26,15,o,0,1.35,356.28029,9.06046,9457.33,7192.47,5.2,4.18,-86.2,-0.33799999999999997,19.06,21.41,01a57959o0704o
41,57959.593614,-19.462,0.33799999999999997,-60,20,o,0,1.45,356.28029,9.06046,10489.29,3146.86,4.92,4.46,-74.7,-0.355,19.08,21.46,01a57959o0706o
42,57959.603359,21.016,1.265,14,18,o,0,1.02,356.28029,9.06046,751.87,3283.22,4.83,4.23,81.6,-0.369,19.14,21.4,01a57959o0722o
43,57961.60688200001,20.66,0.6559999999999999,20,13,o,0,2.95,356.28029,9.06046,9106.19,9907.06,2.38,2.09,47.0,-0.456,19.43,20.96,02a57961o0661o
44,57961.607368,21.384,1.548,10,16,o,0,1.69,356.28029,9.06046,9086.68,9867.43,2.26,2.01,46.6,-0.445,19.26,20.75,02a57961o0662o
45,57961.61754299999,-21.563000000000002,3.545,-9,30,o,0,1.83,356.28029,9.06046,9144.65,9946.93,2.27,2.05,45.0,-0.469,18.63,19.83,02a57961o0681o
46,57961.626971000005,-22.211,4.463,-5,21,o,0,1.19,356.28029,9.06046,9162.73,9827.73,2.31,2.07,53.3,-0.48100000000000004,19.03,19.71,02a57961o0699o
47,57963.536678,-22.843000000000004,4.462,-3,12,o,0,2.07,356.28029,9.06046,9575.64,7034.9,3.46,2.69,-84.6,-0.428,19.48,21.19,01a57963o0372o
48,57963.54511,20.686,0.6629999999999999,19,13,o,0,1.28,356.28029,9.06046,9558.29,6964.23,3.47,2.68,-84.2,-0.431,19.47,21.18,01a57963o0389o
49,57963.553541999994,21.199,1.138,12,14,o,0,1.4,356.28029,9.06046,9619.13,7011.05,3.49,2.73,-85.4,-0.43200000000000005,19.46,21.16,01a57963o0406o
50,57963.561926,23.189,6.0,2,12,o,0,1.72,356.28029,9.06046,9639.56,6863.09,3.58,2.75,-86.4,-0.42700000000000005,19.43,21.16,01a57963o0423o
51,57967.543896,21.761,1.579,7,11,o,0,1.69,356.28029,9.06046,5863.76,7130.36,3.13,2.67,87.3,-0.447,19.44,21.22,01a57967o0263o
52,57967.553991999994,-20.374000000000002,0.40299999999999997,-26,10,o,0,1.88,356.28029,9.06046,4379.05,3240.62,3.02,2.63,90.0,-0.445,19.5,21.34,01a57967o0281o
53,57967.563909000004,25.801,65.0,0,11,o,0,1.59,356.28029,9.06046,4324.8,3201.73,2.99,2.64,-84.3,-0.44799999999999995,19.49,21.3,01a57967o0298o
54,57967.574539,20.236,0.306,29,9,o,0,2.61,356.28029,9.06046,4309.76,3360.43,2.92,2.64,87.4,-0.45399999999999996,19.57,21.44,01a57967o0316o
55,57969.559903999994,21.331,1.1,11,12,o,0,6.28,356.28029,9.06046,8348.77,9678.94,2.14,1.96,21.5,-0.46299999999999997,19.64,20.8,02a57969o0607o
56,57969.569162,20.031,0.266,35,9,o,0,5.44,356.28029,9.06046,8328.27,9640.14,2.26,2.02,11.6,-0.45899999999999996,19.72,21.04,02a57969o0625o
57,57969.577892999994,-22.085,2.208,-5,12,o,0,2.17,356.28029,9.06046,8385.81,9720.46,2.34,2.09,22.8,-0.44,19.72,21.11,02a57969o0642o
