,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57880.621799,-18.097,0.127,-210,27,o,0,1.28,277.92413,16.6514,2617.12,8348.3,3.0,2.7,-62.0,-0.462,18.64,19.95,01a57880o0749o
1,57882.557078,-18.426,0.157,-155,24,o,0,1.36,277.92413,16.6514,8810.69,1780.31,3.07,2.98,83.6,-0.486,18.83,19.74,01a57882o0522o
2,57882.57178099999,-18.072,0.105,-214,22,o,0,2.65,277.92413,16.6514,1813.42,8805.78,2.78,2.58,-86.2,-0.49700000000000005,18.8,19.73,01a57882o0549o
3,57882.587046,-18.241,0.11199999999999999,-184,21,o,0,2.06,277.92413,16.6514,1760.47,8731.67,2.78,2.61,-82.3,-0.494,18.87,19.85,01a57882o0576o
4,57882.60099,-18.261,0.11900000000000001,-180,22,o,0,2.07,277.92413,16.6514,1725.79,8849.57,2.73,2.53,-86.5,-0.507,18.91,19.85,01a57882o0603o
5,57885.55650399999,-18.225,0.086,-186,16,o,0,1.88,277.92413,16.6514,1615.9,7696.08,2.27,2.17,-12.0,-0.467,18.91,19.46,02a57885o0524o
6,57885.575761,-18.021,0.10300000000000001,-225,23,o,0,2.1,277.92413,16.6514,8864.04,2719.53,2.71,2.07,28.4,-0.53,18.91,19.52,02a57885o0554o
7,57885.592915,-18.29,0.141,-175,25,o,0,1.3,277.92413,16.6514,8920.2,2799.28,2.79,2.06,32.8,-0.519,18.98,19.52,02a57885o0580o
8,57885.61160800001,-18.430999999999997,0.17600000000000002,-154,27,o,0,1.5,277.92413,16.6514,8952.94,2680.94,2.73,2.14,30.7,-0.544,18.88,19.43,02a57885o0607o
9,57885.627661,-18.319000000000003,0.429,-171,73,o,0,1.24,277.92413,16.6514,8906.54,2747.47,2.63,2.04,33.2,-0.551,17.95,17.87,02a57885o0634o
10,57889.55179299999,-18.11,0.099,-207,20,o,0,1.37,277.92413,16.6514,8635.38,5469.32,2.56,2.14,19.9,-0.512,19.14,20.02,02a57889o0523o
11,57889.55895399999,-17.996,0.055999999999999994,-230,13,o,0,1.77,277.92413,16.6514,1883.39,5019.96,2.16,2.12,-84.0,-0.47700000000000004,19.22,20.15,02a57889o0534o
12,57889.57883,-18.37,0.106,-163,17,o,0,1.63,277.92413,16.6514,8671.01,5508.47,2.17,2.05,41.6,-0.54,19.18,20.03,02a57889o0565o
13,57889.597767,-18.037,0.075,-222,16,o,0,2.06,277.92413,16.6514,8691.18,5400.53,2.77,2.42,17.8,-0.499,19.06,20.01,02a57889o0593o
14,57889.616128999995,-18.378,0.129,-162,21,o,0,1.44,277.92413,16.6514,8646.2,5450.5,2.21,2.05,39.1,-0.5589999999999999,19.07,19.71,02a57889o0621o
15,57893.541108000005,-19.796,0.19699999999999998,-44,9,c,0,2.57,277.92413,16.6514,4549.56,5158.1,2.66,2.4,31.3,-0.494,19.68,21.33,02a57893o0541c
16,57893.560807,-19.686,0.196,-48,10,c,0,1.35,277.92413,16.6514,5912.8,5261.69,2.73,2.44,37.5,-0.485,19.66,21.28,02a57893o0573c
17,57893.565163,-19.839000000000002,0.23199999999999998,-42,10,c,0,2.06,277.92413,16.6514,5968.14,5340.38,2.7,2.43,36.7,-0.475,19.67,21.28,02a57893o0580c
18,57893.593569000004,25.36,36.0,0,9,c,0,2.28,277.92413,16.6514,5989.12,5232.42,2.69,2.46,29.6,-0.478,19.64,21.24,02a57893o0623c
19,57893.612328999996,-19.325,0.166,-68,11,c,0,1.82,277.92413,16.6514,5951.53,5288.64,2.68,2.44,39.3,-0.485,19.5,20.83,02a57893o0650c
20,57896.615476,-18.143,0.136,-201,27,o,0,0.96,277.92413,16.6514,802.95,7918.56,4.01,3.39,-49.1,-0.428,18.79,19.99,01a57896o0679o
21,57899.613862,-18.064,0.064,-216,14,o,0,2.31,277.92413,16.6514,1948.38,6638.79,3.61,2.9,-46.4,-0.49200000000000005,19.09,20.42,01a57899o0736o
22,57900.611827999994,-17.715,0.057999999999999996,-298,17,o,0,1.21,277.92413,16.6514,1248.39,5399.71,3.95,3.17,-51.3,-0.469,19.03,20.56,01a57900o0685o
23,57901.519121000005,-19.660999999999998,0.192,-50,10,c,0,1.52,277.92413,16.6514,3469.21,6640.34,2.49,2.36,19.5,-0.5,19.83,21.68,02a57901o0447c
24,57901.538398000004,-19.329,0.10400000000000001,-67,7,c,0,2.56,277.92413,16.6514,6971.5,3768.73,2.58,2.53,37.4,-0.45299999999999996,19.84,21.68,02a57901o0479c
25,57901.561420000005,-19.866,0.209,-41,9,c,0,1.92,277.92413,16.6514,7044.32,3849.74,2.62,2.52,54.8,-0.455,19.82,21.67,02a57901o0518c
26,57901.57265,-20.604,0.46799999999999997,-21,10,c,0,1.29,277.92413,16.6514,7058.96,3732.74,2.58,2.52,34.4,-0.446,19.77,21.6,02a57901o0535c
27,57901.592423,-19.730999999999998,0.5,-46,23,c,0,1.65,277.92413,16.6514,7021.93,3791.97,2.64,2.61,43.2,-0.446,18.88,20.48,02a57901o0564c
28,57903.60193,-17.977999999999998,0.052000000000000005,-234,12,o,0,1.67,277.92413,16.6514,3714.07,5732.39,3.82,3.06,-48.6,-0.465,19.22,21.05,01a57903o0679o
29,57903.618425,-17.953,0.106,-239,25,o,0,0.89,277.92413,16.6514,3749.39,5832.49,3.86,3.06,-49.4,-0.462,18.8,19.93,01a57903o0710o
30,57904.596401,-17.715,0.051,-298,15,o,0,1.52,277.92413,16.6514,2087.61,7683.19,5.2,3.9,-45.0,-0.33899999999999997,19.05,21.02,01a57904o0472o
31,57904.61444600001,-17.697,0.062,-303,19,o,0,1.22,277.92413,16.6514,2123.64,7790.34,5.24,3.63,-43.3,-0.348,18.95,20.58,01a57904o0505o
32,57905.455946,-18.605999999999998,0.10400000000000001,-131,14,o,0,1.56,277.92413,16.6514,3002.03,6474.51,2.23,2.03,-28.9,-0.47700000000000004,19.56,20.61,02a57905o0176o
33,57905.463002,-18.079,0.064,-213,14,o,0,1.26,277.92413,16.6514,2979.7,6593.05,2.16,2.01,-27.4,-0.488,19.52,20.58,02a57905o0189o
34,57905.486497000005,-18.579,0.069,-134,9,o,0,3.89,277.92413,16.6514,3015.98,6537.67,2.22,2.03,-28.5,-0.488,19.55,20.7,02a57905o0231o
35,57907.564723,-18.045,0.067,-220,15,o,0,1.62,277.92413,16.6514,2264.72,6388.37,3.14,2.89,57.2,-0.445,19.12,20.67,01a57907o0625o
36,57907.579980999995,-17.887999999999998,0.053,-254,14,o,0,1.95,277.92413,16.6514,2313.32,6487.06,3.11,2.9,61.2,-0.446,19.02,20.58,01a57907o0652o
37,57907.598914999995,-18.307000000000002,0.073,-173,13,o,0,2.28,277.92413,16.6514,2259.0,6482.84,3.1,2.93,63.2,-0.445,19.25,20.94,01a57907o0685o
