,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57884.549526,-18.607,0.23600000000000002,-131,31,o,0,1.2,322.74176,-7.08495,5042.94,5404.02,2.35,1.97,37.9,-0.524,18.52,18.91,02a57884o0433o
1,57884.561685,21.928,4.452,6,27,o,0,1.26,322.74176,-7.08495,5058.64,5444.81,2.66,2.26,50.0,-0.499,18.31,18.84,02a57884o0456o
2,57884.574023,20.029,0.809,35,29,o,0,1.43,322.74176,-7.08495,5000.43,5367.48,2.52,2.19,42.7,-0.506,18.37,18.86,02a57884o0479o
3,57884.586209,-17.377,1.8330000000000002,-406,745,o,0,1.17,322.74176,-7.08495,4979.74,5484.85,2.26,1.94,42.9,-0.555,14.96,14.88,02a57884o0502o
4,57904.621797,18.932000000000002,0.34,97,33,c,0,1.29,322.74176,-7.08495,2665.28,5352.3,3.33,2.95,-48.8,-0.341,18.24,19.2,02a57904o0550c
5,57912.572135,17.757,0.11199999999999999,287,32,o,0,1.71,322.74176,-7.08495,5076.79,2621.12,2.27,2.19,12.5,-0.47700000000000004,18.19,18.57,02a57912o0419o
6,57912.589293,17.612000000000002,0.078,328,26,o,0,1.06,322.74176,-7.08495,5095.56,2663.45,2.25,2.15,44.9,-0.45799999999999996,18.69,19.26,02a57912o0450o
7,57912.604758,17.762,0.11599999999999999,285,33,o,0,1.43,322.74176,-7.08495,5445.88,7849.32,2.35,2.21,-4.0,-0.49700000000000005,18.56,19.07,02a57912o0480o
8,57912.622097,18.274,0.325,178,58,o,0,1.05,322.74176,-7.08495,5021.46,2704.72,2.36,2.33,37.1,-0.457,17.65,17.86,02a57912o0512o
9,57913.585708000006,17.7,0.113,302,34,o,0,1.6,322.74176,-7.08495,5566.16,7411.47,4.0,3.25,11.2,-0.39,18.44,19.34,01a57913o0662o
10,57913.599792999994,17.803,0.142,275,39,o,0,1.6,322.74176,-7.08495,5545.66,7320.56,5.89,3.45,3.3,-0.35700000000000004,18.23,19.37,01a57913o0688o
11,57913.613479,17.566,0.094,342,32,o,0,1.1,322.74176,-7.08495,4756.06,2959.21,4.0,3.28,16.4,-0.41,18.34,19.16,01a57913o0713o
12,57919.582872000006,17.509,0.315,360,114,o,0,1.34,322.74176,-7.08495,5814.6,5774.2,2.97,2.76,49.0,-0.46399999999999997,17.82,19.15,01a57919o0666o
13,57919.59373099999,17.651,0.106,316,34,o,0,0.96,322.74176,-7.08495,4581.57,4610.43,3.58,3.1,4.2,-0.41,18.25,18.93,01a57919o0684o
14,57919.604913999996,17.192,0.195,482,94,o,0,1.45,322.74176,-7.08495,5854.66,5730.82,3.22,2.98,52.5,-0.457,17.79,19.19,01a57919o0703o
15,57919.615652,17.762,0.139,285,40,o,0,0.9,322.74176,-7.08495,4517.65,4737.33,3.09,2.89,37.3,-0.444,18.27,18.71,01a57919o0721o
16,57923.581287,18.027,0.135,224,30,o,0,1.38,322.74176,-7.08495,5370.64,5543.09,3.45,3.04,22.7,-0.40700000000000003,18.38,19.57,01a57923o0676o
17,57923.590276999996,18.437,0.281,153,43,o,0,1.02,322.74176,-7.08495,5395.06,5616.44,4.03,3.12,6.8,-0.392,17.99,19.26,01a57923o0694o
18,57923.600805999995,-18.13,0.589,-203,120,o,0,1.11,322.74176,-7.08495,5348.27,5579.8,4.49,3.15,4.8,-0.385,16.97,18.26,01a57923o0713o
19,57923.611173000005,20.042,2.039,35,71,o,0,1.06,322.74176,-7.08495,5333.54,5737.04,3.18,2.82,53.4,-0.423,17.71,18.58,01a57923o0731o
20,57927.575426999996,18.21,0.062,189,12,o,0,2.01,322.74176,-7.08495,7402.93,4212.4,3.17,2.91,40.5,-0.423,19.51,21.2,01a57927o0649o
21,57927.584512,18.287,0.067,176,12,o,0,1.41,322.74176,-7.08495,7427.68,4286.59,3.29,2.98,29.5,-0.419,19.55,21.32,01a57927o0667o
22,57927.594034,18.092,0.057,211,12,o,0,1.5,322.74176,-7.08495,7373.78,4246.74,3.24,3.02,52.5,-0.42100000000000004,19.52,21.3,01a57927o0686o
23,57927.603573,18.624000000000002,0.083,129,11,o,0,1.96,322.74176,-7.08495,7361.24,4399.89,3.25,2.91,47.3,-0.42700000000000005,19.52,21.23,01a57927o0704o
24,57931.565439,19.024,0.141,89,13,o,0,1.61,322.74176,-7.08495,5049.32,5570.15,3.83,3.16,8.3,-0.40399999999999997,19.31,21.11,01a57931o0653o
25,57931.574538,18.724,0.133,118,16,o,0,1.24,322.74176,-7.08495,5073.6,5644.8,4.16,3.13,9.0,-0.402,19.21,21.1,01a57931o0671o
26,57931.584083,18.798,0.115,110,13,o,0,1.38,322.74176,-7.08495,5020.78,5605.7,3.4,3.05,26.7,-0.40700000000000003,19.41,21.12,01a57931o0690o
27,57931.59394500001,18.414,0.069,156,11,o,0,2.29,322.74176,-7.08495,5008.85,5760.38,3.21,2.92,46.7,-0.42100000000000004,19.48,21.14,01a57931o0708o
28,57935.528232000004,18.769000000000002,0.12300000000000001,113,14,o,0,1.49,322.74176,-7.08495,3013.9,4567.79,4.66,3.12,4.4,-0.42,19.31,21.41,01a57935o0563o
29,57935.537984,18.615,0.095,130,12,o,0,1.27,322.74176,-7.08495,2994.04,4491.47,3.15,2.96,66.8,-0.439,19.56,21.43,01a57935o0580o
30,57935.546501,18.403,0.075,158,12,o,0,2.18,322.74176,-7.08495,3050.33,4537.93,3.75,3.54,65.4,-0.413,19.35,21.42,01a57935o0597o
31,57935.555050999996,18.726,0.095,117,11,o,0,1.26,322.74176,-7.08495,3067.89,4388.88,3.3,3.13,60.7,-0.42700000000000005,19.52,21.42,01a57935o0614o
32,57939.537707,18.359,0.11599999999999999,164,19,o,0,1.21,322.74176,-7.08495,6064.7,5168.23,5.29,3.09,-0.8,-0.40299999999999997,18.98,20.61,01a57939o0587o
33,57939.548007000005,18.27,0.085,179,15,o,0,1.21,322.74176,-7.08495,6089.65,5247.55,3.9,3.09,-5.7,-0.41200000000000003,19.2,20.84,01a57939o0605o
34,57939.55783,18.292,0.086,175,15,o,0,1.31,322.74176,-7.08495,6038.48,5207.92,5.34,3.13,-1.2,-0.38799999999999996,19.18,21.22,01a57939o0622o
