,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57886.509407000005,-18.235,0.146,-184,27,o,0,1.17,230.83117000000001,8.61637,4394.48,2018.61,3.57,2.94,-24.2,-0.465,18.61,19.38,01a57886o0592o
1,57886.52323300001,-17.973,0.10300000000000001,-235,24,o,0,1.56,230.83117000000001,8.61637,4424.2,2110.38,3.63,3.06,-28.8,-0.452,18.61,19.39,01a57886o0620o
2,57886.536409,-18.062,0.11900000000000001,-216,26,o,0,1.54,230.83117000000001,8.61637,4376.64,2081.57,3.69,3.16,-27.9,-0.441,18.5,19.3,01a57886o0647o
3,57886.550123,-17.77,0.10300000000000001,-283,29,o,0,1.01,230.83117000000001,8.61637,4368.53,2247.92,3.65,3.11,-23.0,-0.44299999999999995,18.47,19.25,01a57886o0675o
4,57888.504474,-18.272000000000002,0.085,-178,15,o,0,1.07,230.83117000000001,8.61637,5204.39,6045.14,2.47,2.3,-72.9,-0.45299999999999996,19.13,19.97,02a57888o0004o
5,57888.522558000004,-18.125,0.075,-204,15,o,0,0.84,230.83117000000001,8.61637,5259.29,6123.35,2.26,2.13,-69.2,-0.488,19.13,19.87,02a57888o0036o
6,57888.540297,-18.005,0.078,-228,18,o,0,1.26,230.83117000000001,8.61637,5279.13,6005.4,2.3,2.26,-85.5,-0.48700000000000004,18.99,19.7,02a57888o0069o
7,57892.483679,-18.073,0.047,-214,10,o,0,1.44,230.83117000000001,8.61637,3974.23,7931.58,2.06,1.93,-8.2,-0.519,19.58,20.74,02a57892o0467o
8,57892.498071,-18.074,0.045,-214,10,o,0,1.57,230.83117000000001,8.61637,3958.1,7893.63,2.13,1.97,-18.9,-0.526,19.56,20.71,02a57892o0494o
9,57892.513061,-18.035999999999998,0.057999999999999996,-222,13,o,0,1.02,230.83117000000001,8.61637,4017.26,7970.25,2.05,1.92,-9.1,-0.52,19.51,20.58,02a57892o0522o
10,57892.542402,-18.132,0.051,-203,10,o,0,2.52,230.83117000000001,8.61637,3999.75,7911.06,2.1,1.94,-10.6,-0.524,19.47,20.48,02a57892o0577o
