,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57911.504936000005,20.645,1.896,20,38,o,0,0.98,329.71605,-14.86304,239.56,9895.44,2.3,2.05,26.6,-0.503,18.67,19.19,02a57911o0501o
1,57911.505454,-22.159000000000002,6.718,-5,33,o,0,1.59,329.71605,-14.86304,9939.84,9896.18,2.64,2.11,50.2,-0.495,18.75,19.3,02a57911o0502o
2,57911.519026,-25.62,138.5,0,28,o,0,1.01,329.71605,-14.86304,262.57,9934.73,2.29,2.0,21.4,-0.456,18.76,19.28,02a57911o0528o
3,57911.530772000006,-20.307000000000002,0.9570000000000001,-27,26,o,0,0.98,329.71605,-14.86304,896.75,116.19,2.83,2.2,37.3,-0.5479999999999999,18.72,19.32,02a57911o0546o
4,57911.531301999996,-20.622,1.474,-20,30,o,0,1.28,329.71605,-14.86304,202.82,9858.29,2.47,2.33,24.1,-0.489,18.74,19.4,02a57911o0547o
5,57911.541723,-19.878,0.627,-41,26,o,0,1.44,329.71605,-14.86304,9880.55,9977.71,2.53,2.04,45.4,-0.516,18.97,19.52,02a57911o0566o
6,57911.542782000004,-20.939,1.492,-15,23,o,0,0.87,329.71605,-14.86304,914.61,156.78,2.61,1.97,38.1,-0.54,18.87,19.41,02a57911o0568o
7,57911.54384500001,-20.744,1.268,-18,23,o,0,2.09,329.71605,-14.86304,178.56,9977.24,2.23,1.94,20.7,-0.49700000000000005,18.91,19.47,02a57911o0570o
8,57911.554040999996,-19.951,0.82,-38,31,o,0,1.5,329.71605,-14.86304,9919.47,9921.5,2.67,2.24,53.4,-0.493,18.61,19.11,02a57911o0589o
9,57911.555617,-18.594,0.22399999999999998,-132,30,o,0,1.13,329.71605,-14.86304,853.69,77.75,2.66,2.09,37.5,-0.547,18.76,19.27,02a57911o0592o
10,57911.567616,-19.583,0.389,-53,21,o,0,0.8,329.71605,-14.86304,836.6,196.83,2.4,1.85,36.7,-0.539,19.05,19.6,02a57911o0614o
11,57911.579977999994,-19.278,0.266,-71,19,o,0,1.81,329.71605,-14.86304,875.24,137.99,2.36,1.83,36.6,-0.562,19.13,19.68,02a57911o0637o
12,57913.602792,-20.418,1.2770000000000001,-25,32,o,0,1.01,329.71605,-14.86304,731.79,1993.73,4.32,3.3,4.3,-0.406,18.36,19.34,01a57913o0694o
13,57913.61754299999,-24.342,94.333,-1,63,o,0,1.44,329.71605,-14.86304,9723.2,8380.07,3.68,3.25,11.9,-0.42100000000000004,18.13,18.73,01a57913o0720o
14,57913.620813,-21.769000000000002,8.556000000000001,-7,61,o,0,0.99,329.71605,-14.86304,10412.76,1870.84,4.33,3.22,-1.5,-0.433,17.77,18.13,01a57913o0726o
15,57922.594225,-20.125,0.674,-32,22,o,0,1.12,329.71605,-14.86304,8234.02,9870.6,5.81,3.35,1.9,-0.38299999999999995,18.8,20.42,01a57922o0712o
16,57922.60479,22.096999999999998,2.464,5,13,o,0,1.45,329.71605,-14.86304,2251.76,522.18,3.28,3.08,31.7,-0.419,19.17,20.59,01a57922o0733o
17,57922.606964,-20.21,0.5329999999999999,-30,16,o,0,1.2,329.71605,-14.86304,8270.05,9861.19,3.37,3.09,39.2,-0.444,19.18,20.49,01a57922o0737o
18,57922.624863,19.289,0.664,70,46,o,0,1.37,329.71605,-14.86304,2179.93,643.87,3.37,3.05,23.6,-0.414,17.82,18.33,01a57922o0773o
19,57923.573132000005,-17.229,0.618,-466,288,o,0,0.96,329.71605,-14.86304,708.63,203.79,1.93,1.64,55.4,-0.63,16.05,16.54,02a57923o0656o
20,57923.58196799999,17.921,1.22,246,301,o,0,0.86,329.71605,-14.86304,748.07,241.06,2.04,1.73,56.0,-0.629,16.02,16.49,02a57923o0674o
21,57923.599194,-17.735,1.345,-292,393,o,0,1.07,329.71605,-14.86304,10507.68,274.62,2.3,1.9,72.1,-0.475,15.95,16.4,02a57923o0709o
22,57923.60067100001,-18.954,3.127,-95,298,o,0,1.52,329.71605,-14.86304,668.01,165.68,2.01,1.71,57.6,-0.743,15.99,16.44,02a57923o0712o
23,57923.60655,18.244,1.215,183,222,o,0,1.34,329.71605,-14.86304,648.41,284.04,1.92,1.63,49.1,-0.617,15.88,16.33,02a57923o0724o
24,57927.591508000005,-20.735,0.6940000000000001,-18,13,o,0,1.05,329.71605,-14.86304,2628.58,9680.7,3.03,2.87,79.2,-0.46,19.53,21.26,01a57927o0681o
25,57927.601112000004,21.590999999999998,1.321,8,11,o,0,1.82,329.71605,-14.86304,2657.44,9756.63,2.99,2.67,80.9,-0.485,19.55,21.2,01a57927o0699o
26,57927.610947,22.569000000000003,4.3,3,15,o,0,1.27,329.71605,-14.86304,2607.33,9718.93,3.11,2.86,57.1,-0.456,19.32,20.74,01a57927o0718o
27,57927.620606,24.092,48.2,1,40,o,0,0.86,329.71605,-14.86304,2592.39,9875.42,3.16,2.79,71.0,-0.449,18.28,18.81,01a57927o0736o
