,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57904.601344,21.718000000000004,1.4380000000000002,8,11,c,0,1.16,317.85229,0.35499,9503.11,372.11,3.51,2.61,-44.9,-0.35200000000000004,19.73,21.61,02a57904o0515c
1,57904.61324500001,-21.444000000000003,1.318,-10,13,c,0,1.39,317.85229,0.35499,5403.07,406.37,3.33,2.61,-56.2,-0.353,19.41,20.92,02a57904o0535c
2,57904.620171,-23.109,11.375,-2,24,c,0,1.39,317.85229,0.35499,959.85,10033.34,2.73,2.53,-48.3,-0.466,18.55,19.61,02a57904o0547c
3,57912.566887,20.311,1.885,27,51,o,0,2.24,317.85229,0.35499,2315.01,7562.52,2.37,2.23,26.1,-0.513,18.11,18.57,02a57912o0409o
4,57912.590775,-20.367,1.454,-26,38,o,0,0.84,317.85229,0.35499,2334.99,7604.38,2.5,2.31,39.5,-0.495,18.36,18.85,02a57912o0453o
5,57912.598804999994,-21.476999999999997,2.8489999999999998,-9,26,o,0,0.92,317.85229,0.35499,8204.31,2905.5,2.46,2.39,83.3,-0.43799999999999994,18.67,19.3,02a57912o0469o
6,57912.616629,-19.79,0.632,-44,28,o,0,1.47,317.85229,0.35499,2259.36,7648.09,2.46,2.3,34.6,-0.499,18.58,19.03,02a57912o0502o
7,57913.574552,-19.204,0.43200000000000005,-76,33,o,0,1.02,317.85229,0.35499,8327.13,2443.11,5.29,3.46,2.2,-0.355,18.28,19.41,01a57913o0642o
8,57913.58917000001,-20.276,1.082,-28,30,o,0,0.77,317.85229,0.35499,8308.88,2349.42,3.76,3.33,8.1,-0.41700000000000004,18.58,19.43,01a57913o0668o
9,57913.60228300001,21.163,1.969,12,24,o,0,1.14,317.85229,0.35499,8370.74,2380.2,3.36,3.16,49.8,-0.408,18.66,19.45,01a57913o0693o
10,57913.617052,20.336,2.5669999999999997,27,68,o,0,1.06,317.85229,0.35499,1908.48,8115.39,4.81,3.18,2.8,-0.401,18.1,18.92,01a57913o0719o
11,57916.609612,-24.366,42.714,-1,28,o,0,0.91,317.85229,0.35499,7212.16,1917.02,2.21,2.05,57.0,-0.47,18.74,19.17,02a57916o0415o
12,57919.56454199999,21.429000000000002,3.6210000000000004,10,35,o,0,1.2,317.85229,0.35499,4262.26,10502.8,3.01,2.76,63.5,-0.488,18.44,18.98,01a57919o0634o
13,57919.57345599999,-21.008000000000003,1.892,-14,27,o,0,1.21,317.85229,0.35499,8591.14,783.3,3.16,3.07,59.5,-0.474,18.65,19.48,01a57919o0650o
14,57919.574437999996,-20.941,1.8559999999999999,-15,28,o,0,0.96,317.85229,0.35499,4243.12,10426.5,3.06,2.89,71.4,-0.455,18.61,19.4,01a57919o0652o
15,57919.58424,-19.989,0.679,-37,25,o,0,0.89,317.85229,0.35499,8571.16,702.36,3.06,2.87,86.6,-0.467,18.75,19.54,01a57919o0668o
16,57919.586101,20.709,1.2890000000000001,19,24,o,0,1.03,317.85229,0.35499,4302.85,10458.61,3.03,2.85,88.6,-0.45899999999999996,18.68,19.46,01a57919o0671o
17,57919.595508000006,-20.395,1.037,-25,26,o,0,0.84,317.85229,0.35499,8631.86,735.19,3.21,2.93,-88.7,-0.46399999999999997,18.73,19.56,01a57919o0687o
18,57919.60617000001,-21.191999999999997,2.062,-12,25,o,0,1.23,317.85229,0.35499,1663.59,9742.29,3.26,3.02,-47.5,-0.46399999999999997,18.66,19.55,01a57919o0705o
19,57923.567136,-21.951999999999998,3.045,-6,18,o,0,0.86,317.85229,0.35499,6876.81,828.23,4.2,3.22,4.4,-0.40299999999999997,19.02,20.57,01a57923o0648o
20,57923.576217999995,20.581,1.071,21,23,o,0,1.29,317.85229,0.35499,6900.96,903.12,3.78,3.16,10.9,-0.418,18.73,20.03,01a57923o0666o
21,57923.585814,19.298,0.58,69,40,o,0,1.04,317.85229,0.35499,6845.9,863.16,3.23,2.92,52.5,-0.434,18.27,19.41,01a57923o0685o
22,57923.594789999996,-19.535,0.956,-56,53,o,0,1.14,317.85229,0.35499,6831.08,1017.46,3.26,2.9,53.4,-0.44,17.93,18.94,01a57923o0703o
23,57927.567340999994,-20.074,0.31,-34,10,o,0,1.25,317.85229,0.35499,4594.83,9202.28,3.21,2.84,59.8,-0.43200000000000005,19.55,21.23,01a57927o0633o
24,57927.57641,-22.663,3.167,-3,10,o,0,1.48,317.85229,0.35499,4618.27,9277.56,3.25,2.93,51.1,-0.423,19.51,21.27,01a57927o0651o
25,57927.58599199999,-21.074,0.732,-14,10,o,0,1.13,317.85229,0.35499,4563.48,9237.89,3.19,2.76,63.6,-0.45299999999999996,19.61,21.39,01a57927o0670o
26,57927.595013,-20.774,0.5529999999999999,-18,10,o,0,1.19,317.85229,0.35499,4548.79,9391.47,3.24,2.85,67.4,-0.43700000000000006,19.58,21.37,01a57927o0688o
27,57931.551208000004,-21.169,1.1179999999999999,-12,14,o,0,0.9,317.85229,0.35499,6550.58,856.15,4.1,3.28,7.3,-0.39799999999999996,19.34,21.24,01a57931o0625o
28,57931.560367,-20.713,0.7759999999999999,-19,15,o,0,1.04,317.85229,0.35499,6574.16,931.27,4.7,3.31,2.5,-0.39899999999999997,19.24,21.23,01a57931o0643o
29,57931.569961,-20.514,0.519,-23,12,o,0,1.1,317.85229,0.35499,6519.76,892.09,3.42,3.17,30.4,-0.41200000000000003,19.38,21.15,01a57931o0662o
30,57931.578990999995,-20.528000000000002,0.551,-22,12,o,0,1.03,317.85229,0.35499,6505.19,1046.72,3.26,3.01,43.1,-0.428,19.43,21.15,01a57931o0680o
31,57935.512130999996,20.666,0.488,20,10,o,0,1.38,317.85229,0.35499,1425.45,9285.36,2.95,2.72,70.3,-0.47200000000000003,19.6,21.47,01a57935o0535o
32,57935.52199,24.383000000000003,16.0,1,10,o,0,1.17,317.85229,0.35499,1407.65,9208.76,2.98,2.76,81.7,-0.466,19.57,21.46,01a57935o0552o
33,57935.531551,20.631,0.525,20,11,o,0,1.02,317.85229,0.35499,1465.79,9251.94,3.03,2.83,-83.0,-0.46,19.56,21.46,01a57935o0569o
34,57935.54092100001,20.829,0.713,17,12,o,0,0.96,317.85229,0.35499,1487.37,9098.27,3.19,2.95,81.8,-0.45299999999999996,19.52,21.49,01a57935o0586o
35,57939.515245,20.19,0.47100000000000003,30,14,o,0,1.22,317.85229,0.35499,7080.73,180.03,3.17,2.89,-88.8,-0.469,19.21,20.47,01a57939o0547o
36,57939.517402,19.424,0.345,62,21,o,0,1.05,317.85229,0.35499,7560.8,422.27,5.1,3.23,-3.9,-0.429,18.86,20.41,01a57939o0551o
37,57939.525416,19.969,0.49700000000000005,37,19,o,0,1.03,317.85229,0.35499,3236.33,10196.08,4.4,3.06,-8.4,-0.41200000000000003,19.05,20.53,01a57939o0565o
38,57939.527708,0.0,20.686,0,19,o,0,1.17,317.85229,0.35499,7584.3,500.45,5.57,3.17,-1.9,-0.436,18.89,20.5,01a57939o0569o
39,57939.534758,21.66,1.745,8,14,o,0,1.08,317.85229,0.35499,7122.28,141.32,3.01,2.82,-86.3,-0.486,19.32,20.65,01a57939o0582o
