,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57906.487253,-19.402,0.218,-63,14,o,0,1.13,249.4525,11.79185,2665.82,8068.09,3.02,2.82,79.2,-0.44299999999999995,19.28,20.92,01a57906o0424o
1,57906.503796000005,-19.405,0.18899999999999997,-63,12,o,0,1.18,249.4525,11.79185,2696.33,8171.96,2.95,2.78,86.9,-0.44799999999999995,19.44,21.14,01a57906o0457o
2,57906.520281,-19.239,0.171,-73,12,o,0,1.23,249.4525,11.79185,2652.18,8157.71,2.86,2.71,-86.6,-0.46299999999999997,19.28,20.84,01a57906o0490o
3,57906.536324,-19.324,0.23199999999999998,-68,16,o,0,1.09,249.4525,11.79185,2649.11,8333.48,3.12,2.96,-76.9,-0.442,19.19,20.76,01a57906o0522o
4,57908.447824,-18.588,0.38299999999999995,-133,51,o,0,1.11,249.4525,11.79185,5949.6,3847.26,2.67,2.54,-58.2,-0.419,17.71,18.06,02a57908o0406o
5,57908.462094,-18.756,0.27399999999999997,-114,31,o,0,1.11,249.4525,11.79185,5929.89,3807.4,2.75,2.63,-38.8,-0.413,18.37,19.04,02a57908o0434o
6,57908.485721000005,-19.364,0.26899999999999996,-65,18,o,0,0.74,249.4525,11.79185,5989.7,3886.3,2.72,2.56,-62.1,-0.41700000000000004,19.11,20.02,02a57908o0479o
7,57908.501361,-19.683,0.603,-49,29,o,0,1.73,249.4525,11.79185,6009.19,3769.27,2.75,2.63,-61.9,-0.424,18.44,19.29,02a57908o0507o
8,57908.522054999994,-18.855,0.161,-104,17,o,0,0.84,249.4525,11.79185,5973.3,3828.96,2.88,2.77,-61.8,-0.423,19.09,20.15,02a57908o0546o
9,57909.459488,-20.9,1.03,-16,16,o,0,1.6,249.4525,11.79185,3793.11,5115.3,3.05,2.76,46.8,-0.45,18.97,19.88,01a57909o0445o
10,57909.479455999994,-20.525,0.727,-22,16,o,0,1.24,249.4525,11.79185,3824.67,5234.03,3.03,2.71,66.1,-0.45299999999999996,18.97,19.82,01a57909o0485o
11,57909.497027,-19.415,0.276,-62,17,o,0,1.21,249.4525,11.79185,3779.17,5224.9,2.92,2.69,63.0,-0.46299999999999997,18.92,19.76,01a57909o0520o
12,57909.513489,-19.921,0.502,-39,20,o,0,1.34,249.4525,11.79185,3775.73,5403.27,2.9,2.71,63.8,-0.47,18.93,19.76,01a57909o0553o
13,57910.419615,-19.886,0.617,-40,25,o,0,0.75,249.4525,11.79185,5672.54,4931.83,3.26,2.94,59.9,-0.419,18.79,19.63,01a57910o0362o
14,57910.435016999996,-20.209,0.731,-30,22,o,0,1.38,249.4525,11.79185,5696.18,5030.81,3.38,3.06,56.4,-0.40700000000000003,18.66,19.51,01a57910o0393o
15,57910.450484,-19.750999999999998,0.507,-46,23,o,0,1.07,249.4525,11.79185,5645.31,5016.29,3.62,3.27,33.7,-0.391,18.6,19.51,01a57910o0424o
16,57910.466024,-19.15,0.273,-79,22,o,0,1.03,249.4525,11.79185,5634.67,5193.74,3.29,2.85,55.8,-0.41700000000000004,18.75,19.52,01a57910o0455o
17,57912.48766599999,-19.942,0.736,-38,28,o,0,0.81,249.4525,11.79185,6609.27,5714.68,2.3,2.16,-45.4,-0.46399999999999997,18.39,18.82,02a57912o0255o
18,57914.518146,24.635,109.667,0,56,o,0,1.16,249.4525,11.79185,4037.01,8416.52,3.02,2.87,84.0,-0.466,18.46,18.98,01a57914o0535o
19,57914.533588,22.151,13.167,5,66,o,0,0.91,249.4525,11.79185,4068.58,8509.23,2.95,2.85,81.8,-0.469,18.42,18.9,01a57914o0566o
20,57914.566183,-18.599,0.6709999999999999,-132,89,o,0,1.1,249.4525,11.79185,4021.2,8649.97,3.05,2.94,-89.7,-0.484,18.27,18.63,01a57914o0631o
21,57916.524741999994,-19.017,0.19899999999999998,-90,18,o,0,1.45,249.4525,11.79185,5700.35,4703.42,2.25,2.03,-48.5,-0.449,18.9,19.35,02a57916o0255o
22,57917.490572,-19.163,0.231,-78,18,o,0,1.08,249.4525,11.79185,4010.4,8244.87,2.87,2.81,-71.8,-0.46799999999999997,18.98,19.84,01a57917o0392o
23,57917.506239999995,-20.469,0.8390000000000001,-24,20,o,0,1.11,249.4525,11.79185,3966.93,8224.95,2.95,2.81,-70.8,-0.456,18.98,19.85,01a57917o0423o
24,57917.522496000005,-20.474,1.127,-24,26,o,0,0.98,249.4525,11.79185,3963.57,8398.28,2.99,2.87,-59.3,-0.457,18.82,19.66,01a57917o0455o
25,57918.468390999995,-19.8,0.37799999999999995,-44,16,o,0,1.06,249.4525,11.79185,3251.8,5599.34,2.81,2.74,80.6,-0.465,19.19,20.29,01a57918o0461o
26,57918.484233,-18.808,0.14400000000000002,-109,16,o,0,0.9,249.4525,11.79185,3287.66,5698.75,2.88,2.8,-44.1,-0.457,19.16,20.26,01a57918o0493o
27,57918.500716999995,-19.015,0.209,-90,19,o,0,1.09,249.4525,11.79185,3245.5,5682.33,2.9,2.8,-75.6,-0.45799999999999996,19.08,20.17,01a57918o0526o
28,57918.517383000006,-19.636,0.34,-51,17,o,0,1.26,249.4525,11.79185,3242.36,5856.68,2.94,2.77,-61.8,-0.461,19.06,20.11,01a57918o0559o
29,57920.425555999995,-19.199,0.13699999999999998,-76,10,o,0,1.15,249.4525,11.79185,6178.77,6912.49,3.27,3.03,55.5,-0.429,19.48,21.23,01a57920o0370o
30,57920.431829999994,-19.340999999999998,0.172,-67,12,o,0,1.26,249.4525,11.79185,6200.16,6976.79,3.25,2.91,68.1,-0.439,19.49,21.12,01a57920o0380o
31,57920.446695000006,-20.003,0.31,-36,11,o,0,1.27,249.4525,11.79185,6151.02,6959.89,3.05,2.88,67.8,-0.444,19.46,20.95,01a57920o0409o
32,57920.45435,-19.209,0.151,-75,11,o,0,1.19,249.4525,11.79185,6136.41,7105.84,3.03,2.87,71.5,-0.447,19.43,20.87,01a57920o0423o
