,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57737.28051900001,-18.824,0.29100000000000004,-107,31,o,0,1.1,9.92862,23.276510000000002,1469.17,5268.88,3.72,3.56,74.9,-0.44799999999999995,18.72,19.71,02a57737o0186o
1,57737.284787,-18.689,0.275,-121,33,o,0,0.79,9.92862,23.276510000000002,1452.5,5232.54,3.7,3.58,73.3,-0.442,18.72,19.68,02a57737o0194o
2,57737.292183000005,-19.430999999999997,0.547,-61,34,o,0,0.89,9.92862,23.276510000000002,1506.18,5307.72,3.66,3.46,73.6,-0.44799999999999995,18.73,19.68,02a57737o0206o
3,57737.30119400001,-19.346,0.48700000000000004,-66,32,o,0,0.95,9.92862,23.276510000000002,1525.22,5192.4,3.69,3.54,73.5,-0.45,18.71,19.65,02a57737o0220o
4,57737.315457000004,-18.952,0.337,-95,32,o,0,0.93,9.92862,23.276510000000002,1489.25,5247.87,3.61,3.48,72.6,-0.45899999999999996,18.68,19.62,02a57737o0245o
5,57745.257067,-19.451,0.254,-60,15,c,0,1.1,9.92862,23.276510000000002,3370.2,6438.56,3.72,3.63,54.7,-0.41600000000000004,19.63,21.52,02a57745o0141c
6,57745.270939999995,-20.101,0.495,-33,16,c,0,0.87,9.92862,23.276510000000002,3353.69,6397.85,3.64,3.56,64.8,-0.425,19.65,21.52,02a57745o0168c
7,57745.291731,-19.773,0.34600000000000003,-45,16,c,0,0.94,9.92862,23.276510000000002,3408.93,6473.23,3.81,3.66,19.8,-0.408,19.58,21.47,02a57745o0208c
8,57745.302501,-19.707,0.33299999999999996,-48,16,c,0,0.9,9.92862,23.276510000000002,3427.72,6358.8,3.64,3.54,60.6,-0.423,19.61,21.44,02a57745o0228c
9,57745.313783000005,-19.396,0.244,-63,15,c,0,0.88,9.92862,23.276510000000002,3393.05,6414.25,3.83,3.66,18.2,-0.405,19.54,21.4,02a57745o0250c
10,57753.25105399999,-19.359,1.364,-66,89,c,0,1.29,9.92862,23.276510000000002,1023.18,7201.08,4.22,3.74,43.3,-0.435,17.57,19.29,02a57753o0011c
11,57753.266026,-19.067999999999998,0.633,-86,54,c,0,1.18,9.92862,23.276510000000002,1005.28,7163.04,4.15,3.81,52.4,-0.408,17.92,19.68,02a57753o0038c
12,57753.274597,-18.340999999999998,0.598,-167,100,c,0,1.0,9.92862,23.276510000000002,1059.66,7236.68,4.11,3.78,51.6,-0.408,17.5,19.18,02a57753o0055c
13,57753.2853,21.465,15.333,9,144,c,0,1.17,9.92862,23.276510000000002,1079.14,7120.41,4.16,3.88,59.0,-0.40700000000000003,17.01,18.71,02a57753o0075c
14,57757.257547,-19.309,0.27399999999999997,-69,19,c,0,0.99,9.92862,23.276510000000002,3374.63,7170.2,3.73,3.61,49.6,-0.413,19.3,20.86,02a57757o0129c
15,57757.269762,-19.729,0.37200000000000005,-47,17,c,0,1.08,9.92862,23.276510000000002,3429.91,7248.24,3.74,3.62,39.4,-0.40700000000000003,19.28,20.84,02a57757o0150c
16,57757.28000700001,-19.326,0.256,-68,17,c,0,1.11,9.92862,23.276510000000002,3449.94,7128.96,3.73,3.62,42.2,-0.40399999999999997,19.27,20.81,02a57757o0169c
17,57757.290113999996,-19.624000000000002,0.335,-51,17,c,0,1.43,9.92862,23.276510000000002,3413.64,7187.99,3.71,3.6,42.5,-0.409,19.25,20.77,02a57757o0187c
18,57761.199837,-20.54,12.845999999999998,-22,284,o,0,1.03,9.92862,23.276510000000002,1943.81,8408.47,3.61,3.25,23.0,-0.5870000000000001,17.84,18.05,02a57761o0005o
19,57761.200336,19.165,2.975,78,233,o,0,0.95,9.92862,23.276510000000002,1961.49,8447.31,3.54,3.14,19.6,-0.514,17.91,18.16,02a57761o0006o
20,57761.217098,-18.977999999999998,0.45299999999999996,-93,42,o,0,0.98,9.92862,23.276510000000002,1995.23,8484.62,4.36,3.44,8.4,-0.402,18.54,19.7,02a57761o0037o
21,57761.227726,-19.077,0.45,-85,38,o,0,0.83,9.92862,23.276510000000002,2012.29,8364.19,3.56,3.27,29.0,-0.447,18.69,19.68,02a57761o0057o
22,57761.235960000005,-20.094,1.141,-33,38,o,0,0.82,9.92862,23.276510000000002,1976.3,8423.32,3.61,3.38,35.6,-0.447,18.67,19.67,02a57761o0072o
23,57765.199357000005,18.542,0.909,139,126,o,0,1.23,9.92862,23.276510000000002,634.46,5342.38,3.76,3.36,62.1,-0.47600000000000003,17.64,17.58,02a57765o0026o
24,57765.20099299999,-19.162,1.181,-79,93,o,0,1.28,9.92862,23.276510000000002,653.64,5380.91,3.8,3.42,57.0,-0.455,17.81,17.94,02a57765o0029o
25,57765.20149199999,-18.952,0.955,-95,91,o,0,1.61,9.92862,23.276510000000002,10215.26,5376.05,3.8,3.03,-86.2,-0.47,17.91,18.09,02a57765o0030o
26,57765.201985,-20.666,4.034,-20,79,o,0,1.63,9.92862,23.276510000000002,10232.95,5415.66,3.85,3.09,-88.5,-0.479,17.95,18.19,02a57765o0031o
27,57765.211299,21.019000000000002,3.075,14,44,o,0,1.27,9.92862,23.276510000000002,687.95,5418.7,3.81,3.37,60.5,-0.45399999999999996,18.41,19.09,02a57765o0048o
28,57765.219799,-18.993,0.444,-92,41,o,0,1.06,9.92862,23.276510000000002,10269.1,5455.98,3.9,3.12,88.9,-0.452,18.49,19.24,02a57765o0062o
29,57765.220869000004,-19.272000000000002,0.544,-71,39,o,0,1.58,9.92862,23.276510000000002,10287.68,5339.43,3.88,2.98,-89.0,-0.45399999999999996,18.49,19.23,02a57765o0064o
30,57765.227706,-18.635,0.307,-128,39,o,0,1.15,9.92862,23.276510000000002,704.26,5302.48,3.85,3.49,66.0,-0.435,18.45,19.18,02a57765o0077o
31,57765.228304,-21.26,4.111000000000001,-11,47,o,0,0.76,9.92862,23.276510000000002,10249.85,5397.34,3.81,2.9,-88.0,-0.47200000000000003,18.47,19.18,02a57765o0078o
32,57765.237662,-18.955,0.43799999999999994,-95,42,o,0,1.02,9.92862,23.276510000000002,667.28,5358.1,3.78,3.39,68.3,-0.44,18.43,19.14,02a57765o0095o
33,57769.21055,-18.867,0.27899999999999997,-103,29,o,0,1.04,9.92862,23.276510000000002,3599.82,6685.53,3.69,3.44,9.0,-0.462,18.86,20.07,02a57769o0021o
