,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57933.621919000005,-16.729,0.155,-739,115,o,0,1.64,43.92745,75.15381,660.23,791.6,2.96,2.72,-52.7,-0.516,17.38,17.69,01a57933o0760o
1,57953.622887,23.041999999999998,21.857,2,48,o,0,1.61,43.92745,75.15381,10145.09,197.6,4.11,3.2,-86.5,-0.39799999999999996,17.87,18.65,01a57953o0751o
2,57953.624848,-19.276,0.861,-71,61,o,0,1.26,43.92745,75.15381,3075.23,9606.36,3.93,3.35,-77.2,-0.423,17.77,18.4,01a57953o0755o
3,57957.61964,21.564,2.786,9,24,o,0,1.67,43.92745,75.15381,5010.53,10009.82,4.01,3.45,-68.9,-0.41700000000000004,18.78,20.18,01a57957o0760o
4,57957.628488,18.406,0.48100000000000004,158,76,o,0,1.06,43.92745,75.15381,5020.35,9945.39,3.7,3.02,-67.6,-0.45899999999999996,17.66,18.1,01a57957o0778o
5,57963.618316,17.611,0.059000000000000004,328,19,o,0,32.34,43.92745,75.15381,9031.61,9141.98,2.28,2.07,1.5,-0.486,19.3,20.25,02a57963o0322o
6,57963.628177,17.246,0.192,459,88,o,0,1.89,43.92745,75.15381,9061.43,9182.39,2.25,2.16,10.0,-0.514,18.32,18.71,02a57963o0340o
7,57965.61739,16.633,0.022000000000000002,806,17,o,0,23.97,43.92745,75.15381,3998.31,8741.18,3.01,2.66,-69.3,-0.46,19.21,20.55,01a57965o0746o
8,57965.626235,16.398,0.055,1002,55,o,0,2.96,43.92745,75.15381,3999.28,8673.65,3.05,2.73,-68.4,-0.475,18.38,19.08,01a57965o0764o
9,57967.619830999996,16.948,0.026000000000000002,604,16,o,0,93.21,43.92745,75.15381,6774.59,1257.61,2.24,2.07,58.0,-0.475,19.44,20.5,02a57967o0739o
10,57967.629241999995,16.76,0.057,718,41,o,0,7.81,43.92745,75.15381,6798.55,1297.42,2.16,2.0,53.7,-0.496,18.41,18.65,02a57967o0757o
11,57969.615021000005,16.355,0.019,1042,20,o,0,12.76,43.92745,75.15381,5690.94,9423.74,3.55,3.1,-71.1,-0.43200000000000005,19.15,20.87,01a57969o0654o
12,57969.623814,16.362000000000002,0.022000000000000002,1036,23,o,0,11.29,43.92745,75.15381,5696.5,9355.87,3.51,3.03,-72.4,-0.439,18.83,20.0,01a57969o0672o
13,57969.632098,16.249000000000002,0.069,1149,80,o,0,1.49,43.92745,75.15381,5758.69,9406.2,3.84,3.44,-73.4,-0.455,17.49,17.89,01a57969o0689o
14,57972.590915,16.59,0.077,839,64,o,0,4.66,43.92745,75.15381,7985.11,2029.63,2.13,2.02,78.6,-0.494,17.78,17.92,02a57972o0702o
15,57972.59839,16.441,0.053,963,51,o,0,8.23,43.92745,75.15381,8006.06,2067.94,2.15,2.04,76.1,-0.475,18.12,18.23,02a57972o0717o
