,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57922.577897,-20.859,1.087,-16,18,o,0,1.12,330.20589,-31.15649,595.29,7545.76,3.59,3.01,-8.9,-0.418,18.95,20.23,01a57922o0681o
1,57922.59176,-21.889,4.1,-6,26,o,0,0.85,330.20589,-31.15649,10451.4,7420.89,5.05,3.4,-2.8,-0.377,18.72,20.21,01a57922o0707o
2,57922.59323300001,-21.875,2.5,-6,16,o,0,1.11,330.20589,-31.15649,571.61,7450.56,2.98,2.89,-47.6,-0.42100000000000004,19.04,20.27,01a57922o0710o
3,57922.596193,-20.128,0.52,-32,17,o,0,1.02,330.20589,-31.15649,10427.62,7366.17,3.29,3.21,-72.0,-0.41,19.04,20.26,01a57922o0716o
4,57922.603314,-20.340999999999998,0.64,-26,17,o,0,1.05,330.20589,-31.15649,9994.59,2786.32,3.46,3.18,-22.3,-0.426,19.02,20.34,01a57922o0730o
5,57922.608453,-20.257,0.64,-29,18,o,0,1.19,330.20589,-31.15649,10472.93,7396.13,3.36,3.22,-74.7,-0.40700000000000003,19.0,20.22,01a57922o0740o
6,57922.610422000005,-19.498,0.301,-58,17,o,0,1.0,330.20589,-31.15649,648.88,7347.52,3.21,3.02,-66.1,-0.414,18.99,20.2,01a57922o0744o
7,57922.620746,19.252,0.754,72,54,o,0,1.25,330.20589,-31.15649,10484.25,7231.34,3.53,3.37,-69.3,-0.419,18.21,18.97,01a57922o0765o
8,57923.567722,-15.539000000000001,0.498,-2209,1100,o,0,1.1,330.20589,-31.15649,8210.25,2609.37,2.26,2.15,-70.4,-0.552,15.24,15.8,02a57923o0645o
9,57923.573623000004,-16.738,1.29,-733,945,o,0,0.82,330.20589,-31.15649,8229.26,2648.82,2.23,2.13,-70.2,-0.48700000000000004,14.7,15.11,02a57923o0657o
10,57923.584428999995,17.709,0.983,299,294,o,0,1.08,330.20589,-31.15649,8180.28,2571.24,2.45,2.3,-66.9,-0.45399999999999996,15.88,16.48,02a57923o0679o
11,57923.596735,-17.067999999999998,0.574,-541,310,o,0,1.4,330.20589,-31.15649,8157.52,2690.16,2.36,2.25,-57.0,-0.462,15.55,16.01,02a57923o0704o
12,57930.571747,-20.442999999999998,0.6890000000000001,-24,17,o,0,1.07,330.20589,-31.15649,9696.68,6921.4,4.48,3.9,-58.7,-0.392,19.0,20.83,01a57930o0642o
13,57930.577658,-19.944000000000003,0.625,-38,24,o,0,0.94,330.20589,-31.15649,9679.66,6863.62,6.65,5.07,-8.1,-0.324,18.62,20.83,01a57930o0654o
14,57930.588635,-19.713,0.512,-47,24,o,0,1.09,330.20589,-31.15649,875.27,3421.82,6.15,5.13,-10.3,-0.382,18.61,20.84,01a57930o0675o
15,57930.60146699999,-21.519000000000002,2.867,-9,26,o,0,0.94,330.20589,-31.15649,881.06,3589.78,6.25,5.3,-9.1,-0.35,18.56,20.81,01a57930o0700o
16,57934.549652999995,-20.335,0.47100000000000003,-27,13,o,0,1.16,330.20589,-31.15649,2014.36,9708.35,2.87,2.8,-32.2,-0.479,19.32,20.85,01a57934o0634o
17,57934.555051999996,-21.189,1.176,-12,14,o,0,1.0,330.20589,-31.15649,1996.31,9650.51,3.03,2.86,-13.8,-0.46799999999999997,19.34,20.89,01a57934o0645o
18,57934.564620000005,-21.775,1.61,-7,11,o,0,1.54,330.20589,-31.15649,6130.67,10341.42,3.08,2.89,78.4,-0.47100000000000003,19.49,21.07,01a57934o0664o
19,57938.533092,-20.528000000000002,0.6970000000000001,-22,16,o,0,0.83,330.20589,-31.15649,4107.21,83.24,3.85,3.19,2.4,-0.431,19.22,20.96,01a57938o0488o
20,57938.534071,-20.901999999999997,1.182,-16,19,o,0,1.1,330.20589,-31.15649,1637.8,9822.69,5.66,3.27,-6.5,-0.41100000000000003,18.94,20.87,01a57938o0490o
21,57938.54098099999,24.449,31.0,1,19,o,0,0.81,330.20589,-31.15649,1615.94,9758.01,4.56,3.36,-10.2,-0.433,19.08,20.94,01a57938o0504o
22,57938.54891799999,-21.351999999999997,1.5,-10,16,o,0,1.11,330.20589,-31.15649,1696.23,9690.46,4.84,3.24,-8.2,-0.43,19.09,20.98,01a57938o0520o
23,57938.555327999995,-21.963,2.467,-6,15,o,0,0.94,330.20589,-31.15649,1676.44,9783.53,3.42,2.83,-28.4,-0.484,19.31,20.99,01a57938o0533o
24,57938.555821,19.19,5.127999999999999,77,393,o,0,0.01,330.20589,-31.15649,4143.06,38.52,5.73,3.32,-1.0,-0.377,19.05,21.07,01a57938o0534o
25,57940.52314,-20.589000000000002,0.9229999999999999,-21,20,o,0,1.2,330.20589,-31.15649,10437.36,4057.63,2.43,2.11,68.6,-0.5,18.9,19.52,02a57940o0509o
26,57940.525133,-21.861,2.855,-6,19,o,0,1.31,330.20589,-31.15649,595.45,4055.23,2.52,2.22,53.7,-0.451,18.82,19.53,02a57940o0513o
27,57940.532462999996,-20.995,1.423,-14,21,o,0,0.89,330.20589,-31.15649,10450.51,4097.53,2.36,2.02,65.8,-0.529,18.99,19.57,02a57940o0528o
28,57940.534435,-20.129,0.5379999999999999,-32,17,o,0,0.96,330.20589,-31.15649,609.74,4094.5,2.16,1.87,50.3,-0.484,19.0,19.59,02a57940o0532o
29,57940.541774,-20.430999999999997,0.846,-24,21,o,0,0.93,330.20589,-31.15649,10381.26,4018.38,2.43,2.06,66.9,-0.518,18.99,19.62,02a57940o0547o
30,57940.54375,-20.799,1.0,-17,17,o,0,1.36,330.20589,-31.15649,538.1,4019.43,2.26,1.94,51.4,-0.515,19.1,19.64,02a57940o0551o
31,57940.551114999995,-21.587,1.735,-8,15,o,0,1.97,330.20589,-31.15649,10362.08,4136.16,2.34,2.01,66.0,-0.531,19.09,19.69,02a57940o0566o
32,57940.553077,-19.691,0.321,-48,16,o,0,1.49,330.20589,-31.15649,517.84,4136.81,2.18,1.84,53.6,-0.501,19.11,19.73,02a57940o0570o
33,57948.533609000006,-20.826999999999998,1.126,-17,19,o,0,1.23,330.20589,-31.15649,8990.96,6306.26,2.08,2.04,-44.7,-0.49700000000000005,18.92,19.42,02a57948o0586o
34,57948.537520000005,-20.568,0.862,-22,18,o,0,1.24,330.20589,-31.15649,8975.87,6270.92,2.12,2.05,-63.8,-0.485,18.92,19.44,02a57948o0594o
35,57948.548838999995,-22.421999999999997,4.756,-4,19,o,0,0.97,330.20589,-31.15649,9042.82,6346.4,2.07,2.02,-54.1,-0.475,18.95,19.45,02a57948o0616o
36,57948.56189600001,-21.808000000000003,3.477,-7,24,o,0,0.97,330.20589,-31.15649,9060.12,6227.2,2.19,2.14,13.5,-0.48,18.89,19.45,02a57948o0642o
37,57950.51534400001,-20.215999999999998,3.3710000000000004,-30,100,o,0,1.16,330.20589,-31.15649,1847.38,6886.62,3.4,2.62,89.9,-0.45799999999999996,18.06,19.25,01a57950o0563o
38,57950.530395,-20.967,1.224,-15,18,o,0,1.08,330.20589,-31.15649,1812.29,6792.58,3.57,2.73,89.5,-0.43799999999999994,18.97,20.31,01a57950o0593o
