,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57930.571747,-20.38,0.772,-26,20,o,0,0.9,330.67675,-32.792629999999996,8811.57,3774.45,4.45,3.87,-57.8,-0.39899999999999997,19.0,20.83,01a57930o0642o
1,57930.577658,-19.53,0.446,-56,25,o,0,0.97,330.67675,-32.792629999999996,8795.01,3716.76,6.62,5.1,-8.2,-0.34,18.62,20.83,01a57930o0654o
2,57930.588635,-20.026,0.7140000000000001,-36,25,o,0,1.05,330.67675,-32.792629999999996,1779.54,6564.77,6.44,5.32,-11.5,-0.363,18.61,20.84,01a57930o0675o
3,57930.60146699999,-19.195999999999998,0.325,-76,25,o,0,1.27,330.67675,-32.792629999999996,1784.96,6732.03,6.28,5.26,-14.5,-0.369,18.56,20.81,01a57930o0700o
4,57934.549652999995,-22.834,4.812,-3,13,o,0,1.23,330.67675,-32.792629999999996,1279.67,6515.35,2.86,2.79,-15.8,-0.46799999999999997,19.32,20.85,01a57934o0634o
5,57934.555051999996,-21.043000000000003,1.025,-14,14,o,0,0.89,330.67675,-32.792629999999996,1261.4,6458.06,3.0,2.84,-8.7,-0.45799999999999996,19.34,20.89,01a57934o0645o
6,57938.534071,22.053,3.733,6,20,o,0,0.91,330.67675,-32.792629999999996,910.9,6625.05,5.57,3.4,-5.5,-0.39799999999999996,18.94,20.87,01a57938o0490o
7,57938.54098099999,-20.733,0.823,-18,15,o,0,1.2,330.67675,-32.792629999999996,888.62,6560.8,4.48,3.5,-9.8,-0.395,19.08,20.94,01a57938o0504o
8,57938.54891799999,21.636999999999997,2.115,8,17,o,0,0.87,330.67675,-32.792629999999996,966.64,6494.84,4.76,3.34,-6.2,-0.42,19.09,20.98,01a57938o0520o
9,57938.555327999995,-23.254,7.556,-2,14,o,0,1.04,330.67675,-32.792629999999996,947.36,6586.86,3.42,2.96,-34.8,-0.455,19.31,20.99,01a57938o0533o
10,57940.525133,22.462,6.167000000000001,4,23,o,0,1.19,330.67675,-32.792629999999996,1447.55,7212.17,2.55,2.3,46.4,-0.47600000000000003,18.82,19.53,02a57940o0513o
11,57940.534435,-22.662,6.875,-3,22,o,0,0.86,330.67675,-32.792629999999996,1461.29,7251.38,2.25,1.97,42.3,-0.501,19.0,19.59,02a57940o0532o
12,57940.54375,-20.741,1.089,-18,20,o,0,1.06,330.67675,-32.792629999999996,1391.45,7176.38,2.18,1.94,43.1,-0.517,19.1,19.64,02a57940o0551o
13,57940.553077,-20.87,1.2409999999999999,-16,20,o,0,0.86,330.67675,-32.792629999999996,1370.91,7294.21,2.18,1.89,46.8,-0.519,19.11,19.73,02a57940o0570o
14,57948.533609000006,-20.024,0.503,-36,18,o,0,1.38,330.67675,-32.792629999999996,8159.17,3149.18,2.17,2.1,84.5,-0.488,18.92,19.42,02a57948o0586o
15,57948.537520000005,23.305,12.412,2,22,o,0,0.86,330.67675,-32.792629999999996,8144.63,3113.79,2.18,2.09,-84.6,-0.483,18.92,19.44,02a57948o0594o
16,57948.548838999995,21.068,1.399,14,19,o,0,1.06,330.67675,-32.792629999999996,8209.96,3189.24,2.14,2.07,-80.4,-0.484,18.95,19.45,02a57948o0616o
17,57948.56189600001,21.116,1.2670000000000001,13,16,o,0,1.84,330.67675,-32.792629999999996,8227.64,3069.82,2.27,2.18,66.9,-0.488,18.89,19.45,02a57948o0642o
18,57950.51534400001,-18.695,0.728,-121,88,o,0,0.85,330.67675,-32.792629999999996,1099.96,3705.09,3.44,2.59,84.6,-0.47,18.06,19.25,01a57950o0563o
19,57950.530395,-21.169,1.83,-12,23,o,0,0.92,330.67675,-32.792629999999996,1064.22,3610.7,3.66,2.74,84.7,-0.442,18.97,20.31,01a57950o0593o
