,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57922.397583000005,-19.097,4.367,-83,364,o,0,1.08,225.31547999999998,58.061580000000006,6417.31,4404.58,2.16,2.06,-38.3,-0.48,15.81,16.65,02a57922o0324o
1,57922.401483,-17.533,1.186,-352,418,o,0,1.17,225.31547999999998,58.061580000000006,6406.64,4366.47,2.15,1.96,-37.0,-0.465,15.7,16.53,02a57922o0332o
2,57922.421805,-14.321,0.33299999999999996,-6785,2262,o,0,0.81,225.31547999999998,58.061580000000006,6479.43,4325.8,2.25,2.13,-43.2,-0.47600000000000003,13.83,14.58,02a57922o0373o
3,57925.37994299999,-19.383,0.151,-64,10,o,0,1.55,225.31547999999998,58.061580000000006,2957.83,6184.75,3.16,3.0,49.3,-0.434,19.47,21.27,01a57925o0284o
4,57925.396829,-19.317,0.17,-68,12,o,0,0.82,225.31547999999998,58.061580000000006,2991.51,6286.13,3.08,2.91,55.6,-0.44,19.53,21.23,01a57925o0318o
5,57925.401735,-19.557000000000002,0.20800000000000002,-55,11,o,0,1.08,225.31547999999998,58.061580000000006,2936.74,6228.04,3.02,2.91,46.1,-0.447,19.53,21.2,01a57925o0328o
6,57925.41418200001,-19.046,0.133,-87,12,o,0,0.95,225.31547999999998,58.061580000000006,2932.28,6387.87,3.0,2.88,51.2,-0.445,19.52,21.13,01a57925o0353o
7,57927.380317999996,-20.56,0.366,-22,8,o,0,2.06,225.31547999999998,58.061580000000006,4857.34,4471.62,2.12,1.91,-31.5,-0.457,19.86,21.15,02a57927o0255o
8,57927.395991,-20.358,0.342,-26,9,o,0,1.25,225.31547999999998,58.061580000000006,4839.57,4431.46,2.17,1.94,-38.6,-0.451,19.87,21.16,02a57927o0287o
9,57927.401709000005,-19.82,0.179,-43,8,o,0,2.33,225.31547999999998,58.061580000000006,4889.8,4506.42,2.24,1.95,-34.5,-0.45,19.81,21.12,02a57927o0299o
10,57927.41499500001,-19.958,0.228,-38,9,o,0,1.29,225.31547999999998,58.061580000000006,4911.2,4389.08,2.2,1.92,-39.4,-0.45399999999999996,19.82,21.08,02a57927o0326o
11,57929.377079,-19.88,0.272,-41,11,o,0,1.26,225.31547999999998,58.061580000000006,4857.78,4678.54,3.57,3.07,45.3,-0.41600000000000004,19.46,21.23,01a57929o0277o
12,57929.380558000004,-19.16,0.138,-79,11,o,0,1.54,225.31547999999998,58.061580000000006,4884.47,4730.65,3.6,3.08,45.3,-0.41200000000000003,19.44,21.24,01a57929o0284o
13,57929.395475,-19.789,0.245,-44,11,o,0,1.38,225.31547999999998,58.061580000000006,4840.12,4706.59,3.49,3.02,46.5,-0.42,19.44,21.21,01a57929o0314o
14,57929.401380999996,-19.658,0.254,-50,13,o,0,1.1,225.31547999999998,58.061580000000006,4829.95,4845.94,3.51,3.05,44.6,-0.418,19.4,21.1,01a57929o0326o
15,57933.377484000004,-19.512,0.172,-57,10,o,0,1.33,225.31547999999998,58.061580000000006,2838.5,3934.2,3.12,2.8,50.9,-0.449,19.51,21.28,01a57933o0279o
16,57933.380438,-19.545,0.145,-55,8,o,0,1.96,225.31547999999998,58.061580000000006,2864.19,3985.01,3.16,2.89,44.7,-0.44299999999999995,19.49,21.29,01a57933o0285o
17,57933.381907,-19.424,0.156,-62,10,o,0,1.31,225.31547999999998,58.061580000000006,2813.41,3911.48,3.11,2.84,46.2,-0.45,19.54,21.29,01a57933o0288o
18,57933.395376,-19.113,0.115,-82,10,o,0,1.42,225.31547999999998,58.061580000000006,2813.0,4074.33,3.15,2.86,46.7,-0.444,19.56,21.46,01a57933o0315o
19,57937.359757000006,-19.94,0.46799999999999997,-38,18,o,0,1.08,225.31547999999998,58.061580000000006,3019.49,5012.28,3.2,3.06,53.9,-0.444,19.04,20.2,01a57937o0236o
20,57937.375141,-19.83,0.42,-42,18,o,0,0.94,225.31547999999998,58.061580000000006,2995.01,5026.63,3.36,3.2,63.7,-0.43,18.95,20.18,01a57937o0267o
21,57937.376124,-19.346,0.22,-66,15,o,0,1.27,225.31547999999998,58.061580000000006,3058.64,5108.93,3.11,2.93,43.7,-0.451,19.02,20.17,01a57937o0269o
22,57937.382036,-19.151,0.233,-79,18,o,0,1.0,225.31547999999998,58.061580000000006,2985.98,5170.11,3.39,3.18,57.4,-0.42200000000000004,18.96,20.18,01a57937o0281o
23,57939.371621000006,-20.009,0.546,-36,20,o,0,1.01,225.31547999999998,58.061580000000006,7993.5,7566.37,2.62,2.5,54.5,-0.439,18.98,19.79,02a57939o0016o
24,57939.375552,-20.222,0.778,-30,23,o,0,1.02,225.31547999999998,58.061580000000006,7973.16,7524.2,2.57,2.44,49.9,-0.483,18.91,19.78,02a57939o0024o
25,57939.38946599999,-19.621,0.39,-52,20,o,0,1.57,225.31547999999998,58.061580000000006,8024.01,7605.07,2.59,2.43,49.0,-0.486,18.94,19.77,02a57939o0052o
26,57939.396814,-18.779,0.21100000000000002,-112,24,o,0,0.89,225.31547999999998,58.061580000000006,8040.74,7484.08,3.01,2.77,59.9,-0.423,18.75,19.77,02a57939o0067o
27,57941.35802100001,-19.453,0.389,-60,23,o,0,1.08,225.31547999999998,58.061580000000006,2068.3,2946.53,3.23,3.06,46.9,-0.441,18.72,19.69,01a57941o0228o
28,57941.361974,-19.045,0.26899999999999996,-88,24,o,0,1.06,225.31547999999998,58.061580000000006,2084.91,3001.47,3.53,3.36,51.8,-0.42200000000000004,18.66,19.68,01a57941o0236o
29,57941.37595,-18.991,0.21899999999999997,-92,20,o,0,1.72,225.31547999999998,58.061580000000006,2051.59,2969.95,3.57,3.27,58.5,-0.419,18.66,19.68,01a57941o0264o
30,57941.382847,-19.471,0.397,-59,24,o,0,1.32,225.31547999999998,58.061580000000006,2045.16,3111.23,3.59,3.41,53.7,-0.424,18.6,19.68,01a57941o0278o
31,57943.328137000004,19.47,2.932,59,173,o,0,1.0,225.31547999999998,58.061580000000006,6060.51,6041.04,2.51,2.06,54.7,-0.46399999999999997,16.75,17.11,02a57943o0178o
32,57945.338617999994,-19.022000000000002,0.207,-89,18,o,0,1.04,225.31547999999998,58.061580000000006,1403.24,5851.4,2.86,2.76,56.5,-0.47700000000000004,19.02,20.03,01a57945o0100o
33,57945.34710399999,-19.837,0.9590000000000001,-42,40,o,0,1.3,225.31547999999998,58.061580000000006,1434.83,5924.13,2.83,2.79,45.0,-0.485,18.53,19.59,01a57945o0117o
34,57945.355712,-21.644000000000002,5.861000000000001,-8,47,o,0,1.3,225.31547999999998,58.061580000000006,1389.77,5876.21,3.02,2.91,-77.2,-0.465,18.12,19.19,01a57945o0134o
35,57945.38194,-19.454,0.596,-60,36,o,0,1.14,225.31547999999998,58.061580000000006,1411.71,6088.87,3.03,2.77,-45.6,-0.47,17.93,19.12,01a57945o0191o
36,57949.353499000004,-19.62,0.266,-52,14,o,0,0.96,225.31547999999998,58.061580000000006,3493.66,4808.49,3.23,2.94,83.9,-0.442,19.3,20.99,01a57949o0227o
37,57949.355434000005,-19.246,0.182,-73,13,o,0,1.01,225.31547999999998,58.061580000000006,3518.38,4854.52,3.19,2.94,86.5,-0.45299999999999996,19.34,20.99,01a57949o0231o
