,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57927.433987000004,-18.044,0.04,-220,9,o,0,0.74,255.83803999999998,45.413540000000005,2371.7,9127.63,2.19,2.03,13.6,-0.484,19.87,21.28,02a57927o0365o
1,57927.44312,-17.992,0.036000000000000004,-231,8,o,0,0.91,255.83803999999998,45.413540000000005,2358.69,9089.37,2.17,2.01,10.5,-0.49,19.83,21.19,02a57927o0384o
2,57927.450495000005,-18.038,0.027000000000000003,-221,6,o,0,1.89,255.83803999999998,45.413540000000005,2413.48,9165.11,1.99,1.86,5.0,-0.49700000000000005,19.87,21.14,02a57927o0399o
3,57927.464,-17.965999999999998,0.026000000000000002,-236,6,o,0,1.43,255.83803999999998,45.413540000000005,2428.71,9047.07,2.14,2.0,1.3,-0.49,19.83,21.23,02a57927o0427o
4,57929.422289,-18.007,0.040999999999999995,-228,9,o,0,1.67,255.83803999999998,45.413540000000005,9358.53,9553.44,3.58,2.98,46.3,-0.44,19.51,21.34,01a57929o0368o
5,57929.435699,-18.037,0.049,-221,11,o,0,1.15,255.83803999999998,45.413540000000005,9395.02,9644.24,3.59,3.0,50.8,-0.436,19.46,21.3,01a57929o0395o
6,57929.44309400001,-18.104,0.066,-208,14,o,0,0.87,255.83803999999998,45.413540000000005,9332.11,9598.9,3.56,2.96,49.7,-0.43700000000000006,19.45,21.23,01a57929o0410o
7,57929.452529999995,-18.043,0.048,-220,10,o,0,1.06,255.83803999999998,45.413540000000005,9328.74,9752.27,3.48,2.92,49.8,-0.44299999999999995,19.49,21.22,01a57929o0429o
8,57933.415665,-18.14,0.044000000000000004,-201,9,o,0,1.09,255.83803999999998,45.413540000000005,7210.58,8844.54,3.46,3.11,34.7,-0.413,19.63,21.71,01a57933o0356o
9,57933.42208,-18.184,0.05,-193,10,o,0,0.96,255.83803999999998,45.413540000000005,7243.48,8909.98,3.39,3.04,43.5,-0.42200000000000004,19.64,21.72,01a57933o0369o
10,57933.432525,-18.051,0.044000000000000004,-219,10,o,0,0.8,255.83803999999998,45.413540000000005,7180.27,8872.84,3.45,3.02,55.7,-0.42700000000000005,19.64,21.64,01a57933o0390o
11,57933.443802,-18.045,0.044000000000000004,-220,10,o,0,1.05,255.83803999999998,45.413540000000005,7178.78,9034.74,3.46,2.99,49.5,-0.43,19.58,21.6,01a57933o0413o
12,57937.401328,-18.212,0.087,-188,16,o,0,0.92,255.83803999999998,45.413540000000005,7404.65,9936.32,3.32,3.04,60.7,-0.447,19.15,20.43,01a57937o0320o
13,57937.414262,-18.034000000000002,0.065,-222,14,o,0,1.14,255.83803999999998,45.413540000000005,5525.54,257.57,3.35,3.02,54.1,-0.41200000000000003,19.16,20.38,01a57937o0346o
14,57937.414749,-18.04,0.07,-221,15,o,0,1.07,255.83803999999998,45.413540000000005,7439.3,10027.34,3.35,3.03,53.8,-0.447,19.16,20.36,01a57937o0347o
15,57937.423588,-18.070999999999998,0.071,-214,15,o,0,1.14,255.83803999999998,45.413540000000005,7377.72,9986.54,3.37,2.95,62.6,-0.44799999999999995,19.16,20.41,01a57937o0365o
16,57937.424079,-18.065,0.065,-216,14,o,0,1.05,255.83803999999998,45.413540000000005,5548.29,336.53,3.17,2.98,56.4,-0.43799999999999994,19.21,20.46,01a57937o0366o
17,57937.43156699999,-17.914,0.057999999999999996,-248,14,o,0,0.9,255.83803999999998,45.413540000000005,5498.87,286.85,3.21,2.87,58.3,-0.43200000000000005,19.28,20.48,01a57937o0381o
18,57937.432554,-18.049,0.067,-219,15,o,0,1.24,255.83803999999998,45.413540000000005,7374.04,10138.2,3.28,2.87,60.5,-0.457,19.23,20.44,01a57937o0383o
19,57937.445333,-18.079,0.07200000000000001,-213,15,o,0,1.02,255.83803999999998,45.413540000000005,5500.46,458.24,3.51,3.33,58.4,-0.42100000000000004,19.07,20.4,01a57937o0409o
20,57939.415171,-18.117,0.08,-206,16,o,0,0.88,255.83803999999998,45.413540000000005,3733.72,2386.96,2.76,2.49,43.4,-0.43799999999999994,18.98,19.91,02a57939o0104o
21,57939.428641,-18.064,0.068,-216,15,o,0,1.05,255.83803999999998,45.413540000000005,3723.19,2347.29,2.9,2.57,42.3,-0.401,18.92,19.89,02a57939o0131o
22,57939.437442999995,-18.044,0.069,-220,15,o,0,0.88,255.83803999999998,45.413540000000005,3777.44,2422.06,2.46,2.13,47.1,-0.446,19.08,19.86,02a57939o0149o
23,57939.446499,-18.199,0.09300000000000001,-191,18,o,0,0.76,255.83803999999998,45.413540000000005,3805.13,2303.62,2.75,2.46,45.2,-0.446,18.88,19.84,02a57939o0167o
24,57941.402252,-18.229,0.146,-186,27,o,0,0.82,255.83803999999998,45.413540000000005,6389.83,7939.45,3.52,3.13,45.9,-0.41700000000000004,18.81,19.84,01a57941o0317o
25,57941.41576799999,-18.115,0.127,-206,26,o,0,0.7,255.83803999999998,45.413540000000005,6427.64,8029.16,3.4,3.19,54.1,-0.418,18.73,19.78,01a57941o0344o
26,57941.423156,-17.953,0.098,-239,24,o,0,1.15,255.83803999999998,45.413540000000005,6367.49,7982.49,3.47,3.23,50.9,-0.414,18.75,19.76,01a57941o0359o
27,57941.432752999994,-17.91,0.09300000000000001,-249,23,o,0,1.09,255.83803999999998,45.413540000000005,6362.67,8134.36,3.23,2.9,54.6,-0.439,18.87,19.73,01a57941o0378o
28,57943.360017,-18.039,1.321,-221,292,o,0,1.02,255.83803999999998,45.413540000000005,1672.38,968.96,2.82,2.26,51.7,-0.5329999999999999,16.24,16.36,02a57943o0243o
29,57943.375688,-20.285999999999998,8.385,-28,234,o,0,0.88,255.83803999999998,45.413540000000005,1659.15,927.79,2.86,2.2,53.0,-0.479,16.45,16.53,02a57943o0275o
30,57943.383016,-16.932000000000002,0.847,-613,519,o,0,1.15,255.83803999999998,45.413540000000005,1740.78,886.14,9.75,3.54,-0.3,-0.23800000000000002,15.31,16.0,02a57943o0290o
31,57945.425586000005,-18.166,0.10300000000000001,-197,20,o,0,0.98,255.83803999999998,45.413540000000005,4024.76,1296.4,3.1,2.93,50.4,-0.449,18.9,19.85,01a57945o0279o
32,57945.430636000005,-18.118,0.085,-205,18,o,0,1.34,255.83803999999998,45.413540000000005,4042.34,1353.83,3.09,2.9,53.9,-0.449,18.96,19.93,01a57945o0289o
33,57945.4435,-17.958,0.087,-238,21,o,0,0.87,255.83803999999998,45.413540000000005,4006.82,1324.98,3.22,3.03,51.3,-0.43799999999999994,18.93,19.95,01a57945o0315o
34,57945.448070000006,-18.098,0.09,-209,19,o,0,0.93,255.83803999999998,45.413540000000005,4000.79,1458.04,3.26,3.03,48.3,-0.441,18.89,19.95,01a57945o0324o
