,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58733.431659,-20.473,0.545,-24,13,o,0,1.72,44.03528,15.21308,6868.95,8629.4,2.37,2.3,-59.1,-0.395,19.17,20.18,01a58733o0452o
1,58733.44324400001,-18.78,0.22899999999999998,-112,26,o,0,1.86,44.03528,15.21308,6854.98,8591.52,2.29,2.18,-72.4,-0.40700000000000003,18.19,19.32,01a58733o0474o
2,58733.446485,-20.898000000000003,2.08,-16,33,o,0,1.0,44.03528,15.21308,6910.43,8668.66,2.66,2.45,-80.4,-0.386,18.35,19.7,01a58733o0481o
3,58733.452324,21.315,1.27,11,14,o,0,1.83,44.03528,15.21308,6931.08,8552.8,2.35,2.14,-83.6,-0.40399999999999997,19.12,20.35,01a58733o0492o
4,58737.50849099999,-19.692999999999998,0.295,-48,14,o,0,1.13,44.03528,15.21308,8805.04,8544.48,2.37,1.8,-86.2,-0.397,19.22,19.85,01a58737o0516o
5,58737.51173099999,-19.961,0.408,-38,15,o,0,0.94,44.03528,15.21308,8786.78,8507.76,2.59,1.98,-87.5,-0.382,19.16,19.88,01a58737o0523o
6,58737.518651,-19.595,0.242,-53,13,o,0,1.41,44.03528,15.21308,8844.37,8583.27,2.35,1.71,-85.7,-0.396,19.25,19.86,01a58737o0536o
7,58737.528763999995,-19.753,0.349,-46,16,o,0,1.48,44.03528,15.21308,8865.74,8469.47,2.17,1.73,-84.9,-0.396,18.97,19.29,01a58737o0555o
8,58739.476025,-21.274,2.053,-11,23,o,0,2.47,44.03528,15.21308,4264.35,10089.85,2.24,1.87,-48.2,-0.433,18.77,19.12,02a58739o0563o
9,58739.479978999996,-21.455,2.977,-10,28,o,0,1.36,44.03528,15.21308,4286.32,10127.59,2.32,2.0,-40.9,-0.43,18.75,19.16,02a58739o0571o
10,58739.494655999995,-19.616,0.508,-52,26,o,0,1.22,44.03528,15.21308,4229.5,10048.73,2.15,1.94,-47.9,-0.424,18.82,19.16,02a58739o0600o
11,58739.502486000005,-19.419,0.48200000000000004,-62,30,o,0,1.54,44.03528,15.21308,4211.97,10165.49,2.21,1.9,-49.1,-0.444,18.7,19.01,02a58739o0615o
12,58751.369909,-23.127,5.0,-2,10,c,0,1.05,44.03528,15.21308,3790.94,3874.68,2.46,2.2,40.6,-0.396,19.54,21.26,02a58751o0245c
13,58751.388911,-22.388,1.939,-4,8,c,0,1.98,44.03528,15.21308,3809.54,3913.81,2.42,2.23,36.4,-0.39799999999999996,19.62,21.39,02a58751o0283c
14,58751.400119000005,-20.474,0.387,-24,9,c,0,1.86,44.03528,15.21308,3753.48,3835.24,2.45,2.23,40.6,-0.401,19.64,21.45,02a58751o0305c
15,58751.403621000005,-24.476999999999997,13.8,-1,8,c,0,2.32,44.03528,15.21308,3736.28,3950.67,2.31,2.25,-62.6,-0.41100000000000003,19.66,21.46,02a58751o0312c
