,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57930.614902,20.525,1.676,22,38,o,0,1.02,351.62819,-24.46455,4277.87,10231.51,7.12,5.02,-3.6,-0.364,18.07,19.86,01a57930o0726o
1,57930.61539400001,20.583000000000002,1.694,21,36,o,0,0.93,351.62819,-24.46455,4942.21,496.24,7.06,4.83,-2.3,-0.314,18.15,19.86,01a57930o0727o
2,57930.618843,-19.488,1.203,-58,70,o,0,1.13,351.62819,-24.46455,4256.85,10177.86,8.21,5.52,-3.3,-0.35200000000000004,17.44,18.94,01a57930o0734o
3,57930.623264999995,19.038,1.3259999999999998,88,117,o,0,1.14,351.62819,-24.46455,4919.58,429.08,6.82,5.26,-4.9,-0.358,16.88,17.89,01a57930o0743o
4,57938.582427,-20.198,0.557,-30,17,o,0,0.98,351.62819,-24.46455,6677.99,3291.08,6.0,3.97,-3.7,-0.364,18.99,21.24,01a57938o0588o
5,57938.592303,-19.825,0.53,-43,23,o,0,0.89,351.62819,-24.46455,6652.89,3216.66,8.74,3.84,-1.9,-0.33899999999999997,18.68,21.15,01a57938o0608o
6,57938.599738,-20.713,0.679,-19,13,o,0,1.16,351.62819,-24.46455,6701.82,3266.87,3.82,3.17,-10.0,-0.43799999999999994,19.35,21.2,01a57938o0623o
7,57938.608146000006,25.524,58.0,0,13,o,0,1.08,351.62819,-24.46455,6715.05,3119.23,3.61,3.11,-7.5,-0.44799999999999995,19.29,21.05,01a57938o0640o
8,57940.567989999996,-21.419,1.551,-10,15,o,0,0.95,351.62819,-24.46455,6114.36,833.59,2.17,1.94,53.3,-0.503,19.34,20.03,02a57940o0600o
9,57940.574196,-20.589000000000002,0.562,-21,12,o,0,1.44,351.62819,-24.46455,6131.28,873.95,2.13,1.93,55.3,-0.47100000000000003,19.42,20.18,02a57940o0612o
10,57940.586171,-21.095,1.013,-13,13,o,0,0.62,351.62819,-24.46455,6038.96,914.33,2.12,1.93,55.3,-0.479,19.66,20.64,02a57940o0635o
11,57942.526705,-21.37,3.073,-10,32,o,0,0.97,351.62819,-24.46455,6136.21,9665.04,3.06,3.03,-45.7,-0.45799999999999996,18.5,19.17,01a57942o0550o
12,57942.535145,18.921,0.467,98,46,o,0,1.05,351.62819,-24.46455,6108.61,9600.75,3.17,3.06,8.8,-0.45799999999999996,17.87,18.69,01a57942o0567o
13,57942.543557000005,-19.502,0.506,-57,29,o,0,0.91,351.62819,-24.46455,6153.79,9653.13,3.05,2.98,-84.9,-0.465,18.51,19.26,01a57942o0584o
14,57942.551935,-21.546,3.157,-9,28,o,0,0.73,351.62819,-24.46455,6161.53,9508.53,2.94,2.86,-63.6,-0.49700000000000005,18.67,19.3,01a57942o0601o
15,57944.500816,-23.646,31.833000000000002,-1,40,o,0,0.98,351.62819,-24.46455,3467.96,9660.51,2.24,1.95,35.7,-0.537,18.44,18.72,02a57944o0510o
16,57944.5092,-23.0,19.25,-2,44,o,0,1.29,351.62819,-24.46455,3485.14,9700.99,2.34,2.08,38.2,-0.515,18.46,18.78,02a57944o0527o
17,57944.517502999995,20.785,2.074,18,37,o,0,1.01,351.62819,-24.46455,3430.56,9624.72,2.21,1.94,32.0,-0.552,18.53,18.83,02a57944o0544o
18,57944.525847000004,-19.753,0.8190000000000001,-46,37,o,0,1.14,351.62819,-24.46455,3409.95,9743.72,2.28,1.94,33.9,-0.546,18.55,18.87,02a57944o0561o
19,57948.574077,20.662,1.103,20,22,o,0,0.91,351.62819,-24.46455,6991.02,942.73,2.46,2.19,51.0,-0.46299999999999997,18.81,19.35,02a57948o0666o
20,57948.576989,-20.427,0.8220000000000001,-24,20,o,0,1.12,351.62819,-24.46455,7010.56,981.09,2.48,2.22,55.4,-0.479,18.81,19.34,02a57948o0672o
21,57948.588402999994,-21.175,1.9269999999999998,-12,24,o,0,1.07,351.62819,-24.46455,3509.65,9538.59,2.4,2.07,14.3,-0.493,18.87,19.37,02a57948o0695o
22,57948.60174299999,-22.685,7.257999999999999,-3,22,o,0,0.77,351.62819,-24.46455,6932.14,1021.58,2.28,2.01,55.5,-0.474,18.89,19.38,02a57948o0722o
23,57950.566788,-19.846,0.628,-42,26,o,0,1.15,351.62819,-24.46455,6267.24,10081.33,3.28,3.1,-82.6,-0.431,18.87,20.23,01a57950o0666o
24,57950.567761,-20.273,0.664,-28,19,o,0,0.96,351.62819,-24.46455,6862.13,337.27,3.47,3.28,15.3,-0.418,18.99,20.3,01a57950o0668o
25,57950.57358,21.009,1.092,14,16,o,0,1.34,351.62819,-24.46455,6840.96,277.01,3.24,3.15,81.1,-0.436,19.04,20.33,01a57950o0680o
26,57950.575037,20.511,0.823,23,19,o,0,1.39,351.62819,-24.46455,6248.59,10013.5,3.52,3.11,-85.5,-0.41700000000000004,18.94,20.24,01a57950o0683o
27,57950.582813,-21.168000000000003,2.22,-12,28,o,0,1.36,351.62819,-24.46455,6314.54,9944.05,3.4,2.91,-87.0,-0.43700000000000006,18.32,19.64,01a57950o0699o
28,57950.590101,22.944000000000003,19.0,2,46,o,0,1.11,351.62819,-24.46455,6296.23,10034.54,3.39,2.7,-85.1,-0.46,17.78,18.5,01a57950o0714o
29,57950.59106900001,-19.334,0.455,-67,30,o,0,1.45,351.62819,-24.46455,6887.64,288.41,3.28,2.76,86.2,-0.446,18.45,19.76,01a57950o0716o
30,57950.600292999996,20.239,0.6829999999999999,29,20,o,0,1.0,351.62819,-24.46455,6904.14,135.26,3.24,2.78,82.4,-0.46299999999999997,18.97,20.14,01a57950o0735o
31,57952.56954700001,-19.840999999999998,1.021,-42,43,o,0,0.93,351.62819,-24.46455,3017.44,10422.41,2.76,2.25,38.2,-0.473,18.29,19.76,02a57952o0013o
32,57952.57199,20.142,0.78,32,25,o,0,1.15,351.62819,-24.46455,2963.06,10344.94,2.92,2.33,43.4,-0.483,19.07,20.37,02a57952o0018o
33,57952.572477,-20.844,1.99,-17,33,o,0,1.03,351.62819,-24.46455,3620.79,602.3,2.61,2.37,51.0,-0.45399999999999996,19.19,20.44,02a57952o0019o
34,57952.58566799999,-20.971999999999998,0.753,-15,11,o,0,1.22,351.62819,-24.46455,3578.37,718.35,2.71,2.33,42.9,-0.456,19.24,20.6,02a57952o0046o
35,57952.586156,-20.772,1.0959999999999999,-18,20,o,0,0.97,351.62819,-24.46455,2938.01,10461.98,3.25,2.69,42.0,-0.425,19.32,20.71,02a57952o0047o
36,57954.56827,20.463,0.535,24,13,o,0,1.11,351.62819,-24.46455,5823.24,1946.61,3.63,2.69,84.6,-0.42200000000000004,19.22,20.85,01a57954o0729o
37,57954.578690999995,21.284000000000002,1.357,11,15,o,0,1.1,351.62819,-24.46455,4716.1,8352.33,3.93,3.13,-81.4,-0.409,19.17,20.91,01a57954o0750o
38,57954.579173000006,22.511,3.5,4,13,o,0,1.48,351.62819,-24.46455,4769.91,8431.18,3.9,3.04,-81.0,-0.41100000000000003,19.19,20.91,01a57954o0751o
39,57954.583734,20.613000000000003,0.628,21,13,o,0,1.39,351.62819,-24.46455,5867.65,1809.0,3.82,2.89,86.6,-0.41600000000000004,19.13,20.89,01a57954o0760o
40,57958.547039,-21.226999999999997,1.2309999999999999,-12,14,o,0,1.13,351.62819,-24.46455,5806.66,1479.81,3.89,3.79,44.7,-0.35600000000000004,19.03,21.07,01a57958o0358o
41,57958.556771,-20.897,0.8170000000000001,-16,13,o,0,1.01,351.62819,-24.46455,5776.81,1402.22,3.6,2.82,86.2,-0.43,19.22,21.13,01a57958o0377o
42,57958.574559,-23.811999999999998,12.0,-1,13,o,0,1.26,351.62819,-24.46455,4747.35,8885.7,4.0,3.16,-79.0,-0.401,19.24,21.2,01a57958o0412o
43,57958.580826,-20.387,0.48200000000000004,-25,12,o,0,1.34,351.62819,-24.46455,5844.55,1270.89,3.71,2.88,85.8,-0.423,19.24,21.2,01a57958o0424o
44,57960.551364,-22.609,3.29,-3,11,o,0,1.3,351.62819,-24.46455,4362.49,9612.6,2.21,2.0,34.1,-0.499,19.67,20.9,02a57960o0616o
45,57960.562312,15.276,0.956,2814,2689,o,0,3.97,351.62819,-24.46455,5393.52,10525.86,2.27,2.0,20.5,-0.485,19.63,20.84,02a57960o0638o
46,57960.562799,-21.83,1.6119999999999999,-7,11,o,0,1.2,351.62819,-24.46455,6083.17,791.19,2.15,1.96,53.4,-0.485,19.64,20.87,02a57960o0639o
47,57960.564274000004,-20.885,0.527,-16,8,o,0,1.54,351.62819,-24.46455,6136.7,869.6,2.26,2.05,66.8,-0.455,19.65,20.89,02a57960o0642o
48,57960.578787,-20.677,0.662,-20,13,o,0,1.49,351.62819,-24.46455,6157.16,751.1,2.11,1.92,55.9,-0.485,19.71,20.97,02a57960o0671o
49,57966.514730999996,19.671,0.377,49,19,o,0,1.1,351.62819,-24.46455,3439.35,9632.38,4.54,3.04,-1.4,-0.39799999999999996,18.98,20.7,01a57966o0543o
50,57966.530810000004,-20.914,1.192,-16,19,o,0,0.77,351.62819,-24.46455,3414.79,9534.14,4.61,3.08,-1.1,-0.392,18.98,20.72,01a57966o0575o
51,57966.532263,-21.750999999999998,1.892,-7,14,o,0,1.51,351.62819,-24.46455,3465.53,9606.46,3.05,2.9,-73.9,-0.441,19.26,20.72,01a57966o0578o
52,57966.542455999996,21.153000000000002,1.14,13,14,o,0,1.27,351.62819,-24.46455,3478.98,9449.98,3.22,3.13,-67.5,-0.431,19.18,20.79,01a57966o0599o
53,57968.49780599999,19.265,0.511,72,37,o,0,1.17,351.62819,-24.46455,6164.67,1283.62,2.12,1.98,-64.3,-0.428,18.71,19.38,02a57968o0517o
54,57968.500739999996,18.61,0.33299999999999996,131,44,o,0,0.88,351.62819,-24.46455,6146.48,1244.83,2.08,1.95,-53.4,-0.456,18.32,18.93,02a57968o0523o
55,57968.512957000006,20.182000000000002,0.34299999999999997,31,10,o,0,2.45,351.62819,-24.46455,6110.68,1208.59,2.02,1.98,-76.1,-0.456,19.45,20.32,02a57968o0548o
56,57968.518317999995,20.305,0.371,27,10,o,0,1.27,351.62819,-24.46455,6089.03,1325.63,2.02,1.95,82.8,-0.45,19.53,20.48,02a57968o0559o
57,57970.443027999994,19.329,0.32,67,22,o,0,1.84,351.62819,-24.46455,4856.51,9789.76,3.19,2.82,4.2,-0.43200000000000005,18.48,19.31,01a57970o0385o
58,57970.444964,20.674,11.137,20,217,o,0,0.02,351.62819,-24.46455,5520.09,49.0,3.65,3.15,7.4,-0.379,18.52,19.41,01a57970o0389o
59,57970.450324,20.362000000000002,1.3419999999999999,26,35,o,0,1.14,351.62819,-24.46455,4829.22,9729.76,4.89,3.41,0.6,-0.37799999999999995,18.16,19.3,01a57970o0400o
60,57970.457738,19.323,0.456,68,31,o,0,1.31,351.62819,-24.46455,4875.69,9787.08,5.13,3.24,-1.1,-0.373,18.18,19.4,01a57970o0415o
61,57970.459689999996,17.312,0.762,432,329,o,0,0.06,351.62819,-24.46455,5538.78,45.14,4.77,3.1,-0.4,-0.348,18.44,19.53,01a57970o0419o
62,57970.465129,20.179000000000002,0.8170000000000001,31,25,o,0,1.07,351.62819,-24.46455,4886.33,9647.48,2.96,2.61,8.7,-0.46,18.61,19.47,01a57970o0430o
63,57971.448732000004,-20.748,1.9569999999999999,-18,36,o,0,1.07,351.62819,-24.46455,4976.99,2608.14,3.87,3.27,3.7,-0.381,18.24,19.12,01a57971o0432o
64,57971.45991900001,20.031,0.8590000000000001,35,30,o,0,1.55,351.62819,-24.46455,4998.63,2613.08,3.39,3.28,11.3,-0.39399999999999996,18.28,19.15,01a57971o0455o
65,57971.460889,18.998,0.316,91,29,o,0,1.31,351.62819,-24.46455,4943.79,2532.65,3.35,3.2,10.5,-0.405,18.34,19.15,01a57971o0457o
66,57971.474029,19.16,0.359,79,28,o,0,1.17,351.62819,-24.46455,5000.78,2452.44,3.23,3.09,69.2,-0.41600000000000004,18.39,19.2,01a57971o0484o
67,57977.515311,18.349,0.13,166,22,o,0,0.95,351.62819,-24.46455,6010.88,9698.64,2.42,2.33,22.9,-0.46,18.97,19.65,02a57977o0561o
68,57977.531588,18.768,0.17600000000000002,113,20,o,0,1.27,351.62819,-24.46455,5995.47,9661.22,2.34,2.27,13.6,-0.446,18.99,19.64,02a57977o0593o
69,57977.541574,18.975,0.19899999999999998,93,18,o,0,1.22,351.62819,-24.46455,6067.47,9737.15,2.4,2.32,40.9,-0.445,18.95,19.63,02a57977o0612o
70,57977.546699,19.022000000000002,0.244,89,22,o,0,1.04,351.62819,-24.46455,6086.25,9619.7,2.46,2.39,44.8,-0.43,18.95,19.63,02a57977o0622o
71,57979.519337,19.053,0.196,87,17,o,0,1.13,351.62819,-24.46455,4281.51,7830.66,2.95,2.68,-79.3,-0.47200000000000003,19.1,20.4,01a57979o0545o
