,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57950.61829,23.701999999999998,34.75,1,42,o,0,1.3,21.17915,-40.61002,47.78,7951.4,3.96,3.03,89.4,-0.33899999999999997,18.12,19.08,01a57950o0772o
1,57952.6028,19.475,0.5489999999999999,59,32,o,0,0.99,21.17915,-40.61002,9734.08,2881.64,3.1,2.68,45.0,-0.445,18.26,19.71,02a57952o0079o
2,57952.626726999995,18.337,0.311,168,52,o,0,1.63,21.17915,-40.61002,9685.27,2844.51,3.27,2.78,46.3,-0.43799999999999994,17.6,19.16,02a57952o0128o
3,57954.626687,19.776,1.558,45,70,o,0,1.02,21.17915,-40.61002,8980.1,9583.45,4.67,3.21,-86.1,-0.369,17.61,18.19,01a57954o0847o
4,57958.609458000006,19.469,0.33799999999999997,59,20,o,0,0.87,21.17915,-40.61002,8965.6,9095.26,4.99,3.6,-83.8,-0.336,18.91,20.78,01a57958o0483o
5,57958.620129999996,19.109,0.295,82,24,o,0,1.14,21.17915,-40.61002,8938.22,9019.95,5.0,3.5,-84.2,-0.33799999999999997,18.58,20.04,01a57958o0505o
6,57958.630316999996,20.021,6.912999999999999,36,246,o,0,1.19,21.17915,-40.61002,8986.89,9057.59,5.14,3.64,-86.5,-0.321,17.02,17.55,01a57958o0526o
7,57960.615938,19.642,0.297,50,15,o,0,1.06,21.17915,-40.61002,1129.15,2058.58,2.29,2.01,34.3,-0.49700000000000005,19.16,20.72,02a57960o0746o
8,57960.626187,19.480999999999998,0.57,59,33,o,0,1.07,21.17915,-40.61002,1083.04,2020.25,2.43,2.04,30.6,-0.513,18.19,19.92,02a57960o0767o
9,57960.627659000005,18.028,0.191,223,42,o,0,1.07,21.17915,-40.61002,1142.4,2096.8,2.44,2.04,31.6,-0.505,17.95,19.66,02a57960o0770o
10,57966.581291999995,20.853,0.986,16,16,o,0,1.32,21.17915,-40.61002,7239.96,7520.02,3.53,2.92,-87.3,-0.418,19.09,20.57,01a57966o0679o
11,57966.590509,19.976,0.40299999999999997,37,15,o,0,0.89,21.17915,-40.61002,7197.33,7448.45,3.53,2.91,-87.4,-0.424,19.08,20.65,01a57966o0698o
